科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动产生的现金流量净额,"-29,068,953.75","-12,892,905.00","-20,730,538.75","-35,574,533.75","-20,993,461.25","348,241,075.48","340,172,159.85","339,991,730.84","339,313,103.39","-8,000,000.00","-8,000,000.00","-8,000,000.00","-7,800,000.00",,"-10,841,503.84","-9,640,671.35","-35,992,596.13","1,808,416.66","1,136,083.32","20,349,083.30","39,370,233.28","-8,050,250.03","-19,092,916.72","-49,759,365.10","707,542,262.61","-38,307,600.01","-125,629,470.54","-116,380,070.53","61,940,725.34","-65,344,895.35","-109,177,328.62","-109,488,595.28","-126,420,642.87","32,919,613.90","81,149,494.66","302,359,003.01","373,316,398.31","-9,258,113.50","-57,685,083.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,"7,416,552.99","7,416,552.99","10,233,249.79",,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-637,562.34","-27,310.53",-81.63,49.22,-39.07,-91.73,-44.00,"-264,793.46","-3,343.98","-1,069.61","-2,419.30","-3,759.67","-4,292.47",-34.53,"32,317.59","40,934.73","-171,935.34","-63,503.81","-157,553.04","-236,743.16","-183,376.60","-11,328.95","19,612.29","-18,794.62","-10,010.04","231,823.73",294.77,"657,488.98","629,181.42","-66,938.32","87,332.26","250,628.78","187,943.73","-258,242.40","-768,699.68","-1,588,167.59","-1,580,239.40","-699,462.64","694,445.79"
收到其他与投资活动有关的现金,"4,318,604.35",,,,,,,,,,"14,500,611.89","14,500,611.89","31,500,611.89",,"41,000,000.00","41,000,000.00","41,000,000.00",,"11,000,000.00","11,000,000.00","11,000,000.00","7,872,600.00","7,527,700.00","7,527,700.00","8,786,814.42",,,,"23,959,169.56",,,,"2,800,000.00",,,,,,"770,337.27"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"13,277,781.95",,,,,,,"25,350.43","233,428.12","5,000.00","14,505,961.89","14,591,961.89","31,590,161.04",,"41,000,000.00","40,996,700.00","41,056,296.16","5,000.00","11,193,000.00","11,195,521.37","14,290,689.13","7,872,600.00","14,944,252.99","14,944,252.99","21,049,762.89",,"181,020.60","130,000.00","37,261,444.69",500.00,"15,000.00","15,000.00","3,272,483.63",,"193,500.00","548,700.00","208,677.20","205,074.93","975,412.20"
五、现金及现金等价物净增加额,"12,989,698.60","1,846,009.29","5,336,463.28","-3,710,082.88","32,361,358.27","350,412,094.32","330,209,450.63","324,847,210.27","344,709,641.88","-11,009,592.10","12,813,383.81","-20,895,039.51","-35,837,799.73","2,391,714.15","-91,327,436.99","-136,697,532.53","-171,235,488.69","-19,844,945.85","-54,014,212.65","-71,701,944.78","-59,262,788.15","-18,157,844.08","-12,271,092.61","-48,365,585.33","729,529,084.42","-111,468,734.79","-191,262,708.03","-196,178,196.64","-392,249,336.82","33,718,290.48","-13,077,252.47","-26,243,987.17","-96,573,537.07","-127,111,286.29","-79,360,734.86","-9,813,332.21","6,688,383.58","-54,886,536.75","-90,541,228.93"
购建固定资产、无形资产和其他长期资产支付的现金,"4,444,406.54","2,362,666.25","733,490.34","1,308,005.26","4,403,476.35","1,470,065.93","23,355,557.42","33,426,508.68","35,893,229.99","21,722,456.13","25,969,070.18","47,387,789.73","100,886,330.73","55,008,075.59","116,922,113.51","159,582,293.05","190,259,394.22","19,585,940.48","35,851,823.86","50,055,978.63","57,620,495.15","26,122,948.58","33,753,406.23","40,624,919.92","28,834,497.55","20,262,794.93","17,324,332.26","36,100,641.33","58,820,946.37","14,701,824.03","73,255,986.39","125,669,945.00","245,100,712.21","101,087,001.63","138,339,231.27","343,567,855.21","441,173,772.20","23,641,828.74","38,413,862.92"
期初现金及现金等价物余额,"9,890,094.02","22,879,792.62","24,725,801.91",,"24,725,801.91","57,087,160.18","57,087,160.18","57,087,160.18","57,087,160.18","401,796,802.06","401,796,802.06","401,796,802.06","401,796,802.06","365,687,798.33","365,959,002.33","375,588,476.37","365,959,002.33","194,723,513.64","194,723,513.64","194,723,513.64","194,723,513.64","135,762,569.18","135,460,725.49","135,460,725.49","135,460,725.49","864,989,809.91","864,989,809.91","864,989,809.91","864,989,809.91","472,740,473.09","472,740,473.09","472,740,473.09","472,740,473.09","386,166,936.02","386,166,936.02","386,166,936.02","376,166,936.02","382,855,319.60","382,855,319.60"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,"180,000.00",,,"15,000,000.00","15,000,000.00","62,973,000.00","62,973,000.00","62,973,000.00","357,157,672.23",,"21,837,098.59","70,974,352.34","49,137,253.75",,"5,303.85","5,303.85","5,303.85",,"6,458,500.00"
期末现金及现金等价物余额,"22,879,792.62","24,725,801.91","30,062,265.19",,"57,087,160.18","407,499,254.50","387,296,610.81","381,934,370.45","401,796,802.06","390,787,209.96","414,610,185.87","380,901,762.55","365,959,002.33","368,079,512.48","274,631,565.34","238,890,943.84","194,723,513.64","174,878,567.79","140,709,300.99","123,021,568.86","135,460,725.49","117,604,725.10","123,189,632.88","87,095,140.16","864,989,809.91","753,521,075.12","673,727,101.88","668,811,613.27","472,740,473.09","506,458,763.57","459,663,220.62","446,496,485.92","376,166,936.02","259,055,649.73","306,806,201.16","376,353,603.81","382,855,319.60","327,968,782.85","292,314,090.67"
