科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"5,871,684.05","5,519,431.25","6,751,385.99","3,028,374.04","11,729,479.56","2,839,429.80","6,020,048.80","9,315,072.09","13,858,989.12","5,495,553.94","10,137,775.10","14,914,079.67","20,147,786.73","4,468,131.15","9,022,900.61","15,109,869.67","21,234,130.33","5,529,884.12","11,308,816.96","20,122,029.96","29,603,773.35","10,040,055.18","21,213,303.14","33,190,619.55","45,500,585.93","12,260,075.40","24,274,340.89","37,594,289.48","54,101,351.43","19,951,975.92","47,109,986.61","74,315,009.69","106,961,344.74"
取得借款收到的现金,"29,000,000.00","31,251,899.99","52,386,855.00","53,744,594.00","92,642,894.00","19,635,350.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,"84,021,723.08","136,457,148.60","10,000,000.00","77,520,330.53","196,949,388.51","273,623,654.09","80,539,656.00","198,528,754.00","278,588,580.21","306,469,338.35","480,467,499.67","1,647,240,828.23","2,896,984,805.18","3,791,954,378.23"
支付的各项税费,"5,146,271.16","8,032,656.53","6,179,413.25","7,086,169.82","12,564,782.51","2,273,781.40","3,609,350.55","4,923,208.33","8,869,446.33","1,642,101.02","1,741,152.92","2,194,732.50","5,113,014.20","1,036,377.97","5,137,077.38","5,280,383.25","10,758,825.40","2,447,614.71","3,368,907.07","5,971,597.04","17,720,243.03","12,443,499.80","18,325,943.42","21,829,758.47","38,852,518.93","4,183,778.82","9,766,780.41","14,117,197.40","44,047,323.27","19,987,844.06","36,841,224.37","64,845,028.19","130,350,908.21"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,451,341.59","15,309,378.46","3,093,667.49","6,742,362.66","49,839,066.90","56,854,527.07"
支付其他与经营活动有关的现金,"16,534,731.65","10,987,421.72","7,088,028.18","7,618,990.94","10,884,005.17","2,349,681.11","5,324,584.94","25,402,235.41","15,867,902.76","2,965,185.54","6,600,694.26","10,696,248.14","15,702,118.60","4,549,702.74","8,543,724.83","12,674,839.27","17,752,349.85","3,621,757.31","7,044,611.23","13,997,052.28","20,131,875.73","8,332,942.28","17,445,798.29","26,193,618.09","37,648,788.82","7,013,778.73","15,868,257.11","24,156,040.41","48,189,394.38","19,083,484.90","50,496,951.06","69,593,242.70","177,979,430.69"
筹资活动现金流入小计,"56,500,000.00","31,251,899.99","52,386,855.00","53,744,594.00","92,642,894.00","353,635,350.00","354,000,000.00","354,000,000.00","325,413,650.22",,,,,,,,,,,"84,021,723.08","136,457,148.60","27,418,200.00","94,938,530.53","214,367,588.51","291,016,819.28","80,539,656.00","198,528,754.00","643,039,918.20","699,243,993.21","1,788,561,123.74","2,971,150,237.47","4,263,990,918.66","5,166,455,351.88"
经营活动现金流出小计,"111,299,895.60","155,026,424.60","185,080,611.26","90,742,848.50","212,106,258.83","71,730,256.25","150,741,270.78","252,832,299.62","292,552,465.63","73,443,693.98","144,041,564.74","221,431,724.85","326,175,333.86","104,493,412.29","188,643,949.29","283,624,606.52","386,494,245.79","84,487,819.01","212,557,779.29","374,218,246.93","634,606,006.03","246,405,441.77","475,020,449.29","755,673,396.03","1,062,307,336.80","312,142,517.33","678,554,650.62","1,041,036,361.51","1,693,646,591.84","1,116,459,181.87","3,322,941,894.16","5,863,052,774.10","7,733,883,386.70"
偿还债务支付的现金,"28,000,000.00","20,999,999.99","52,694,251.00","50,130,048.00","80,362,548.00",,"59,224,850.00","58,776,250.00","58,776,250.00",,,,,,,,,,,"12,298,694.70","27,450,090.06","19,399,494.00","78,475,488.56","156,063,354.16","233,095,515.54","36,159,470.37","118,749,603.46","251,306,777.38","362,913,823.87","345,613,012.34","1,506,934,616.62","2,824,186,683.58","3,785,111,408.22"
经营活动产生的现金流量净额,"-6,812,056.05","-16,054,767.86","18,908,428.63","37,925,340.50","46,690,324.32","-17,421,112.30","-21,443,034.38","-59,355,833.22","-28,750,461.21","-2,132,085.73","7,024,059.17","10,005,582.53","3,427,165.55","-22,985,703.14","-23,788,469.76","-16,718,997.95","-16,932,251.74","6,529,613.86","-4,852,884.61","12,392,393.93","26,531,544.03","-38,035,891.68","-35,889,834.92","-89,086,670.68","-81,269,571.53","-45,740,039.04","-43,475,305.77","-29,968,636.39","873,390.89","-190,725,013.04","-129,373,342.78","-64,597,930.39","21,038,855.01"
分配股利、利润或偿还利息支付的现金,"1,703,384.12","1,490,564.33","2,204,877.81","1,082,024.20","1,587,733.03","194,999.11","766,638.71","734,933.29","766,638.71",,"20,010,000.00","20,010,000.00","20,010,000.00",,"29,032,642.50","30,015,000.00","30,015,000.00",,,"1,110,754.07","3,441,286.98","2,165,128.90","4,262,589.34","5,728,534.35","8,053,834.43","2,882,078.72","5,646,631.44","8,547,861.57","7,990,672.05","2,881,859.00","10,008,913.54","17,205,509.73","22,833,018.75"
收回投资收到的现金,,,,,,,,,,,,,"50,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,"380,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"20,534,656.80","26,066,349.78","26,054,656.80","1,801,747.65",,"56,973.18","56,973.18",,,"37,716.99","37,716.99",,,"2,750,000.00",,"5,841,739.12","30,716.00","30,716.00","1,294,416.00","7,400,377.46","213,899.68","213,899.68","5,579,999.95","22,713,700.03","22,043,646.03","34,615,825.87","54,699,891.34","91,240,451.17"
取得投资收益收到的现金,,,,,,,,,,,,,"1,029,917.80",,"385,643.84","385,643.84","385,643.84",,,,,,,,,,,,"310,616.44",,,,"2,198,877.67"
筹资活动现金流出小计,"29,703,384.12","22,490,564.32","54,899,128.81","51,212,072.20","81,950,281.03","20,729,655.91","86,057,838.49","85,565,840.09","61,344,636.36",,"20,066,973.18","20,066,973.18","20,010,000.00",,"29,070,359.49","30,052,716.99","30,015,000.00",,"2,750,000.00","13,409,448.77","36,733,116.16","21,595,338.90","82,768,793.90","163,086,304.51","248,549,727.43","39,255,448.77","124,610,134.58","265,434,638.90","393,618,195.95","370,538,517.37","1,551,559,356.03","2,896,092,084.65","3,899,184,878.14"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"57,050.00",,,,,,,,,,,,,,"213,201.73","176,201.73",,,,"41,184.47",,,,269.19,,,,"719,048.95",400.00,400.00,"1,041.03","6,169.24"
筹资活动产生的现金流量净额,"26,796,615.88","8,761,335.67","-2,512,273.81","2,532,521.80","10,692,612.97","332,905,694.09","267,942,161.51","268,434,159.91","264,069,013.86",,"-20,066,973.18","-20,066,973.18","-20,010,000.00",,"-29,070,359.49","-30,052,716.99","-30,015,000.00",,"-2,750,000.00","70,612,274.31","99,724,032.44","5,822,861.10","12,169,736.63","51,281,284.00","42,467,091.85","41,284,207.23","73,918,619.42","377,605,279.30","305,625,797.26","1,418,022,606.37","1,419,590,881.44","1,367,898,834.01","1,267,270,473.74"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-63,394.87","-29,199.96","128,689.25","-135,751.85","-53,448.24","-201,952.45","-196,777.69","-1,497,384.55","-7,125.13","238,187.68","160,124.40","64,381.80","-53,117.02","-320,289.31","-463,369.45","-759,405.20","348,869.37","383,970.99","40,534.27","-283,047.15","338,832.82","-238,139.71","7,501,661.43","7,111,626.37","-1,536,754.44","5,945,830.99","8,327,771.22","2,744,242.89","-1,246,002.60","3,556,152.12","8,446,977.00","9,850,835.23"
收到其他与投资活动有关的现金,,"10,000,000.00","3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"89,000,000.00","40,245,723.15","120,832,359.59","261,804,267.81",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"10,057,050.00","3,000,000.00",,,,,,,,,,"51,029,917.80",,"30,385,643.84","30,598,845.57","30,561,845.57",,,,"41,184.47",,,,269.19,,,,"90,029,665.39","40,246,123.15","120,832,759.59","261,805,308.84","382,205,046.91"
五、现金及现金等价物净增加额,"9,669,160.49","-1,985,380.67","11,977,582.98","39,531,227.97","55,599,763.18","314,564,432.56","244,252,371.64","203,857,179.76","213,396,550.71","-3,975,685.05","-23,264,785.12","-24,343,582.85","-79,162,454.83","-32,087,256.86","-65,425,980.64","-62,744,453.49","-106,810,866.06","-14,669,868.15","-71,856,055.91","-32,765,918.99","6,657,977.40","-49,236,529.87","-43,411,742.10","-53,592,615.90","-55,484,685.39","-11,612,594.48","29,890,120.45","347,180,755.68","77,082,208.38","719,109,786.38","58,130,684.56","54,440,946.87","41,929,764.28"
购建固定资产、无形资产和其他长期资产支付的现金,"315,399.34","1,685,603.61","7,389,371.88","1,055,323.58","1,647,422.26","866,700.99","2,044,803.04","5,024,369.24","20,424,617.39","1,836,474.19","10,460,058.79","14,442,316.60","63,673,919.98","9,048,436.70","12,632,505.92","16,108,214.67","59,666,054.69","21,548,351.38","58,637,142.29","83,983,248.51","87,902,827.52","13,362,332.11","15,453,504.10","16,854,109.19","19,794,101.27","5,620,008.23","6,349,024.19","8,633,658.45","20,059,140.86","1,187,927.50","4,399,513.88","7,035,990.66","12,304,542.12"
期初现金及现金等价物余额,"2,320,282.98","11,989,443.47","10,004,062.80","21,981,645.78","21,981,645.78","77,581,408.96","77,581,408.96","77,581,408.96","77,581,408.96","290,977,959.67","290,977,959.67","290,977,959.67","290,977,959.67","211,815,504.84","211,815,504.84","211,815,504.84","211,815,504.84","105,004,638.78","105,004,638.78","105,004,638.78","105,004,638.78","111,656,816.18","111,662,616.18","111,662,616.18","111,662,616.18","56,270,680.79","56,177,930.79","56,177,930.79","56,177,930.79","192,683,887.24","133,260,139.17","133,260,139.17","133,260,139.17"
投资支付的现金,,,,,,,,,,,,,"50,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,"6,000,000.00","6,000,000.00","6,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00",,,,,,,,"771,000,000.00"
期末现金及现金等价物余额,"11,989,443.47","10,004,062.80","21,981,645.78","61,512,873.75","77,581,408.96","392,145,841.52","321,833,780.60","281,438,588.72","290,977,959.67","287,002,274.62","267,713,174.55","266,634,376.82","211,815,504.84","179,728,247.98","146,389,524.20","149,071,051.35","105,004,638.78","90,334,770.63","33,148,582.87","72,238,719.79","111,662,616.18","62,420,286.31","68,250,874.08","58,070,000.28","56,177,930.79","44,658,086.31","86,068,051.24","403,358,686.47","133,260,139.17","911,793,673.62","191,390,823.73","187,701,086.04","175,189,903.45"
