科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
收回投资收到的现金,,,,,,,,,,"483,000,000.00",,,,"812,000,000.00","160,000,000.00","210,000,000.00"
支付其他与筹资活动有关的现金,"2,208,151.75","867,674.80","1,921,464.65",,"436,604.50","436,604.50","6,348,604.52",,,"132,130.02",,"13,464.00","13,464.00","22,744.00",,"10,646.40"
取得投资收益收到的现金,,,,,,,,"53,528.78","1,095,891.30","4,476,928.11","2,384,469.57","3,885,969.57","5,674,850.86","8,439,576.89","1,211,219.18","1,778,342.47"
筹资活动现金流出小计,"51,077,449.07","86,936,536.28","96,799,997.97",,"42,424,904.48","62,537,954.48","68,449,954.50",,"20,158,539.41","20,292,130.02",,"17,965,464.03","17,965,464.03","17,974,744.03",,"18,596,246.02"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"2,300.00",,,,,"1,200.00","1,200.00","5,800.00","5,500.00","5,500.00","5,500.00","8,500.00",,"180,000.00"
筹资活动产生的现金流量净额,"19,192,667.93","-35,936,536.28","-51,799,997.97","-13,440,799.98","-20,924,904.48","-41,037,954.48","264,848,845.50",,"-20,158,539.41","-20,292,130.02",,"-17,965,464.03","-3,795,864.03","-3,805,144.03",,"-18,596,246.02"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-37,516.43","-910,816.92","325,413.14","357,708.03","469,239.83","903,207.79","1,004,077.76","24,737.04","124,430.22","334,943.78","5,241.06","-310,037.96","-1,171,820.37","-1,251,306.82","-53,624.40","50,723.48"
收到其他与投资活动有关的现金,"1,400,000.00","4,300,000.00","800,000.00",,"500,000.00","1,150,000.00","1,250,000.00","14,250,000.00","151,250,000.00","2,250,000.00","102,000,000.00","212,000,000.00","412,000,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,400,000.00","4,300,000.00","802,300.00",,"500,000.00","1,150,000.00","1,250,000.00","14,304,728.78","152,347,091.30","489,732,728.11","104,389,969.57","215,891,469.57","417,680,350.86","820,448,076.89","161,211,219.18","211,958,342.47"
五、现金及现金等价物净增加额,"62,280,900.64","-10,192,655.37","-2,564,274.81","1,117,632.43","-3,587,285.57","-5,938,030.31","288,279,185.85","-270,995,889.65","-279,463,337.64","-212,763,141.61","55,381,417.75","-26,852,084.54","-4,174,485.39","213,795,982.44","-59,211,791.81","-258,070,936.11"
购建固定资产、无形资产和其他长期资产支付的现金,"16,354,048.92","40,859,540.88","23,836,885.55",,"19,059,513.41","35,029,691.38","42,360,963.59","10,816,338.42","22,287,214.39","47,901,718.04","53,352,778.85","57,915,528.35","60,955,889.12","75,008,053.32","7,209,666.17","21,096,710.67"
期初现金及现金等价物余额,"8,957,286.09","71,238,186.73","61,045,531.36",,"58,481,256.55","58,481,256.55","58,481,256.55","346,760,442.40","346,760,442.40","346,760,442.40","133,997,300.79","133,997,300.79","133,997,300.79","133,997,300.79","347,793,283.23","347,793,283.23"
投资支付的现金,,,,,,,,,,"695,000,000.00",,,,"600,000,000.00","210,000,000.00","440,000,000.00"
期末现金及现金等价物余额,"71,238,186.73","61,045,531.36","58,481,256.55","59,598,888.98","54,893,970.98","52,543,226.24","346,760,442.40","75,764,552.75","67,297,104.76","133,997,300.79","189,378,718.54","107,145,216.25","129,822,815.40","347,793,283.23","288,581,491.42","89,722,347.12"
