科目,2012年度,2013年度,2014年度,2015年1-6月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与经营活动有关的现金,"31,959,203.48","36,636,587.07","39,346,822.81","23,998,106.19","57,481,680.22","10,308,699.52","28,834,367.04","38,836,825.55","66,581,679.35","9,550,693.03","24,760,625.98","17,158,575.65","67,278,840.89","30,984,779.06"
筹资活动现金流入小计,"117,846,951.85","152,177,110.94","241,326,653.84","179,660,418.17","739,145,987.82","129,329,625.72","246,353,283.42","340,272,715.56","393,671,588.69","122,922,414.57","194,542,839.45","403,140,912.79","557,882,705.07","107,511,937.79"
经营活动现金流出小计,"574,502,187.55","807,948,570.95","859,170,284.82","330,878,898.91","951,135,823.50","363,772,125.71","571,636,104.32","910,187,393.55","1,233,247,431.82","304,719,151.46","550,032,400.93","895,474,795.39","1,222,701,095.16","359,910,915.27"
偿还债务支付的现金,"109,872,069.42","34,369,593.76","220,076,873.74","131,419,586.00","229,589,586.00","166,606,098.00","212,630,949.12","306,026,580.80","354,640,592.48","82,978,829.59","91,929,124.52","253,079,124.52","461,261,829.59","87,100,000.00"
经营活动产生的现金流量净额,"169,029,638.82","100,448,145.96","168,136,519.95","65,380,238.13","19,625,451.57","-40,385,098.69","27,987,393.29","47,579,476.18","47,932,165.59","75,801,666.00","28,082,090.30","33,053,192.20","154,543,349.78","12,441,545.22"
分配股利、利润或偿还利息支付的现金,"8,897,857.00","11,223,613.70","15,634,458.40","5,541,621.96","12,387,692.81","3,554,250.65","13,755,867.80","16,965,451.25","18,951,944.10","3,019,183.35","16,047,300.12","20,267,992.82","26,022,446.69","4,631,977.84"
收回投资收到的现金,,,,,,,"10,477,369.86","10,477,369.86","10,517,795.20",,,,,
支付其他与筹资活动有关的现金,"36,398,536.31","13,003,386.96","17,115,353.28","55,473,747.94","171,496,996.18","24,859,324.54","28,507,091.52","26,017,857.03","28,156,379.00","32,009,785.99","21,920,977.38","35,943,669.31","14,271,554.81","1,899,000.00"
取得投资收益收到的现金,,,,,,,,,,"76,031.94","122,694.29","155,897.04","240,109.19","68,720.99"
筹资活动现金流出小计,"155,168,462.73","58,596,594.42","252,826,685.42","192,434,955.90","413,474,274.99","195,019,673.19","254,893,908.44","349,009,889.08","401,748,915.58","118,007,798.93","129,897,402.02","309,290,786.65","501,555,831.09","93,630,977.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"397,594.50","1,895,434.35","1,969,948.92","69,705.12","39,800.00","11,111.11","79,594.55","1,026,669.35","221,677.20","55,000.00","232,000.00","475,072.65","2,080,215.26","81,700.01"
筹资活动产生的现金流量净额,"-37,321,510.88","93,580,516.52","-11,500,031.58","-12,774,537.73","325,671,712.83","-65,690,047.47","-8,540,625.02","-8,737,173.52","-8,077,326.89","4,914,615.64","64,645,437.43","93,850,126.14","56,326,873.98","13,880,959.95"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-258,515.14","-1,750,702.11","665,296.95","632,098.77","850,301.72","107,491.25","361,299.60","-513,402.95","976,644.81","-131,997.82","137,618.90","-391,893.84","789,462.06","-57,946.79"
收到其他与投资活动有关的现金,"8,078,040.75","3,520,000.00",,"1,955,000.00","4,220,000.00",,"1,150,000.00","880,000.00","4,780,000.00","2,550,000.00","12,078,800.00","12,678,800.00","20,991,919.45","20,512,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"8,475,635.25","5,415,434.35","1,969,948.92","2,024,705.12","4,259,800.00","11,111.11","11,706,964.41","12,384,039.21","15,519,472.40","2,681,031.94","12,433,494.29","13,309,769.69","23,312,243.90","20,662,421.00"
五、现金及现金等价物净增加额,"-738,101.46","2,119,054.34","-12,624,517.19","-45,264,572.40","166,327,872.03","-182,691,471.00","-147,089,840.87","-191,660,278.83","-166,564,754.31","-5,506,774.00","-6,682,032.40","8,033,160.06","53,682,988.15","1,438,396.21"
购建固定资产、无形资产和其他长期资产支付的现金,"138,393,349.51","194,924,340.38","171,896,251.43","90,527,076.69","174,079,394.09","76,734,927.20","148,604,873.15","202,373,217.75","192,915,710.22","88,772,089.76","111,442,173.32","131,249,534.13","151,288,941.57","45,478,583.17"
期初现金及现金等价物余额,"70,927,696.96","70,189,595.50","72,308,649.84","59,684,132.65","59,684,132.65","241,021,747.38","226,012,004.68","226,012,004.68","226,012,004.68","59,447,250.37","59,447,250.37","58,366,384.61","59,447,250.37","113,130,238.52"
投资支付的现金,,,,"10,000,000.00","10,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,
期末现金及现金等价物余额,"70,189,595.50","72,308,649.84","59,684,132.65","14,419,560.25","226,012,004.68","58,330,276.38","78,922,163.81","34,351,725.85","59,447,250.37","53,940,476.37","52,765,217.97","66,399,544.67","113,130,238.52","114,568,634.73"
