科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动产生的现金流量净额,"55,200,789.00","141,851,232.00","-155,665,349.00","53,526,736.00","1,651,666,068.00","1,792,620,538.00","18,346,888.00","-334,620,363.00","159,885,987.00","-403,630,632.00","521,550,278.00","1,002,463,679.00","1,300,450,414.00","1,743,702,283.00","149,309,280.00","394,008,886.00","-262,298,580.00","-524,921,121.00","-25,766,767.00","-1,163,654,394.00","-1,684,542,484.00","-2,859,120,720.00","109,151,351.00","-77,349,388.00","-230,499,230.00","-354,476,685.00","-173,339,352.00","128,155,121.00","-275,848,107.00","-500,851,530.00","137,267,717.00","-476,251,526.00","-116,499,838.00","109,499,749.00","-146,971,442.00","-313,816,942.00","-534,804,577.00","-1,261,118,081.00","-44,446,109.00","-50,404,463.00","91,894,180.00","46,290,710.00","98,810,905.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"15,500,000.00","15,500,000.00","4,461,669.00",,,,,,,,,,,,"66,000,000.00",,,,,,,,"630,282,189.00",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,"183,223,875.00","183,223,875.00","183,223,875.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"1,049,155.00","271,880.00","963,882.00","2,748,032.00","3,055,443.00","31,015.00","184,395,103.00","184,504,825.00","185,488,745.00","694,235.00","836,876.00","1,708,342.00","1,376,494.00","92,363.00","15,655,360.00","15,696,322.00","57,801,356.00","1,620,743.00","2,169,229.00","1,658,468.00","7,203,139.00","372,364.00","2,080,068.00","3,594,471.00","6,343,994.00","1,522,079.00","3,804,851.00","96,255,562.00","99,289,822.00","252,454.00","986,827.00","200,990.00","2,923,608.00","765,038.00","641,182.00","1,873,732.00","802,788,861.00","181,111,034.00","182,780,132.00","183,956,437.00","183,530,537.00","138,539.00"
五、现金及现金等价物净增加额,"-27,038,628.00","21,447,244.00","202,837,735.00","60,298,185.00","1,666,756,737.00","1,547,086,907.00","290,531,390.00","-309,049,331.00","-329,241,662.00","-585,951,139.00","971,781,395.00","456,141,627.00","3,965,812.00","-161,195,518.00","17,744,098.00","-279,546,163.00","-207,833,833.00","13,363,903.00","859,807,505.00","423,355,258.00","169,748,641.00","-388,997,891.00","789,729,181.00","216,412,070.00","365,516,045.00","454,215,952.00","361,901,035.00","759,967,657.00","573,656,458.00","326,381,947.00","445,987,633.00","-299,442,978.00","-200,207,008.00","-247,347,902.00","-61,285,856.00","-400,425,259.00","-769,304,664.00","-400,888,381.00","225,775,714.00","-36,077,843.00","-307,063,572.00","-353,368,716.00","254,632,618.00"
购建固定资产、无形资产和其他长期资产支付的现金,"51,235,917.00","271,970,948.00","60,304,764.00","277,057,762.00","438,289,009.00","712,533,845.00","39,491,660.00","363,449,437.00","889,761,995.00","1,224,118,888.00","142,356,739.00","555,741,816.00","707,026,966.00","819,735,595.00","124,475,507.00","134,404,069.00","197,944,760.00","496,173,960.00","102,333,557.00","135,366,143.00","165,621,125.00","360,561,175.00","44,055,579.00","88,264,239.00","133,431,090.00","181,851,424.00","55,217,946.00","70,409,408.00","112,988,111.00","144,230,308.00","71,278,417.00","111,177,439.00","130,208,906.00","174,766,873.00","144,056,457.00","199,769,859.00","260,594,448.00","270,222,672.00","42,971,150.00","79,748,219.00","191,986,048.00","263,811,127.00","83,333,226.00"
期初现金及现金等价物余额,"169,595,678.00","169,595,678.00","191,042,922.00","191,042,922.00","191,042,922.00","191,042,922.00","1,738,129,829.00","1,738,129,829.00","1,738,129,829.00","1,738,129,829.00","1,152,178,690.00","1,152,178,690.00","1,152,178,690.00","1,152,178,690.00","990,983,172.00","990,983,172.00","990,983,172.00","990,983,172.00","1,004,347,075.00","1,004,347,075.00","1,004,347,075.00","1,004,347,075.00","615,349,184.00","615,349,184.00","615,349,184.00","615,349,184.00","1,069,565,136.00","1,069,565,136.00","1,069,565,136.00","1,069,565,136.00","1,395,947,083.00","1,395,947,083.00","1,395,947,083.00","1,395,947,083.00","1,148,599,181.00","1,148,599,181.00","1,148,599,181.00","1,148,599,181.00","747,710,800.00","747,710,800.00","747,710,800.00","747,710,800.00","394,342,084.00"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,"33,000,000.00",,,,,,,,"450,000,000.00",,,,,,,,,,,,,
期末现金及现金等价物余额,"142,557,050.00","191,042,922.00","393,880,657.00","251,341,107.00","1,857,799,659.00","1,738,129,829.00","2,028,661,219.00","1,429,080,498.00","1,408,888,167.00","1,152,178,690.00","2,123,960,085.00","1,608,320,317.00","1,156,144,502.00","990,983,172.00","1,008,727,270.00","711,437,009.00","783,149,339.00","1,004,347,075.00","1,864,154,580.00","1,427,702,333.00","1,174,095,716.00","615,349,184.00","1,405,078,365.00","831,761,254.00","980,865,229.00","1,069,565,136.00","1,431,466,171.00","1,829,532,793.00","1,643,221,594.00","1,395,947,083.00","1,841,934,716.00","1,096,504,105.00","1,195,740,075.00","1,148,599,181.00","1,087,313,325.00","748,173,922.00","379,294,517.00","747,710,800.00","973,486,514.00","711,632,957.00","440,647,228.00","394,342,084.00","648,974,702.00"
