科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与经营活动有关的现金,"46,645,457.27","52,182,738.62","46,138,297.69","26,800,518.19",,"67,061,398.37","25,216,393.97","55,575,323.01","87,201,693.59","114,221,614.82","38,137,442.32","61,915,394.14"
筹资活动现金流入小计,"250,167,720.00","232,649,000.00","240,900,000.00","93,300,000.00",,"267,700,000.00","317,100,000.00","422,600,000.00","448,050,000.00","543,107,300.00",,
经营活动现金流出小计,"454,093,651.72","376,971,356.97","402,518,730.67","255,513,125.71",,"716,575,185.99","365,120,410.05","738,512,749.76","1,252,808,661.00","1,750,654,391.33","404,832,763.29","944,805,970.67"
偿还债务支付的现金,"258,900,000.00","224,900,000.00","294,800,000.00","17,900,000.00",,"155,500,000.00","225,100,000.00","304,600,000.00","355,550,000.00","373,550,000.00",,
经营活动产生的现金流量净额,"80,013,061.65","75,150,984.23","145,650,468.59","43,779,533.42","53,206,663.44","64,361,470.12","-34,537,166.77","-38,671,054.61","13,212,287.99","54,774,596.52","42,246,266.66","35,001,612.91"
分配股利、利润或偿还利息支付的现金,"17,988,521.76","18,069,230.64","51,146,898.04","37,928,996.61",,"42,206,620.14","4,043,437.22","27,702,030.99","29,787,189.95","29,772,508.71",,"67,433,000.00"
收回投资收到的现金,"5,050,000.00",,,,,,,,"50,000,000.00","86,247,575.34","48,500,000.00","69,350,739.73"
支付其他与筹资活动有关的现金,"6,825,000.00","23,447,720.00","11,000,000.00","20,150,000.00",,"16,133,820.00","29,054.00",,,,,
取得投资收益收到的现金,"29,591.92",,,,,,,,"990,205.48","1,892,043.00","621,369.86","1,033,359.11"
筹资活动现金流出小计,"283,713,521.76","266,416,950.64","356,946,898.04","75,978,996.61",,"213,840,440.14","229,172,491.22","332,302,030.99","385,337,189.95","403,322,508.71",,"67,433,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"745,300.00","544,010.00","137,000.00",,,"342,524.28","34,075.76","34,271.84","3,626,552.55","3,136,107.78",,
筹资活动产生的现金流量净额,"-33,545,801.76","-33,767,950.64","-116,046,898.04","17,321,003.39","54,026,349.72","53,859,559.86","87,927,508.78","90,297,969.01","62,712,810.05","139,784,791.29",,"-67,433,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"966,994.23","1,588,722.23","327,673.52",,"2,364,071.82",,,,"5,728,155.55","350,427.35","350,427.35"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"5,824,891.92","1,511,004.23","1,725,722.23","327,673.52",,"2,706,596.10","34,075.76","34,271.84","54,616,758.03","97,003,881.67","49,471,797.21","70,734,526.19"
五、现金及现金等价物净增加额,"268,028.94","21,355,114.50","-22,023,851.82","-3,679,523.10","1,510,485.48","21,913,603.98","38,509,718.75","-11,407,906.98","1,077,932.57","63,740,931.59","28,868,357.89","-48,618,000.33"
购建固定资产、无形资产和其他长期资产支付的现金,"46,974,122.87","21,538,923.32","53,353,144.60","65,107,733.43",,"99,014,022.10","14,914,699.02","13,069,093.22","44,463,923.50","26,458,337.89","13,849,705.98","8,955,139.43"
期初现金及现金等价物余额,"12,537,952.96","12,805,981.90","34,161,096.40","12,137,244.58",,"12,137,244.58","34,050,848.56","34,050,848.56","34,050,848.56","35,362,042.72","99,102,974.31","99,102,974.31"
投资支付的现金,"5,050,000.00",,,,,,,"50,000,000.00","85,000,000.00","133,500,000.00","49,000,000.00","65,500,000.00"
期末现金及现金等价物余额,"12,805,981.90","34,161,096.40","12,137,244.58","8,457,721.48",,"34,050,848.56","72,560,567.31","22,642,941.58","35,128,781.13","99,102,974.31","127,971,332.20","50,484,973.98"
