科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"20,400,000.00","20,400,000.00","20,400,000.00","20,400,000.00","20,400,000.00","20,400,000.00","20,400,000.00","20,400,000.00","20,400,000.00"
其他流动资产,"1,326,043.31","2,535,548.67","4,352,329.86","1,899.27","1,050.00","11,337,129.12","5,860,560.58","2,699,675.30","10,048,515.33"
其他流动负债,,,,,,,,,
流动资产合计,"449,433,599.80","486,342,899.12","494,693,251.79","549,218,414.74","742,551,663.25","739,479,923.85","778,325,419.60","738,896,964.42","856,861,284.87"
流动负债合计,"441,901,699.58","425,707,135.10","431,326,312.72","470,353,507.66","499,547,752.28","505,170,823.37","547,564,985.25","538,904,312.37","670,714,654.15"
可供出售金融资产,,,,,,"5,000,000.00",,,
长期借款,"76,740,000.00","56,340,000.00","35,940,000.00","25,740,000.00","20,640,000.00","15,540,000.00","10,440,000.00","5,340,000.00","240,000.00"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,"5,825,949.97","5,627,909.64","7,448,371.62"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,"12,227,106.05","17,745,857.76","20,398,389.91","22,021,784.29","21,948,983.66","20,938,846.40","21,298,012.01","20,126,425.47","15,779,891.92"
固定资产,"123,089,839.20","187,762,729.29","373,596,564.98","371,510,261.25","367,696,793.86","365,439,132.76","366,664,605.59","401,625,556.44","399,007,076.11"
递延所得税负债,,,,,,,,,
在建工程,"48,029,213.47","194,075,670.36","20,769,836.06","26,150,841.18","28,034,201.96","33,162,970.32","40,560,427.85","4,172,528.70","4,172,528.70"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"111,471,106.05","97,852,909.20","77,472,664.06","72,889,782.90","61,813,844.50","55,203,141.79","48,413,950.33","41,945,148.97","31,825,779.18"
固定资产清理,,,,,,,,,
负债合计,"553,372,805.63","523,560,044.30","508,798,976.78","543,243,290.56","561,361,596.78","560,373,965.16","595,978,935.58","580,849,461.34","702,540,433.33"
生产性生物资产,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00"
油气资产,,,,,,,,,
资本公积,"70,253,071.57","67,654,871.07","67,654,871.07","67,654,871.07","204,499,029.55","204,499,029.55","204,499,029.55","204,499,029.55","204,499,029.55"
无形资产,"26,260,033.46","29,155,984.56","30,654,408.57","29,576,931.32","29,059,352.24","29,363,940.40","29,487,007.04","29,697,374.53","29,020,613.64"
盈余公积,"19,266,722.30","28,171,085.73","32,820,221.81","32,820,221.81","32,820,221.81","36,869,343.54","36,869,343.54","36,869,343.54","36,869,343.54"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"146,425,780.42","223,746,650.36","265,412,578.08","292,174,880.46","303,961,118.19","302,156,174.51","314,019,487.78","289,345,846.77","284,381,353.21"
长期待摊费用,"4,251,252.89","4,544,656.63","9,602,337.19","9,376,779.58","8,755,091.69","8,167,076.53","10,000,664.31","10,052,041.94","10,341,441.31"
少数股东权益,"769,017.41","150,243.47","27,982.20","-1,289.64","-44,029.25","-76,261.54","-109,586.85","-158,106.02","1,243,639.50"
递延所得税资产,"20,153,059.34","28,789,993.62","34,319,002.01","37,332,900.80","37,377,965.47","38,208,787.51","38,211,865.32","38,371,917.46","38,357,569.00"
外币报表折算价差,,,,,,,,,
其他非流动资产,"208,870,399.17","2,611,083.87","1,082,424.36","2,729,815.04","9,128,879.94","5,043,889.84","2,227,613.74","2,976,538.69","4,284,814.34"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"430,653,797.53","446,940,118.33","470,024,573.17","476,677,529.17","480,052,285.16","484,385,797.36","492,978,133.82","492,523,867.40","492,632,414.72"
所有者权益(或股东权益)合计,"326,714,591.70","409,722,973.15","455,918,848.18","482,652,653.35","661,242,351.63","663,491,756.05","675,324,617.84","650,571,370.48","646,953,266.26"
资产总计,"880,087,397.33","933,283,017.45","964,717,824.96","1,025,895,943.91","1,222,603,948.41","1,223,865,721.21","1,271,303,553.42","1,231,420,831.82","1,349,493,699.59"
负债和所有者(或股东权益)合计,"880,087,397.33","933,283,017.45","964,717,824.96","1,025,895,943.91","1,222,603,948.41","1,223,865,721.21","1,271,303,553.42","1,231,420,831.82","1,349,493,699.59"
