科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,"59,708.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"55,000,000.00","55,000,000.00",,,,,,,,"30,000,000.00","30,000,000.00","184,000,000.00","164,000,000.00","154,000,000.00","114,000,000.00","60,000,000.00","60,000,000.00","10,000,000.00",,"40,000,000.00",,"91,400,000.00","91,400,000.00","56,892,642.08","51,475,000.00",,,"212,500,000.00","212,500,000.00","210,400,000.00","386,930,000.00","507,730,000.00","834,730,000.00","513,130,000.00","505,730,000.00","627,830,000.00","515,730,000.00","559,680,000.00","514,280,000.00","596,270,000.00","603,270,000.00","664,170,000.00","673,170,000.00","642,970,000.00","643,970,000.00"
其他流动资产,,,"48,704.43",,,,,,,,,,,,"47,828.00",,,,,,"141,955.67",,,,,,,"3,151,998.48",,"5,531,715.07","5,711,187.30",,,,,"399,825,452.22","381,019,967.88","353,702,266.37","343,912,899.01","311,346,418.03","295,020,534.05","271,913,932.16","264,236,379.03","251,679,807.92","232,255,537.72"
其他流动负债,"7,956,303.37","8,652,816.14","10,491,517.42","10,221,314.68","11,245,941.41","1,110,601.37","2,751,260.49","3,672,911.83","1,983,724.10","1,221,883.10","3,250,239.50","4,635,050.00","5,440,124.66","5,041,394.76","2,675,511.79","10,923,502.55","5,849,072.99","6,746,646.15","8,623,839.08","2,380,179.39","6,300,000.93","3,799,088.53","4,262,962.25","8,005,666.67","10,827,069.98","9,694,566.11","7,125,904.78","8,755,665.55","7,804,476.22","9,750,902.99","4,864,000.00","5,114,000.00","5,114,000.00","5,114,000.00","6,714,000.00","6,235,069.57","6,235,069.57","6,235,069.57","6,235,069.57","8,289,627.48","8,289,627.48","8,289,627.48","8,289,627.48","8,339,627.52","8,339,627.52"
流动资产合计,"379,488,313.44","489,763,342.84","398,801,679.24","386,024,820.51","425,069,090.59","489,293,879.42","459,672,911.42","523,291,312.93","702,600,267.98","759,373,403.78","1,000,657,363.36","820,093,682.21","748,563,233.63","1,050,038,409.49","1,322,079,173.36","1,241,014,772.53","1,651,311,819.53","1,727,644,062.94","1,863,553,628.77","1,937,668,569.20","2,100,217,956.36","1,617,249,349.73","1,540,865,544.92","1,503,489,365.07","1,422,864,553.10","1,358,896,967.09","1,382,693,436.09","1,128,818,023.27","1,120,487,523.18","1,094,081,586.53","1,206,934,989.30","1,515,302,862.37","1,494,609,641.86","1,158,338,224.29","1,041,742,564.68","1,241,676,739.72","1,173,592,211.64","1,237,733,241.46","1,261,420,276.42","2,199,572,337.49","2,144,645,665.56","1,982,035,466.01","1,956,328,391.68","1,601,058,002.41","1,662,621,088.46"
流动负债合计,"546,627,601.72","690,127,736.23","607,373,907.85","615,115,572.52","608,035,176.28","808,583,192.01","798,556,987.39","659,115,568.02","842,551,844.73","580,430,850.80","628,106,154.28","889,303,783.29","927,891,570.43","1,345,784,466.56","1,570,023,298.66","1,781,320,717.24","1,795,882,959.33","1,444,225,727.89","1,618,656,183.06","1,629,440,702.72","1,611,740,680.77","1,305,626,866.08","1,043,753,125.86","1,001,134,446.44","730,110,490.88","654,693,042.97","680,885,312.92","823,158,486.05","795,896,547.37","804,984,231.46","920,666,104.95","964,217,787.90","1,239,011,220.43","867,428,523.62","857,751,391.15","1,348,152,887.01","1,345,567,152.20","1,377,402,517.25","1,303,136,617.83","1,206,783,444.77","1,093,269,580.61","1,105,387,777.98","1,211,448,618.29","1,280,212,706.57","1,270,432,521.74"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,350,000.00","22,350,000.00","22,044,922.74","22,044,922.74","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00"
长期借款,"2,500,000.00","248,000,000.00","303,000,000.00","302,300,000.00","342,300,000.00","342,300,000.00","343,300,000.00","562,300,000.00","562,300,000.00","895,300,000.00","1,103,300,000.00","945,300,000.00","991,300,000.00","1,077,300,000.00","1,349,300,000.00","1,359,300,000.00","1,818,300,000.00","2,652,200,000.00","2,724,700,000.00","2,840,050,000.00","3,151,850,000.00","3,073,550,000.00","3,371,400,000.00","3,478,300,000.00","3,700,900,000.00","3,747,800,000.00","3,741,800,000.00","3,472,800,000.00","3,467,800,000.00","3,396,200,000.00","6,671,700,000.00","6,581,770,000.00","6,350,670,000.00","6,528,170,000.00","6,422,383,468.04","6,186,383,468.04","6,095,140,000.00","6,083,220,000.00","6,066,190,000.00","5,786,930,000.00","5,740,330,000.00","5,468,610,000.00","5,370,680,000.00","5,089,960,000.00","5,043,360,000.00"
