科目,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
预收保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收代位追偿款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保帐款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保帐款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬,"109,501,314.44","148,345,082.17","156,479,124.06","224,861,033.48","142,086,445.80","173,006,776.96","224,467,795.43","241,345,232.60","295,900,810.60","139,398,000.94","151,969,781.03","202,446,660.83","164,590,545.78","214,638,791.37","150,629,583.20","225,322,637.11","141,360,487.54","128,367,553.91","94,004,202.28","290,096,812.31","325,266,965.13","364,703,242.79","527,294,559.87","708,821,101.47","557,670,498.50","1,709,998,366.15","1,453,570,062.75","1,476,768,598.06","696,113,827.16","954,828,907.97","999,515,150.99","1,000,181,468.37","743,655,153.62","645,608,038.29","710,471,039.51","889,464,403.44","580,146,322.20","626,730,840.17","704,345,474.35","802,446,061.81","771,597,855.94"
应收分保未决赔款准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"107,368,757.67","116,056,662.90","71,141,529.86","223,639,974.75","108,999,447.24","61,837,104.01","70,568,722.47","311,717,616.08","188,016,376.21","153,568,893.98","52,467,074.18","76,149,577.72","49,459,908.44","13,427,516.34","33,954,319.01","45,168,640.12","81,385,893.43","7,609,484.31","8,448,420.11","50,748,729.98","65,544,429.85","114,483,455.96","237,475,597.88","297,383,275.00","552,352,804.59","1,038,015,415.25","263,553,013.09","350,758,648.81","201,878,645.88","183,624,800.36","158,109,919.52","163,708,384.51","55,465,476.94","162,070,519.16","169,721,289.55","120,281,692.80","157,050,767.00","203,493,188.15","95,402,317.06","81,001,335.61","73,912,158.45"
应收分保寿险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,"159,561.64",,,,"1,260,991.47",,,,"2,533,041.09","902,222.23","2,722,749.98","19,211,388.54","48,474,474.40","54,150,608.78","58,805,150.13","84,460,084.88","223,697,731.02","282,930,205.75","422,509,350.18","447,012,123.70","410,529,570.73","528,540,636.88","473,645,965.19","567,658,616.76","341,155,812.48","444,799,520.99","288,847,702.98","158,967,413.31","285,683,496.85","450,970,045.71","338,998,785.76","274,864,540.77","323,901,240.46",
应收分保长期健康险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理业务负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户质押贷款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,"3,300,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,354,197.10","64,180,032.69",,,,,,,,,
定期存款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付赔付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保单红利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存出保证金,"50,190,115.04","81,115,348.30","105,298,513.62","125,034,295.74","147,923,567.57","134,632,306.50","141,491,342.60","157,782,185.91","220,160,350.49","163,314,627.04","134,186,068.26","131,546,844.69","105,537,081.88","153,668,525.85","128,317,079.79","116,728,391.24","104,735,678.30","173,777,443.44","275,772,356.00","235,133,260.08","363,784,486.19","425,491,366.38","703,636,055.49","807,350,455.99","1,078,191,598.41","955,655,774.86","1,296,527,626.29","998,317,476.91","1,119,262,183.03","1,181,175,564.76","1,076,535,489.77","625,158,757.97","559,094,053.20","389,585,818.58","301,897,134.35","307,274,690.77","229,834,978.60","227,178,898.37","217,853,337.03","583,244,152.71","526,752,985.89"
保户储金及投资款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理业务资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
