科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
经营活动现金流出小计,"412,769,911.82","475,218,239.48","420,875,851.04","92,757,154.07","194,362,436.69","319,765,072.61","437,887,793.35","113,100,723.22","250,215,804.45","389,123,029.15","533,521,493.86","140,063,902.47","301,343,909.97"
偿还债务支付的现金,"392,149,619.21","472,317,735.92","331,371,001.48","25,505,772.39","189,505,772.39","192,141,950.77","193,494,840.36",,,,"72,037,467.36","42,143,081.42","42,143,081.42"
经营活动产生的现金流量净额,"59,108,772.96","102,833,214.38","66,008,997.75","44,138,016.77","58,792,562.93","69,365,054.67","67,835,750.73","15,743,481.18","11,866,522.10","20,587,984.27","23,885,079.43","22,383,480.87","33,430,890.85"
分配股利、利润或偿还利息支付的现金,"39,516,123.48","38,512,895.56","82,160,017.25","1,387,109.38","2,476,205.63","2,341,387.30","2,405,197.45",,"50,000,886.87","50,049,678.25","50,000,000.00",,"17,056,310.00"
收回投资收到的现金,,,,,,,"122,119,835.34",,"383,797,916.00","498,387,325.86","560,720,918.18","180,644,008.15",
支付其他与筹资活动有关的现金,"2,000,000.02","1,933,962.26","1,367,924.52","474,528.30","15,951,343.20","15,951,343.20","15,951,613.20",,,,"111,570,460.00","37,459.08",
取得投资收益收到的现金,"772,819.97","422,805.02","1,167,818.82",,"237,078.39","1,010,533.10",,"1,136,632.09",,,,"1,758,500.88","490,957,851.45"
筹资活动现金流出小计,"433,665,742.71","512,764,593.74","414,898,943.25","27,367,410.07","207,933,321.22","210,434,681.27","211,851,651.01",,"50,000,886.87","50,049,678.25","233,607,927.36","42,180,540.50","59,199,391.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,"309,773.58","21,300.00",608.02,,"275,396.60","81,433.92","489,135.71","-138,708.30","392,561.20","1,214,540.79","301,989.28",,"81,388.35"
筹资活动产生的现金流量净额,"18,997,347.56","-77,027,120.93","-93,993,867.74","-356,478.04","205,079,510.81","202,578,150.76","202,315,109.59",,"-50,000,886.87","-50,049,678.25","-49,022,378.58","-1,013,326.18","-18,033,931.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"820,663.06",,,,"1,764,500.88",,,,"-2,756,162.56","-446,464.67","-1,343,188.12"
收到其他与投资活动有关的现金,"50,000.00","4,680,000.00","115,000.00",,,,"6,632,000.00",,,,"1,265,813.16",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"1,132,593.55","5,124,105.02","1,283,426.84",,"512,474.99","1,091,967.02","129,240,971.05","997,923.79","384,190,477.20","499,601,866.65","562,288,720.62","182,402,509.03","491,039,239.80"
五、现金及现金等价物净增加额,"20,833,569.29","10,907,987.67","-35,778,294.37","41,759,391.67","261,111,596.16","268,273,466.88","52,350,140.28","13,507,135.66","25,925,070.20","11,389,021.60","-2,563,338.94","-8,942,431.95","17,810,573.65"
购建固定资产、无形资产和其他长期资产支付的现金,"58,405,144.78","19,501,450.80","9,897,514.28","1,962,240.16","3,272,952.57","4,761,705.57","13,006,191.97","3,234,269.31","4,131,042.23","10,501,151.07","15,468,030.37","2,168,631.00","14,608,398.20"
期初现金及现金等价物余额,"16,280,786.59","37,114,355.88","48,022,343.55","12,244,049.18","12,244,049.18","12,244,049.18","12,244,049.18","64,594,189.46","64,594,189.46","64,594,189.46","64,594,189.46","62,030,850.52","62,030,850.52"
投资支付的现金,,,,,,,"335,800,000.00",,"316,000,000.00","448,250,000.00","520,223,000.00","210,100,000.00","472,674,039.26"
期末现金及现金等价物余额,"37,114,355.88","48,022,343.55","12,244,049.18","54,003,440.85","273,355,645.34","280,517,516.06","64,594,189.46","78,101,325.12","90,519,259.66","75,983,211.06","62,030,850.52","53,088,418.57","79,841,424.17"
