科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月
取得借款收到的现金,"908,100,000.00","4,706,360,000.00","6,753,260,000.00","8,889,114,600.00","5,867,987,000.00","7,935,411,000.00","11,858,710,070.00","16,143,795,670.00","6,561,746,000.00","7,741,746,000.00","10,504,232,510.00","13,767,061,510.00","4,353,948,500.00","8,231,775,500.00","14,368,277,485.22","19,905,996,485.22","3,792,327,300.00","8,892,136,000.00","15,503,988,340.00","24,645,968,532.37","5,899,983,632.11","12,388,142,292.01","26,526,246,014.81","37,890,220,259.48","2,982,402,373.53","8,403,631,287.81","21,088,778,159.80","30,640,343,586.79","4,492,400,624.28","12,105,945,901.38","27,598,836,867.13","72,642,412,356.83","19,027,663,938.98","34,878,876,311.07","62,511,847,131.61","86,886,999,406.29","7,939,127,965.20","21,741,730,722.16","36,014,063,905.94"
支付的各项税费,"1,402,938,581.54","3,031,217,375.11","4,658,288,353.26","6,562,215,862.22","1,559,671,606.34","3,119,804,451.88","5,191,287,395.96","7,690,292,552.29","167,182,626.43","383,799,069.48","596,845,761.23","2,944,801,918.97","473,752,502.23","920,918,932.69","1,223,594,512.82","1,731,889,205.76","678,961,827.35","1,735,038,723.25","2,411,616,284.29","2,813,771,036.83","706,994,155.76","952,329,927.86","1,186,463,344.95","1,953,360,358.15","1,151,971,896.53","1,825,589,722.88","2,167,153,373.60","2,787,033,368.21","507,036,368.39","1,360,699,926.01","2,062,874,050.24","3,195,326,478.13","524,075,934.20","1,355,163,395.91","2,009,071,750.38","2,781,762,204.52","99,205,380.56","587,208,173.35","949,224,413.91"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"5,413.48",,,,,,,,,,"3,000,000.00",,,,"3,870,013,691.20","10,843,900,000.00","1,000,000,000.00","1,975,477,083.36","4,183,095,486.16"
支付其他与经营活动有关的现金,"187,649,077.55","398,536,152.77","604,961,203.63","912,466,421.08","337,748,676.33","282,772,274.15","535,396,628.01","1,007,047,302.36","226,617,433.07","230,340,591.28","377,799,739.72","941,066,923.11","146,640,671.29","328,637,914.04","482,072,089.75","752,202,964.60","167,973,235.88","720,080,759.93","1,093,897,871.34","1,136,952,052.47","569,627,330.26","638,218,701.10","968,620,286.90","1,043,380,648.63","222,750,749.39","467,166,175.34","750,557,594.43","936,638,151.98","179,754,397.91","391,247,905.96","698,347,879.41","1,265,417,611.17","288,350,652.07","457,453,819.03","697,656,510.90","1,031,533,690.15","258,990,320.07","395,916,080.29","524,131,308.28"
筹资活动现金流入小计,"8,250,600,000.00","12,048,860,000.00","14,095,760,000.00","16,372,974,462.00","5,867,987,000.00","7,935,411,000.00","11,858,710,070.00","16,143,795,670.00","6,561,746,000.00","7,743,205,350.14","10,532,470,948.14","13,795,299,948.14","4,353,948,500.00","8,231,775,500.00","14,368,277,485.22","19,905,996,485.22","3,792,327,300.00","17,230,324,953.29","23,842,177,293.29","32,984,157,485.66","13,056,789,045.59","19,544,942,292.01","33,716,046,014.81","45,080,020,259.48","2,984,902,373.53","8,403,631,287.81","21,092,181,055.80","30,643,746,482.79","4,492,400,624.28","12,125,745,901.38","27,621,636,867.13","72,712,212,356.83","19,027,663,938.98","34,878,876,311.07","73,334,260,822.81","97,730,899,406.29","8,939,127,965.20","23,717,207,805.52","40,197,159,392.10"
经营活动现金流出小计,"8,211,149,902.08","17,918,455,329.84","27,476,558,837.25","40,852,777,787.55","12,575,430,588.39","29,691,645,007.56","45,373,192,423.09","64,419,226,742.74","6,203,692,024.04","13,555,455,300.21","19,385,215,163.18","45,705,995,829.67","9,910,731,836.01","17,752,446,894.01","24,163,407,159.40","61,994,565,297.65","8,993,045,506.59","24,679,967,118.31","34,501,772,825.04","94,329,971,954.34","6,165,928,633.28","18,930,821,088.63","26,820,332,884.85","91,559,071,803.88","8,630,237,613.58","15,765,234,905.76","25,236,670,380.18","88,006,739,455.49","8,253,984,071.41","16,108,024,685.28","25,976,611,260.14","96,830,211,736.80","17,710,773,036.68","30,171,017,575.07","49,080,894,415.92","67,726,241,115.04","11,946,809,197.77","32,014,591,350.83","51,635,020,540.80"
偿还债务支付的现金,"10,000,000.00","5,017,315,553.93","5,465,315,553.93","6,737,010,173.04","1,787,000,000.00","5,725,938,700.03","7,469,075,200.03","8,749,440,941.27","6,236,318,000.00","8,716,999,992.55","11,643,433,042.55","15,279,599,641.77","5,051,404,925.00","8,075,120,402.04","15,965,822,387.26","21,162,395,797.38","3,871,655,850.87","10,251,986,750.87","16,285,121,485.87","22,009,353,332.37","13,215,584,196.78","17,982,673,744.06","31,933,579,499.32","42,821,089,337.73","3,233,158,789.51","8,920,760,797.32","21,547,136,270.83","30,360,787,981.21","4,613,564,636.97","12,818,194,372.77","28,565,545,855.02","75,524,992,561.45","18,802,752,519.36","35,497,434,284.22","68,681,897,243.10","83,021,687,095.65","9,440,251,238.34","21,156,993,621.43","34,996,012,890.90"
经营活动产生的现金流量净额,"1,796,078,591.85","4,100,041,676.25","5,767,856,517.95","9,845,765,292.67","913,870,704.40","5,323,454,935.01","5,230,416,198.54","10,091,734,305.69","1,008,027,128.60","5,288,032,710.76","6,298,001,534.20","7,933,834,301.88","1,028,606,479.04","988,330,723.08","3,436,298,403.25","5,729,143,386.70","78,477,380.42","223,131,715.37","-298,857,835.43","755,296,758.72","865,702,606.24","450,786,604.97","1,006,884,304.18","3,854,637,916.78","778,503,844.44","1,697,509,122.88","2,158,988,916.91","4,228,154,479.77","380,536,461.12","1,516,250,972.44","2,813,591,354.04","7,704,041,191.64","638,512,688.74","2,261,807,603.04","-239,031,629.33","-2,699,984,040.66","551,670,575.32","3,151,102,095.73","3,583,744,624.10"
分配股利、利润或偿还利息支付的现金,"84,048,053.75","198,906,448.58","2,557,418,870.14","3,035,398,265.33","210,177,105.38","3,422,962,903.60","3,560,238,491.30","4,034,917,385.57","256,079,027.22","2,294,476,041.71","2,433,641,294.04","2,800,010,420.72","218,039,155.26","1,246,217,745.62","1,398,981,265.42","1,650,199,475.95","227,097,149.95","1,583,320,128.73","1,931,389,888.07","2,298,465,156.64","436,797,486.50","1,353,077,935.62","1,710,841,897.99","2,104,735,899.27","661,750,514.01","1,024,649,967.20","1,401,458,020.24","1,745,632,701.70","656,016,870.85","1,075,888,583.72","1,555,029,856.34","2,295,823,423.93","636,404,891.20","1,491,599,135.45","1,884,146,384.78","2,249,289,373.52","262,506,488.82","876,994,295.87","1,200,583,253.55"
收回投资收到的现金,,,,,,,"1,458,561,278.63",,,"235,550,108.08","444,805,367.48","680,692,665.85",,,"50,000,000.00","50,000,000.00",,,,,,,,"11,131,421.05",,,,"911,000.00","20,118,220.00","20,118,220.00","20,118,220.00","20,150,223.29",,,"1,215,307.88",,,,
支付其他与筹资活动有关的现金,,"4,024,000.00","4,024,000.00",,,,,"17,371,662.02",,,,,,,,,,"24,347,200.00","26,304,500.00","24,347,200.00","-675,792,853.34","23,558,800.00","22,910,453.34","22,910,453.34","22,684,000.00","22,684,000.00","22,684,000.00","22,684,000.00","13,005,440.00","13,005,440.00","13,005,440.00","13,510,440.00",,,,"7,200,000,000.00","176,581,400.02","1,358,283,012.52","2,379,283,029.20"
取得投资收益收到的现金,"12,136,507.41","12,136,507.41","12,136,507.41","14,136,507.41",,"34,237,968.91","60,018,379.41","63,284,855.44",,"12,356,582.10","73,136,968.34","73,136,968.34",,"49,296,331.86","56,297,331.86","56,837,331.86",,"50,774,654.00","109,150,083.07","109,690,083.07","3,511.75",,"57,603,176.24","72,042,730.38",,,"43,850,500.00","43,850,500.00",,,"24,455,284.10","251,204,323.23","68,760,000.00","74,860,097.50","114,866,471.86","144,910,310.11","99,460,844.89","102,424,698.64","123,878,988.64"
筹资活动现金流出小计,"94,048,053.75","5,220,246,002.51","8,026,758,424.07","9,772,408,438.37","1,997,177,105.38","9,148,901,603.63","11,029,313,691.33","12,801,729,988.86","6,492,397,027.22","11,011,476,034.26","14,077,074,336.59","18,079,610,062.49","5,269,444,080.26","9,321,338,147.66","17,364,803,652.68","22,812,595,273.33","4,098,753,000.82","11,859,654,079.60","18,242,815,873.94","24,332,165,689.01","12,976,588,829.94","19,359,310,479.68","33,667,331,850.65","44,948,735,690.34","3,917,593,303.52","9,968,094,764.52","22,971,278,291.07","32,129,104,682.91","5,282,586,947.82","13,907,088,396.49","30,133,581,151.36","77,834,326,425.38","19,439,157,410.56","36,989,033,419.67","70,566,043,627.88","92,470,976,469.17","9,879,339,127.18","23,392,270,929.82","38,575,879,173.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,420.00","8,420.00","9,086.90","55,398,601.79","-1,211,512.00","651,338.00","859,207.81","31,494,377.65",,,,"19,121,239.50","2,900.00","7,712.21","7,712.21","7,712.21",,"139,119.00","140,198.40","140,898.40",600.00,"274,070.00","274,070.00","760,391,847.00",,"3,420,000.00","3,800,766.00","228,801,269.10",,,,"5,945.55",,,"428,017.61","5,079,229.69",,,"110,197,702.50"
筹资活动产生的现金流量净额,"8,156,551,946.25","6,828,613,997.49","6,069,001,575.93","6,600,566,023.63","3,870,809,894.62","-1,213,490,603.63","829,396,378.67","3,342,065,681.14","69,348,972.78","-3,268,270,684.12","-3,544,603,388.45","-4,284,310,114.35","-915,495,580.26","-1,089,562,647.66","-2,996,526,167.46","-2,906,598,788.11","-306,425,700.82","5,370,670,873.69","5,599,361,419.35","8,651,991,796.65","80,200,215.65","185,631,812.33","48,714,164.16","131,284,569.14","-932,690,929.99","-1,564,463,476.71","-1,879,097,235.27","-1,485,358,200.12","-790,186,323.54","-1,781,342,495.11","-2,511,944,284.23","-5,122,114,068.55","-411,493,471.58","-2,110,157,108.60","2,768,217,194.93","5,259,922,937.12","-940,211,161.98","324,936,875.70","1,621,280,218.45"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-98,984.44","-257,161.61","-397,051.57","-697,450.26","-1,223,587.84","-3,346,699.87","-3,948,800.49","-303,297.17","-140,786.19","-159,012.52","-172,143.46","-409,430.77","-168,178.52","-178,746.96","-184,882.12","-54,438.04","-70,544.56","-597,207.32","-2,207,566.76","-3,183,382.54","126,513.04","-27,735.67","-143,732.62","457,932.93","1,727.95","-241,595.67","-239,867.51","-5,964,999.55","100,797.00","154,516.96","-180,299.93","-10,771,844.26","-21,964,675.20","-19,684.80","-160,325,208.31","123,303,044.81","-82,190,909.02","-243,540,381.48","-41,053,461.05"
收到其他与投资活动有关的现金,,"1,711,215.89","50,981,040.74",,"10,555,054.98",,,,,,,,,,,,,,,,"40,600.00",,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"12,144,927.41","13,856,143.30","63,126,635.05","69,535,109.20","9,343,542.98","34,889,306.91","1,519,438,865.85","94,779,233.09",,"247,906,690.18","517,942,335.82","772,950,873.69","2,900.00","49,304,044.07","106,305,044.07","106,845,044.07",,"50,913,773.00","109,290,281.47","109,830,981.47","44,711.75","274,070.00","57,877,246.24","843,565,998.43",,"3,420,000.00","47,651,266.00","273,562,769.10","20,118,220.00","20,118,220.00","44,573,504.10","271,360,492.07","68,760,000.00","74,860,097.50","116,509,797.35","149,989,539.80","99,460,844.89","102,424,698.64","234,076,691.14"
五、现金及现金等价物净增加额,"8,195,793,692.09","6,493,032,692.10","4,391,269,849.90","1,691,368,846.47","1,839,115,671.94","-1,946,512,790.62","-2,837,863,780.96","-2,405,717,008.10","-407,206,368.85","-687,486,234.48","-347,836,614.88","853,828,118.70","-466,843,937.65","-1,878,433,875.50","-1,818,587,100.53","-832,386,088.80","-915,176,504.17","-1,948,946,876.79","-2,531,954,209.43","-1,697,745,726.93","658,287,515.60","155,411,832.38","251,326,095.43","-167,619,905.59","-239,013,492.85","17,085,686.47","152,043,659.17","344,920,595.20","-499,366,557.99","-529,346,405.68","-144,605,598.99","-487,114,316.89","-306,075,019.53","-686,503,940.21","1,354,332,500.80","1,435,894,807.21","-646,970,530.80","1,023,609,783.24","2,839,462,900.22"
购建固定资产、无形资产和其他长期资产支付的现金,"1,768,882,788.98","4,449,221,963.33","7,508,317,827.46","10,382,828,480.93","2,953,684,882.22","6,088,019,729.04","8,910,866,423.53","10,214,606,816.64","1,484,441,684.04","2,954,995,938.78","3,619,004,952.99","3,498,246,050.06","579,789,557.91","1,826,327,248.03","2,364,479,498.27","3,746,721,293.42","633,557,639.21","1,649,420,151.45","1,995,746,677.06","6,757,586,757.94","280,919,190.59","477,152,919.25","857,905,886.53","4,395,066,322.87","84,828,135.25","119,138,364.03","175,259,420.96","2,289,473,454.00","109,935,712.57","284,527,619.97","490,645,872.97","2,388,002,765.63","579,889,561.49","907,994,847.35","1,111,537,653.84","1,377,836,673.86","275,699,880.01","2,311,313,505.35","2,558,585,172.42"
期初现金及现金等价物余额,"2,645,699,335.60","2,645,699,335.60","2,645,699,335.60","2,944,686,658.71","4,636,055,505.18","4,636,055,505.18","4,636,055,505.18","4,636,055,505.18","2,230,338,497.08","2,230,338,497.08","2,230,338,497.08","2,230,338,497.08","3,084,166,615.78","3,084,166,615.78","3,084,166,615.78","3,084,166,615.78","2,251,780,526.98","3,479,033,529.25","3,479,033,529.25","3,479,033,529.25","1,781,287,802.32","1,781,287,802.32","1,781,287,802.32","1,781,287,802.32","1,613,667,896.73","1,613,667,896.73","1,613,667,896.73","1,613,667,896.73","1,958,588,491.93","1,958,588,491.93","1,958,588,491.93","3,518,879,930.67","3,031,765,613.78","3,031,765,613.78","3,031,765,613.78","3,031,765,613.78","4,467,660,420.99","4,467,660,420.99","4,467,660,420.99"
投资支付的现金,,,,"8,335,000.00",,,"1,502,300,000.00","1,502,300,000.00",,,,"16,274,349.00",,,,"15,000,000.00","53,600,000.00","15,000,000.00","15,000,000.00","4,454,095,123.29","4,100,000.00","4,100,000.00","4,100,000.00","602,500,000.00",,,,"376,000,000.00",,,,"500,975,088.23",,"5,000,000.00","19,500,000.00","19,500,000.00",,,
期末现金及现金等价物余额,"10,841,493,027.69","9,138,732,027.70","7,036,969,185.50","4,636,055,505.18","6,475,171,177.12","2,689,542,714.56","1,798,191,724.22","2,230,338,497.08","1,823,132,128.23","1,542,852,262.60","1,882,501,882.20","3,084,166,615.78","2,617,322,678.13","1,205,732,740.28","1,265,579,515.25","2,251,780,526.98","1,336,604,022.81","1,530,086,652.46","947,079,319.82","1,781,287,802.32","2,439,575,317.92","1,936,699,634.70","2,032,613,897.75","1,613,667,896.73","1,374,654,403.88","1,630,753,583.20","1,765,711,555.90","1,958,588,491.93","1,459,221,933.94","1,429,242,086.25","1,813,982,892.94","3,031,765,613.78","2,725,690,594.25","2,345,261,673.57","4,386,098,114.58","4,467,660,420.99","3,820,689,890.19","5,491,270,204.23","7,307,123,321.21"
