科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流出小计,"118,501,150.81","88,647,907.65","110,980,485.50","195,060,745.50","87,880,950.00","228,610,592.00","320,357,529.78","1,477,072.78","184,443,174.14","217,231,129.98","321,034,399.51","62,048,842.22","227,162,038.97","371,774,486.60","455,693,092.76","105,132,166.63","270,600,195.78","368,411,762.41","557,372,570.91","39,934,460.15","356,309,892.53","474,727,475.87","802,125,839.22","155,603,823.94","468,272,272.73","656,444,908.30","1,259,666,516.89","677,974,503.16","1,001,260,861.11","1,189,421,057.27","1,368,034,474.50","98,816,156.57","189,477,350.67","210,423,460.85","229,747,572.66","71,556,406.20","262,358,048.17","393,147,820.66","555,384,076.32","104,295,832.09"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"6,833,000.00","2,600.00","2,296,996.50",,,280.00,,"60,000.00","125,765.00","10,195,811.05",,,,"8,270,119.00","4,945.00","4,945.00","4,945.00","7,985,045.00",,,,"2,681,224.00",960.00,"27,176.00","28,347.60","3,282,363.60","1,440,039.18","4,453,637.40","5,364,059.51","8,230,933.61","509,898.89","809,803.79","1,040,681.99","4,125,083.55","269,090.74","3,612,569.61","4,460,359.17","107,156.29","190,123.50"
筹资活动产生的现金流量净额,"-49,701,150.81","46,352,092.35","51,019,514.50","86,939,254.50","112,119,050.00","682,169,408.00","590,422,470.22","-1,477,072.78","-79,443,174.14","-112,231,129.98","-216,034,399.51","177,951,157.78","67,837,961.03","86,225,513.40","180,757,762.42","-45,132,166.63","87,399,804.22","79,588,237.59","139,317,429.09","30,065,539.85","19,263,683.39","68,846,100.05","172,750,507.61","-25,603,823.94","122,727,727.27","242,555,091.70","274,130,502.11","127,709,600.39","-30,476,757.56","-188,636,953.72","-367,951,685.59","-13,816,156.57","229,360,236.07","248,414,125.89","396,690,014.08","20,443,593.80","95,490,912.33","-1,196,403.23","-169,300,658.89","-62,295,832.09"
处置子公司及其他营业单位收到的现金净额,"4,371,251.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,170,600.00",,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,731,316.69",,,"-74,216.27","-104,291.23","-101,874.52","16,356.17","107,078.49","101,550.11","-44,819.78"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,800,000.00",,"250,000.00","70,250,000.00","450,000.00",,,"40,000,000.00","41,740,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,371,251.83","6,833,000.00","2,600.00","2,296,996.50",,,280.00,,"60,000.00","125,765.00","10,195,811.05",,,,"8,270,119.00","4,945.00","4,945.00","4,945.00","7,985,045.00",,,,"10,181,224.00",960.00,"27,176.00","28,347.60","3,282,363.60","1,440,039.18","4,453,637.40","5,364,059.51","26,030,933.61","46,680,498.89","47,230,403.79","117,461,281.99","121,330,615.06","269,090.74","3,612,569.61","44,460,359.17","41,847,156.29","190,123.50"
五、现金及现金等价物净增加额,"-11,401,439.35","11,475,914.36","34,135,851.87","23,816,511.82","24,866,724.67","564,650,588.79","444,959,134.64","-36,871,188.23","-138,563,481.31","-66,205,123.16","-129,487,612.75","86,099,786.50","-6,248,134.59","-43,547,606.91","-22,099,208.81","-132,321,897.90","-64,513,911.58","-200,545,582.55","-251,469,061.59","-45,589,090.31","-42,366,922.44","7,566,497.90","64,471,339.52","-108,529,975.57","-100,064,683.42","-79,937,483.17","-126,921,415.69","207,528,972.92","141,517,996.10","128,539,667.66","27,531,019.21","-55,219,621.33","31,895,661.45","9,531,460.45","61,127,210.22","-34,453,624.81","35,344,009.98","24,868,146.71","30,706,184.19","213,939,063.00"
购建固定资产、无形资产和其他长期资产支付的现金,"79,315,578.97","128,147,511.71","69,446,647.89","171,866,993.54","111,920,980.71","182,975,601.78","258,606,091.56","37,718,028.65","105,792,379.55","171,296,083.78","169,808,699.08","73,535,905.70","129,769,689.29","199,117,205.32","217,319,706.15","70,332,808.57","110,854,071.84","177,848,362.22","217,484,459.02","22,965,421.59","38,332,414.01","71,193,619.57","118,495,017.47","14,490,315.32","28,018,664.02","48,625,057.99","67,236,984.43","39,390,801.78","65,747,844.77","104,658,603.37","188,174,505.42","70,355,787.42","84,091,926.28","117,859,557.88","186,318,942.27","19,142,126.76","56,292,693.63","83,669,119.93","183,102,853.46","25,188,483.18"
期初现金及现金等价物余额,"23,542,366.19","12,140,926.84","23,616,841.20","23,616,841.20","47,433,353.02","47,433,353.02","47,433,353.02","492,392,487.66","492,392,487.66","492,392,487.66","492,392,487.66","362,904,874.91","362,904,874.91","362,904,874.91","362,904,874.91","354,680,666.10","354,680,666.10","354,680,666.10","340,805,666.10","116,224,250.25","116,224,250.25","116,224,250.25","89,336,604.51","153,807,944.03","168,390,384.48","168,390,384.48","153,807,944.03","68,355,005.13","68,355,005.13","68,355,005.13","26,886,528.34","107,046,522.45","107,046,522.45","107,046,522.45","54,417,547.55","151,674,876.36","115,544,757.77","115,544,757.77","115,544,757.77","146,250,941.96"
投资支付的现金,"800,000.00",,,,,,,,,,,"52,200,000.00","52,200,000.00","56,700,000.00","65,700,000.00",,"33,000,000.00","89,210,000.00","83,000,000.00","25,000,000.00","25,000,000.00","70,000,000.00","70,000,000.00","60,600,000.00","70,600,000.00","75,600,000.00","75,600,000.00",,"6,900,000.00","16,900,000.00","10,900,000.00","4,200,000.00","8,200,000.00","8,200,000.00","70,000,000.00",,"7,864,300.00","7,864,300.00",,
期末现金及现金等价物余额,"12,140,926.84","23,616,841.20","57,752,693.07","47,433,353.02","72,300,077.69","612,083,941.81","492,392,487.66","455,521,299.43","353,829,006.35","426,187,364.50","362,904,874.91","449,004,661.41","356,656,740.32","319,357,268.00","340,805,666.10","222,358,768.20","290,166,754.52","154,135,083.55","89,336,604.51","70,635,159.94","73,857,327.81","123,790,748.15","153,807,944.03","45,277,968.46","68,325,701.06","88,452,901.31","26,886,528.34","275,883,978.05","209,873,001.23","196,894,672.79","54,417,547.55","51,826,901.12","138,942,183.90","116,577,982.90","115,544,757.77","117,221,251.55","150,888,767.75","140,412,904.48","146,250,941.96","360,190,004.96"
