科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"29,733,237.12","45,958,667.10","62,674,309.75","40,693,336.99","78,123,096.59","24,506,997.77","45,790,012.56","63,800,467.04","82,951,813.69","31,401,810.15","47,006,536.96","63,854,400.49","83,246,877.45","28,954,985.80","52,789,493.70","75,997,427.65","102,774,166.48","31,471,230.37","52,120,209.53","73,983,938.96","97,181,643.75","33,343,377.33","55,422,925.55"
取得借款收到的现金,"5,000,000.00","23,101,700.00","52,000,000.00","33,185,945.71","68,185,945.71","15,000,000.00","25,000,000.00","35,000,000.00","35,000,000.00",,,,,,,,,,,,,,
支付的各项税费,"14,215,544.37","22,191,674.30","23,887,006.87","19,833,086.89","33,680,554.87","12,974,010.17","17,041,162.58","26,084,880.36","38,611,171.19","16,102,724.74","24,345,595.64","32,767,747.04","42,055,814.56","18,757,521.68","30,246,859.83","44,709,669.49","67,112,252.33","15,372,640.88","22,126,336.41","31,182,411.07","48,764,068.26","15,468,577.27","24,051,878.55"
收到其他与筹资活动有关的现金,,,,,,"137,576,065.06","137,551,581.89","138,203,388.06","137,551,581.89",,"19,000,000.00","19,000,000.00","19,000,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"37,985,375.37","41,623,863.04","52,497,526.18","22,733,312.24","57,022,279.03","14,680,273.12","30,236,513.95","43,868,358.41","41,203,758.58","12,218,932.39","25,971,483.42","38,611,251.41","64,804,779.89","13,019,979.79","28,185,490.13","46,876,979.44","93,595,631.58","14,231,281.41","28,307,982.94","53,965,101.83","71,491,719.67","23,667,691.86","53,391,181.27"
筹资活动现金流入小计,"5,000,000.00","23,101,700.00","52,000,000.00","33,185,945.71","68,185,945.71","264,106,065.06","274,074,309.60","284,733,388.06","421,074,252.10",,"19,000,000.00","19,000,000.00","19,000,000.00",,"816,426,760.00","831,426,760.00","845,024,383.00","9,358,946.26","14,833,983.82","14,833,983.82","14,833,983.82",,
经营活动现金流出小计,"86,057,044.42","116,878,544.16","142,513,337.68","84,757,829.74","171,630,838.91","52,801,281.06","94,541,012.18","135,920,436.10","166,865,670.76","62,716,484.41","106,758,297.15","150,956,405.27","212,150,715.11","65,190,078.51","124,765,249.27","200,028,275.88","312,083,752.04","85,010,931.53","140,903,319.75","214,937,765.23","277,442,203.59","104,882,495.83","169,579,732.74"
偿还债务支付的现金,"6,000,000.00","5,000,000.00","15,000,000.00","25,000,000.00","52,685,945.71","10,000,000.00","30,500,000.00","70,500,000.00","90,601,700.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"18,116,671.46","13,445,065.36","-19,146,583.52","14,655,633.97","15,901,299.03","-23,786,640.58","-11,525,951.28","-14,225,591.98","58,682,131.70","5,214,649.60","5,329,679.05","17,539,895.30","65,575,087.94","11,423,194.84","15,214,253.46","98,360,812.53","147,391,257.57","-21,757,520.79","7,018,548.71","37,166,484.63","109,168,538.93","-23,445,299.52","-18,530,527.83"
分配股利、利润或偿还利息支付的现金,"65,342.50","438,960.16","18,663,439.78","1,807,353.82","3,586,934.73","998,256.00","12,265,479.00","13,801,910.17","13,618,995.14","296,222.22","11,916,585.55","11,916,585.55","11,916,585.55",,"14,402,537.50","14,402,537.50","14,402,537.50",,"27,703,170.80","27,703,170.80","27,703,170.80",,
收回投资收到的现金,,,,,,,,,,,,,,,"14,100,000.00","14,100,000.00","14,100,000.00",,,,,,
支付其他与筹资活动有关的现金,,,,,,"134,654,939.27","134,383,631.03","134,383,631.03","135,327,140.72","6,000.00","96,083.34","96,083.34","96,083.34",,"21,005,998.64","21,005,998.64","21,006,697.88","221,134.91","472,562.47","472,562.47","472,562.47",,
取得投资收益收到的现金,,,,,,,,,,,,,,,"215,130.70","215,130.70","215,221.70",,,,,,
筹资活动现金流出小计,"6,065,342.50","5,438,960.16","33,663,439.78","26,807,353.82","56,272,880.44","145,653,195.27","177,149,110.03","218,685,541.20","239,547,835.86","10,302,222.22","32,012,668.89","32,012,668.89","32,012,668.89",,"35,408,536.14","35,408,536.14","35,409,235.38","221,134.91","28,175,733.27","28,175,733.27","28,175,733.27",,
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,000.00","6,440.00",,800.00,"1,960.00",,"3,200.00","3,200.00","70,700.00",,,"8,000.00","29,000.00",,,"16,170.00","16,170.00",,"3,000.00","3,000.00","3,118.00",,"6,500.00"
筹资活动产生的现金流量净额,"-1,065,342.50","17,662,739.84","18,336,560.22","6,378,591.89","11,913,065.27","118,452,869.79","96,925,199.57","66,047,846.86","181,526,416.24","-10,302,222.22","-13,012,668.89","-13,012,668.89","-13,012,668.89",,"781,018,223.86","796,018,223.86","809,615,147.62","9,137,811.35","-13,341,749.45","-13,341,749.45","-13,341,749.45",,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,"33,393.97","868,131.86",,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"-2,441.87",,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,000.00","6,440.00",,800.00,"1,960.00",,"3,200.00","3,200.00","70,700.00",,,"41,393.97","897,131.86",,"14,315,130.70","14,331,300.70","14,331,391.70",,"3,000.00","3,000.00","3,118.00",,"6,500.00"
五、现金及现金等价物净增加额,"-2,129,795.77","23,306,384.92","-11,588,264.22","17,097,876.63","20,960,596.56","93,872,180.31","79,560,309.56","22,924,257.15","225,987,800.54","-140,302,172.62","-145,543,806.75","-159,285,070.29","-115,444,210.83","4,912,600.95","804,656,495.82","416,081,049.75","474,220,789.65","-147,047,795.44","-161,015,310.74","-133,456,880.07","-62,020,084.52","-23,517,729.52","-19,047,106.23"
购建固定资产、无形资产和其他长期资产支付的现金,"19,183,124.73","7,807,860.28","10,778,240.92","3,937,149.23","6,855,727.74","794,048.90","5,842,138.73","5,901,197.73","6,009,526.09","277,000.00","3,963,928.50","7,906,505.06","7,636,873.33","3,010,593.89","4,297,566.89","4,580,733.03","5,981,674.93","33,095.00","50,119.00","2,639,624.25","3,205,001.00","72,430.00","523,078.40"
期初现金及现金等价物余额,"40,386,073.26","38,256,277.49","61,562,662.41","49,974,398.19","49,974,398.19","71,836,434.75","70,934,994.75","70,934,994.75","70,934,994.75","297,169,081.29","297,169,081.29","297,169,081.29","296,922,795.29","186,418,034.46","181,478,584.46","181,478,584.46","181,478,584.46","659,833,752.23","659,833,752.23","655,699,374.11","655,699,374.11","593,679,289.59","593,679,289.59"
投资支付的现金,,,,,,,,"23,000,000.00",,"134,937,600.00",,,,,,,,"39,600,000.00","59,600,000.00",,"59,600,000.00",,
期末现金及现金等价物余额,"38,256,277.49","61,562,662.41","49,974,398.19","67,072,274.82","70,934,994.75","165,708,615.06","150,495,304.31","93,859,251.90","296,922,795.29","156,866,908.67","151,625,274.54","137,884,011.00","181,478,584.46","191,330,635.41","986,135,080.28","597,559,634.21","655,699,374.11","512,785,956.79","498,818,441.49","522,242,494.04","593,679,289.59","570,161,560.07","574,632,183.36"
