科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
处置固定资产、无形资产和其他长期资产收回的现金净额,"22,000.00","97,500.00",,"35,000.00",550.00,"1,000.00",,450.00,"76,396.00","46,450.00","67,450.00","9,700.00","11,875.00","18,945.00","15,893,945.00","4,710.00","5,235.00","5,385.00","5,665.00",548.12,"137,036.12"
筹资活动产生的现金流量净额,"661,528,525.23","21,973,648.12","-22,351,647.21","-51,563,732.41","195,164,284.18","410,373,398.81","1,803,316,362.05","201,036,414.61","57,928,020.44","-92,029,278.14","-489,797,714.01","-34,742,611.97","-24,761,492.06","-119,567,506.69","-204,449,268.32","4,827,993.00","-9,206,215.81","-29,192,091.39","-41,584,486.01","240,994,337.66","-67,511,253.33"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"208,512.75","-195,708.83","-327,346.31","-165,071.15","-290,330.35","-815,362.42","-501,894.90","462,712.92","462,712.92","15,805.82","-132,935.48","135,047.38","212,020.37","651,806.54",-3.05,,,,,"-252,180.91"
收到其他与投资活动有关的现金,"13,300,000.00",,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"13,322,000.00","97,500.00",,"35,000.00",550.00,"1,000.00",,450.00,"383,415,574.08","686,218,504.79","1,075,873,696.57","688,972,549.32","1,142,737,053.09","1,343,401,657.34","1,611,928,712.13","656,901,970.27","656,902,495.27","1,111,618,398.69","1,767,037,856.77",548.12,"457,178,132.01"
五、现金及现金等价物净增加额,"387,934,903.04","-26,032,532.59","-222,844,865.23","-57,986,468.11","-142,297,021.32","-43,459,115.59","1,287,883,507.56","-654,801,660.74","-1,349,851,424.03","-1,336,654,495.88","-1,162,571,723.12","-118,641,876.56","162,143,517.74","44,959,837.77","153,512,248.93","136,573,209.93","-84,952,895.68","-333,015,513.31","26,889,916.25","-150,294,362.00","-636,919,545.03"
购建固定资产、无形资产和其他长期资产支付的现金,"311,185,139.87","164,434,199.53","113,203,977.50","120,381,637.08","15,006,690.98","323,943,430.28","344,713,160.27","65,100,554.44","125,143,816.63","131,402,056.93","137,767,442.70","4,662,811.35","6,954,524.22","-45,509.83","17,836,724.17","8,917,870.00","11,182,341.94","48,523,788.34","64,616,385.27","3,641,412.66","7,711,236.94"
期初现金及现金等价物余额,"349,137,002.53","737,071,905.57","711,039,372.98","711,039,372.98","653,052,904.87","653,052,904.87","653,052,904.87","1,940,936,412.43","1,940,936,412.43","1,940,936,412.43","1,940,936,412.43","794,910,982.50","778,364,689.31","794,910,982.50","778,364,689.31","945,300,966.55","931,876,938.24","931,876,938.24","931,876,938.24","1,035,106,541.35","958,766,854.49"
投资支付的现金,,"18,358,100.00",,,,,,"180,000,000.00","960,000,000.00","1,260,000,000.00","1,640,000,000.00","550,000,000.00","1,000,000,000.00","1,255,000,000.00","1,450,000,000.00","200,000,000.00","650,000,000.00","1,100,000,000.00","1,750,000,000.00",,"550,000,000.00"
期末现金及现金等价物余额,"737,071,905.57","711,039,372.98","488,194,507.75","653,052,904.87","510,755,883.55","609,593,789.28","1,940,936,412.43","1,286,134,751.69","591,084,988.40","604,281,916.55","778,364,689.31","676,269,105.94","940,508,207.05","839,870,820.27","931,876,938.24","1,081,874,176.48","846,924,042.56","598,861,424.93","958,766,854.49","884,812,179.35","321,847,309.46"
