科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得借款收到的现金,"38,000,000.00","46,000,000.00","1,031,720,000.00",,,,,,,,,"22,500,000.00","22,200,000.00","119,600,000.00",,"579,141,250.00","814,556,500.00",,,,"146,699,620.00",,,"99,763,180.00","197,299,000.00",,,"48,788,475.00","51,907,754.59","1,280,000.00",
支付的各项税费,"268,656,479.55","419,724,171.25","309,224,804.68","167,893,787.15","315,807,407.66","122,916,827.57","93,693,833.42","132,569,379.08","279,994,045.94","73,291,137.25","215,978,871.69","279,492,789.77","405,739,803.40","82,464,554.30","105,186,239.81","158,927,092.09","326,367,868.95","67,778,592.49","119,267,507.20","184,445,304.55","283,573,086.54","93,177,978.96","134,748,731.97","185,065,240.66","311,405,984.19","96,445,078.39","157,923,411.26","231,606,129.16","270,576,593.96","132,594,584.77","228,735,095.31"
收到其他与筹资活动有关的现金,"25,136,078.15","13,050,000.00","49,270,000.00",,,,,,"105,303,861.45","3,665,859.86","7,485,901.48","8,619,421.48","69,822,067.20","849,811.33","1,619,184.18","2,263,410.42",,,,,,,,,"8,779,984.00",,,,"31,155,000.00",,
支付其他与经营活动有关的现金,"771,621,981.92","649,011,994.74","695,777,788.69","341,932,377.66","715,910,177.06","185,840,426.23","416,439,512.85","540,713,781.90","852,962,291.23","278,448,668.51","484,176,012.30","816,811,071.28","1,051,213,906.60","253,293,899.52","408,457,161.25","753,971,899.62","915,264,682.20","264,133,244.47","524,026,500.69","804,754,846.60","1,339,084,480.19","229,009,175.95","539,693,640.35","678,824,822.52","1,293,711,705.38","73,966,659.21","381,935,719.49","600,961,209.20","1,219,244,086.40","94,756,807.55","430,287,825.78"
筹资活动现金流入小计,"609,596,078.15","156,050,000.00","1,167,493,260.56","8,848,000.00","4,390,790,779.94","8,847,258.69","25,292,088.49","23,522,176.49","135,003,706.80","4,441,385.44","11,072,212.85","37,155,732.85","104,397,067.20","120,449,811.33","4,559,184.18","584,834,660.42","829,349,285.66",,"2,000,000.00","2,000,000.00","152,024,420.00","5,456,800.00","5,456,800.00","105,219,980.00","215,278,984.00",,,"48,788,475.00","83,062,754.59","1,280,000.00","4,900,000.00"
经营活动现金流出小计,"5,512,527,538.55","5,618,145,199.92","6,123,513,619.19","3,097,839,976.17","7,005,259,979.51","1,765,484,187.85","3,011,296,904.93","4,745,149,523.00","6,593,294,799.13","1,739,303,916.34","3,562,933,911.35","5,701,940,891.36","7,976,164,175.08","1,970,272,343.70","3,806,779,719.38","6,324,144,101.97","9,156,610,097.57","2,378,381,670.90","4,491,835,803.65","6,865,602,230.55","9,637,273,050.34","2,125,967,368.91","4,313,564,207.32","6,524,881,337.01","9,990,884,967.85","2,074,261,642.61","4,586,205,950.50","7,109,200,480.64","10,598,611,071.20","2,263,459,293.81","4,757,768,076.75"
偿还债务支付的现金,"43,351,642.96","19,000,000.00","388,720,000.00","39,000,000.00","39,000,000.00",,,,,,,,,,"137,570,000.00","382,570,000.00","515,910,000.00","118,853,459.68","156,160,025.41","72,629,473.76","217,566,581.88","96,841,983.53","334,864,023.53","334,864,023.53","414,970,534.50","85,162,308.03","71,012,046.67","72,385,061.37","35,759,003.62","56,266,450.00","125,116,600.00"
经营活动产生的现金流量净额,"601,140,283.91","756,115,517.44","848,329,751.72","440,451,910.95","929,070,859.34","140,423,459.82","641,839,142.83","726,569,873.45","1,086,487,375.89","15,063,120.15","562,109,668.95","389,953,935.00","1,042,467,278.20","88,207,748.30","555,233,791.95","36,820,003.31","1,647,094,211.61","-161,013,717.52","630,237,223.85","547,852,657.49","1,878,032,920.60","165,389,254.03","988,539,764.32","1,000,989,836.50","1,904,077,866.23","382,717,951.85","1,251,461,284.70","991,057,037.04","1,816,911,231.98","173,384,602.08","1,163,157,422.32"
分配股利、利润或偿还利息支付的现金,"145,040,481.50","103,251,602.44","114,539,846.60","628,086,425.59","851,769,601.52",,"203,592,000.00","203,592,000.00","508,980,000.00","750,000.00","750,000.00","255,240,000.00","510,378,408.87","5,220,523.17","5,788,175.45","258,555,093.79","548,173,115.18","5,008,008.43","10,573,562.44","279,507,825.23","534,034,520.48","4,742,546.12","14,475,613.60","270,017,062.26","275,497,244.90","1,518,373.77","20,195,664.30","403,467,324.02","412,317,673.09","2,273,980.03","398,018,389.53"
收回投资收到的现金,"399,024,862.26","1,227,198,815.00","1,043,410,304.00","411,760,950.00","891,290,780.00","26,813,000.00","41,996,771.00","41,996,771.00","2,020,562,010.89","785,000,000.00","1,665,000,000.00","2,960,000,000.00","4,149,800,000.00","2,289,929,500.01","3,057,385,805.58","4,794,092,271.88","4,384,124,646.19","713,000,000.00","921,677,947.29","1,416,818,427.29","1,931,431,530.54","1,340,000,000.00","1,701,161,711.60","2,458,464,865.47","3,794,188,375.07","1,870,000,000.00","2,560,184,429.07","3,732,076,530.46","6,114,468,142.92","863,472,600.00","2,079,833,552.03"
支付其他与筹资活动有关的现金,"50,000.00",,"300,000,000.00",,"4,000,000.00",,,"2,430,827.75","4,000,000.00",,,,,,,,,,,,,,,,"510,004.01",,,,"6,980,000.00",,
取得投资收益收到的现金,"4,511,044.61","20,531,821.45","15,165,316.88","1,981,823.31","11,077,724.08","317,001.80","11,842,947.29","40,726,844.45","42,493,778.87","27,293,705.55","60,776,303.23","83,709,827.59","114,406,693.25","37,141,421.63","75,142,857.65","97,369,285.26","112,071,723.41","22,774,946.98","45,831,387.37","58,443,056.52","73,013,337.73","17,519,493.16","57,020,425.43","97,283,246.02","67,781,939.98","23,625,772.21","45,654,599.39","72,160,485.27","97,729,024.83","16,982,289.03","34,654,684.15"
筹资活动现金流出小计,"188,442,124.46","122,251,602.44","803,259,846.60","667,086,425.59","894,769,601.52",,"203,592,000.00","206,022,827.75","512,980,000.00","750,000.00","750,000.00","255,240,000.00","510,378,408.87","5,220,523.17","143,358,175.45","641,125,093.79","1,064,083,115.18","123,861,468.11","166,733,587.85","352,137,298.99","751,601,102.36","101,584,529.65","349,339,637.13","604,881,085.79","690,977,783.41","86,680,681.80","91,207,710.97","475,852,385.39","455,056,676.71","58,540,430.03","523,134,989.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"29,511,192.41","79,244,228.92","80,969,664.40","5,910,227.66","47,619,000.95","126,561.38","3,673,061.98","105,347,316.21","118,911,491.21","2,165,824.76","3,406,966.89","4,474,508.57","8,244,221.25","3,100,250.49","21,386,590.11","46,944,770.46","10,976,001.48","61,230.19","1,800,674.94","2,632,135.25","91,771,868.29","966,077.40","3,672,773.79","5,773,092.07","8,165,588.84","297,865.70","7,841,919.92","26,962,809.09","22,521,613.29","148,971.03","1,067,833.62"
筹资活动产生的现金流量净额,"421,153,953.69","33,798,397.56","364,233,413.96","-658,238,425.59","3,496,021,178.42","8,847,258.69","-178,299,911.51","-182,500,651.26","-377,976,293.20","3,691,385.44","10,322,212.85","-218,084,267.15","-405,981,341.67","115,229,288.16","-138,798,991.27","-56,290,433.37","-234,733,829.52","-123,861,468.11","-164,733,587.85","-350,137,298.99","-599,576,682.36","-96,127,729.65","-343,882,837.13","-499,661,105.79","-475,698,799.41","-86,680,681.80","-91,207,710.97","-427,063,910.39","-371,993,922.12","-57,260,430.03","-518,234,989.53"
处置子公司及其他营业单位收到的现金净额,,,,,"601,951.20",,,,,,,,"27,003.00",,,,,,,,,,,,,,,,,,"331,528,746.36"
四、汇率变动对现金的影响,,,,,,,,,"290,811.29",,,,"-6,213.46","1,559,842.45","3,494,289.06","-177,628.14","-2,077,396.96","-7,080,773.10","-8,814,188.61","-4,584,134.64","809,507.70","12,327,720.18","9,291,971.41","21,120,497.46","14,135,051.92","-4,045,514.49","-1,866,671.73","-8,597,214.02","-1,048,911.17","-11,531,485.47","1,452,966.74"
收到其他与投资活动有关的现金,,"42,322,385.35","3,554,550.00",,,"22,052,638.00","22,061,820.00","22,061,820.00",,,,,"20,407,536.26",,,,"15,500,000.00",,,,,,,,"14,220,000.00","10,685,096.07","10,685,096.07","10,685,096.07","32,515,166.77",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"433,047,099.28","1,369,297,250.72","1,143,099,835.28","419,653,000.97","950,589,456.23","49,309,201.18","79,574,600.27","210,132,751.66","2,181,967,280.97","814,459,530.31","1,729,183,270.12","3,048,184,336.16","4,292,885,453.76","2,330,171,172.13","3,153,915,253.34","4,938,406,327.60","4,522,672,371.08","735,836,177.17","969,310,009.60","1,477,893,619.06","2,096,216,736.56","1,358,485,570.56","1,761,854,910.82","2,561,521,203.56","3,884,355,903.89","1,904,608,733.98","2,624,366,044.45","3,841,884,920.89","6,267,233,947.81","880,603,860.06","2,447,084,816.16"
五、现金及现金等价物净增加额,"692,389,515.15","236,383,316.21","-183,780,654.27","-360,309,147.37","3,960,341,239.16","91,165,706.74","-1,248,596,056.12","-1,643,007,938.49","-1,246,949,114.70","-464,460,915.54","289,247,395.54","-504,162,801.00","-1,465,928,298.62","121,355,140.83","-470,876,529.87","-195,214,988.99","350,088.16","31,110,891.53","494,560,299.40","-183,806,230.12","-151,184,885.38","-261,067,275.20","-672,928,181.04","-1,055,249,673.77","-879,884,226.40","1,021,370,972.73","1,346,893,760.53","834,579,571.48","2,142,201,485.43","-721,478,869.83","648,117,744.60"
购建固定资产、无形资产和其他长期资产支付的现金,"356,740,340.60","530,669,370.52","501,430,768.00","199,174,693.70","612,332,539.83","40,650,132.08","97,776,073.94","259,276,098.57","425,768,224.85","270,116,510.78","457,361,261.41","717,407,257.09","1,441,686,349.45","306,227,910.21","426,275,489.05","728,487,843.42","970,878,295.23","226,328,981.73","302,956,788.65","394,943,083.87","901,776,156.53","194,162,090.32","348,192,615.99","452,644,797.20","661,814,874.56","174,272,982.34","233,287,625.62","360,129,701.74","600,055,696.91","166,314,973.15","331,922,084.26"
期初现金及现金等价物余额,"2,402,224,862.60","3,094,614,377.75","3,330,997,693.96","3,147,217,039.69","3,147,217,039.69","7,107,558,278.85","7,107,558,278.85","7,107,558,278.85","7,115,970,603.48","5,869,021,488.78","5,869,021,488.78","5,869,021,488.78","5,869,021,488.78","4,607,954,660.28","4,607,954,660.28","4,607,954,660.28","4,603,049,648.61","4,651,214,979.05","4,651,214,979.05","4,651,214,979.05","4,603,399,736.77","4,461,755,199.86","4,452,214,851.39","4,452,214,851.39","4,452,214,851.39","3,572,330,624.99","3,572,330,624.99","3,572,330,624.99","3,572,330,624.99","5,714,532,110.42","5,714,532,110.42"
投资支付的现金,"391,446,585.26","1,392,158,478.99","1,978,502,635.00","363,000,940.00","803,007,715.00","59,515,100.00","1,610,640,232.31","2,054,640,232.31","3,636,190,000.00","1,017,269,468.74","1,555,006,494.97","3,006,809,547.92","4,953,607,126.00","2,107,585,000.00","3,618,445,383.90","4,385,485,414.97","3,603,788,264.09","186,440,345.18","628,482,368.94","1,459,887,989.17","2,586,096,979.06","1,506,980,000.00","2,740,539,374.47","3,686,575,308.30","5,518,939,374.47","1,000,956,534.47","2,202,571,560.30","3,202,571,560.30","4,959,078,726.82","1,515,145,424.86","2,113,420,386.83"
期末现金及现金等价物余额,"3,094,614,377.75","3,330,997,693.96","3,147,217,039.69","2,786,907,892.32","7,107,558,278.85","7,198,723,985.59","5,858,962,222.73","5,464,550,340.36","5,869,021,488.78","5,404,560,573.24","6,158,268,884.32","5,364,858,687.78","4,403,093,190.16","4,729,309,801.11","4,137,078,130.41","4,412,739,671.29","4,603,399,736.77","4,682,325,870.58","5,145,775,278.45","4,467,408,748.93","4,452,214,851.39","4,200,687,924.66","3,779,286,670.35","3,396,965,177.62","3,572,330,624.99","4,593,701,597.72","4,919,224,385.52","4,406,910,196.47","5,714,532,110.42","4,993,053,240.59","6,362,649,855.02"
