科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"34,857,205.73","87,109,481.62","46,209,873.61","68,868,491.78","94,175,189.82","19,728,217.24","41,187,302.60","65,478,966.29","94,726,773.72","22,776,770.37","47,542,305.80","71,477,423.24","98,144,249.18","26,391,685.41","52,489,964.89","77,261,287.33","102,749,503.14","26,251,073.80","50,310,085.07","73,813,497.13","102,110,070.97","26,035,529.87","49,645,695.91","72,659,408.81","101,399,174.27","27,086,524.71","54,399,331.92","81,008,134.70","106,791,752.70","31,795,821.96","60,260,269.87","86,489,293.84","112,163,642.28","27,211,272.33","54,518,157.75","82,248,600.07","114,130,332.23","58,798,509.86","111,779,835.70","162,695,529.55","221,472,338.92","57,241,725.02","106,182,581.72","154,008,348.41","205,753,866.65","53,046,636.04"
取得借款收到的现金,"40,000,000.00","80,000,000.00","60,000,000.00","89,000,000.00","165,000,000.00",,"10,000,000.00","25,000,000.00","85,000,000.00",,"11,000,000.00","26,000,000.00","36,000,000.00",,"20,000,000.00","33,000,000.00","55,000,000.00",,"20,000,000.00","55,000,000.00","55,000,000.00","15,000,000.00","35,000,000.00","90,000,000.00","90,000,000.00","15,000,000.00","35,000,000.00","48,000,000.00","78,000,000.00","15,000,000.00","35,000,000.00","58,000,000.00","78,000,000.00","10,000,000.00","20,000,000.00","73,000,000.00","83,000,000.00","10,000,000.00","48,000,000.00","98,000,000.00","148,000,000.00","20,000,000.00","35,000,000.00","91,000,000.00","111,000,000.00","27,000,000.00"
支付的各项税费,"8,994,664.67","17,870,083.12","10,194,252.07","11,283,748.71","17,724,820.94","3,904,912.88","8,332,090.42","12,214,133.98","15,264,181.36","4,874,188.31","9,848,032.26","13,086,986.95","17,189,963.81","7,405,995.67","14,090,346.73","16,988,100.59","21,666,823.32","3,524,503.79","8,920,489.32","11,556,103.61","18,628,128.86","5,940,356.52","8,874,521.56","10,462,741.21","17,275,266.39","2,492,490.46","9,707,561.84","12,854,986.67","18,650,571.26","4,015,320.23","9,991,458.23","12,283,491.78","15,993,713.45","6,140,311.95","15,892,824.97","21,470,204.72","27,424,852.15","15,886,274.09","33,087,623.63","49,104,613.49","63,933,278.51","14,990,016.26","30,247,258.09","40,337,917.42","46,910,964.09","6,971,846.84"
收到其他与筹资活动有关的现金,"25,782,880.91","27,058,493.01","300,781.03","1,318,271.96","2,290,557.25","973,728.79","1,336,969.42","4,624,002.19",,"119,584.71","132,369.79","886,569.58","54,048,928.91","5,259,152.99","5,259,152.99","9,941,159.52","18,127,634.36","18,830.30","18,830.30","1,010,808.88","3,093,649.34","15,411,836.45","18,780,046.31","18,673,213.90","155,843.96","208,847.47","290,244.99","480,503.53","11,953,171.50","5,875,299.00","6,273,779.00","7,023,085.85","14,254,482.53","2,969,258.30","6,274,358.30","7,335,614.04","12,242,930.42","1,167,340.00","1,200,280.00","5,749,861.85","7,254,205.76","688,330.81","1,230,149.51","2,894,306.74","60,661,936.22","1,266,481.05"
支付其他与经营活动有关的现金,"17,407,282.10","27,524,693.37","21,117,208.26","32,522,355.54","27,478,120.78","10,576,809.18","18,280,172.89","21,646,545.49","19,815,348.19","7,382,761.60","12,117,994.01","19,046,405.04","23,905,123.67","6,065,441.47","11,829,871.28","19,427,521.58","24,233,754.98","6,701,691.43","10,463,358.66","16,833,168.42","22,397,634.24","6,843,763.63","10,820,065.53","16,420,860.62","22,621,108.69","5,767,856.49","11,284,527.24","16,544,690.14","19,566,899.23","4,664,006.89","7,917,368.05","13,303,207.50","18,129,096.49","3,545,172.70","7,471,271.91","13,631,036.65","24,375,785.21","7,421,967.73","15,699,286.59","24,482,957.38","29,138,346.06","10,042,205.88","19,033,457.42","29,188,148.46","36,618,871.96","7,037,616.95"
筹资活动现金流入小计,"65,782,880.91","107,058,493.01","60,300,781.03","285,558,271.96","362,530,557.25","973,728.79","11,336,969.42","29,624,002.19","85,000,000.00","119,584.71","14,732,369.79","30,486,569.58","93,648,928.91","5,259,152.99","25,259,152.99","42,941,159.52","73,127,634.36","18,830.30","20,018,830.30","56,010,808.88","58,093,649.34","30,411,836.45","53,780,046.31","108,673,213.90","90,155,843.96","15,208,847.47","35,290,244.99","48,480,503.53","89,953,171.50","20,875,299.00","41,273,779.00","65,023,085.85","92,254,482.53","12,969,258.30","26,274,358.30","80,335,614.04","95,242,930.42","120,167,333.92","157,500,273.92","210,809,855.77","262,314,199.68","20,688,330.81","36,230,149.51","93,894,306.74","171,661,936.22","28,266,481.05"
经营活动现金流出小计,"112,096,391.59","245,673,560.36","158,960,686.65","216,343,035.54","276,635,857.26","56,664,845.60","116,989,649.42","186,635,964.78","254,608,251.01","71,314,554.30","147,176,395.68","221,532,769.25","305,175,190.85","75,077,872.13","152,856,873.92","214,586,862.93","286,255,043.68","67,992,988.52","142,593,403.87","197,569,401.45","258,279,365.49","68,864,373.33","119,016,099.21","168,247,590.17","237,864,108.02","63,822,010.64","147,523,459.87","213,172,203.70","287,297,471.25","80,491,476.20","147,827,058.92","208,114,627.98","283,238,967.81","67,852,706.07","145,413,169.77","219,383,809.65","306,817,275.92","144,325,336.97","298,241,111.35","451,473,751.69","604,758,096.63","152,915,189.50","309,232,028.06","435,606,453.96","563,919,516.17","142,764,565.09"
偿还债务支付的现金,"31,000,000.00","33,000,000.00","58,730,000.00","58,730,000.00","151,000,000.00","10,000,000.00","20,000,000.00","36,000,000.00","96,000,000.00",,"10,000,000.00","26,000,000.00","86,000,000.00",,"10,000,000.00","25,000,000.00","35,000,000.00",,"20,000,000.00","55,000,000.00","55,000,000.00",,"20,000,000.00","55,000,000.00","97,000,000.00","15,000,000.00","35,000,000.00","68,290,500.00","88,000,000.00","15,000,000.00","35,000,000.00","58,000,000.00","93,000,000.00","10,000,000.00","20,000,000.00","53,000,000.00","63,000,000.00","42,000,000.00","65,000,000.00","105,000,000.00","167,000,000.00","10,000,000.00","25,000,000.00","75,000,000.00","85,000,000.00","20,000,000.00"
经营活动产生的现金流量净额,"-29,623,411.02","11,175,386.02","-29,767,708.78","-34,102,478.10","-12,214,796.19","5,794,860.01","9,884,358.32","784,379.23","44,908,152.98","-4,765,762.85","4,605,680.34","9,321,353.76","27,456,255.74","-22,742,591.17","-24,061,755.84","-26,986,426.00","-20,958,779.19","-21,697,184.01","-33,560,777.33","-33,598,899.61","-47,218,246.34","-13,693,105.04","5,225,260.74","12,745,071.25","11,988,615.40","-2,715,304.73","-10,381,264.38","9,651,345.40","7,084,108.29","-8,465,453.64","4,958,830.94","25,679,761.00","18,142,703.63","7,208,923.58","29,091,538.18","21,305,731.28","26,144,517.97","30,923,838.06","19,480,264.41","60,609,805.29","136,151,046.86","63,663,597.80","75,305,002.61","77,529,263.97","92,441,212.72","11,799,130.32"
分配股利、利润或偿还利息支付的现金,"3,478,688.77","5,251,600.12","3,598,771.81","5,232,342.74","7,117,545.63","1,389,018.70","2,655,201.48","3,922,859.26","5,059,326.75","1,093,860.00","5,060,381.79","6,197,140.79","7,283,511.17","1,016,100.00","5,334,653.57","6,599,088.01","8,126,916.89","1,575,311.11","3,164,288.90","4,713,734.44","6,174,167.79","1,587,500.00","3,267,499.99","4,975,433.32","6,963,599.99","1,332,500.00","2,697,166.66","3,739,833.32","5,136,666.67","1,167,500.00","5,147,062.03","6,259,188.92","7,184,731.98","724,223.61","1,589,379.18","2,414,142.86","3,311,088.69","1,667,493.12","4,062,785.90","6,150,620.78","9,740,237.88","1,450,125.00","3,054,053.49","4,662,042.40","6,318,701.43","1,724,591.66"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"53,678,800.00",,,,,,,,,,,,,,,,,,,,,"800,000.00"
支付其他与筹资活动有关的现金,"3,009,830.05","13,566,663.45","5,413,798.00","7,488,313.95","14,374,710.28","209,608.65","871,770.57","1,155,708.39","5,031,978.78","347,531.88","355,811.88","568,489.63","9,400,190.73","6,097,486.75","8,557,946.75","13,438,446.75","36,552,106.75","2,477,395.00","2,762,941.76","5,676,929.76","5,676,929.76","270,200.00","814,246.55","6,850,521.08","14,529,150.16","1,287,335.32","3,098,027.28","3,489,189.28","3,994,541.28","348,229.00","760,860.39","5,432,924.39","10,209,974.39","3,942,681.50","8,062,681.50","17,485,998.76","16,069,778.76","422,000.00","2,877,712.99","3,258,912.99","8,309,432.99","8,670,000.00","9,680,533.00","10,390,533.00","67,693,955.08","76,289.67"
取得投资收益收到的现金,"688,089.44","688,089.44","850,000.00","1,376,917.61","1,376,917.61",,"1,334,383.56","1,334,383.56","1,334,383.56","1,920,299.29","4,170,299.29","4,170,299.29","4,170,299.29",,"2,250,000.00","2,250,000.00","2,250,000.00",,"7,216.83","2,257,216.83","2,257,216.83",,"2,313,222.85","2,313,222.85","2,313,222.85",,"21,858.75","21,858.75","461,819.06",,"2,739.98","2,739.98","2,739.98",,,,,,,,,,,,,
筹资活动现金流出小计,"37,488,518.82","51,818,263.57","67,742,569.81","71,450,656.69","172,492,255.91","11,598,627.35","23,526,972.05","41,078,567.65","106,091,305.53","1,441,391.88","15,416,193.67","32,765,630.42","102,683,701.90","7,113,586.75","23,892,600.32","45,037,534.76","79,679,023.64","4,052,706.11","25,927,230.66","65,390,664.20","66,851,097.55","1,857,700.00","24,081,746.54","66,825,954.40","118,492,750.15","17,619,835.32","40,795,193.94","75,519,522.60","97,131,207.95","16,515,729.00","40,907,922.42","69,692,113.31","110,394,706.37","14,666,905.11","29,652,060.68","72,900,141.62","82,380,867.45","44,089,493.12","71,940,498.89","114,409,533.77","185,049,670.87","20,120,125.00","37,734,586.49","90,052,575.40","159,012,656.51","21,800,881.33"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,440.00","491,132.31","1,243,705.00","1,243,705.00","1,461,537.00","3,400.00","4,040.00","196,840.00","533,640.00","184,546.00","740,546.00","750,546.00","1,019,746.00",,"701,200.00","929,800.00","2,358,600.00",,"156,000.00","157,000.00","157,000.00",,"1,440,800.00","1,790,800.00","2,377,000.00","255,100.00","1,053,700.00","1,521,500.00","2,010,400.00","123,700.00","144,200.00","144,200.00","155,882.94","290,000.00","495,150.00","522,450.00","1,021,650.00","42,860.00","254,460.00","644,460.00","1,226,760.00","227,160.00","227,160.00","1,922,320.00","1,974,220.00",
筹资活动产生的现金流量净额,"28,294,362.09","55,240,229.44","-7,441,788.78","214,107,615.27","190,038,301.34","-10,624,898.56","-12,190,002.63","-11,454,565.46","-21,091,305.53","-1,321,807.17","-683,823.88","-2,279,060.84","-9,034,772.99","-1,854,433.76","1,366,552.67","-2,096,375.24","-6,551,389.28","-4,033,875.81","-5,908,400.36","-9,379,855.32","-8,757,448.21","28,554,136.45","29,698,299.77","41,847,259.50","-28,336,906.19","-2,410,987.85","-5,504,948.95","-27,039,019.07","-7,178,036.45","4,359,570.00","365,856.58","-4,669,027.46","-18,140,223.84","-1,697,646.81","-3,377,702.38","7,435,472.42","12,862,062.97","76,077,840.80","85,559,775.03","96,400,322.00","77,264,528.81","568,205.81","-1,504,436.98","3,841,731.34","12,649,279.71","6,465,599.72"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-730,988.07",,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,403.92","7,173.86","-6,124.09","-5,115.43","-1,885.80","2,604.59","36,427.10","22,544.19","-7,409.09"
收到其他与投资活动有关的现金,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00",,,"13,760,000.00","13,760,000.00",,,,,,,,,,,,,,,,,,"380,000.00","2,815,058.59","8,000,000.00",,"424,440.97","1,058,040.97","3,570,000.00","288,300.00","888,300.00","2,368,300.00","24,780,513.75","80,000.00","4,442,280.00","5,821,823.00","8,730,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"689,529.44","1,179,221.75","2,093,705.00","2,620,622.61","2,838,454.61","3,400.00","11,338,423.56","11,531,223.56","11,868,023.56","2,104,845.29","4,910,845.29","18,680,845.29","18,950,045.29",,"2,951,200.00","3,179,800.00","4,608,600.00",,"163,216.83","2,414,216.83","2,414,216.83",,"3,754,022.85","4,104,022.85","58,369,022.85","255,100.00","1,075,558.75","1,543,358.75","1,741,230.99","123,700.00","526,939.98","2,961,998.57","8,158,622.92","290,000.00","919,590.97","1,580,490.97","4,591,650.00","331,160.00","1,142,760.00","3,012,760.00","26,007,273.75","307,160.00","4,669,440.00","7,744,143.00","10,704,220.00","800,000.00"
五、现金及现金等价物净增加额,"-11,770,012.12","40,138,663.54","-59,995,240.17","131,169,987.67","120,490,153.35","-35,747,624.12","-34,729,597.85","-57,621,822.59","-46,305,029.04","-14,602,589.13","-16,746,435.81","-15,309,577.69","-24,302,493.96","-30,574,105.80","-33,918,857.29","-44,520,938.85","-43,473,407.97","-28,896,253.51","-47,936,311.75","-52,388,397.43","-67,561,296.36","3,430,021.80","25,334,121.66","41,921,889.18","22,843,374.21","-6,608,753.68","-17,773,662.40","-21,052,362.72","-6,202,875.77","-5,353,789.64","577,111.66","13,101,688.71","-10,877,920.96","3,485,101.72","20,766,981.72","19,442,040.64","29,156,863.64","98,395,285.18","79,176,495.07","109,473,246.57","107,235,494.96","58,121,299.44","39,289,605.81","17,396,572.38","-720,114.61","-7,138,699.65"
购建固定资产、无形资产和其他长期资产支付的现金,"11,130,492.63","27,456,173.67","24,879,447.61","29,455,772.11","33,971,806.41","30,920,985.57","43,762,377.10","58,482,859.92","81,989,900.05","10,619,864.40","25,579,137.56","41,032,715.90","61,674,022.00","5,977,080.87","14,174,854.12","18,617,937.61","20,571,839.50","3,165,193.69","8,630,350.89","11,823,859.33","13,999,818.64","11,431,009.61","13,343,461.70","16,774,464.42","19,177,357.85","1,729,578.60","2,963,007.82","5,208,047.80","7,850,178.60","1,371,606.00","5,274,515.84","10,871,043.40","19,039,023.67","2,316,175.05","5,866,445.05","10,879,654.03","14,441,367.30","8,734,957.60","27,013,478.23","50,073,516.63","125,112,639.03","6,415,778.37","39,183,004.41","71,754,993.03","116,537,371.23","26,196,020.60"
期初现金及现金等价物余额,"36,953,787.21","36,953,787.21","77,092,450.75","77,092,450.75","77,092,450.75","197,582,604.10","197,582,604.10","197,582,604.10","197,582,604.10","151,277,575.06","151,277,575.06","151,277,575.06","151,277,575.06","126,975,081.10","126,975,081.10","126,975,081.10","126,975,081.10","97,382,273.13","97,382,273.13","97,382,273.13","83,501,673.13","28,060,376.77","28,060,376.77","28,060,376.77","15,940,376.77","56,963,750.98","56,963,750.98","56,963,750.98","38,783,750.98","39,400,875.21","39,400,875.21","39,400,875.21","32,580,875.21","30,703,004.25","30,703,004.25","30,703,004.25","21,702,954.25","72,450,017.13","72,450,017.13","72,450,017.13","50,859,817.89","163,615,363.08","163,615,363.08","163,615,363.08","158,095,312.85","163,844,587.41"
投资支付的现金,,,,"22,000,000.00","22,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,069,600.00",,,,,
期末现金及现金等价物余额,"25,183,775.09","77,092,450.75","17,097,210.58","208,262,438.42","197,582,604.10","161,834,979.98","162,853,006.25","139,960,781.51","151,277,575.06","136,674,985.93","134,531,139.25","135,967,997.37","126,975,081.10","96,400,975.30","93,056,223.81","82,454,142.25","83,501,673.13","68,486,019.62","49,445,961.38","44,993,875.70","15,940,376.77","31,490,398.57","53,394,498.43","69,982,265.95","38,783,750.98","50,354,997.30","39,190,088.58","35,911,388.26","32,580,875.21","34,047,085.57","39,977,986.87","52,502,563.92","21,702,954.25","34,188,105.97","51,469,985.97","50,145,044.89","50,859,817.89","170,845,302.31","151,626,512.20","181,923,263.70","158,095,312.85","221,736,662.52","202,904,968.89","181,011,935.46","157,375,198.24","156,705,887.76"
