科目,2007年度,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"3,943,152,000.00","2,437,027,000.00","3,985,994,000.00","866,631,000.00","1,900,831,000.00","2,594,276,000.00","4,257,110,000.00","1,013,219,000.00","2,011,063,000.00","2,893,645,000.00","4,356,229,000.00","1,120,294,000.00","2,049,067,000.00","3,154,406,000.00","5,072,502,000.00","1,273,734,000.00","2,782,051,000.00","3,977,814,000.00","6,492,051,000.00","1,732,713,000.00","3,434,199,000.00","4,631,924,000.00","6,876,122,000.00","1,801,470,000.00","3,425,412,000.00","4,794,147,000.00","6,847,327,000.00","1,950,967,000.00","3,229,875,000.00","4,611,370,000.00","6,365,596,000.00","1,767,901,000.00","3,211,132,000.00","4,624,572,000.00","6,444,429,000.00","1,914,141,000.00","3,012,996,000.00","6,338,729,000.00","8,061,869,000.00"
取得借款收到的现金,"4,052,909,000.00","1,391,968,000.00","1,625,512,000.00","165,000,000.00","371,000,000.00","515,321,000.00","530,962,000.00","160,000,000.00","172,293,000.00","343,169,000.00","291,383,000.00","15,000,000.00","126,000,000.00","366,942,000.00","442,583,000.00","122,154,000.00","421,434,000.00","799,877,000.00","2,362,360,000.00","139,777,000.00","1,500,002,000.00","1,736,278,000.00","2,374,710,000.00","296,128,000.00","324,948,000.00","959,166,000.00","4,935,649,000.00","415,343,000.00","1,828,333,000.00","2,005,097,000.00","3,037,061,000.00","338,433,000.00","1,007,419,000.00","2,270,528,000.00","4,654,180,000.00","817,829,000.00","1,641,009,000.00","2,888,833,000.00","4,720,350,000.00"
支付的各项税费,"2,932,997,000.00","2,138,054,000.00","2,941,470,000.00","535,432,000.00","1,534,838,000.00","2,424,399,000.00","2,735,198,000.00","1,164,770,000.00","2,346,639,000.00","3,282,903,000.00","3,600,742,000.00","675,010,000.00","1,983,509,000.00","2,550,299,000.00","2,784,437,000.00","1,559,716,000.00","2,780,232,000.00","4,360,673,000.00","5,076,909,000.00","1,570,137,000.00","3,095,818,000.00","4,450,948,000.00","4,739,726,000.00","1,354,976,000.00","2,756,968,000.00","4,068,275,000.00","4,561,032,000.00","1,108,000,000.00","3,092,411,000.00","3,709,426,000.00","4,369,374,000.00","1,636,606,000.00","2,915,257,000.00","4,159,698,000.00","4,004,890,000.00","1,486,726,000.00","2,556,343,000.00","4,248,768,000.00","4,513,780,000.00"
收到其他与筹资活动有关的现金,"178,217,000.00",,"217,440,000.00","5,095,000.00","221,000.00","21,083,000.00","36,167,000.00","1,015,000.00","788,401,000.00","404,044,000.00","777,291,000.00",,,"198,829,000.00","846,647,000.00",,,,,,,,"537,416,000.00",,,"963,253,000.00","2,658,626,000.00",,"2,447,171,000.00","3,423,746,000.00","4,061,487,000.00",,,,,"34,497,000.00","217,894,000.00","1,413,024,000.00","930,376,000.00"
支付其他与经营活动有关的现金,"3,451,893,000.00","1,505,652,000.00","3,691,465,000.00","738,281,000.00","1,404,893,000.00","2,510,863,000.00","4,919,534,000.00","1,249,888,000.00","2,107,444,000.00","3,727,667,000.00","5,008,446,000.00","1,794,464,000.00","2,488,001,000.00","4,163,342,000.00","5,641,144,000.00","1,178,116,000.00","2,612,275,000.00","4,429,202,000.00","6,766,945,000.00","2,504,727,000.00","2,545,299,000.00","3,256,588,000.00","6,754,364,000.00","2,192,730,000.00","2,726,179,000.00","3,975,456,000.00","6,130,549,000.00","2,432,392,000.00","2,748,062,000.00","3,921,315,000.00","6,287,789,000.00","2,322,975,000.00","3,846,611,000.00","4,594,096,000.00","6,851,795,000.00","2,275,821,000.00","3,586,555,000.00","6,864,882,000.00","8,080,578,000.00"
筹资活动现金流入小计,"4,313,904,000.00","1,391,968,000.00","1,905,521,000.00","170,095,000.00","371,221,000.00","543,099,000.00","573,824,000.00","161,015,000.00","3,143,444,000.00","3,641,963,000.00","4,307,708,000.00","15,200,000.00","126,000,000.00","620,594,000.00","1,869,047,000.00","622,154,000.00","1,054,832,000.00","1,515,564,000.00","3,135,702,000.00","2,128,777,000.00","3,489,002,000.00","3,725,278,000.00","4,901,126,000.00","296,128,000.00","324,948,000.00","1,922,419,000.00","7,647,650,000.00","6,385,015,000.00","14,432,707,000.00","15,616,046,000.00","17,321,768,000.00","386,433,000.00","1,247,113,000.00","2,591,722,000.00","5,017,657,000.00","852,326,000.00","1,858,903,000.00","4,588,754,000.00","8,937,623,000.00"
经营活动现金流出小计,"61,041,260,000.00","37,528,035,000.00","68,084,251,000.00","12,649,159,000.00","28,876,993,000.00","43,949,899,000.00","63,607,091,000.00","14,325,744,000.00","30,496,682,000.00","45,716,991,000.00","66,933,862,000.00","15,504,412,000.00","35,540,916,000.00","47,293,494,000.00","74,136,752,000.00","17,440,169,000.00","38,359,351,000.00","51,360,365,000.00","84,384,899,000.00","20,867,503,000.00","40,882,705,000.00","57,440,370,000.00","81,271,045,000.00","21,792,314,000.00","44,290,585,000.00","60,036,266,000.00","87,431,241,000.00","21,224,424,000.00","42,646,426,000.00","58,165,167,000.00","84,707,799,000.00","20,661,925,000.00","41,097,827,000.00","58,500,715,000.00","85,586,142,000.00","23,099,328,000.00","43,253,711,000.00","70,814,045,000.00","94,681,710,000.00"
偿还债务支付的现金,"1,962,040,000.00","1,245,658,000.00","1,501,184,000.00","231,936,000.00","556,788,000.00","754,693,000.00","931,712,000.00","180,790,000.00","465,792,000.00","602,556,000.00","445,165,000.00","5,547,000.00","135,648,000.00","272,799,000.00","351,954,000.00","168,040,000.00","426,051,000.00","656,964,000.00","1,894,363,000.00","1,537,590,000.00","2,982,350,000.00","3,191,611,000.00","3,850,312,000.00","463,879,000.00","603,213,000.00","834,082,000.00","3,042,423,000.00","606,315,000.00","4,604,454,000.00","6,258,806,000.00","5,612,390,000.00","521,810,000.00","86,034,000.00","1,339,813,000.00","2,955,352,000.00","397,293,000.00","1,458,840,000.00","2,097,490,000.00","3,863,901,000.00"
经营活动产生的现金流量净额,"3,627,126,000.00","-768,525,000.00","3,030,128,000.00","-348,173,000.00","2,959,048,000.00","3,708,027,000.00","6,932,568,000.00","-2,424,717,000.00","578,141,000.00","2,363,847,000.00","4,827,114,000.00","-3,551,762,000.00","-3,362,299,000.00","-2,330,421,000.00","929,753,000.00","-4,334,674,000.00","-980,634,000.00","-2,206,143,000.00","6,672,128,000.00","-3,789,226,000.00","1,033,268,000.00","2,683,591,000.00","7,178,088,000.00","-2,704,367,000.00","-2,021,213,000.00","-2,998,158,000.00","4,410,915,000.00","-3,702,345,000.00","-1,962,245,000.00","-725,490,000.00","7,662,080,000.00","-3,833,503,000.00","-294,759,000.00","-505,131,000.00","9,949,389,000.00","-7,299,603,000.00","-7,237,521,000.00","-10,498,778,000.00","-7,525,017,000.00"
分配股利、利润或偿还利息支付的现金,"1,706,332,000.00","209,013,000.00","1,040,921,000.00","15,416,000.00","777,450,000.00","2,075,318,000.00","2,299,680,000.00","77,535,000.00","188,890,000.00","574,796,000.00","1,452,271,000.00","15,736,000.00","238,071,000.00","1,526,535,000.00","1,685,004,000.00","115,377,000.00","165,039,000.00","1,751,761,000.00","2,436,209,000.00","359,724,000.00","545,748,000.00","2,265,539,000.00","2,396,111,000.00","149,616,000.00","258,363,000.00","2,433,650,000.00","2,698,011,000.00","134,671,000.00","1,093,629,000.00","2,433,923,000.00","2,454,572,000.00","140,331,000.00","683,662,000.00","1,623,647,000.00","1,802,797,000.00","228,065,000.00","756,270,000.00","1,742,883,000.00","1,876,041,000.00"
收回投资收到的现金,"2,259,034,000.00","1,898,656,000.00","2,536,484,000.00","267,284,000.00","1,428,501,000.00","927,632,000.00","826,261,000.00","1,307,663,000.00","1,151,948,000.00","1,064,446,000.00","586,685,000.00","25,903,000.00","2,420,143,000.00","1,176,319,000.00","1,735,094,000.00","197,949,000.00","1,095,093,000.00","2,499,781,000.00","2,241,617,000.00","435,453,000.00","1,367,650,000.00","1,452,185,000.00","1,339,912,000.00","1,041,413,000.00","285,326,000.00","2,284,478,000.00","3,772,083,000.00","283,000.00","695,163,000.00","116,428,000.00","3,346,040,000.00","20,757,000.00","86,291,000.00","178,625,000.00","2,518,557,000.00","20,885,000.00","678,258,000.00","309,862,000.00","3,522,822,000.00"
支付其他与筹资活动有关的现金,,"72,886,000.00","49,371,000.00","168,585,000.00","236,805,000.00","22,611,000.00",,"22,561,000.00","5,904,000.00","28,996,000.00","44,213,000.00","338,491,000.00","160,568,000.00",,,"1,277,599,000.00","1,169,691,000.00","1,453,955,000.00","2,586,336,000.00","195,654,000.00","280,275,000.00","311,398,000.00","93,302,000.00","543,497,000.00","525,365,000.00",,,"634,047,000.00","235,427,000.00","235,427,000.00",,"3,553,425,000.00","3,428,062,000.00","4,042,062,000.00","3,422,822,000.00","127,684,000.00","36,072,000.00","216,558,000.00",
取得投资收益收到的现金,"1,538,557,000.00","768,869,000.00","964,828,000.00","41,808,000.00","417,268,000.00","385,755,000.00","1,017,525,000.00","108,787,000.00","415,369,000.00","474,627,000.00","956,539,000.00","157,216,000.00","744,090,000.00","647,651,000.00","1,471,952,000.00","41,435,000.00","467,108,000.00","645,202,000.00","1,652,281,000.00","248,224,000.00","544,217,000.00","572,527,000.00","1,538,669,000.00","170,836,000.00","810,243,000.00","1,323,366,000.00","2,146,363,000.00","170,522,000.00","1,343,815,000.00","1,350,758,000.00","1,912,842,000.00","305,775,000.00","1,218,883,000.00","1,844,003,000.00","1,931,264,000.00","160,739,000.00","1,205,294,000.00","1,661,336,000.00","2,382,262,000.00"
筹资活动现金流出小计,"3,668,372,000.00","1,527,557,000.00","2,591,476,000.00","415,937,000.00","1,571,043,000.00","2,852,622,000.00","3,231,392,000.00","280,886,000.00","660,586,000.00","1,206,348,000.00","1,941,649,000.00","359,774,000.00","534,287,000.00","1,799,334,000.00","2,036,958,000.00","1,561,016,000.00","1,760,781,000.00","3,862,680,000.00","6,916,908,000.00","2,092,968,000.00","3,808,373,000.00","5,768,548,000.00","6,339,725,000.00","1,156,992,000.00","1,386,941,000.00","3,267,732,000.00","5,740,434,000.00","1,375,033,000.00","5,933,510,000.00","8,928,156,000.00","8,066,962,000.00","4,215,566,000.00","4,197,758,000.00","7,005,522,000.00","8,180,971,000.00","753,042,000.00","2,251,182,000.00","4,056,931,000.00","5,739,942,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"188,651,000.00","212,034,000.00","279,556,000.00","7,925,000.00","1,623,000.00","49,016,000.00","182,994,000.00","43,147,000.00","184,292,000.00","209,751,000.00","245,523,000.00","3,506,000.00","25,692,000.00","42,345,000.00","187,518,000.00","2,746,000.00","66,214,000.00","117,415,000.00","199,488,000.00","3,871,000.00","90,214,000.00","98,762,000.00","537,985,000.00","2,529,000.00","388,819,000.00","852,962,000.00","1,342,789,000.00","5,533,000.00","185,855,000.00","215,184,000.00","365,163,000.00","13,186,000.00","43,581,000.00","63,189,000.00","187,576,000.00","94,466,000.00","499,067,000.00","709,984,000.00","981,754,000.00"
筹资活动产生的现金流量净额,"645,532,000.00","-135,589,000.00","-685,955,000.00","-245,842,000.00","-1,199,822,000.00","-2,309,523,000.00","-2,657,568,000.00","-119,871,000.00","2,482,858,000.00","2,435,615,000.00","2,366,059,000.00","-344,574,000.00","-408,287,000.00","-1,178,740,000.00","-167,911,000.00","-938,862,000.00","-705,949,000.00","-2,347,116,000.00","-3,781,206,000.00","35,809,000.00","-319,371,000.00","-2,043,270,000.00","-1,438,599,000.00","-860,864,000.00","-1,061,993,000.00","-1,345,313,000.00","1,907,216,000.00","5,009,982,000.00","8,499,197,000.00","6,687,890,000.00","9,254,806,000.00","-3,829,133,000.00","-2,950,645,000.00","-4,413,800,000.00","-3,163,314,000.00","99,284,000.00","-392,279,000.00","531,823,000.00","3,197,681,000.00"
处置子公司及其他营业单位收到的现金净额,"210,414,000.00","57,822,000.00","201,434,000.00",,,"802,000.00",,,"365,000,000.00","171,310,000.00","302,248,000.00",,,"209,522,000.00","163,832,000.00",,,,,,,,,,,,,"29,842,000.00","17,818,000.00","17,818,000.00","26,138,000.00",,"28,049,000.00","135,107,000.00","139,706,000.00",,,,"27,761,000.00"
四、汇率变动对现金的影响,"-47,045,000.00","-11,917,000.00","-57,831,000.00","-16,269,000.00","3,496,000.00","-9,120,000.00","10,312,000.00","-26,841,000.00","-44,134,000.00","-27,636,000.00","-49,335,000.00","-7,897,000.00","-17,659,000.00","-13,327,000.00","-82,867,000.00","-2,459,000.00","-5,545,000.00","-52,394,000.00","-32,166,000.00","-23,817,000.00","-84,343,000.00","-21,650,000.00","-162,113,000.00","22,416,000.00","36,378,000.00","31,495,000.00","-54,650,000.00","1,428,000.00","-24,427,000.00","31,718,000.00","137,296,000.00","-1,418,000.00","-66,340,000.00","59,130,000.00","107,545,000.00","-4,991,000.00","91,991,000.00","-49,481,000.00","-72,445,000.00"
收到其他与投资活动有关的现金,"847,415,000.00","488,718,000.00","497,788,000.00","491,121,000.00","724,560,000.00","369,817,000.00","636,303,000.00","698,463,000.00","738,235,000.00","644,098,000.00","210,736,000.00","1,894,789,000.00","254,926,000.00","711,643,000.00","687,259,000.00","2,792,860,000.00","1,303,484,000.00","1,343,648,000.00","436,508,000.00","2,665,063,000.00","3,495,677,000.00","3,524,372,000.00","1,651,126,000.00","1,981,608,000.00","4,610,317,000.00","4,156,256,000.00","1,860,604,000.00","4,449,526,000.00","4,460,495,000.00","13,655,491,000.00","3,981,304,000.00","5,966,874,000.00","2,484,006,000.00","1,582,965,000.00","2,124,972,000.00","5,498,656,000.00","3,116,394,000.00","1,157,341,000.00","5,531,281,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,044,071,000.00","3,426,099,000.00","4,480,090,000.00","808,138,000.00","2,571,952,000.00","1,733,022,000.00","2,663,083,000.00","2,158,060,000.00","2,854,844,000.00","2,564,232,000.00","2,301,731,000.00","2,081,414,000.00","3,444,851,000.00","2,787,480,000.00","4,245,655,000.00","3,034,990,000.00","2,931,899,000.00","4,606,046,000.00","4,529,894,000.00","3,352,611,000.00","5,497,758,000.00","5,647,846,000.00","5,067,692,000.00","3,196,386,000.00","6,094,705,000.00","8,617,062,000.00","9,121,839,000.00","4,655,706,000.00","6,703,146,000.00","15,355,679,000.00","9,631,487,000.00","6,306,592,000.00","3,860,810,000.00","3,803,889,000.00","6,902,075,000.00","5,774,746,000.00","5,499,013,000.00","3,838,523,000.00","12,445,880,000.00"
五、现金及现金等价物净增加额,"3,882,378,000.00","-2,269,342,000.00","-319,627,000.00","-1,214,131,000.00","316,506,000.00","148,444,000.00","2,112,300,000.00","-892,707,000.00","4,069,452,000.00","4,656,932,000.00","2,767,191,000.00","-3,048,642,000.00","-3,262,019,000.00","-5,179,394,000.00","-60,861,000.00","-4,411,445,000.00","-1,434,103,000.00","-5,142,347,000.00","62,734,000.00","-1,214,706,000.00","2,197,696,000.00","700,156,000.00","266,068,000.00","-735,630,000.00","1,759,729,000.00","367,439,000.00","2,840,505,000.00","783,024,000.00","3,715,172,000.00","10,148,936,000.00","14,165,457,000.00","-7,419,042,000.00","-8,350,662,000.00","-3,265,231,000.00","-3,800,453,000.00","-2,924,550,000.00","-6,589,277,000.00","-10,856,489,000.00","-8,727,208,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"3,386,945,000.00","1,626,512,000.00","3,472,472,000.00","445,468,000.00","784,639,000.00","1,206,020,000.00","2,255,310,000.00","420,986,000.00","850,014,000.00","1,456,697,000.00","3,556,783,000.00","731,929,000.00","1,152,595,000.00","1,432,917,000.00","2,385,054,000.00","436,688,000.00","1,061,849,000.00","1,421,279,000.00","2,311,419,000.00","313,420,000.00","871,611,000.00","1,305,847,000.00","1,988,543,000.00","285,156,000.00","495,998,000.00","834,429,000.00","1,984,832,000.00","315,333,000.00","344,890,000.00","854,562,000.00","1,214,294,000.00","367,693,000.00","751,642,000.00","1,206,845,000.00","1,506,335,000.00","312,476,000.00","416,056,000.00","1,433,569,000.00","3,167,063,000.00"
期初现金及现金等价物余额,"6,925,751,000.00","10,808,129,000.00","10,771,300,000.00","10,451,673,000.00","10,474,581,000.00","10,474,581,000.00","10,492,580,000.00","12,604,880,000.00","12,604,880,000.00","12,604,880,000.00","12,604,880,000.00","15,372,071,000.00","15,372,071,000.00","15,372,071,000.00","15,372,071,000.00","15,311,210,000.00","15,311,210,000.00","15,771,778,000.00","15,847,070,000.00","15,909,804,000.00","15,909,804,000.00","15,909,804,000.00","15,909,804,000.00","16,175,872,000.00","16,175,872,000.00","16,175,872,000.00","16,175,872,000.00","19,016,377,000.00","19,016,377,000.00","19,016,377,000.00","19,016,377,000.00","33,181,834,000.00","33,594,058,000.00","33,594,058,000.00","33,594,058,000.00","29,793,605,000.00","29,793,605,000.00","31,196,279,000.00","31,196,279,000.00"
投资支付的现金,"377,289,000.00","2,312,800,000.00","2,504,966,000.00","722,914,000.00","233,953,000.00","176,555,000.00","1,323,891,000.00","4,538,000.00","258,798,000.00","358,512,000.00","179,529,000.00","470,072,000.00","907,998,000.00","200,044,000.00","1,213,870,000.00","87,532,000.00","662,326,000.00","1,215,321,000.00","1,145,097,000.00","476,663,000.00","972,291,000.00","1,221,773,000.00","1,129,269,000.00","51,392,000.00","118,166,000.00","1,562,367,000.00","6,750,756,000.00","4,141,060,000.00","162,437,000.00","1,104,281,000.00","2,647,826,000.00","42,319,000.00","629,305,000.00","858,224,000.00","2,584,887,000.00","333,395,000.00","3,092,648,000.00","694,067,000.00","11,192,518,000.00"
期末现金及现金等价物余额,"10,808,129,000.00","8,538,787,000.00","10,451,673,000.00","9,237,542,000.00","10,791,087,000.00","10,623,025,000.00","12,604,880,000.00","11,712,173,000.00","16,674,332,000.00","17,261,812,000.00","15,372,071,000.00","12,323,429,000.00","12,110,052,000.00","10,192,677,000.00","15,311,210,000.00","10,899,765,000.00","13,877,107,000.00","10,629,431,000.00","15,909,804,000.00","14,695,098,000.00","18,107,500,000.00","16,609,960,000.00","16,175,872,000.00","15,440,242,000.00","17,935,601,000.00","16,543,311,000.00","19,016,377,000.00","19,799,401,000.00","22,731,549,000.00","29,165,313,000.00","33,181,834,000.00","25,762,792,000.00","25,243,396,000.00","30,328,827,000.00","29,793,605,000.00","26,869,055,000.00","23,204,328,000.00","20,339,790,000.00","22,469,071,000.00"
