科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收到其他与筹资活动有关的现金,"78,491,370.00","218,424,393.57","35,000,000.00","413,820.00","413,820.00","20,413,820.00",,,,"20,000,000.00"
支付其他与经营活动有关的现金,"84,973,647.83","91,200,746.94","91,994,624.84","45,864,102.56","78,130,890.15","108,643,030.27","24,005,997.20","46,510,855.64","77,309,369.55","104,819,549.29"
筹资活动现金流入小计,"548,781,370.00","668,424,393.57","529,961,850.00","198,413,820.00","524,113,820.00","634,113,820.00","52,000,000.00","180,000,000.00","270,000,000.00","380,000,000.00"
经营活动现金流出小计,"1,369,523,929.22","1,569,603,021.46","1,560,595,554.92","792,268,661.46","1,184,866,259.25","1,656,293,387.57","510,501,317.37","940,349,782.76","1,395,295,473.26","1,867,300,288.35"
偿还债务支付的现金,"370,590,000.00","428,290,000.00","464,961,850.00","213,000,000.00","532,000,000.00","590,000,000.00","93,000,000.00","168,000,000.00","238,000,000.00","328,000,000.00"
经营活动产生的现金流量净额,"154,844,529.03","46,236,679.86","118,259,841.86","63,479,020.30","113,989,723.40","131,520,641.88","55,037,624.91","43,387,670.16","86,999,195.10","141,827,042.85"
分配股利、利润或偿还利息支付的现金,"28,736,830.19","31,256,972.87","31,361,710.28","13,496,236.09","19,181,652.39","22,511,154.47","3,765,964.11","7,250,434.92","23,825,707.77","28,682,232.76"
收回投资收到的现金,,,,,,"100,000.00","55,000,000.00","55,000,000.00","55,000,000.00","114,105,000.00"
支付其他与筹资活动有关的现金,"81,849,500.00","141,331,200.22","115,009,380.85","2,315,678.00","2,444,678.00","7,703,344.67",,,,"21,287,135.49"
取得投资收益收到的现金,"1,450,000.00","1,506,000.00","1,200,000.00","1,000,000.00","1,000,000.00","1,000,000.00","635,616.44","635,616.44","635,616.44","635,616.44"
筹资活动现金流出小计,"481,176,330.19","600,878,173.09","611,332,941.13","228,811,914.09","553,626,330.39","620,214,499.14","96,765,964.11","175,250,434.92","261,825,707.77","377,969,368.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"22,969,414.00","2,509,997.00","7,000.00",,,,"7,350.00","7,350.00","14,006.00","237,339.00"
筹资活动产生的现金流量净额,"67,605,039.81","67,546,220.48","-81,371,091.13","-30,398,094.09","-29,512,510.39","13,899,320.86","-44,765,964.11","4,749,565.08","8,174,292.23","2,030,631.75"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,"100,000.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"24,419,414.00","4,015,997.00","1,207,000.00","1,000,000.00","1,100,000.00","1,100,000.00","55,642,966.44","55,642,966.44","55,649,622.44","114,977,955.44"
五、现金及现金等价物净增加额,"22,457,027.14","10,531,351.83","-23,419,495.76","8,309,303.21","29,670,145.42","54,283,295.50","-26,693,994.46","-17,850,903.22","14,025,264.96","-32,365,178.11"
购建固定资产、无形资产和其他长期资产支付的现金,"224,411,955.70","107,267,545.51","61,515,246.49","25,771,623.00","35,168,525.01","71,498,124.66","37,608,621.70","66,631,104.90","81,797,844.81","95,946,808.15"
期初现金及现金等价物余额,"57,546,526.37","80,003,553.51","90,534,905.34","67,115,409.58","67,115,409.58","67,115,409.58","121,398,705.08","121,398,705.08","121,398,705.08","121,398,705.08"
投资支付的现金,,,,,"20,738,542.58","20,738,542.58","55,000,000.00","55,000,000.00","55,000,000.00","195,254,000.00"
期末现金及现金等价物余额,"80,003,553.51","90,534,905.34","67,115,409.58","75,424,712.79","96,785,555.00","121,398,705.08","94,704,710.62","103,547,801.86","135,423,970.04","89,033,526.97"
