科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度
支付给职工以及为职工支付的现金,"57,315,707.92","77,516,726.18","92,709,277.58","19,612,763.18","25,441,217.39","35,401,029.79","47,520,556.11","12,545,355.14","27,277,000.94","41,228,689.14","57,981,554.21","18,164,775.20","33,607,574.89","94,114,761.98","122,705,209.42","27,237,091.26","55,925,101.91","80,672,971.53","103,395,305.80","21,349,905.39","75,641,550.11","174,797,172.50","264,899,171.54"
取得借款收到的现金,"265,000,000.00","100,000,000.00","359,230,000.00","30,000,000.00","30,000,000.00","130,000,000.00","170,000,000.00","138,000,000.00","189,173,257.28","389,532,008.29","499,532,008.29","110,000,000.00","140,000,000.00","402,500,000.00","402,500,000.00","77,832,376.49","169,802,933.47","249,802,933.47","219,802,933.47","30,000,000.00","30,000,000.00","30,000,000.00","100,000,000.00"
支付的各项税费,"24,385,576.23","51,290,793.28","55,253,946.43","9,424,518.12","32,579,834.56","44,597,859.32","61,981,238.36","5,256,002.74","22,530,614.29","37,958,244.30","55,532,235.37","10,470,655.06","25,157,630.12","62,918,623.41","77,964,241.80","15,631,658.96","30,924,391.42","50,310,661.27","61,323,953.37","18,105,241.35","65,231,176.16","124,237,671.05","187,014,179.61"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,"1,984,319,024.75","1,990,595,628.01","2,020,607,213.24",
支付其他与经营活动有关的现金,"31,531,176.32","30,003,804.45","10,835,345.65","5,240,322.30","5,877,011.15","13,929,450.55","15,612,820.73","4,322,537.84","8,216,193.76","13,205,423.90","16,846,430.91","4,750,003.17","9,323,095.59","13,649,174.75","17,354,918.49","6,254,188.99","12,637,934.49","18,804,896.46","41,944,420.24","4,244,544.21","508,405,321.87","2,691,531,942.78","8,680,239,637.04"
筹资活动现金流入小计,"265,000,000.00","161,056,078.56","359,230,000.00","30,000,000.00","377,000,000.00","477,000,000.00","517,000,000.00","138,000,000.00","189,173,257.28","389,532,008.29","499,532,008.29","110,000,000.00","140,000,000.00","402,500,000.00","402,500,000.00","77,832,376.49","172,802,933.47","255,802,933.47","225,802,933.47","2,014,319,024.75","10,341,195,606.51","10,751,207,191.74","11,675,006,352.39"
经营活动现金流出小计,"811,828,879.64","1,370,792,275.17","1,661,614,740.65","356,324,281.01","757,165,726.08","1,134,479,588.64","1,472,388,631.64","391,080,187.82","930,655,578.83","1,181,030,883.97","1,551,149,125.76","393,446,072.75","838,464,456.43","1,249,316,545.52","1,604,061,752.43","286,372,134.34","659,168,656.84","919,576,445.27","958,930,325.73","205,895,075.84","1,044,035,068.94","3,642,928,550.31","10,072,655,245.63"
偿还债务支付的现金,"195,000,000.00","45,000,000.00","169,330,000.00","21,917,015.63","125,927,015.63","324,927,015.63","444,900,000.00","100,000,000.00","188,000,000.00","194,169,697.15","354,532,008.29","95,000,000.00","197,000,000.00","292,000,000.00","475,000,000.00","115,000,000.00","162,332,376.49","274,302,933.47","362,302,933.47","30,000,000.00","1,035,060,000.00","1,958,750,000.00","2,008,750,000.00"
经营活动产生的现金流量净额,"-3,177,522.94","71,096,985.44","-63,651,684.33","-58,908,851.49","-85,360,571.75","27,827,560.75","121,022,441.82","-14,831,310.31","30,649,190.41","-114,633,765.24","-55,803,328.66","-33,411,428.46","91,546,861.26","-24,744,261.26","127,378,601.64","22,083,775.65","105,266,768.68","121,891,430.90","266,728,451.47","15,343,555.07","-347,776,839.90","-1,565,701,227.70","-6,233,746,504.35"
分配股利、利润或偿还利息支付的现金,"57,608,370.00","99,610,950.00","33,028,543.90","6,107,804.95","12,392,759.24","53,679,668.29","56,388,106.13","2,056,155.00","52,131,698.41","55,462,348.39","61,334,325.52","3,144,533.33","67,577,525.55","72,909,689.78","72,656,475.54","1,619,443.05","82,072,337.80","85,599,076.63","103,232,193.54","153,660.12","45,462,459.98","52,128,645.71","8,795,570.93"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,"6,720,898.70","16,288,299.66","32,900,000.00"
支付其他与筹资活动有关的现金,,,"4,209,181.93","1,552,131.89","5,727,115.28","5,782,757.13","5,782,757.13",,,,,,,,,,"238,000.00","238,000.00",,"1,984,200,200.00","2,029,823,891.22","2,042,561,306.11",
取得投资收益收到的现金,"1,455,120.00",,,,,,,,,,,,,,,,,,,,"9,470,907.54","30,478,331.10","39,383.35"
筹资活动现金流出小计,"252,608,370.00","144,610,950.00","206,567,725.83","29,576,952.47","144,046,890.15","384,389,441.05","507,070,863.26","102,056,155.00","240,131,698.41","249,632,045.54","415,866,333.81","98,144,533.33","264,577,525.55","364,909,689.78","547,656,475.54","116,619,443.05","244,642,714.29","360,140,010.10","465,535,127.01","2,014,353,860.12","3,110,346,351.20","4,053,439,951.82","2,017,545,570.93"
处置固定资产、无形资产和其他长期资产收回的现金净额,"63,265.31","263,700.00",,,,"37,200.00",,,,"90,154.00","90,154.00",325.00,"11,895.00","28,267.50","104,409.00","71,111.50","74,772.50","80,120.50","105,161.98","77,463.00","189,329.00","261,475.00","669,014.72"
筹资活动产生的现金流量净额,"12,391,630.00","16,445,128.56","152,662,274.17","423,047.53","232,953,109.85","92,610,558.95","9,929,136.74","35,943,845.00","-50,958,441.13","139,899,962.75","83,665,674.48","11,855,466.67","-124,577,525.55","37,590,310.22","-145,156,475.54","-38,787,066.56","-71,839,780.82","-104,337,076.63","-239,732,193.54","-34,835.37","7,230,849,255.31","6,697,767,239.92","9,657,460,781.46"
处置子公司及其他营业单位收到的现金净额,"28,271,300.06",,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,"-1,881.06","199,926.70","-67,210.47","174,964.97","248,885.22","2,586,215.39"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"9,117,131,698.29","9,132,721,810.22","9,132,721,810.22"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"29,789,685.37","263,700.00",,,,"37,200.00",,,,"90,154.00","90,154.00",325.00,"11,895.00","28,267.50","104,409.00","71,111.50","74,772.50","80,120.50","105,161.98","77,463.00","9,133,512,833.53","9,179,749,915.98","9,166,330,208.29"
五、现金及现金等价物净增加额,"-5,496,354.12","48,510,775.34","30,362,334.60","-63,886,844.86","125,137,429.63","82,833,711.15","50,310,503.23","3,898,372.63","-57,729,875.70","-40,484,082.15","-53,291,017.99","-28,316,927.37","-49,973,647.52","-17,774,971.86","-65,494,137.33","-22,376,682.34","21,411,414.58","350,689.38","1,422,956.13","14,284,731.80","12,448,953,947.72","10,591,011,929.34","8,651,283,175.82"
购建固定资产、无形资产和其他长期资产支付的现金,"19,406,371.71","32,283,242.22","58,648,255.24","5,401,040.90","22,455,108.47","37,641,608.55","80,641,075.33","17,214,162.06","37,420,624.98","65,840,433.66","81,243,517.81","6,761,290.58","16,954,878.23","30,649,288.32","47,820,672.43","5,744,502.93","12,090,345.78","16,099,840.43","25,878,390.48","1,034,240.43","10,102,901.52","14,175,268.99","27,177,467.11"
期初现金及现金等价物余额,"34,424,818.29","28,928,464.17","77,439,239.51","107,801,574.11","107,801,574.11","107,801,574.11","107,801,574.11","158,112,077.34","158,112,077.34","158,112,077.34","158,112,077.34","104,821,059.35","104,821,059.35","104,821,059.35","104,821,059.35","39,326,922.02","39,326,922.02","39,326,922.02","39,326,922.02","40,749,878.15","40,749,878.15","40,749,878.15","40,749,878.15"
投资支付的现金,"25,093,774.84","7,011,796.44",,,,,,,,,,,,,,,,,,,"91,703,306.81","232,481,184.67","449,170,000.00"
期末现金及现金等价物余额,"28,928,464.17","77,439,239.51","107,801,574.11","43,914,729.25","232,939,003.74","190,635,285.26","158,112,077.34","162,010,449.97","100,382,201.64","117,627,995.19","104,821,059.35","76,504,131.98","54,847,411.83","87,046,087.49","39,326,922.02","16,950,239.68","60,738,336.60","39,677,611.40","40,749,878.15","55,034,609.95","12,489,703,825.87","10,631,761,807.49","8,692,033,053.97"
