科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"332,219,466.24","437,017,799.82","491,979,594.21","129,779,509.89","261,854,189.14","409,938,430.70","529,701,236.93","170,592,077.30","281,629,133.83","426,897,240.47","593,798,717.88","180,160,023.08","361,574,502.53","509,913,099.59"
取得借款收到的现金,"1,498,686,837.64","2,140,037,500.00","2,359,846,721.60","485,696,700.00","730,440,700.00","981,712,700.00","1,108,732,700.00","680,459,052.85","808,154,000.00","1,493,506,000.00","2,033,506,000.00","815,000,000.00","1,440,000,000.00","1,440,000,000.00"
支付的各项税费,"76,361,682.63","81,682,496.18","89,273,508.50","22,440,429.19","44,184,453.46","66,978,546.76","83,814,101.42","35,255,979.43","58,309,047.03","89,437,217.28","122,896,656.45","57,825,854.49","120,547,522.35","141,122,334.37"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"258,821,116.78","286,338,795.61","336,414,928.11","77,875,629.89","173,128,250.56","51,711,921.78","341,679,831.44","34,695,751.12","194,201,745.22","187,784,943.68","428,909,229.39","28,789,461.42","273,901,044.61","295,105,116.07"
筹资活动现金流入小计,"1,498,686,837.64","2,140,037,500.00","2,359,846,721.60","485,696,700.00","1,482,444,973.94","1,735,093,659.39","1,866,736,973.94","680,459,052.85","808,154,000.00","1,493,506,000.00","2,033,506,000.00","815,000,000.00","1,440,000,000.00","1,442,000,000.00"
经营活动现金流出小计,"3,028,661,383.40","3,634,051,560.15","3,903,482,799.15","1,157,740,921.20","1,891,319,663.64","2,751,132,505.55","3,791,723,460.94","1,251,854,139.54","1,824,711,924.87","2,881,878,017.41","3,937,616,742.34","1,530,381,227.43","2,594,827,361.79","4,202,767,997.53"
偿还债务支付的现金,"1,358,010,652.92","2,078,528,334.18","2,439,935,313.99","566,654,263.50","805,281,763.50","1,122,586,014.82","1,437,559,763.50","173,592,418.08","734,544,000.00","983,112,000.00","1,484,136,000.00","180,000,000.00","680,000,000.00","1,820,000,000.00"
经营活动产生的现金流量净额,"350,227,908.51","325,293,526.13","484,186,760.37","115,558,283.39","228,308,459.02","264,791,007.46","495,736,937.79","73,754,573.41","162,525,852.41","302,636,362.52","428,887,782.79","-46,747,208.09","2,285,773.01","63,495,195.56"
分配股利、利润或偿还利息支付的现金,"258,471,972.06","240,927,701.62","10,967,918.50","1,141,990.59","3,485,739.91","67,202,487.59","74,846,738.27","794,206.04","79,868,233.63","81,561,765.51","92,930,745.26","6,116,232.57","112,016,553.50","129,829,506.70"
收回投资收到的现金,,,,,,,"1,409,000,000.00","240,000,000.00","564,000,000.00","774,000,000.00","1,524,000,000.00","870,000,000.00","2,752,200,000.00","2,965,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,
取得投资收益收到的现金,"1,194,750.27",,,,,"687,408.22","9,115,413.71","3,229,972.60","7,014,332.04","9,964,158.52","29,510,431.19","4,209,869.44","6,941,891.39","12,427,816.54"
筹资活动现金流出小计,"1,616,482,624.98","2,319,456,035.80","2,450,903,232.49","567,796,254.09","808,767,503.41","1,189,788,502.41","1,512,406,501.77","174,386,624.12","814,412,233.63","1,064,673,765.51","1,577,066,745.26","186,116,232.57","792,016,553.50","1,949,829,506.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,101,641.38","1,966,397.91","1,019,110.63","758,906.73","1,282,382.60","2,471,269.58","3,032,721.94","45,385.00","4,236,999.86","4,374,099.37","5,747,399.28","795,021.26","2,774,847.32","2,286,208.34"
筹资活动产生的现金流量净额,"-117,795,787.34","-179,418,535.80","-91,056,510.89","-82,099,554.09","673,677,470.53","545,305,156.98","354,330,472.17","506,072,428.73","-6,258,233.63","428,832,234.49","456,439,254.74","628,883,767.43","647,983,446.50","-507,829,506.70"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-465,973.07","-33,622,660.55","3,388,194.56","6,522,733.95","12,053,923.80","56,553,469.14","75,944,210.93","-11,811,103.71","25,406,392.25","47,620,710.24","95,463,854.43","6,080,115.23","-54,715,102.85","-110,054,894.14"
收到其他与投资活动有关的现金,"3,843,000.00","1,360,000.00","492,000.00","60,000.00","90,000.00","224,961,589.79","550,000.00","180,000.00","480,000.00","480,000.00","2,134,000.00","4,615,000.00","6,755,000.00","7,787,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"8,139,391.65","3,326,397.91","1,511,110.63","818,906.73","1,372,382.60","228,120,267.59","1,421,698,135.65","243,455,357.60","575,731,331.90","788,818,257.89","1,561,391,830.47","879,619,890.70","2,768,671,738.71","2,987,501,024.88"
五、现金及现金等价物净增加额,"-40,927,685.15","-32,472,063.95","307,989,602.14","7,540,104.75","264,894,906.33","34,111,271.53","485,312,566.89","423,649,973.93","148,869,706.91","181,451,455.64","784,060,342.19","776,666,511.62","874,388,172.05","-168,633,995.19"
购建固定资产、无形资产和其他长期资产支付的现金,"275,605,024.90","146,347,791.64","89,051,952.53","33,050,265.23","37,267,329.62",,"78,777,189.65","17,751,282.10","28,395,636.02","46,156,109.50","66,402,380.24","38,404,053.65","80,798,076.23","150,979,814.79"
期初现金及现金等价物余额,"553,316,084.68","512,388,399.53","479,916,335.58","787,905,937.72","787,905,937.72","787,905,937.72","787,905,937.72","1,273,218,504.61","1,273,218,504.61","1,273,999,505.69","1,273,218,504.61","2,057,278,846.80","2,057,278,846.80","2,057,278,846.80"
投资支付的现金,,,,,"613,000,000.00","68,780,920.97","1,783,000,000.00","370,000,000.00","580,000,000.00","1,340,000,000.00","1,690,800,000.00","650,000,000.00","2,404,200,000.00","2,445,000,000.00"
期末现金及现金等价物余额,"512,388,399.53","479,916,335.58","787,905,937.72","795,446,042.47","1,052,800,844.05","822,017,209.25","1,273,218,504.61","1,696,868,478.54","1,422,088,211.52","1,455,450,961.33","2,057,278,846.80","2,833,945,358.42","2,931,667,018.85","1,888,644,851.61"
