科目,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得借款收到的现金,"16,739,126,110.00","28,224,100,120.00","31,640,205,820.00","14,420,203,630.00","24,804,161,790.00","36,914,176,050.00","37,288,846,130.00","5,883,038,370.00","12,782,285,410.00","19,484,159,900.00","24,515,274,000.00","7,773,335,000.00","27,806,076,000.00","28,817,816,000.00","32,422,027,000.00","29,829,202,000.00","31,631,302,000.00","32,917,986,000.00","62,169,886,000.00","978,979,000.00","1,117,310,000.00"
支付的各项税费,"3,539,645,080.00","5,183,832,040.00","6,319,042,120.00","1,504,612,890.00","4,432,638,160.00","6,913,017,120.00","8,465,413,330.00","2,000,945,860.00","5,135,145,750.00","6,747,190,750.00","8,323,884,000.00","2,003,485,000.00","4,743,106,000.00","6,828,734,000.00","8,824,342,000.00","2,729,906,000.00","5,982,427,000.00","9,412,941,000.00","11,139,448,000.00","2,826,238,000.00","6,994,367,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,"166,715,000.00",,"1,999,500,000.00",,,,,,,,
支付其他与经营活动有关的现金,"10,929,420,670.00","15,896,320,460.00","18,449,451,860.00","4,239,788,770.00","7,040,238,620.00","15,626,694,480.00","17,254,388,540.00","3,974,197,790.00","11,489,442,460.00","12,165,556,560.00","16,335,966,000.00","6,240,186,000.00","9,466,053,000.00","15,425,973,000.00","21,818,021,000.00","6,692,300,000.00","13,402,245,000.00","22,292,143,000.00","29,139,920,000.00","7,345,969,000.00","13,452,323,000.00"
筹资活动现金流入小计,"16,750,722,150.00","28,235,696,160.00","31,657,009,890.00","14,420,203,630.00","24,804,161,790.00","36,914,176,050.00","37,296,774,040.00","5,883,038,370.00","14,275,716,700.00","21,135,268,690.00","26,383,619,000.00","7,792,569,000.00","29,851,128,000.00","31,468,944,000.00","35,236,372,000.00","29,990,309,000.00","32,261,156,000.00","34,283,841,000.00","63,838,091,000.00","1,992,283,000.00","2,829,278,000.00"
经营活动现金流出小计,"43,789,546,900.00","63,334,343,990.00","74,470,957,750.00","18,221,928,400.00","40,675,726,920.00","69,311,959,050.00","87,426,954,500.00","25,548,358,330.00","55,477,027,410.00","81,904,997,320.00","107,514,036,000.00","29,143,602,000.00","64,624,565,000.00","100,416,580,000.00","135,963,803,000.00","42,942,030,000.00","91,784,686,000.00","137,512,205,000.00","182,872,989,000.00","54,522,712,000.00","101,470,011,000.00"
偿还债务支付的现金,"10,999,678,300.00","23,409,485,870.00","29,133,403,330.00","8,595,134,470.00","15,368,031,100.00","34,441,969,540.00","39,654,308,980.00","4,433,876,850.00","9,388,064,090.00","22,253,996,930.00","29,352,243,000.00","2,847,658,000.00","11,044,612,000.00","21,748,594,000.00","26,961,143,000.00","1,153,671,000.00","4,198,336,000.00","4,718,342,000.00","36,074,251,000.00","2,138,653,000.00","2,493,061,000.00"
经营活动产生的现金流量净额,"3,569,363,630.00","5,426,595,050.00","10,054,196,410.00","3,223,813,310.00","13,171,462,850.00","13,853,704,080.00","24,788,511,130.00","2,498,715,370.00","8,815,671,890.00","17,970,483,890.00","26,764,254,000.00","6,595,024,000.00","8,129,163,000.00","19,037,495,000.00","26,695,009,000.00","7,008,571,000.00","13,895,932,000.00","20,067,642,000.00","24,442,623,000.00","4,429,092,000.00","7,613,688,000.00"
分配股利、利润或偿还利息支付的现金,"1,758,519,710.00","1,904,912,730.00","2,313,735,380.00","253,404,980.00","3,644,368,150.00","3,786,737,440.00","4,052,594,960.00","124,133,960.00","4,614,943,740.00","4,781,153,290.00","4,908,031,000.00","142,443,000.00","5,560,069,000.00","5,728,142,000.00","6,046,355,000.00","189,407,000.00","7,072,016,000.00","7,578,451,000.00","7,908,056,000.00","325,629,000.00","8,667,397,000.00"
收回投资收到的现金,"1,000,000.00","1,000,000.00","1,000,000.00",,"4,001,000,000.00","5,440,020,000.00",,"2,380,460.00","6,736,940.00","6,736,940.00","42,061,959,000.00","16,846,496,000.00","28,775,253,000.00","48,980,669,000.00","73,905,220,000.00","26,720,523,000.00","40,674,727,000.00","56,859,505,000.00","85,127,382,000.00","11,755,659,000.00","31,793,113,000.00"
支付其他与筹资活动有关的现金,"3,577,000,000.00","4,001,200,000.00","5,574,000,000.00","1,000,000,000.00","1,000,000,000.00",,"1,000,000,000.00",,,"999,997,670.00","999,998,000.00",,,"1,999,500,000.00","2,068,962,000.00","95,375,000.00",,,"204,139,000.00","1,782,206,000.00","1,835,429,000.00"
取得投资收益收到的现金,"414,878,020.00","713,005,520.00","1,012,934,580.00","236,049,110.00","288,626,730.00","682,830,120.00","1,345,434,300.00","492,988,790.00","1,042,100,460.00","1,529,728,780.00","2,088,899,000.00","406,105,000.00","824,805,000.00","1,339,590,000.00","1,954,049,000.00","490,466,000.00","1,223,225,000.00","1,664,387,000.00","2,727,603,000.00","470,848,000.00","1,007,924,000.00"
筹资活动现金流出小计,"16,335,198,010.00","29,315,598,600.00","37,021,138,710.00","9,848,539,450.00","20,012,399,250.00","38,228,706,980.00","44,706,903,940.00","4,558,010,810.00","14,003,007,830.00","28,035,147,890.00","35,260,272,000.00","2,990,101,000.00","16,604,681,000.00","29,476,236,000.00","35,076,460,000.00","1,438,453,000.00","11,270,352,000.00","12,296,793,000.00","44,186,446,000.00","4,246,488,000.00","12,995,887,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"192,402,450.00","545,749,160.00","423,738,400.00","925,139,300.00","1,116,283,310.00","1,299,396,240.00","1,273,490,830.00","8,810,400.00","205,285,260.00","212,939,600.00","548,009,000.00","2,987,000.00","16,919,000.00","170,570,000.00","191,159,000.00","13,902,000.00","859,943,000.00","865,341,000.00","1,441,101,000.00","23,595,000.00","36,333,000.00"
筹资活动产生的现金流量净额,"415,524,140.00","-1,079,902,440.00","-5,364,128,820.00","4,571,664,180.00","4,791,762,540.00","-1,314,530,930.00","-7,410,129,900.00","1,325,027,560.00","272,708,870.00","-6,899,879,200.00","-8,876,653,000.00","4,802,468,000.00","13,246,447,000.00","1,992,708,000.00","159,912,000.00","28,551,856,000.00","20,990,804,000.00","21,987,048,000.00","19,651,645,000.00","-2,254,205,000.00","-10,166,609,000.00"
处置子公司及其他营业单位收到的现金净额,"91,299,200.00","106,514,710.00","242,099,310.00",,,,,,,,,,"272,899,000.00","272,899,000.00","272,899,000.00",,"2,415,000.00","2,415,000.00",,,"30,755,000.00"
四、汇率变动对现金的影响,"-10,829,950.00","-14,881,400.00","-3,590,620.00","-14,111,800.00","-11,048,220.00","-8,090,920.00","-7,619,190.00","-80,698,630.00","-28,372,780.00","-17,500,920.00","16,669,000.00","-2,347,000.00","70,620,000.00","101,834,000.00","252,576,000.00","48,314,000.00","137,862,000.00","121,585,000.00","-36,737,000.00","-357,924,000.00","92,339,000.00"
收到其他与投资活动有关的现金,,,"3,156,610.00",,,,,,,,"42,269,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"699,579,670.00","1,366,269,390.00","1,682,928,900.00","1,161,188,410.00","5,405,910,040.00","7,422,246,360.00","2,618,925,130.00","504,179,650.00","1,254,122,660.00","1,749,405,320.00","44,741,136,000.00","17,255,588,000.00","29,889,876,000.00","50,763,728,000.00","76,323,327,000.00","27,224,891,000.00","42,760,310,000.00","59,391,648,000.00","89,296,086,000.00","12,250,102,000.00","32,868,125,000.00"
五、现金及现金等价物净增加额,"3,404,743,940.00","3,878,781,690.00","4,219,795,030.00","8,038,619,370.00","-4,534,542,850.00","-11,648,559,430.00","-11,491,635,450.00","2,567,675,730.00","234,907,880.00","1,203,388,850.00","-84,923,000.00","1,834,885,000.00","5,109,499,000.00","3,361,596,000.00","7,326,413,000.00","8,699,252,000.00","8,272,701,000.00","23,848,525,000.00","9,317,923,000.00","-5,433,129,000.00","-11,404,259,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"1,268,893,550.00","1,798,517,260.00","2,115,389,410.00","902,058,240.00","1,388,961,920.00","1,610,167,830.00","2,678,179,150.00","523,829,030.00","1,166,630,670.00","1,898,205,210.00","3,130,932,000.00","484,331,000.00","1,076,411,000.00","1,605,425,000.00","2,323,430,000.00","510,405,000.00","1,520,059,000.00","2,071,492,000.00","3,218,402,000.00","927,703,000.00","2,368,539,000.00"
期初现金及现金等价物余额,,"12,544,078,770.00","12,544,078,770.00","16,763,873,800.00","16,763,873,800.00","16,763,873,800.00","16,763,873,800.00","5,272,238,350.00","5,272,238,350.00","5,272,238,350.00","5,272,240,000.00","5,187,317,000.00","5,187,317,000.00","5,187,317,000.00","5,187,317,000.00","12,513,730,000.00","12,513,730,000.00","12,513,730,000.00","12,513,730,000.00","21,831,653,000.00","21,831,653,000.00"
投资支付的现金,,"20,781,650.00","34,221,430.00",,"26,488,790,030.00","29,296,675,300.00","28,800,775,410.00","1,155,719,190.00","8,915,487,430.00","9,703,810,370.00","59,315,666,000.00","26,331,517,000.00","43,293,409,000.00","65,071,957,000.00","90,880,725,000.00","28,410,748,000.00","42,660,602,000.00","50,014,698,000.00","94,967,122,000.00","18,424,204,000.00","39,300,659,000.00"
期末现金及现金等价物余额,,"16,422,860,460.00","16,763,873,800.00","24,802,493,170.00","12,229,330,950.00","5,115,314,370.00","5,272,238,350.00","7,839,914,080.00","5,507,146,230.00","6,475,627,200.00","5,187,317,000.00","7,022,202,000.00","10,296,816,000.00","8,548,913,000.00","12,513,730,000.00","21,212,982,000.00","20,786,431,000.00","36,362,255,000.00","21,831,653,000.00","16,398,524,000.00","10,427,394,000.00"
