科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"3,406,518.05","150,000.00","15,495,724.67","118,593,297.61"
四、汇率变动对现金的影响,,,,,,,,,,,-90.00,"1,520.00","1,224.07",-262.53,856.42,"1,178.35","2,354.09",-251.13,-751.89,"-1,286.52"
收到其他与投资活动有关的现金,,,"1,500,000.00",,,,,,,"223,272,362.30","572,904,072.99","577,913,696.38","561,457,065.69","91,235,484.03","101,196,350.95","206,781,085.09","354,000,000.00","56,071,207.67","56,071,207.67","66,073,509.87"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"51,403,776.96","750,000.00","2,282,692.31","760,462.92","760,462.92","1,512,000.00","1,512,000.00","1,512,000.00","12,511,901.31","276,183,370.30","625,845,080.99","630,854,704.38","589,977,203.17","91,166,859.03","109,211,852.76","214,796,586.90","365,064,021.88","58,890,489.71","74,236,214.38","187,195,895.52"
五、现金及现金等价物净增加额,"161,346,099.31","-11,556,902.27","180,509,987.54","-8,193,629.52","68,715,689.82","451,068,966.75","443,986,352.33","202,379,068.25","-161,157,561.62","374,913,266.89","298,823,688.56","354,134,994.33","-37,139,061.33","-59,772,205.30","-51,997,746.82","-3,871,032.35","-37,655,992.35","-60,592,630.43","-71,653,373.87","49,643,938.84"
购建固定资产、无形资产和其他长期资产支付的现金,"9,957,663.37","172,664,158.03","14,175,337.03","4,977,456.60","10,649,423.27","11,500,949.14","54,115,366.97","75,255,217.46","121,427,255.02","2,096,957.10","29,426,158.25","32,026,818.11","61,465,304.02","8,780,166.98","9,782,699.87","12,678,334.84","26,233,641.27","12,891,092.98","15,283,526.93","17,872,002.67"
期初现金及现金等价物余额,"24,900,878.04","186,246,977.35","174,690,075.08","355,200,062.62","355,200,062.62","424,915,752.44","423,915,752.44","423,915,752.44","423,915,752.44","262,758,190.82","264,528,466.36","264,528,466.36","264,528,466.36","227,389,405.03","227,389,405.03","227,389,405.03","227,389,405.03","189,733,412.68","189,733,412.68","189,733,412.68"
投资支付的现金,"50,200,000.00",,"622,200.00",,,,,,,,,,"23,511,843.30",,,,"300,000.00",,,
期末现金及现金等价物余额,"186,246,977.35","174,690,075.08","355,200,062.62","347,006,433.10","423,915,752.44","875,984,719.19","867,902,104.77","626,294,820.69","262,758,190.82","637,671,457.71","563,352,154.92","618,663,460.69","227,389,405.03","167,617,199.73","175,391,658.21","223,518,372.68","189,733,412.68","129,140,782.25","118,080,038.81","239,377,351.52"
