科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度
支付给职工以及为职工支付的现金,"95,589,162.28","190,470,532.57","281,137,901.60","433,322,194.68","123,604,066.74","226,797,031.52","289,929,478.11","441,560,223.78","109,499,766.92","207,630,669.46","299,466,819.93","439,002,653.26","123,924,862.64","253,833,430.00","382,062,268.68","610,838,544.50","163,193,691.14","336,434,502.73","443,877,129.30","688,648,198.88","177,415,817.88","379,040,988.05","536,980,680.83","835,334,971.32"
取得借款收到的现金,"212,100,000.00","473,660,000.00","962,360,000.00","1,406,560,000.00","305,100,000.00","618,100,000.00","1,295,200,000.00","1,645,200,000.00","944,000,000.00","1,247,000,000.00","1,949,000,000.00","2,058,000,000.00","278,000,000.00","524,000,000.00","1,007,000,000.00","1,156,000,000.00","135,000,000.00","458,000,000.00","791,800,000.00","871,800,000.00","177,900,000.00","535,400,000.00","704,100,000.00","718,750,000.00"
支付的各项税费,"64,632,933.04","142,319,650.46","200,003,085.89","313,232,698.47","102,796,636.32","189,110,714.09","214,612,211.49","274,412,569.66","72,352,279.35","149,238,078.43","219,120,113.85","287,896,837.59","82,260,088.26","147,229,220.39","225,728,000.71","292,596,107.17","91,154,717.99","173,445,114.01","268,955,796.30","353,098,824.59","120,059,887.80","234,113,402.54","340,591,081.95","428,456,473.52"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"352,142.91",,"38,158.77",,,,,,"4,658,382.22",
支付其他与经营活动有关的现金,"134,870,776.66","259,210,385.67","351,443,969.37","485,616,996.16","127,055,681.72","254,868,401.99","333,114,134.26","391,879,226.25","116,282,670.41","213,596,447.63","361,172,693.20","476,571,013.70","118,996,758.97","246,545,886.25","384,070,730.72","494,110,562.77","143,544,800.31","239,458,137.78","430,817,501.72","458,119,864.11","149,467,176.23","239,983,256.02","418,798,408.07","560,281,630.46"
筹资活动现金流入小计,"212,100,000.00","473,660,000.00","962,360,000.00","1,483,411,843.06","305,100,000.00","618,100,000.00","1,295,200,000.00","1,645,200,000.00","944,000,000.00","1,247,000,000.00","1,949,000,000.00","2,058,000,000.00","278,000,000.00","524,000,000.00","1,007,352,142.91","1,156,000,000.00","135,038,158.77","458,000,000.00","791,800,000.00","871,800,000.00","177,900,000.00","535,400,000.00","708,758,382.22","718,750,000.00"
经营活动现金流出小计,"702,650,370.93","1,393,151,376.21","2,102,149,503.79","3,144,313,873.55","862,190,762.71","1,789,465,617.06","2,137,580,129.66","2,899,840,442.39","694,683,348.92","1,460,636,724.85","2,063,175,093.17","2,940,893,963.45","857,731,462.87","1,730,844,993.24","2,639,320,134.51","3,696,376,756.53","999,269,589.27","2,043,818,834.23","2,724,974,465.58","4,124,063,760.46","960,711,272.55","2,273,244,009.89","3,560,563,207.00","4,683,150,956.64"
偿还债务支付的现金,"290,720,000.00","560,280,000.00","1,043,980,000.00","1,486,980,000.00","286,100,000.00","652,860,000.00","1,234,160,000.00","1,659,860,000.00","976,100,000.00","1,279,100,000.00","2,026,100,000.00","2,154,100,000.00","325,000,000.00","606,000,000.00","1,206,000,000.00","1,350,000,000.00","238,000,000.00","625,000,000.00","974,000,000.00","1,089,000,000.00","186,100,000.00","559,100,000.00","820,100,000.00","925,800,000.00"
经营活动产生的现金流量净额,"-9,336,669.27","47,768,197.48","65,014,241.79","66,883,854.59","18,785,607.29","29,660,338.11","40,877,086.24","83,532,831.99","25,026,266.55","95,206,712.63","190,063,323.97","300,141,134.16","95,097,927.09","210,056,120.30","293,641,255.63","327,214,424.47","13,197,023.30","151,785,905.38","223,226,773.05","273,914,455.01","61,134,993.37","270,534,153.39","434,956,600.23","515,023,067.04"
分配股利、利润或偿还利息支付的现金,"19,775,289.93","35,490,594.42","58,766,229.99","81,882,282.60","21,252,038.59","48,230,368.78","79,041,012.40","111,307,013.22","18,419,398.75","36,205,634.60","52,059,801.35","70,713,878.58","13,284,066.69","30,696,106.36","71,997,269.38","77,678,606.74","12,685,695.08","30,459,343.09","65,854,223.97","84,807,337.14","12,844,624.19","55,311,085.75","67,176,329.47","87,824,780.27"
收回投资收到的现金,"27,624,258.39","32,042,077.55","32,042,077.55","32,042,077.55",,"43,280,000.00","43,280,000.00","43,280,000.00",,,,,,,,"7,512,300.00",,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,"67,134.22",,,,"10,348,106.67",,,,,
取得投资收益收到的现金,"521,335.70","4,021,335.70","20,527,507.86","532,401.86","1,000,501.91","1,500,501.91","15,483,605.46","27,483,605.46","5,000,000.00","10,000,000.00","10,216,337.16","10,216,337.16",,,"37,585.54","6,172.16",,,"20,012,344.32","20,028,674.14",,"20,006,190.90","40,033,822.35","40,033,822.35"
筹资活动现金流出小计,"310,495,289.93","595,770,594.42","1,102,746,229.99","1,568,862,282.60","307,352,038.59","701,090,368.78","1,313,201,012.40","1,771,167,013.22","994,519,398.75","1,315,305,634.60","2,078,159,801.35","2,224,813,878.58","338,284,066.69","636,696,106.36","1,278,064,403.60","1,427,678,606.74","250,685,695.08","655,459,343.09","1,050,202,330.64","1,173,807,337.14","198,944,624.19","614,411,085.75","887,276,329.47","1,013,624,780.27"
处置固定资产、无形资产和其他长期资产收回的现金净额,"67,181.00","175,851.00","13,671,327.00","13,851,191.79","419,550.00","439,436.75","419,886.75","23,686.75","23,397,688.75","26,672,177.75","27,558,127.75","50,627,490.75","22,853,726.53","26,803,762.53","23,265,050.53","31,132,131.97","88,379.80","115,329.80","154,559.80","5,505,570.63","130,050.00","2,346,438.95","2,348,038.95","2,455,806.95"
筹资活动产生的现金流量净额,"-98,395,289.93","-122,110,594.42","-140,386,229.99","-85,450,439.54","-2,252,038.59","-82,990,368.78","-18,001,012.40","-125,967,013.22","-50,519,398.75","-68,305,634.60","-129,159,801.35","-166,813,878.58","-60,284,066.69","-112,696,106.36","-270,712,260.69","-271,678,606.74","-115,647,536.31","-197,459,343.09","-258,402,330.64","-302,007,337.14","-21,044,624.19","-79,011,085.75","-178,517,947.25","-294,874,780.27"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"16,329.82",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"28,212,775.09","36,239,264.25","66,240,912.41","46,425,671.20","1,420,051.91","45,219,938.66","59,183,492.21","70,787,292.21","28,397,688.75","36,672,177.75","37,774,464.91","60,843,827.91","22,853,726.53","26,803,762.53","23,302,636.07","38,650,604.13","88,379.80","115,329.80","20,183,233.94","25,534,244.77","130,050.00","22,352,629.85","42,381,861.30","42,489,629.30"
五、现金及现金等价物净增加额,"-88,690,804.78","-52,644,374.87","-37,777,914.21","-41,122,147.81","6,958,312.40","-27,721,761.71","62,170,511.18","-3,496,502.36","-6,616,722.18","48,506,546.44","74,824,097.99","166,155,559.76","49,844,648.20","104,335,014.17","-1,986,177.63","9,367,606.56","-119,421,368.78","-80,272,761.63","-63,033,337.63","-69,779,381.70","22,948,949.97","165,335,331.96","222,105,015.35","125,397,695.26"
购建固定资产、无形资产和其他长期资产支付的现金,"9,171,620.67","14,541,242.18","28,646,838.42","62,379,391.00","10,995,308.21","19,611,669.70","19,889,054.87","28,349,613.34","9,521,278.73","15,066,709.34","22,353,889.54","26,515,523.73","7,822,938.73","19,778,762.30","48,167,808.64","84,785,780.80","17,059,235.57","34,714,653.72","48,041,013.98","67,220,744.34","16,971,469.21","48,240,365.53","76,115,498.93","134,620,220.81"
期初现金及现金等价物余额,"208,524,707.41","208,524,707.41","208,524,707.41","242,682,121.82","194,328,221.77","184,642,029.42","168,249,444.62","154,231,152.27","162,475,608.03","150,734,649.91","162,475,608.03","150,734,649.91","325,447,019.67","316,890,209.67","325,447,019.67","316,890,209.67","340,854,381.39","326,257,816.23","340,854,381.39","326,257,816.23","268,133,198.76","256,478,434.53","268,133,198.76","256,478,434.53"
投资支付的现金,,,,,,,,"3,500,000.00",,,"1,500,000.00","1,500,000.00",,"50,000.00",,"33,034.50",,,,,"300,000.00","300,000.00","600,000.00","2,620,000.00"
期末现金及现金等价物余额,"119,833,902.63","155,880,332.54","170,746,793.20","201,559,974.01","201,286,534.17","156,920,267.71","230,419,955.80","150,734,649.91","155,858,885.85","199,241,196.35","237,299,706.02","316,890,209.67","375,291,667.87","421,225,223.84","323,460,842.04","326,257,816.23","221,433,012.61","245,985,054.60","277,821,043.76","256,478,434.53","291,082,148.73","421,813,766.49","490,238,214.11","381,876,129.79"
