科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
流动资产合计,"1,153,478,077.87","1,153,131,001.97","1,135,234,483.19","1,133,810,544.79","1,079,523,540.01","1,067,882,282.66","1,076,310,179.21","1,047,285,382.14","1,045,434,296.59","998,418,326.14","1,046,187,129.67","1,163,034,739.36","1,111,729,068.28","1,192,211,540.76","1,385,898,564.83","1,559,073,479.07","1,678,285,975.87","1,786,832,458.25","1,710,297,282.23","1,736,604,888.24","1,629,364,682.10","1,735,769,782.33","1,633,967,362.01","1,645,775,185.12","1,613,880,284.37","1,691,043,748.44","1,808,899,148.84","1,894,507,916.63","1,810,725,515.81","1,779,105,308.19","1,783,270,651.53","1,802,824,584.73","1,755,995,704.04","1,787,879,298.85","1,861,799,163.81","1,911,239,765.27","1,985,660,566.69","2,042,340,991.29","2,145,207,457.20","2,402,170,230.57","2,406,396,527.19","2,491,874,003.49","2,584,782,888.64","2,663,724,025.12","2,652,201,322.38","2,605,399,489.07"
流动负债合计,"859,219,479.13","863,613,559.26","871,488,862.59","921,135,895.81","896,040,698.59","924,615,922.20","925,814,910.18","914,131,897.05","894,233,664.89","877,538,913.57","890,164,506.02","1,002,364,282.71","941,082,184.59","1,022,506,261.29","1,283,200,348.28","1,251,806,916.08","1,344,645,716.27","1,393,170,351.18","1,235,113,476.28","1,346,161,792.25","1,232,370,264.87","1,326,559,315.95","1,232,666,518.41","1,376,690,852.85","1,348,836,309.41","1,424,949,767.42","1,482,875,345.22","1,519,321,170.80","1,402,853,363.14","1,375,232,224.65","1,332,523,773.94","1,365,501,250.35","1,310,482,669.26","1,366,409,818.11","1,403,118,376.62","1,449,277,439.00","1,452,320,304.90","1,478,707,958.04","1,518,259,734.83","1,742,197,118.16","1,712,444,638.46","1,769,691,472.65","1,813,776,624.88","1,906,715,543.62","1,865,793,636.53","1,863,282,619.47"
可供出售金融资产,,,"318,992.04","9,469,316.81","6,883,752.11","5,512,914.90","4,942,386.49","4,949,512.99","5,366,406.01","5,804,952.11","5,404,752.11","6,492,252.11","7,292,652.11","5,565,707.83","6,387,852.11","745,252.11","751,552.11","659,152.11","635,146.75","650,884.77","666,342.30","673,268.11","334,600.00","364,700.00","379,400.00","377,300.00","394,800.00","390,600.00","371,700.00","387,800.00","69,791,129.53","68,285,129.53","68,315,929.53","68,161,329.53","68,092,529.53","68,124,129.53","68,108,529.53","68,107,729.53","373,403,953.85","371,808,579.89","384,443,529.53","359,411,969.41","317,528,217.13","318,054,876.17","307,903,847.18","277,713,452.68"
长期借款,"23,000,000.00","23,000,000.00","20,000,000.00","20,000,000.00",,,,,"5,000,000.00","14,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","218,000,000.00","48,000,000.00","48,000,000.00","60,000,000.00","82,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,"48,547,305.40","48,637,999.79","48,950,082.18","49,093,369.84","49,106,767.12","49,249,534.25","49,392,301.38","49,534,356.18","49,546,767.12","49,689,533.25",,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"86,766,724.95","86,942,575.05","88,549,345.00","85,888,817.60","86,462,958.66","89,450,253.28","89,596,364.09","89,513,027.74","91,150,010.01","83,333,660.08","82,470,489.88","83,447,488.46","85,598,249.10","84,753,990.55","85,153,489.74","85,614,632.47","85,977,401.90","86,003,686.72","87,324,218.22","87,169,031.07","86,953,754.15","86,594,105.75","92,236,692.64","93,827,267.00","93,755,727.71","92,051,074.25","94,321,555.66","82,711,755.54","82,729,470.97","84,561,525.31","14,856,101.04","28,750,499.02","29,061,367.73","28,456,179.34","29,538,033.18","33,982,074.23","34,250,517.09","34,504,907.72","34,357,512.51","37,029,663.16","36,618,004.28","36,671,410.57","36,793,705.34","38,516,102.42","37,510,660.29","41,129,573.22"
专项应付款,"54,495,513.70","45,163,009.75","73,660,585.45",,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000.00","6,000,000.00","6,000,000.00","19,000,000.00","19,000,000.00","19,000,000.00","19,000,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00","30,540,000.00"
投资性房地产,"20,872,013.91","20,639,719.62","20,406,425.33","20,172,131.01","19,938,836.75","19,710,542.46","19,478,248.17","19,245,953.88","19,013,659.59","18,781,365.30","18,549,071.01","121,626,131.55","120,150,167.22","118,520,712.53","117,044,748.20","115,818,671.38","102,550,887.16","89,467,572.54","88,126,860.24","87,251,082.34","86,142,831.24","85,034,584.14","83,926,337.04","82,818,089.97","118,992,082.69","117,632,911.42","116,273,740.15","114,914,568.88","113,346,495.55","112,196,226.34","110,837,055.07","111,003,445.47","109,632,608.97","108,261,772.47","106,890,935.97","105,519,555.12","104,219,887.48","102,920,291.59","101,620,697.35","100,321,103.11","99,042,879.44","97,775,325.44","96,507,771.44","95,240,217.44","93,972,663.44","92,705,109.44"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
