科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
筹资活动现金流出小计,"30,463,956.06","60,595,032.77","416,521,844.22","480,950,089.74","46,480,124.83","649,111,870.58","807,331,252.57","835,234,371.96","149,120,099.67","187,158,237.56","462,624,070.49","618,084,397.81","28,839,856.46","552,359,035.95","607,298,039.65","665,324,228.71","218,821,069.49","727,844,432.42","1,154,091,095.53","1,448,305,933.39","229,963,515.78","791,518,709.15","1,115,454,552.93","1,220,167,913.79","181,184,323.19","1,001,527,651.28","1,575,468,072.71","1,747,920,466.66","1,341,877,592.61","1,750,365,926.58","2,355,696,734.56","3,005,339,945.74","302,374,619.86","1,200,823,988.64","1,550,598,362.73","2,365,717,890.73","218,994,420.69","1,067,945,575.70","1,389,843,148.99","2,957,938,903.70","598,174,624.70","809,977,884.06","1,441,460,597.13"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"126,583,574.72",,,,,"67,840,546.10","106,062,373.98","136,940,596.45","146,455,000.66","64,152,982.32","60,976,230.96","60,933,930.96","136,429,956.20","1,200.00","54,470,974.20","108,729,507.89","172,400,838.61","-1,034,525.81","-483,021.21","13,897,381.20","13,544,190.54","17,684,818.34","17,695,418.34","96,113,708.71","133,142,681.52","11,127,921.67","59,177,221.49","88,485,136.00","87,428,773.32","9,479,577.68","9,491,813.60","15,466,765.28","31,677,874.02","289,549.90","890,308.51","9,180,779.17","14,731,018.50","6,387.96","19,790,035.91","19,672,632.94"
筹资活动产生的现金流量净额,"-30,463,956.06","-30,133,032.77","-401,709,644.20","-387,100,588.94","1,286,015,875.17","705,596,787.82","602,900,684.54","609,281,020.75","-13,435,241.39","174,258,259.93","172,986,415.59","200,757,206.81","277,760,550.34","1,121,183,409.25","1,347,712,968.35","1,762,452,445.29","2,232,955,914.50","2,309,405,024.37","2,529,937,788.46","3,080,806,377.80","-229,963,515.78","-18,552,333.95","186,986,372.67","805,392,566.21","-34,354,459.19","-709,570,569.68","-843,491,104.91","-230,672,302.66","-1,098,001,592.61","-890,689,926.58","-1,221,875,454.56","-276,440,215.74","-302,374,619.86","-1,200,823,988.64","-1,550,598,362.73","-883,488,383.93","2,571,218,565.97","2,214,456,410.36","1,897,758,542.07","2,216,217,835.34","-348,531,024.70","104,253,715.94","-175,701,997.13"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-7,366,081.75","-19,632,159.79","-7,713,658.88","-58,698,287.95","-14,806,128.15","-39,050,433.67","-49,735,828.90","-36,453,366.25","-9,319,865.65","-5,588,452.24","-6,212,325.39","-4,938,117.41","-416,848.62","1,348,273.78","-489,245.32","-43,036,190.06","-34,394,882.90","-4,715,201.64","-28,471,851.88","-53,972,401.79","6,694,156.36","19,232,293.57","29,936,387.99","14,816,072.39","-8,415,218.46","-10,620,798.50","-15,035,933.21","-30,078,486.57","-22,932.82","34,536,842.80","21,773,058.49","37,289,025.84","10,445,113.98","9,874,992.19","82,168,880.16","127,777,962.21","-30,878,994.97","50,882,461.97","69,287,108.12","49,838,076.29","-36,573,236.50","-57,132,503.15","-95,769,930.83"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"11,629,309.17","138,212,883.89",,"22,632,133.89","22,632,133.89","22,632,133.89","67,840,546.10","111,554,185.46","142,432,407.93","151,946,812.14","64,152,982.32","60,976,230.96","60,933,930.96","136,429,956.20","1,200.00","54,470,974.20","108,729,507.89","172,400,838.61","-1,034,525.81","7,504,123.42","21,884,525.83","21,531,335.17","17,684,818.34","39,895,418.34","155,134,544.90","222,461,118.21","11,127,921.67","127,000,680.55","156,308,595.06","219,994,847.09","9,479,577.68","18,362,605.23","114,259,242.01","177,108,900.49","289,549.90","4,350,266.95","36,250,283.98","96,748,228.17","6,387.96","27,050,205.89","63,474,156.92"
五、现金及现金等价物净增加额,"269,516,752.20","206,940,137.52","174,350,735.22","129,907,062.71","1,652,550,786.47","1,562,717,735.13","1,527,033,363.42","1,775,101,290.58","-117,676,611.60","-197,383,793.86","-437,341,601.63","-402,794,887.72","196,999,270.59","622,169,675.77","564,845,551.23","582,436,633.36","1,783,015,165.87","1,594,119,809.45","1,291,613,306.86","884,970,945.42","-386,496,359.62","-681,572,880.68","-472,559,872.34","32,397,026.72","-1,837,880,921.71","-2,597,700,302.13","-2,677,365,049.81","-2,286,182,379.03","-946,641,465.05","-555,553,765.34","-798,617,971.15","20,290,290.34","-87,972,193.43","-896,480,128.68","-1,145,003,273.94","-694,423,482.04","2,295,844,092.94","1,451,251,684.81","1,003,890,703.49","35,352,105.46","-468,734,677.95","65,753,683.42","-374,261,460.86"
购建固定资产、无形资产和其他长期资产支付的现金,"20,116,844.02","319,821,817.92","318,967,149.14","867,228,778.17","61,501,524.97","142,739,695.94","423,401,175.21","546,868,558.09","45,149,839.61","379,523,312.45","719,939,034.71","910,570,902.90","169,255,002.15","799,322,086.96","1,187,431,769.18","1,871,003,758.92","562,326,376.76","869,445,884.94","1,549,789,961.07","2,356,781,547.36","270,307,447.82","654,639,861.63","979,444,652.38","1,435,735,245.66","558,845,688.95","812,770,442.30","1,071,643,270.09","1,481,245,696.63","54,479,425.20","189,696,882.93","321,546,393.64","431,289,855.33","218,082,911.81","357,048,559.99","512,511,141.86","1,144,992,622.54","346,296,939.97","1,108,259,147.80","1,324,616,408.50","2,941,411,816.66","215,223,065.35","471,860,871.25","991,011,342.15"
期初现金及现金等价物余额,"791,057,546.32","791,057,546.32","791,057,546.32","791,057,546.32","920,964,609.03","920,964,609.03","920,964,609.03","920,964,609.03","2,696,065,899.61","2,696,065,899.61","2,696,065,899.61","2,696,065,899.61","2,293,271,011.89","2,293,271,011.89","2,293,271,011.89","2,293,271,011.89","2,875,707,645.25","2,875,707,645.25","2,875,707,645.25","2,875,707,645.25","3,760,678,590.67","3,760,678,590.67","3,760,678,590.67","3,760,678,590.67","4,258,336,173.95","4,258,336,173.95","4,258,336,173.95","4,258,336,173.95","1,972,153,794.92","1,972,153,794.92","1,972,153,794.92","1,972,153,794.92","1,992,444,085.26","1,992,444,085.26","1,992,444,085.26","1,992,444,085.26","1,298,020,603.22","1,298,020,603.22","1,298,020,603.22","1,298,020,603.22","1,333,372,708.68","1,333,372,708.68","1,333,372,708.68"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,"5,078,220.00","1,070,208,365.88","1,070,208,365.88","1,070,208,365.88","1,070,208,365.88",,,,"309,107,720.35",,,,,,,,"25,000,000.00",,,
期末现金及现金等价物余额,"1,060,574,298.52","997,997,683.84","965,408,281.54","920,964,609.03","2,573,515,395.50","2,483,682,344.16","2,447,997,972.45","2,696,065,899.61","2,578,389,288.01","2,498,682,105.75","2,258,724,297.98","2,293,271,011.89","2,490,270,282.48","2,915,440,687.66","2,858,116,563.12","2,875,707,645.25","4,658,722,811.12","4,469,827,454.70","4,167,320,952.11","3,760,678,590.67","3,374,182,231.05","3,079,105,709.99","3,288,118,718.33","3,793,075,617.39","2,420,455,252.24","1,660,635,871.82","1,580,971,124.14","1,972,153,794.92","1,025,512,329.87","1,416,600,029.58","1,173,535,823.77","1,992,444,085.26","1,904,471,891.83","1,095,963,956.58","847,440,811.32","1,298,020,603.22","3,593,864,696.16","2,749,272,288.03","2,301,911,306.71","1,333,372,708.68","864,638,030.73","1,399,126,392.10","959,111,247.82"
