科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"14,738,202.97","21,219,312.12","27,618,494.40","6,857,937.56","14,769,056.54","21,732,794.74","28,992,901.27","8,626,163.49","17,294,952.29","25,007,374.72","34,671,251.52","9,924,004.56","20,597,574.92","29,283,331.33","39,565,421.72","11,590,336.68","22,321,978.65","33,171,119.33","43,034,629.30","11,207,760.52","21,066,914.23","31,179,452.80","41,698,363.82","13,105,883.30","24,302,181.11","35,383,887.04","47,821,952.28"
取得借款收到的现金,"66,500,000.00","89,500,000.00","186,500,000.00","44,500,000.00","84,500,000.00","84,500,000.00","124,500,000.00",,"50,000,000.00","50,000,000.00","80,000,000.00","12,033,884.26","32,784,757.28","49,790,818.70","49,790,818.70",,,,,,,,,,,,
支付的各项税费,"14,312,012.97","12,524,839.95","16,446,477.95","5,054,302.38","6,924,016.29","11,357,403.39","15,753,786.49","3,157,417.03","8,090,661.40","10,552,317.26","13,643,973.06","2,540,490.11","6,278,039.48","10,198,846.24","11,825,540.71","4,242,850.23","10,254,781.02","16,059,771.93","20,120,683.56","2,861,252.24","8,150,769.68","14,993,529.77","17,693,639.72","3,895,000.85","8,512,807.91","10,393,953.95","11,951,754.11"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300,000.00"
支付其他与经营活动有关的现金,"11,481,461.83","17,442,067.19","33,405,195.38","9,050,697.67","9,158,663.30","24,485,434.94","29,850,346.96","3,498,051.46","14,741,776.49","19,413,143.36","21,150,558.47","3,647,702.43","20,957,085.58","32,519,373.23","42,216,938.79","23,181,992.17","36,610,423.19","56,747,014.44","60,114,324.47","8,153,608.82","19,755,856.72","27,468,900.96","21,891,421.71","14,061,527.93","13,748,393.44","43,563,296.92","54,224,301.07"
筹资活动现金流入小计,"79,700,000.00","89,500,000.00","186,500,000.00","44,500,000.00","322,482,000.00","322,482,000.00","362,482,000.00",,"50,000,000.00","50,000,000.00","84,900,000.00","12,033,884.26","32,784,757.28","49,790,818.70","49,790,818.70",,,,,,,,,,,,"1,300,000.00"
经营活动现金流出小计,"258,221,476.22","332,965,948.13","395,262,078.10","126,475,679.97","229,119,134.93","317,696,584.75","418,548,709.13","86,847,113.56","195,771,149.46","307,669,892.92","455,655,491.33","114,308,346.57","242,220,941.41","356,539,130.02","265,801,261.95","76,608,256.54","167,712,066.09","278,414,873.38","353,070,472.31","96,143,878.38","151,173,459.97","200,111,604.91","293,464,829.82","67,326,294.82","145,806,420.02","244,699,711.19","366,806,815.21"
偿还债务支付的现金,"91,400,000.00","54,500,000.00","111,500,000.00","777,777.77","44,944,444.43","67,111,111.09","156,166,666.64","23,055,555.55","66,611,111.10","70,166,666.65","113,722,222.20","13,555,555.55","57,111,111.10","63,457,485.35","97,013,040.90","13,555,555.55","37,111,111.10","57,666,666.65","61,222,222.20","3,555,555.55","7,111,111.24","9,888,889.00","11,277,777.89","1,388,888.87","1,388,888.87","1,388,888.87","1,388,888.87"
经营活动产生的现金流量净额,"38,640,394.75","56,099,961.95","51,543,329.76","-45,373,901.52","-17,672,451.46","-24,990,296.59","31,733,337.84","18,097,966.53","29,036,815.34","36,784,665.42","45,302,902.32","13,381,366.82","29,527,478.36","48,397,733.03","108,524,629.98","2,179,273.08","32,751,904.31","14,705,707.68","74,830,897.17","-26,021,789.10","9,316,412.75","47,134,157.10","82,222,896.18","-5,417,262.48","6,667,579.21","-5,822,724.83","25,064,866.44"
分配股利、利润或偿还利息支付的现金,"5,866,242.13","5,505,003.47","9,906,129.00","2,388,222.51","5,635,750.10","7,832,187.22","22,111,004.13","1,446,016.00","4,054,549.55","11,258,208.37","15,777,724.87","1,282,333.31","8,340,112.33","9,857,069.92","11,452,579.01","1,090,126.92","9,579,577.89","10,018,588.25","10,223,982.04","146,923.81","15,996,236.47","16,042,075.91","16,068,831.30","10,079.08","8,890,079.08","8,890,079.08","8,890,079.08"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"700,000.00",,"2,345,094.70","10,952.30","5,795,991.76","7,045,991.76","7,677,750.89",,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,"380,000.00","380,000.00","48,200.00",,"83,899.40","308,158.03","406,046.92"
筹资活动现金流出小计,"97,966,242.13","60,005,003.47","123,751,223.70","3,176,952.58","56,376,186.29","81,989,290.07","185,955,421.66","24,501,571.55","70,665,660.65","81,424,875.02","129,499,947.07","14,837,888.86","65,451,223.43","73,314,555.27","108,465,619.91","14,645,682.47","46,690,688.99","67,685,254.90","71,446,204.24","3,702,479.36","23,107,347.71","25,930,964.91","27,346,609.19","1,398,967.95","10,278,967.95","10,278,967.95","10,278,967.95"
处置固定资产、无形资产和其他长期资产收回的现金净额,"66,500.00",,,,,"120,000.00","16,120,000.00","11,000.00","3,039,000.00","9,087,845.00","9,407,000.00",,,"28,568.91","193,630.00","8,000.00","8,000.00","20,000.00","20,000.00","-7,526.00","12,474.00","12,474.00","12,474.00","800,000.00","800,000.00","898,416.00","637,378.64"
筹资活动产生的现金流量净额,"-18,266,242.13","29,494,996.53","62,748,776.30","41,323,047.42","266,105,813.71","240,492,709.93","176,526,578.34","-24,501,571.55","-20,665,660.65","-31,424,875.02","-44,599,947.07","-2,804,004.60","-32,666,466.15","-23,523,736.57","-58,674,801.21","-14,645,682.47","-46,690,688.99","-67,685,254.90","-71,446,204.24","-3,702,479.36","-23,107,347.71","-25,930,964.91","-27,346,609.19","-1,398,967.95","-10,278,967.95","-10,278,967.95","-8,978,967.95"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,"3,200,000.00","3,200,000.00","3,200,000.00",,,,,,,,,,,,,
四、汇率变动对现金的影响,"193,219.14","509,630.73","199,444.68","9,906.96","-85,411.50","-88,761.56","-317,846.11","245,494.09","661,659.27","841,573.70","-817,812.37","39,055.43","-279,949.72","-265,384.60","583,479.23","235,003.86","390,939.16","900,125.15","1,249,932.24","-75,790.53","334,891.66","590,428.35","2,953,119.38","-423,193.37","-1,016,607.59","-2,625,746.99","-4,386,185.96"
收到其他与投资活动有关的现金,"6,000,000.00",,,,,,,,,,,,,,,,,"18,000,000.00","18,000,000.00",,,,,,"13,200,000.00","85,023,700.00","135,941,947.20"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,066,500.00",,,,,"120,000.00","16,120,000.00","11,000.00","3,039,000.00","9,087,845.00","9,407,000.00","3,200,000.00","3,200,000.00","3,228,568.91","193,630.00","8,000.00","8,000.00","18,020,000.00","18,020,000.00","-7,526.00","392,474.00","392,474.00","60,674.00","800,000.00","14,083,899.40","86,230,274.03","136,985,372.76"
五、现金及现金等价物净增加额,"21,266,445.62","45,384,617.34","-31,908,813.71","-15,729,338.65","204,701,867.98","153,876,135.10","124,153,789.22","-30,111,189.08","-21,718,596.78","-44,918,302.71","-74,388,883.31","-4,627,700.08","-30,308,208.87","-9,898,790.59","-11,550,598.72","-17,453,793.98","-19,769,643.97","-41,756,186.39","13,282,120.35","-34,451,538.99","-21,567,597.17","13,261,576.67","50,353,658.63","-103,642,765.00","-115,495,198.84","-78,738,317.65","-28,221,339.41"
购建固定资产、无形资产和其他长期资产支付的现金,"5,367,426.14","40,719,971.87","146,400,364.45","11,688,391.51","43,646,082.77","61,657,516.68","76,935,069.65","23,964,078.15","33,790,410.74","60,207,511.81","83,681,026.19","18,444,117.73","30,089,271.36","37,735,971.36","41,848,083.45","5,230,388.45","6,229,798.45","7,696,764.32","9,372,504.82","4,643,954.00","8,504,027.87","8,924,517.87","7,536,421.74","11,909,641.20","19,927,401.91","31,217,451.91","25,003,524.70"
期初现金及现金等价物余额,"13,695,674.31","34,962,119.93","80,346,737.27","48,437,923.56","48,437,923.56",,"48,437,923.56","172,591,712.78","172,591,712.78","172,591,712.78","172,591,712.78","92,673,376.20","92,673,376.20","92,673,376.20","98,202,829.47","86,652,230.75","86,652,230.75","86,652,230.75","86,652,230.75","99,934,351.10","99,934,351.10","99,934,351.10","99,934,351.10","150,288,009.73","150,288,009.73","150,288,009.73","150,288,009.73"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"34,962,119.93","80,346,737.27","48,437,923.56","32,708,584.91","253,139,791.54",,"172,591,712.78","142,480,523.70","150,873,116.00","127,673,410.07","98,202,829.47","88,045,676.12","62,365,167.33","82,774,585.61","86,652,230.75","69,198,436.77","66,882,586.78","44,896,044.36","99,934,351.10","65,482,812.11","78,366,753.93","113,195,927.77","150,288,009.73","46,645,244.73","34,792,810.89","71,549,692.08","122,066,670.32"
