科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,,,,,"18,000.00",,,"538,000.00",,,,,,,,,,,,,,,,"688,788.94",,,,,,,,,"410,000,000.00","551,000,000.00","1,003,660,000.00","1,351,410,000.00","287,890,000.00","955,740,000.00","2,660,870,000.00","3,620,610,000.00","1,448,610,000.00","3,440,800,700.00","6,222,209,700.00","8,900,786,700.00","1,836,973,000.00","4,141,610,000.00","6,427,514,900.00","8,076,402,000.00","386,331,000.00"
支付其他与筹资活动有关的现金,"1,638,000.00","8,480,000.00","8,680,000.00","8,512,100.00","2,297,438.46",,,"1,941,562.49","320,965.92","320,965.92","1,647,988.27","9,468,088.27","280,000.00","2,023,728.38","2,023,728.38","5,656,456.39","7,875,340.80","11,804,993.11","19,302,353.11","36,799,197.61","12,272,453.83","15,105,152.86","43,291,032.29","30,889,230.43","37,267,330.67","81,370,675.55","145,873,886.51","122,600,902.86","2,164,698.80","3,775,746.43","48,727,739.13","65,055,930.00","3,305,014.46","40,303,310.54","42,709,574.50","81,319,806.33","16,885,910.18","35,324,908.73","74,778,509.12","54,173,270.52","438,847,387.45","547,690,084.98","351,756,566.41","93,779,244.01","74,180,927.37","270,916,746.89","247,799,088.02","511,131,905.04","106,075,291.59"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,905,178.43","3,235,368.84","8,356,888.89","11,544,716.19","1,683,654.04","6,462,997.30","14,031,133.52","19,759,169.41","8,155,599.11","12,701,594.15","20,529,404.00","25,822,312.74","3,426,477.75","7,049,090.38","9,720,617.75","13,918,781.08","330,718.16"
筹资活动现金流出小计,"66,652,427.50","196,068,089.99","302,412,760.73","441,465,296.87","68,372,773.53","232,814,498.00","312,843,188.27","509,773,908.87","8,035,294.17","311,584,403.36","492,693,522.22","681,376,554.06","185,255,956.38","283,857,964.68","462,148,054.26","630,156,725.33","216,252,930.92","558,969,137.30","633,776,619.63","730,664,703.07","301,632,034.32","739,858,091.22","901,413,971.24","1,062,675,201.33","333,857,298.79","566,569,738.52","893,044,457.08","944,722,083.72","269,048,902.11","643,509,252.41","915,087,414.12","1,613,591,451.07","122,393,408.13","447,560,246.44","542,386,157.59","782,158,511.62","947,106,391.58","1,071,264,792.05","1,137,972,965.32","1,124,198,669.28","503,827,779.76","634,903,689.50","571,962,045.53","1,127,457,362.05","355,082,189.43","1,204,082,845.66","1,577,508,200.99","2,248,944,521.56","1,994,236,115.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"135,000.00","135,000.00","135,000.00",,"2,000.00","7,785.16","103,685.16","60,255.52","60,455.52","60,455.52","6,700.00",,"6,300.00","11,300.00","6,300.00",,,"197,860.11","329,629.11","19,300.00","279,300.00","345,050.00","360,050.00","5,000.00","114,000.00","114,000.00","189,800.00",,"4,000.00","4,000.00","4,000.00",700.00,"43,140.99","156,697.76","46,029.66","16,404.47","16,481.51","785,537.42","425,438.13","423,506.63","426,932.87","574,310.50","655,382.03",,"176,720.45","217,389.99","2,166,318.68","4,094,870.75"
筹资活动产生的现金流量净额,"192,227,572.50","194,231,910.01","213,087,239.27","217,634,703.13","21,427,226.47","-70,414,498.00","-52,343,188.27","-70,404,465.53","130,785,671.75","59,769,886.15","33,660,767.29","-30,022,264.55","104,744,043.62","220,816,094.63","254,499,135.71","178,396,526.67","141,671,279.18","25,623,671.06","462,863,034.26","494,633,726.40","44,137,269.78","-182,348,787.11","-219,463,884.53","-74,110,282.89","-63,504,954.72","-173,205,444.44","-300,904,356.58","-192,416,658.64","239,541,389.55","151,033,818.25","203,709,020.94","810,649,008.90","-60,985,072.44","142,280,997.17","486,305,514.45","379,463,468.13","262,908,893.01","161,729,608.41","115,703,142.92","112,565,474.88","-94,366,451.51","78,200,569.60","1,110,160,792.07","1,179,587,758.36","151,024,178.04","-333,421,507.29","-288,233,204.00","-445,347,458.07","-964,896,427.85"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,-647.04,,"-9,229.57","-8,795.38","-8,725.23",,-8.10,-8.10,-90.59,-56.54,"-67,240.35","-67,240.35","-64,327.98","-2,495.76","-2,538.65","-1,522,407.42","-977,713.57","144,125.45","-516,332.52","-725,785.82","-1,443,406.20","-311,541.06","-640,325.42","-907,104.39","-1,185,700.06","352,272.74","767,420.89","401,438.15","58,744.27","309,055.69","699,195.27","1,550,499.64","1,467,280.60","-38,246.32","1,287,967.14","1,584,189.93","5,013,184.33","-455,343.19","-384,767.25","-1,927,639.84","-3,201,223.86","-3,589,081.06","-2,640,799.38","-295,366.60","-120,108.54","-1,133,182.63"
收到其他与投资活动有关的现金,,"18,000.00","18,000.00","18,000.00",,"18,000.00","18,000.00","18,000.00","18,000.00","18,000.00","18,000.00",,"18,000.00","18,000.00","18,000.00",,,,,,,"16,551,756.89","16,265,472.59","1,759,333.69","1,573,168.18","1,550,021.80","12,631,614.12","3,308,701.32","541,782.41","843,970.45","1,173,692.33","1,519,015.71","346,110.46","656,746.46","9,039,058.99","9,438,082.58","50,436,425.44","6,179,518.84","11,667,146.97","109,346,180.59","187,828,022.87","616,932.69","967,729.73","1,317,323.90","509,883.85","265,836,056.81","181,224,837.49","158,769,137.16","100,103,649.60"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"153,000.00","153,000.00","153,000.00","18,000.00","20,000.00","25,785.16","659,685.16","78,255.52","78,455.52","78,455.52","6,700.00","18,000.00","24,300.00","29,300.00","6,300.00",,,"197,860.11","329,629.11","19,300.00","16,831,056.89","16,610,522.59","2,808,172.63","1,578,168.18","1,664,021.80","12,745,614.12","3,498,501.32","541,782.41","847,970.45","1,177,692.33","1,523,015.71","412,251,988.89","554,935,256.29","1,021,212,645.64","1,372,438,828.43","340,026,483.95","968,398,997.65","2,687,353,817.91","3,750,140,788.13","1,645,017,128.61","3,454,546,159.71","6,244,281,144.23","8,928,581,718.67","1,840,909,361.60","4,414,671,867.64","6,618,677,745.23","8,251,256,236.92","490,860,238.51"
五、现金及现金等价物净增加额,"162,958,684.06","184,862,397.47","209,779,555.57","122,921,241.41","29,749,180.11","-54,424,242.89","-12,519,087.35","-41,411,724.26","167,150,101.86","133,578,713.44","106,639,822.76","-13,471,772.29","118,572,142.67","184,643,270.02","223,042,470.37","112,969,690.49","104,305,510.49","4,479,249.47","391,476,700.03","457,826,704.18","5,144,234.07","-211,574,503.60","-286,712,123.16","4,481,597.70","-19,766,946.02","-100,892,888.28","-150,063,171.20","-148,379,848.73","240,666,756.43","187,167,870.18","201,825,504.38","538,918,242.99","-267,792,206.67","-17,166,948.46","101,508,830.02","101,620,984.66","301,128,025.36","-690,223,377.62","-823,242,454.82","-718,791,990.15","-153,273,215.79","-293,018,930.02","-176,107,479.56","304,159,693.05","-414,216,590.92","-224,050,665.22","-290,740,810.92","-67,773,872.81","-668,338,677.18"
购建固定资产、无形资产和其他长期资产支付的现金,"35,477,289.83","59,387,559.08","93,524,305.50","172,081,962.13","20,272,863.38","49,756,174.78","60,575,914.84","94,201,170.70","6,041,551.68","25,700,045.45","44,015,624.58","140,602,968.95","23,983,268.68","56,306,397.30","86,621,888.54","144,477,024.38","14,545,798.60","24,986,479.12","93,562,156.44","122,038,444.93","18,481,552.00","45,277,409.72","78,312,680.28","102,370,995.68","11,424,361.06","51,600,306.34","83,764,486.67","90,010,522.54","5,313,823.77","12,896,001.80","31,614,984.63","61,618,026.45","29,377,278.84","55,143,258.68","77,947,569.12","123,835,395.63","11,998,673.03","24,301,935.26","59,193,265.27","199,421,581.68","92,445,979.56","153,307,189.05","245,912,529.67","303,618,744.45","157,323,674.78","178,621,875.91","188,169,318.23","207,951,908.39","65,805,778.58"
期初现金及现金等价物余额,"260,376,997.91","97,418,313.85","97,418,313.85","97,418,313.85","220,339,555.26","220,339,555.26","220,339,555.26","220,339,555.26","178,927,831.00","178,927,831.00","178,927,831.00","178,927,831.00","174,379,310.71","165,456,058.71","165,456,058.71","165,456,058.71","278,425,749.20","278,425,749.20","278,425,749.20","278,425,749.20","736,252,453.38","736,252,453.38","736,252,453.38","736,252,453.38","740,734,051.08","740,734,051.08","740,734,051.08","740,734,051.08","592,354,202.35","592,354,202.35","592,354,202.35","592,354,202.35","1,131,272,445.34","1,131,272,445.34","1,131,272,445.34","1,131,272,445.34","1,232,893,430.00","1,232,893,430.00","1,232,893,430.00","1,232,893,430.00","514,101,439.85","514,101,439.85","514,101,439.85","514,101,439.85","818,261,132.90","818,261,132.90","818,261,132.90","818,261,132.90","750,487,260.09"
投资支付的现金,,,,"538,000.00",,,,,,,,,,,,,,,,"108,135.98",,,,"697,200.00","1,827.00",,,,,,,"350,000,000.00","405,000,000.00","561,000,000.00","1,014,610,000.00","1,353,760,000.00","325,520,000.00","1,879,920,000.00","3,419,820,000.00","4,214,120,000.00","1,215,106,700.00","3,188,246,700.00","5,782,911,143.85","8,145,561,143.85","1,886,400,000.00","4,102,740,000.00","6,564,232,000.00","8,042,871,550.00","309,230,000.00"
期末现金及现金等价物余额,"260,376,997.91","282,280,711.32","307,197,869.42","220,339,555.26","250,088,735.37","165,915,312.37","207,820,467.91","178,927,831.00","346,077,932.86","312,506,544.44","285,567,653.76","165,456,058.71","292,951,453.38","350,099,328.73","388,498,529.08","278,425,749.20","382,731,259.69","282,904,998.67","669,902,449.23","736,252,453.38","741,396,687.45","524,677,949.78","449,540,330.22","740,734,051.08","720,967,105.06","639,841,162.80","590,670,879.88","592,354,202.35","833,020,958.78","779,522,072.53","794,179,706.73","1,131,272,445.34","863,480,238.67","1,114,105,496.88","1,232,781,275.36","1,232,893,430.00","1,534,021,455.36","542,670,052.38","409,650,975.18","514,101,439.85","360,828,224.06","221,082,509.83","337,993,960.29","818,261,132.90","404,044,541.98","594,210,467.68","527,520,321.98","750,487,260.09","82,148,582.91"
