科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000.00","3,550,000.00","54,300,000.00","22,100,000.00","95,100,000.00","16,100,000.00","5,396,426.81","71,440,000.00","63,218,750.68","99,213,658.15","32,373,475.86","43,933,941.54"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227,092.01","113,545.99","1,124,254.09","2,892,884.92","3,054,235.91","305,055.48",,
流动资产合计,"100,032,737.15","103,120,282.51","97,162,048.38","429,539,970.60","418,878,997.28","429,468,049.21","420,408,221.84","427,897,356.33","444,322,914.35","446,464,350.57","409,466,096.17","426,215,057.12","414,945,792.84","421,003,896.69","394,146,306.72","429,220,395.02","383,515,765.86","398,379,302.59","402,382,542.71","421,185,843.31","439,574,373.62","450,818,268.16","394,513,209.01","433,629,102.23","417,676,737.97","387,703,721.60","384,739,399.46","430,688,308.40","460,462,438.54","459,313,586.88","483,897,071.46","500,763,510.51","564,089,577.30","544,987,192.84","522,599,214.84","615,639,480.62"
流动负债合计,"92,059,912.20","74,317,737.77","66,506,531.37","65,799,930.79","45,945,565.47","47,466,062.66","78,544,860.40","67,936,093.77","65,553,571.42","60,111,664.39","59,215,207.21","60,541,971.67","58,234,033.14","59,328,879.48","47,468,181.47","61,383,639.20","71,514,247.42","75,110,674.51","81,697,985.65","82,635,601.50","87,773,878.74","77,241,426.36","87,048,067.35","83,741,387.17","139,792,763.06","136,927,580.70","97,656,667.55","81,681,373.46","102,490,264.10","165,083,158.54","417,865,850.25","412,757,581.00","454,324,195.55","397,010,243.07","393,817,980.22","353,604,720.49"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,266,912.58","55,085,626.13","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"5,000,000.00","5,324,000.00","5,324,000.00","5,324,000.00","5,324,000.00","5,324,000.00","5,324,000.00","5,324,000.00","5,977,510.55","5,957,095.78","949,736.98","942,788.37","934,196.62","923,196.62","598,029.57","543,722.13","543,409.54","543,409.54","543,409.54","543,409.54",,,,,,,,,,"27,500,000.00","27,236,533.40","27,033,681.53","36,736,194.63","43,482,070.57","44,138,604.74","60,100,073.50"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,"1,886,579.94","1,863,136.66","1,839,693.38","1,816,250.10","7,309,947.00","7,286,503.72","7,149,926.78","11,974,210.72","8,197,797.21","8,157,687.44","8,009,931.27","7,930,018.06","10,170,757.76","10,037,681.35","13,064,034.98","16,642,417.28","25,837,630.79","25,460,755.13","25,083,879.47","24,707,003.79","24,330,128.10","23,953,252.41","23,576,376.72","23,146,226.57"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"102,289,587.44","95,292,619.82","92,170,651.65","90,672,462.54","90,716,575.08","91,698,830.01","104,082,133.27","102,326,212.46","102,524,008.39","100,374,915.43","133,122,536.21","132,770,725.89","129,506,713.63","128,274,783.99","126,316,113.58","124,850,614.73","178,458,615.80","177,353,935.72","176,061,943.47","169,412,007.25","282,832,187.58","279,326,076.88","277,787,415.19","274,210,607.91","332,107,032.01","328,005,521.12","336,970,698.68","270,712,809.08","313,805,199.75","317,094,657.52","378,904,421.78","375,776,156.23","427,350,787.99","420,875,986.65","411,731,655.24","405,136,730.81"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,847,994.94","25,847,994.94","27,834,966.77","27,011,471.74","17,138,224.12","16,623,046.81","16,106,058.00","15,589,678.39"
在建工程,"7,369,700.00","2,022,568.00","5,616,387.40","5,644,049.11","5,836,996.57","3,823,036.57","2,693,172.83","2,710,504.37","4,495,744.91","4,631,185.03","3,727,889.88","4,127,287.83","33,752,401.88","37,177,322.37","40,153,672.79","41,945,147.22","64,815,197.75","67,658,350.20","75,479,614.81","91,295,466.39","38,885.00","279,931.00","1,096,148.00","3,881,268.00","19,740,650.26","21,728,826.95","30,705,483.60","86,107,985.14","127,827,069.90","133,278,076.62","106,902,059.30","107,789,362.42","72,087,328.13","78,727,684.59","84,819,073.95","84,866,920.60"
其他非流动负债,"2,400,000.00",,,,"1,000,000.00","1,450,000.00","1,450,000.00","1,450,000.00","1,693,567.00","1,682,317.00","1,421,067.00","1,409,817.00","1,534,010.00","1,513,978.00","1,475,104.00","1,440,397.00","1,391,028.00","1,352,655.50","1,314,283.00","1,275,910.50","1,437,538.00","1,399,165.50","1,987,452.34","2,105,150.02","2,313,194.86","467,119.86","413,940.03","730,300.42",,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"7,400,000.00",,,,"1,000,000.00","1,450,000.00","1,450,000.00","1,450,000.00","1,693,567.00","1,682,317.00","1,421,067.00","1,409,817.00","1,534,010.00","1,513,978.00","1,475,104.00","1,440,397.00","1,391,028.00","1,352,655.50","1,314,283.00","1,275,910.50","1,437,538.00","1,399,165.50","1,987,452.34","2,105,150.02","2,313,194.86","2,210,872.53","3,827,564.90","4,243,445.29","34,331,345.51","34,393,247.44","149,664,072.11","100,849,173.61","84,719,666.26","83,215,019.62","82,079,081.07","80,619,673.70"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"99,459,912.20","74,317,737.77","66,506,531.37","65,799,930.79","46,945,565.47","48,916,062.66","79,994,860.40","69,386,093.77","67,247,138.42","61,793,981.39","60,636,274.21","61,951,788.67","59,768,043.14","60,842,857.48","48,943,285.47","62,824,036.20","72,905,275.42","76,463,330.01","83,012,268.65","83,911,512.00","89,211,416.74","78,640,591.86","89,035,519.69","85,846,537.19","142,105,957.92","139,138,453.23","101,484,232.45","85,924,818.75","136,821,609.61","199,476,405.98","567,529,922.36","513,606,754.61","539,043,861.81","480,225,262.69","475,897,061.29","434,224,394.19"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","63,000,000.00","63,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","151,200,000.00","151,200,000.00","151,200,000.00","151,200,000.00","189,000,000.00","189,000,000.00","189,000,000.00","189,000,000.00","189,000,000.00","189,000,000.00","189,000,000.00","189,000,000.00","241,144,981.00","241,144,981.00","241,965,815.00","241,965,815.00","290,358,978.00","290,358,978.00","290,358,978.00","377,466,671.00","377,378,781.00","377,378,781.00","407,863,881.00","530,223,045.00","530,129,216.00","547,601,216.00","547,601,216.00","547,601,216.00","711,881,580.00","712,522,480.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"20,327,259.62","20,539,584.45","20,539,584.45","320,634,584.45","320,634,584.45","320,634,584.45","255,034,584.45","255,034,584.45","255,034,584.45","255,034,584.45","217,234,584.45","215,497,501.86","216,002,272.52","216,002,272.52","216,002,272.52","216,002,272.52","216,002,272.52","216,002,272.52","193,548,015.51","195,781,708.86","200,987,030.41","202,805,124.86","156,230,056.33","159,710,669.36","169,433,425.10","83,198,287.26","101,386,372.03","103,880,810.30","437,270,112.19","315,552,465.25","304,490,304.13","524,945,862.08","531,639,836.70","536,036,086.71","380,927,484.29","398,745,510.96"
无形资产,"18,178,497.98","13,845,351.14","13,685,517.74","18,341,663.67","18,236,950.83","18,132,237.99","37,701,056.08","36,773,545.71","23,600,269.93","22,546,703.23","21,523,125.55","20,504,570.48","19,473,504.69","18,442,438.91","17,411,373.09","18,795,797.36","15,217,005.01","15,012,409.60","14,851,072.99","14,668,106.98","14,485,140.99","14,280,545.58","14,253,449.77","14,058,638.98","35,768,540.52","35,465,831.37","35,089,157.23","35,217,002.59","146,169,117.68","143,163,030.57","158,704,461.34","154,898,917.27","153,331,137.37","149,779,343.17","142,382,457.64","138,897,747.82"
盈余公积,"22,089,134.91","25,558,739.68","25,558,739.68","25,558,739.68","29,115,130.17","29,115,130.17","29,115,130.17","29,115,130.17","33,250,094.01","33,250,094.01","33,250,094.01","33,250,094.01","38,567,985.52","38,567,985.52","38,567,985.52","38,567,985.52","43,785,546.37","43,785,546.37","43,785,546.37","43,785,546.37","49,836,924.26","49,836,924.26","49,836,924.26","49,836,924.26","60,506,114.95","60,506,114.95","60,506,114.95","60,506,114.95","73,515,200.00","73,515,200.00","73,515,200.00","73,515,200.00","86,353,237.94","86,353,237.94","86,353,237.94","86,353,237.94"
开发支出,,,,,,,,,,,,,,,,,,,,,,,"55,004,100.00","56,804,100.00","56,826,481.00","59,514,788.15","60,227,762.08","61,187,152.46","65,350,838.05","66,081,839.39","73,075,070.49","76,648,826.94","80,509,431.66","84,033,011.20","87,505,706.48","103,568,985.41"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228,184,320.00","228,184,320.00","228,184,320.00","228,184,320.00","153,333,692.50"
商誉,"1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","2,041,061.26","2,041,061.26","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","1,721,828.75","25,976,661.74","25,976,661.74","23,242,300.30","23,242,300.30","22,307,385.72","22,307,385.72","223,912,969.36","223,912,969.36","570,992,113.60","570,992,113.60","563,156,990.02","563,156,990.02","563,156,990.02","563,156,990.02"
未分配利润,"23,462,465.65","39,545,754.99","41,531,253.40","56,520,514.39","61,659,836.20","69,770,543.04","56,049,266.98","71,541,610.67","80,108,564.04","85,192,398.84","70,669,408.56","88,253,499.55","100,313,333.40","106,906,499.58","91,179,195.69","114,123,327.88","131,240,955.37","144,800,522.82","119,120,258.35","148,912,007.53","167,809,665.76","185,501,264.12","163,708,292.34","201,505,445.22","218,598,789.43","198,359,518.01","236,212,315.33","283,963,549.02","298,290,558.22","272,312,523.59","322,222,273.10","378,497,980.78","421,575,743.45","468,765,251.47","455,174,082.26","532,193,963.25"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,,,"3,129,759.91","2,738,539.93","2,347,319.95","1,956,099.97","1,564,879.99","1,232,771.12","1,095,654.13","659,689.27","4,810,503.34","4,506,928.23","10,450,944.52","9,811,610.88","9,802,300.31","9,769,313.17"
少数股东权益,"11,213,966.43",,,,,,"3,049,766.75","2,840,586.19","2,709,383.51","2,554,661.31","1,361,825.24",,,,,,,,,,,,"35,463,043.45","34,971,780.24","34,573,164.46","32,715,935.98","31,772,498.69","47,608,242.47","47,531,387.37","47,126,544.37","51,584,455.46","60,579,085.86","67,214,251.69","66,605,697.97","77,787,888.94","78,082,523.46"
递延所得税资产,"1,960,387.49","1,635,166.67","1,455,674.98","1,269,794.64","1,639,767.78","2,268,337.79","2,193,963.47","2,045,325.12","1,387,439.45","1,809,593.11","1,640,972.93","1,670,625.65","1,430,616.23","1,913,011.11","1,505,721.32","1,623,866.81","1,352,279.97","2,095,931.60","2,420,730.83","2,734,882.82","2,960,639.02","4,165,382.29","4,862,139.18","3,001,397.42","10,869,685.28","11,899,782.05","22,154,275.71","20,039,737.01","33,175,029.54","34,250,767.36","12,863,252.27","13,769,927.45","12,440,329.06","14,447,554.23","18,718,977.55","23,692,155.74"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,"5,520,048.10","5,520,048.10",,,,,,,,,,,,,,,"6,826,924.81","11,830,427.57","1,917,237.00","15,126,747.69","3,656,800.65","7,490,812.09","7,002,004.60","13,675,351.36","20,760,978.81","24,147,736.22","51,405,657.23","60,813,793.04"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"136,520,001.66","119,841,534.38","119,974,060.52","122,973,798.71","123,476,119.01","122,968,271.11","154,035,386.91","151,220,648.92","145,226,850.08","142,561,369.43","162,686,090.30","161,737,826.97","188,705,841.74","190,315,718.41","189,546,432.48","191,297,227.10","269,418,283.82","271,672,369.13","278,228,527.17","292,349,912.45","310,236,478.55","307,931,451.94","390,119,605.06","388,601,232.04","497,899,691.89","503,681,258.83","524,000,914.99","528,574,008.09","940,830,309.85","978,892,597.31","1,365,574,299.59","1,369,798,268.82","1,401,154,250.29","1,412,415,239.94","1,437,237,799.88","1,473,148,936.68"
所有者权益(或股东权益)合计,"137,092,826.61","148,644,079.12","150,629,577.53","486,713,838.52","495,409,550.82","503,520,257.66","494,448,748.35","509,731,911.48","522,302,626.01","527,231,738.61","511,515,912.26","526,001,095.42","543,883,591.44","550,476,757.62","534,749,453.73","557,693,585.92","580,028,774.26","593,588,341.71","597,598,801.23","629,624,243.76","660,599,435.43","680,109,128.24","695,597,294.38","736,383,797.08","773,470,471.94","752,246,527.20","807,256,082.00","873,337,497.74","1,264,471,138.78","1,238,729,778.21","1,281,941,448.69","1,356,955,024.72","1,426,199,965.78","1,477,177,170.09","1,483,939,953.43","1,654,564,023.11"
资产总计,"236,552,738.81","222,961,816.89","217,136,108.90","552,513,769.31","542,355,116.29","552,436,320.32","574,443,608.75","579,118,005.25","589,549,764.43","589,025,720.00","572,152,186.47","587,952,884.09","603,651,634.58","611,319,615.10","583,692,739.20","620,517,622.12","652,934,049.68","670,051,671.72","680,611,069.88","713,535,755.76","749,810,852.17","758,749,720.10","784,632,814.07","822,230,334.27","915,576,429.86","891,384,980.43","908,740,314.45","959,262,316.49","1,401,292,748.39","1,438,206,184.19","1,849,471,371.05","1,870,561,779.33","1,965,243,827.59","1,957,402,432.78","1,959,837,014.72","2,088,788,417.30"
负债和所有者(或股东权益)合计,"236,552,738.81","222,961,816.89","217,136,108.90","552,513,769.31","542,355,116.29","552,436,320.32","574,443,608.75","579,118,005.25","589,549,764.43","589,025,720.00","572,152,186.47","587,952,884.09","603,651,634.58","611,319,615.10","583,692,739.20","620,517,622.12","652,934,049.68","670,051,671.72","680,611,069.88","713,535,755.76","749,810,852.17","758,749,720.10","784,632,814.07","822,230,334.27","915,576,429.86","891,384,980.43","908,740,314.45","959,262,316.49","1,401,292,748.39","1,438,206,184.19","1,849,471,371.05","1,870,561,779.33","1,965,243,827.59","1,957,402,432.78","1,959,837,014.72","2,088,788,417.30"
