科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
取得借款收到的现金,"475,249,514.32","470,776,949.35","407,015,966.25","622,557,298.25","498,468,337.24","637,957,610.09","932,684,777.96","93,543,742.58","252,994,718.29","403,939,888.09","680,230,362.61","134,382,422.81","384,143,526.68","649,746,611.25","687,370,387.24","156,180,085.52","591,311,743.25","1,138,097,975.16","1,241,152,291.41","168,490,310.19","628,907,069.71","1,325,074,904.06","1,381,357,096.14","140,590,026.95"
支付的各项税费,"60,836,781.29","89,871,208.01","59,902,052.87","78,908,632.32","43,993,302.48","64,105,377.93","81,407,784.72","17,076,969.25","42,507,835.93","62,950,170.94","86,719,809.71","42,271,052.19","66,849,545.54","86,544,966.38","129,389,902.48","21,183,901.31","52,786,449.43","75,089,849.71","99,837,818.25","12,108,759.62","46,229,913.52","70,286,076.31","97,202,294.13","12,220,631.23"
收到其他与筹资活动有关的现金,,"33,122,223.64",,,,,,,,,,,,,,,,,,"152,991,256.14",,,,
支付其他与经营活动有关的现金,"72,786,755.76","89,976,461.17","52,204,810.51","69,119,865.06","47,375,784.23","72,151,365.81","103,989,714.06","27,138,408.17","55,110,532.82","92,581,364.84","111,701,907.04","27,389,920.84","52,285,509.55","82,907,172.99","111,931,459.11","28,033,956.93","63,193,305.81","101,115,469.55","144,846,512.77","52,994,483.80","68,331,676.56","112,694,920.10","141,948,387.05","39,193,155.43"
筹资活动现金流入小计,"475,974,612.56","503,899,172.99","407,802,566.25","622,557,298.25","498,468,337.24","637,957,610.09","1,380,124,777.96","93,543,742.58","252,994,718.29","403,939,888.09","680,230,362.61","134,382,422.81","384,143,526.68","1,566,721,021.15","1,604,000,457.52","156,180,085.52","591,311,743.25","1,138,097,975.16","1,241,152,291.41","321,481,566.33","628,907,069.71","1,525,074,904.06","1,581,310,920.06","150,590,026.95"
经营活动现金流出小计,"1,828,583,510.64","2,155,473,181.43","1,348,667,235.03","1,879,571,887.08","999,062,896.63","1,626,330,941.27","2,262,446,429.41","558,116,821.11","1,070,678,345.66","1,786,743,036.44","2,588,377,348.42","770,806,870.78","1,397,111,921.86","2,042,779,434.69","2,821,547,079.95","653,103,788.05","1,423,278,876.52","2,244,415,717.58","3,256,843,816.66","652,978,860.01","1,321,005,795.23","2,338,372,166.40","2,953,569,596.05","592,075,009.75"
偿还债务支付的现金,"470,862,020.06","385,946,123.89","456,402,877.86","642,791,515.59","403,846,520.16","610,468,023.80","851,324,899.31","257,275,471.93","413,802,332.20","377,648,323.27","532,553,267.71","195,991,526.04","365,438,954.17","762,437,809.14","913,551,564.56","145,148,130.20","296,804,357.45","402,539,818.02","888,032,232.26","101,102,736.29","456,225,208.85","1,118,329,634.77","1,288,416,581.32","101,996,759.31"
经营活动产生的现金流量净额,"227,515,139.29","11,132,360.87","50,396,742.54","43,066,393.40","92,500,963.29","112,259,056.29","95,892,627.92","-11,639,504.00","53,549,713.16","66,680,903.88","10,551,256.51","-26,279,227.60","-21,509,641.73","16,089,481.87","77,578,417.93","6,442,427.70","94,385,400.73","91,699,720.32","-180,548,287.84","40,874,306.41","124,083,726.11","68,619,805.92","258,629,510.55","217,458,751.65"
分配股利、利润或偿还利息支付的现金,"26,305,107.39","51,881,359.95","20,007,974.50","23,343,037.03","13,777,083.20","19,492,053.04","45,729,471.59","2,935,022.98","43,373,303.59","47,607,517.50","56,123,382.13","6,346,420.27","60,001,571.18","64,855,159.69","69,259,672.12","2,558,395.96","61,083,764.08","67,973,512.24","78,555,939.28","17,427,783.31","46,425,367.93","79,162,734.20","90,653,320.38","11,954,947.60"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"25,580,309.23","2,300,000.00","22,117,996.07","18,425,567.44","17,392,408.35","3,214,756.96","86,489,778.70","149,414,887.18",,,,,"2,411,569.03","13,760,712.07","45,073,036.95",,,,,,,,"97,993,978.95","8,175,606.06"
取得投资收益收到的现金,"3,202,748.87",,"123,179.74","302,566.98","2,443,107.75","2,754,836.96","2,732,567.56",,"5,815,601.53","9,372,097.17","11,534,210.09","739,681.79","1,612,240.39","3,728,878.34","5,088,262.66","1,288,839.45","5,321,706.88","7,903,037.32","10,466,254.31","1,528,219.18","5,250,372.25","8,859,653.55","8,301,546.45",
筹资活动现金流出小计,"522,747,436.68","440,127,483.84","498,528,848.43","684,560,120.06","435,016,011.71","633,174,833.80","983,544,149.60","409,625,382.09","457,175,635.79","425,255,840.77","588,676,649.84","202,337,946.31","427,852,094.38","841,053,680.90","1,027,884,273.63","147,706,526.16","357,888,121.53","470,513,330.26","966,588,171.54","118,530,519.60","502,650,576.78","1,197,492,368.97","1,477,063,880.65","122,127,312.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,081,234.94","730,839.09","38,343.70","1,239,425.61","100,219.03","123,762.06","600,972.50","201,081.72","310,353.72","388,441.85","565,365.78","51,897.40","434,513.91","290,992.75",,,"5,128.31",,"977,741.51",,"758,351.25",,"355,817.41",
筹资活动产生的现金流量净额,"-46,772,824.12","63,771,689.15","-90,726,282.18","-62,002,821.81","63,452,325.53","4,782,776.29","396,580,628.36","-316,081,639.51","-204,180,917.50","-21,315,952.68","91,553,712.77","-67,955,523.50","-43,708,567.70","725,667,340.25","576,116,183.89","8,473,559.36","233,423,621.72","667,584,644.90","274,564,119.87","202,951,046.73","126,256,492.93","327,582,535.09","104,247,039.41","28,462,713.98"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,"13,282.52","13,282.52","13,282.52",,,,,,,,"6,000,000.00","9,000,000.00"
四、汇率变动对现金的影响,"-14,655,737.55","-3,289,545.09","-13,159,347.28","-19,377,049.56","5,137,649.10","-6,809,498.36","671,547.90","741,679.97","-828,608.03","15,583,646.44","14,184,873.70","2,654,572.58","16,250,974.48","19,477,943.10","34,698,825.42","-2,854,752.21","-14,720,744.74","-21,596,793.09","-46,882,337.54","-34,219,743.18","13,065,176.21","62,554,152.80","18,780,537.19","1,645,895.76"
收到其他与投资活动有关的现金,"5,908,134.84","7,500,000.00","13,500,000.00","13,500,000.00",,"7,390,000.00","9,390,000.00","54,550,000.00","4,550,000.00","57,800,000.00","75,228,460.96","1,654,374.47","7,142,124.47","14,699,874.49","19,654,874.47","500,000.00","31,297,932.10","31,288,654.88","52,493,885.95",,,,"250,000,000.00","40,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"13,192,118.65","8,230,839.09","13,661,523.44","15,041,992.59","2,543,326.78","10,268,599.02","12,723,540.06","54,751,081.72","10,675,955.25","67,560,539.02","87,328,036.83","2,445,953.66","9,202,161.29","18,733,028.10","24,756,419.65","1,788,839.45","36,624,767.29","39,191,692.20","63,937,881.77","1,528,219.18","6,008,723.50","8,859,653.55","264,657,363.86","49,000,000.00"
五、现金及现金等价物净增加额,"129,559,098.60","22,754,987.35","-63,186,937.55","-56,828,906.48","74,768,152.44","24,696,569.72","379,027,199.78","-293,348,740.87","-290,354,708.36","-73,782,450.86","-137,560,769.89","-126,224,428.58","-153,582,339.41","604,694,023.06","307,929,240.99","12,686,347.71","265,194,992.22","600,432,101.76","-85,846,056.87","203,226,091.60","233,581,968.36","300,984,896.87","239,198,216.46","33,746,257.09"
购建固定资产、无形资产和其他长期资产支付的现金,"41,326,764.47","56,319,706.67","23,359,574.07","33,557,421.10","38,866,112.26","45,804,363.52","76,841,144.46","21,120,359.05","49,570,851.24","73,291,587.52","102,870,651.51","12,008,023.75","63,317,265.75","124,773,770.26","175,456,710.89","1,163,726.59","34,518,052.78","81,885,541.92","39,452,479.92","7,907,737.54","32,332,150.39","105,333,824.67","304,054,554.55","56,908,587.62"
期初现金及现金等价物余额,"36,995,007.99","166,554,106.59","189,309,093.94","189,309,093.94","132,480,187.46","132,480,187.46","132,480,187.46","511,507,387.24","511,507,387.24","511,507,387.24","511,507,387.24","391,447,174.93","373,946,617.35","373,946,617.35","373,946,617.34","726,948,895.29","681,875,858.34","681,875,858.34","681,875,858.34","596,029,801.47","596,029,801.47","596,029,801.47","596,029,801.47","835,228,017.93"
投资支付的现金,"2,000,000.00",,,,,,,,,"129,000,000.00","235,827,000.00","20,500,000.00","50,500,000.00","50,500,000.00","50,500,000.00",,,"44,561,620.65","77,464,953.21",,"3,500,000.00","21,435,804.03","56,971,680.00","2,472,516.68"
期末现金及现金等价物余额,"166,554,106.59","189,309,093.94","126,122,156.39","132,480,187.46","207,248,339.90","157,176,757.18","511,507,387.24","218,158,646.37","221,152,678.88","437,724,936.38","373,946,617.35","265,222,746.35","220,364,277.94","978,640,640.41","681,875,858.33","739,635,243.00","947,070,850.56","1,282,307,960.10","596,029,801.47","799,255,893.07","829,611,769.83","897,014,698.34","835,228,017.93","868,974,275.02"
