科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
支付给职工以及为职工支付的现金,"36,281,120.68","59,795,503.97","85,571,301.05","94,230,940.48","42,965,825.70","70,101,294.13","109,067,016.80","132,685,171.74","32,925,632.38","64,721,867.48","103,962,400.28","170,155,880.51","38,833,141.67","79,849,037.53","116,306,100.99","179,956,794.98","40,852,686.27","72,077,522.19","110,167,786.34","166,473,092.36","40,424,948.30","76,289,944.96","111,022,896.87","185,139,034.25","36,308,646.21","68,480,275.31","103,375,286.58","140,193,543.10","32,686,240.81","78,727,875.74","104,385,947.55","142,374,806.66","28,856,361.82","57,852,895.28","86,578,437.44","117,748,991.56","38,916,636.90","64,347,277.35","90,162,365.84","1,219,871,822.72","243,685,545.20","488,765,767.35"
取得借款收到的现金,"200,000,000.00","250,000,000.00","350,000,000.00","500,000,000.00","150,000,000.00","150,000,000.00","350,000,000.00","350,000,000.00","100,000,000.00","100,000,000.00","350,000,000.00","500,000,000.00","100,000,000.00","200,000,000.00","450,000,000.00","600,000,000.00","200,000,000.00","300,000,000.00","450,000,000.00","600,000,000.00","200,000,000.00","300,000,000.00","450,000,000.00","600,000,000.00",,,"650,000,000.00","700,000,000.00","60,000,000.00","120,000,000.00","800,000,000.00","800,000,000.00","120,000,000.00","120,000,000.00","800,000,000.00","800,000,000.00","120,000,000.00","120,000,000.00","800,000,000.00","4,521,343,611.84","89,698,125.79",
支付的各项税费,"16,620,333.06","40,897,725.85","59,545,300.60","72,146,514.75","17,371,395.09","26,923,864.96","38,469,586.85","46,107,321.11","19,662,641.65","38,765,601.55","52,299,964.91","62,117,538.58","25,092,411.38","33,753,116.18","48,296,297.70","67,373,517.08","15,972,791.57","23,993,996.56","30,704,667.47","63,678,505.28","4,629,915.92","8,793,557.39","18,657,522.82","29,712,866.33","28,378,259.70","51,613,145.30","108,189,475.26","132,798,699.55","12,986,941.69","24,225,744.68","27,411,000.76","46,948,022.63","11,286,264.76","32,714,887.60","46,444,713.53","53,977,115.15","3,159,762.10","7,128,971.48","20,264,614.74","3,582,279,579.37","908,390,514.12","1,675,907,970.53"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,227,897,932.95","27,683,911.52",
支付其他与经营活动有关的现金,"14,242,268.48","46,322,897.99","49,983,325.31","79,815,715.00","13,026,509.94","18,489,428.13","29,107,122.48","131,453,047.43","16,033,298.51","30,344,801.08","23,193,519.45","114,414,668.20","5,503,989.11","27,362,773.74","30,627,636.14","103,482,107.57","23,052,451.94","39,292,777.72","67,295,301.99","109,763,147.40","13,552,542.06","38,527,189.63","51,833,697.64","52,578,200.83","50,810,965.58","60,029,153.30","69,405,915.66","82,592,687.73","15,093,794.23","17,888,680.66","26,098,148.07","78,513,507.42","7,876,810.85","12,312,894.45","15,418,804.30","33,667,327.61","6,324,019.88","15,529,850.28","24,123,781.85","5,703,452,541.35","18,523,014,959.20","9,970,765,829.62"
筹资活动现金流入小计,"200,000,000.00","250,000,000.00","350,000,000.00","500,000,000.00","150,000,000.00","150,000,000.00","350,000,000.00","350,000,000.00","100,000,000.00","100,000,000.00","350,000,000.00","500,000,000.00","100,000,000.00","200,000,000.00","450,000,000.00","600,000,000.00","200,000,000.00","300,000,000.00","450,000,000.00","600,000,000.00","200,000,000.00","300,000,000.00","450,000,000.00","600,000,000.00",,,"650,000,000.00","700,000,000.00","60,000,000.00","120,000,000.00","800,000,000.00","800,000,000.00","120,000,000.00","120,000,000.00","800,000,000.00","800,000,000.00","120,000,000.00","120,000,000.00","800,000,000.00","51,223,596,748.25","1,986,077,440.08","3,976,055,686.89"
经营活动现金流出小计,"260,948,373.71","481,117,337.91","729,574,952.09","1,108,394,547.31","264,342,149.06","644,869,194.93","970,303,486.78","1,387,760,505.92","279,154,886.06","554,894,121.13","920,027,260.56","1,819,383,529.51","319,941,367.06","767,854,096.22","1,117,923,677.17","1,409,714,012.16","389,115,477.15","772,866,640.42","916,899,966.14","1,375,171,735.40","254,875,149.76","695,829,491.28","938,535,214.61","1,148,811,376.72","235,036,471.81","516,797,704.17","742,087,530.01","991,471,798.99","198,946,942.26","413,639,713.16","482,529,780.49","731,515,999.15","158,492,703.03","294,927,828.48","398,500,451.50","546,659,644.41","128,665,625.50","258,661,035.50","380,057,503.25","82,327,491,511.40","38,819,273,514.43","51,115,509,689.10"
偿还债务支付的现金,"150,000,000.00","200,000,000.00","300,000,000.00","350,000,000.00","200,000,000.00","250,000,000.00","450,000,000.00","500,000,000.00","50,000,000.00","50,000,000.00","200,000,000.00","350,000,000.00","100,000,000.00","100,000,000.00","350,000,000.00","500,000,000.00","100,000,000.00","200,000,000.00","450,000,000.00","600,000,000.00","200,000,000.00","200,000,000.00","450,000,000.00","1,050,000,000.00","100,000,000.00","100,000,000.00","705,000,000.00","705,000,000.00",,,"650,000,000.00","750,000,000.00","120,000,000.00","120,000,000.00","750,000,000.00","750,000,000.00","120,000,000.00","120,000,000.00","800,000,000.00","9,568,740,000.00",,"15,397,415,025.23"
经营活动产生的现金流量净额,"-93,947,065.07","-48,994,032.55","-49,188,399.54","881,654.54","-52,863,929.30","-33,777,534.98","10,972,285.25","187,276,330.79","-72,399,024.34","-94,495,154.82","-191,070,992.09","-20,232,818.05","-29,263,802.95","-73,899,239.06","-111,402,934.60","-26,151,997.27","-141,531,068.87","-165,400,444.22","-43,812,526.85","122,331,464.02","-67,995,618.95","-212,219,419.87","-74,136,130.56","36,813,562.95","4,628,165.34","-34,007,246.15","-48,537,026.51","-42,428,556.41","-108,655,622.33","-161,314,651.24","-67,866,232.49","17,788,347.18","-69,289,380.45","-86,485,431.18","-52,282,087.09","-24,954,159.61","-62,840,492.77","-41,760,466.23","-43,388,365.14","-24,720,867,479.97","-22,949,648,007.79","74,885,521.10"
分配股利、利润或偿还利息支付的现金,"4,380,262.50","9,661,312.50","16,928,257.08","22,873,678.00","6,498,356.25","11,579,656.25","21,471,612.99","33,024,009.75","5,562,293.75","11,319,768.75","21,074,951.74","34,570,963.36","6,206,062.50","13,484,081.25","22,764,249.91","31,909,553.36","7,187,425.00","14,883,420.83","24,860,166.67","35,178,230.80","8,774,400.00","2,181,600.00","26,552,500.00","34,329,750.00","993,333.33","1,645,000.00","2,654,166.67","12,257,500.00","10,230,000.00","21,558,166.66","34,146,166.65","45,705,583.32","11,142,500.00","22,443,166.67","33,658,444.45","43,142,750.00","9,546,250.01","18,937,916.67","28,180,347.22","21,980,912,779.72","2,948,294,994.86","3,675,167,362.08"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,"317,537,646.55",,,,,,,,,,,,,,,,"218,178,461,960.33","32,526,027,384.22","95,358,332,904.71"
支付其他与筹资活动有关的现金,,,,"1,673,014.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,138,532.57",
取得投资收益收到的现金,,"2,031,216.56","19,574,579.09","19,574,579.09",,,,"4,774,479.40",,,"1,817,991.03","19,387,187.52",,,,,,,,,,,,"112,513,653.18",,,,,,,,,,,,,,,,"4,721,099,708.38","460,012,029.21","2,970,643,779.97"
筹资活动现金流出小计,"154,380,262.50","209,661,312.50","316,928,257.08","374,546,692.45","206,498,356.25","261,579,656.25","471,471,612.99","533,024,009.75","55,562,293.75","61,319,768.75","221,074,951.74","384,570,963.36","106,206,062.50","113,484,081.25","372,764,249.91","531,909,553.36","107,187,425.00","214,883,420.83","474,860,166.67","635,178,230.80","208,774,400.00","202,181,600.00","476,552,500.00","1,084,329,750.00","100,993,333.33","101,645,000.00","707,654,166.67","717,257,500.00","10,230,000.00","21,558,166.66","684,146,166.65","795,705,583.32","131,142,500.00","142,443,166.67","783,658,444.45","793,142,750.00","129,546,250.01","138,937,916.67","828,180,347.22","31,549,652,779.72","2,953,433,527.43","19,072,582,387.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"20,900.00","764,923.00","793,783.00","316,926.00",,"193,720.00","351,251.00","7,593,354.55","2,935,758.00","2,935,758.00","3,220,256.00","25,833,798.47","3,680.00","3,680.00","6,440.00","22,657.59",,,"71,890.00","71,890.00",,,"4,200.00","19,200.00",460.00,460.00,460.00,"22,784.00","221,600.00","264,910.00","267,910.00","269,590.00","11,180.00","11,180.00","11,180.00","11,180.00",,"15,900.00","15,900.00","132,616.32","9,374.13","42,741.97"
筹资活动产生的现金流量净额,"45,619,737.50","40,338,687.50","33,071,742.92","125,453,307.55","-56,498,356.25","-111,579,656.25","-121,471,612.99","-183,024,009.75","44,437,706.25","38,680,231.25","128,925,048.26","115,429,036.64","-6,206,062.50","86,515,918.75","77,235,750.09","68,090,446.64","92,812,575.00","85,116,579.17","-24,860,166.67","-35,178,230.80","-8,774,400.00","97,818,400.00","-26,552,500.00","-484,329,750.00","-100,993,333.33","-101,645,000.00","-57,654,166.67","-17,257,500.00","49,770,000.00","98,441,833.34","115,853,833.35","4,294,416.68","-11,142,500.00","-22,443,166.67","16,341,555.55","6,857,250.00","-9,546,250.01","-18,937,916.67","-28,180,347.22","19,673,943,968.53","-967,356,087.35","-15,096,526,700.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-35,381.66",,,,"39,230.76",,,,"-16,036.59",,,,"100,575.72",,,,"83,997.95",,,,"763,119.85",,,,"-169,829.70",,,,"-108,628.48",,"17,809.71","22,469.04",,,,,"1,242,011,847.32","-35,124,593.28","505,837,966.61"
收到其他与投资活动有关的现金,,,"5,971.57","5,010,000.00","5,928,793.65","5,871,793.65","5,928,793.65",,,"9,030,900.00",,,,"4,850,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"786,870.17",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"20,900.00","2,796,139.56","20,374,333.66","24,901,505.09","5,928,793.65","6,065,513.65","6,280,044.65","12,367,833.95","2,935,758.00","11,966,658.00","5,038,247.03","45,220,985.99","3,680.00","4,853,680.00","6,440.00","22,657.59",,,"71,890.00","71,890.00",,,"4,200.00","430,070,499.73",460.00,460.00,460.00,"22,784.00","221,600.00","264,910.00","267,910.00","269,590.00","11,180.00","11,180.00","11,180.00","11,180.00",,"15,900.00","15,900.00","222,899,694,285.03","32,986,835,657.73","98,329,019,426.65"
五、现金及现金等价物净增加额,"-94,430,893.05","-83,951,998.31","-70,383,998.65","31,314,871.67","-122,808,603.43","-164,090,313.86","-138,457,967.56","-83,245,466.44","-36,152,745.19","-57,856,384.13","-75,348,687.94","7,537,546.15","-65,420,315.65","-31,016,708.42","-90,332,711.54","5,749,069.06","-50,709,918.94","-89,611,183.49","-78,739,189.40","74,451,818.92","-87,618,268.75","-133,006,411.79","-119,289,822.48","-36,320,165.03","-98,240,952.01","-137,528,030.17","-108,066,977.20","-63,422,980.10","-58,664,022.33","-62,854,660.50","48,003,108.26","21,120,998.33","-80,819,926.52","-109,298,834.21","-36,306,108.57","-18,484,955.68","-72,582,035.22","-60,996,377.34","-71,866,706.80","-20,852,559,758.95","-57,468,812,775.76","-41,275,960,673.29"
购建固定资产、无形资产和其他长期资产支付的现金,"41,482,453.69","70,193,769.72","64,466,933.45","82,547,337.08","19,221,036.64","24,505,148.39","33,623,387.45","95,402,352.19","11,127,185.10","14,008,118.56","18,240,991.14","132,863,621.84","29,954,130.20","48,487,068.11","56,171,967.03","34,632,334.94","1,991,425.07","9,327,318.44","10,138,385.88","12,857,302.25","10,848,249.80","18,605,391.92","18,605,391.92","19,637,597.56","1,876,244.02","1,876,244.02","1,876,244.02","3,589,877.99",,"246,752.60","252,402.60","1,122,727.05","399,226.07","399,226.07","399,226.07","399,226.07","195,292.44","313,894.44","313,894.44","1,629,192,762.99","730,507,105.23","736,357,557.62"
期初现金及现金等价物余额,"222,250,861.68","222,250,861.68","222,250,861.68","165,458,260.31","196,773,131.98","196,773,131.98","196,773,131.98","196,773,131.98","113,527,665.54","113,527,665.54","115,153,834.56","113,527,665.54","121,065,211.69","121,533,295.75","121,533,295.75","121,065,211.69","126,814,280.75","126,814,280.75","126,814,280.75","126,814,280.75","201,266,099.67","201,266,099.67","201,266,099.67","201,266,099.67","164,945,934.64","164,945,934.64","164,945,934.64","164,945,934.64","101,522,954.54","101,522,954.54","101,522,954.54","101,522,954.54","122,643,952.87","122,643,952.87","122,643,952.87","122,643,952.87","104,158,997.19","104,158,997.19","104,158,997.19","132,450,594,139.24","111,598,034,380.29","111,598,034,380.29"
投资支付的现金,,,,,,,,"4,502,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232,243,506,930.88","65,759,333,182.84","124,352,819,329.61"
期末现金及现金等价物余额,"127,819,968.63","138,298,863.37","151,866,863.03","196,773,131.98","73,964,528.55","32,682,818.12","58,315,164.42","113,527,665.54","77,374,920.35","55,671,281.41","39,805,146.62","121,065,211.69","55,644,896.04","90,516,587.33","31,200,584.21","126,814,280.75","76,104,361.81","37,203,097.26","48,075,091.35","201,266,099.67","113,647,830.92","68,259,687.88","81,976,277.19","164,945,934.64","66,704,982.63","27,417,904.47","56,878,957.44","101,522,954.54","42,858,932.21","38,668,294.04","149,526,062.80","122,643,952.87","41,824,026.35","13,345,118.66","86,337,844.30","104,158,997.19","31,576,961.97","43,162,619.85","32,292,290.39","111,598,034,380.29","54,129,221,604.53","70,322,073,707.00"
