科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"17,624,654.21","46,969,952.62","60,101,722.81","85,775,203.56","115,443,703.50","139,529,513.98","30,770,498.57","59,481,155.87","97,870,099.28","148,576,509.93","105,482,539.00","137,505,499.01","175,390,599.56","218,200,381.45","123,784,364.04","165,328,639.43","240,505,951.26","274,989,780.21","84,525,297.96","158,412,856.40","204,595,232.70","247,237,967.89","84,131,385.29","130,900,543.02","184,769,672.64","254,007,225.30","48,931,542.58","104,762,747.32","176,231,964.71","236,386,097.88","69,487,904.46","266,245,639.02","367,208,346.09","480,778,686.67","105,820,341.41","477,102,763.76","634,475,304.75","762,742,704.40","152,603,908.54","457,477,890.91","693,998,454.66","847,749,118.76","168,342,816.70","430,972,228.86"
四、汇率变动对现金的影响,"-221,950.72","-789,246.26","-456,599.75","-578,975.85","-800,146.85","-762,451.20","-1,079.20","-10,206.59","-19,597.24","-26,348.14","-9,803.50","-143,017.77","-398,566.86","-596,008.05","-167,087.97","-388,245.12","-668,980.91","-772,801.40","-15,937.01","51,353.62","95,692.72","-53,652.89","-60,046.65","-286,262.40","-388,547.10","-550,574.59","165,935.63","172,915.34","160,682.15","65,544.40","41,633.45","-16,755.28","370,199.22","801,353.19","-278,939.76","1,178,801.79","1,578,425.96","4,120,234.61","-393,403.02","-1,802,736.56","-3,331,504.67","-4,418,029.57","-2,215,112.34","-1,556,386.45"
支付的各项税费,"11,864,050.81","33,542,904.16","10,554,148.01","126,171,116.49","135,614,774.40","136,683,678.35","11,494,396.76","19,750,495.56","26,865,084.76","32,831,840.80","33,807,911.36","42,694,629.15","45,609,350.24","63,488,519.85","43,263,773.55","67,769,875.22","101,346,781.68","111,550,694.86","27,904,810.13","35,741,410.31","49,330,916.40","106,463,781.59","6,885,128.87","16,749,605.43","27,621,622.96","57,134,406.39","14,094,288.25","41,986,549.58","81,047,543.49","148,450,693.81","100,501,318.41","281,485,171.74","533,656,236.80","676,896,842.64","10,438,217.54","88,598,180.81","126,595,151.13","200,131,261.92","94,554,552.93","114,431,115.26","170,001,453.92","233,760,642.53","56,276,789.74","92,764,758.86"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"54,451,332.15","374,285,766.94","454,565,498.22","1,108,222,387.91","1,056,589,462.23","1,141,247,360.47","22,906,779.31","43,544,795.64","77,406,279.28","114,339,135.32","439,421,205.34","866,317,163.04","1,359,476,804.43","827,368,155.01","1,272,030,764.74","1,262,255,904.31","2,290,070,482.89","1,811,217,140.54","617,541,717.98","383,489,179.45","1,022,306,856.36","800,608,866.34","213,028,748.38","680,567,992.77","172,591,891.77","788,407,561.73","765,823,176.30","2,291,011,862.61","4,214,772,004.41","3,940,374,968.26","2,347,629,563.56","7,104,488,505.20","9,498,409,675.28","10,407,464,456.75","3,581,638,964.61","1,808,063,766.15","4,488,574,493.72","2,905,461,783.37","471,770,859.55","2,687,606,573.30","5,206,465,977.44","8,425,929,150.34","442,358,030.03","1,492,114,448.33"
五、现金及现金等价物净增加额,"2,752,514,617.18","2,878,036,173.01","-800,381,662.93","-1,789,111,681.63","-1,695,831,822.02","-1,485,251,286.58","1,327,949,804.43","1,353,801,409.48","2,272,619,511.16","2,067,796,050.80","-270,443,626.20","-573,098,203.42","-148,345,789.61","116,538,696.57","-825,942,644.24","-1,167,827,292.37","-1,646,868,450.85","-1,135,645,017.28","-369,083,460.41","-99,245,375.53","-1,189,431,862.49","-911,779,448.41","236,221,886.82","47,073,799.14","154,819,111.02","-462,669,297.17","-29,301,115.13","1,878,766,996.26","998,510,542.72","3,056,630,316.88","1,728,315,799.58","11,083,494,944.23","2,679,098,790.18","2,172,954,680.34","2,645,074,043.72","1,075,233,831.34","1,908,744,870.16","792,025,766.43","4,171,506,582.22","-2,900,032,512.73","-3,195,088,254.06","-1,891,576,385.72","-220,199,507.60","-1,192,215,191.66"
经营活动现金流出小计,"93,135,921.95","481,397,949.29","530,937,938.04","1,333,229,115.91","1,325,579,422.40","1,867,244,536.10","73,344,586.36","141,579,873.21","233,588,773.46","944,346,983.15","997,025,408.45","1,451,911,605.57","1,614,022,608.47","1,172,584,170.51","1,464,686,577.75","1,549,484,388.27","3,019,856,665.47","2,308,427,528.36","762,521,073.02","642,270,115.77","1,357,545,859.93","1,250,240,718.87","329,766,207.25","891,186,142.01","463,475,695.75","1,200,717,093.08","855,905,824.39","2,491,307,549.65","4,564,614,114.80","4,452,032,186.31","2,601,753,088.04","7,896,739,643.13","10,790,216,490.39","12,066,920,831.96","3,788,378,970.49","4,816,770,797.42","7,028,375,391.48","7,430,222,692.44","822,394,607.25","3,485,925,764.06","6,449,371,735.59","10,044,546,421.20","2,954,287,732.48","2,360,947,182.87"
期初现金及现金等价物余额,"1,175,031,941.29","1,175,031,941.29","4,053,068,114.30","4,053,068,114.30","4,053,068,114.30","4,053,068,114.30","2,567,816,827.72","2,567,816,827.72","2,567,816,827.72","2,567,816,827.72","4,635,612,878.52","4,635,612,878.52","4,635,612,878.52","4,635,612,878.52","4,752,151,575.09","4,752,151,575.09","4,752,151,575.09","4,752,151,575.09","3,616,506,557.81","3,616,506,557.81","3,616,506,557.81","3,616,506,557.81","2,704,727,109.40","2,704,727,109.40","2,704,727,109.40","2,704,727,109.40","2,242,057,812.23","2,242,057,812.23","2,242,598,356.46","2,242,598,356.46","5,299,228,673.34","5,299,228,673.34","5,299,228,673.34","5,299,228,673.34","7,506,183,353.68","7,472,183,353.68","7,472,183,353.68","7,472,183,353.68","8,264,209,120.11","8,264,209,120.11","8,264,209,120.11","8,264,209,120.11","6,372,632,734.39","6,372,632,734.39"
经营活动产生的现金流量净额,"1,939,511,250.13","2,161,707,035.92","-790,031,301.74","-1,768,579,480.77","-1,667,162,327.18","-1,453,118,122.54","1,329,513,916.74","1,358,342,712.59","2,277,786,854.52","2,078,556,956.44","-267,288,439.87","-561,848,907.06","-109,027,889.40","158,249,858.23","-822,459,472.64","-1,156,461,437.58","-1,633,016,115.82","-1,118,393,188.93","-366,977,758.12","54,517,527.91","-955,581,975.19","-735,482,235.85","160,124,316.73","30,601,465.04","205,487,855.63","-408,237,784.01","9,091,578.11","-1,924,855,488.31","-2,876,039,158.31","-1,213,619,425.52","948,552,033.22","-119,806,455.42","-6,857,220,176.29","-8,006,418,555.04","-2,007,281,775.92","-2,680,064,242.51","-4,184,993,332.27","-4,025,526,462.85","2,791,736,846.78","1,378,673,326.91","175,467,284.52","601,042,799.42","-180,055,014.13","3,536,759,395.76"
期末现金及现金等价物余额,"3,927,546,558.47","4,053,068,114.30","3,252,686,451.37","2,263,956,432.67","2,357,236,292.28","2,567,816,827.72","3,895,766,632.15","3,921,618,237.20","4,840,436,338.88","4,635,612,878.52","4,365,169,252.32","4,062,514,675.10","4,487,267,088.91","4,752,151,575.09","3,926,208,930.85","3,584,324,282.72","3,105,283,124.24","3,616,506,557.81","3,247,423,097.40","3,517,261,182.28","2,427,074,695.32","2,704,727,109.40","2,940,948,996.22","2,751,800,908.54","2,859,546,220.42","2,242,057,812.23","2,212,756,697.10","4,120,824,808.49","3,241,108,899.18","5,299,228,673.34","7,027,544,472.92","16,382,723,617.57","7,978,327,463.52","7,472,183,353.68","10,151,257,397.40","8,547,417,185.02","9,380,928,223.84","8,264,209,120.11","12,435,715,702.33","5,364,176,607.38","5,069,120,866.05","6,372,632,734.39","6,152,433,226.79","5,180,417,542.73"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
