科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"32,293,155.64","67,123,751.66","34,000,000.00","106,000,000.00","50,000,000.00","396,580,000.00","442,163,500.00","20,000,000.00","33,600,000.00","81,600,000.00","122,038,200.00","73,738,000.00","97,240,000.00","175,540,000.00","272,515,000.00","79,000,000.00","174,000,000.00","344,000,000.00","445,060,000.00","60,000,000.00","225,399,958.50","525,181,958.50","860,300,000.00","87,000,000.00","394,839,629.46","593,000,000.00","1,093,272,700.00","436,425,641.11","697,925,641.11","1,033,925,641.11","1,666,984,328.29","241,000,000.00","462,500,000.00","522,500,000.00","996,139,000.00","261,000,000.00","649,000,000.00"
经营活动现金流出小计,"46,617,281.50","226,119,289.30","108,528,226.16","293,609,974.67","142,860,635.85","223,771,504.92","336,067,237.59","83,838,085.01","155,346,638.89","276,011,462.47","378,545,146.33","131,155,805.72","232,016,311.76","331,619,090.23","525,777,781.11","126,207,964.51","245,363,025.23","371,132,486.86","572,262,847.89","178,343,985.33","514,938,154.00","706,530,396.05","918,642,553.32","267,434,459.15","540,589,088.08","746,815,889.35","830,864,297.73","339,378,729.86","804,395,064.77","980,358,330.73","1,121,299,229.43","461,318,368.56","711,392,410.08","904,439,969.25","1,094,341,688.65","336,052,302.31","609,896,954.69"
偿还债务支付的现金,"28,403,955.73","66,380,976.83","17,440,000.04","46,578,064.96","31,681,607.97","31,691,607.97","106,554,529.88","20,000,000.00","34,091,576.65","79,091,576.65","95,874,884.20","48,200,000.00","56,746,452.05","94,746,452.05","163,985,630.67","66,675,000.00","117,829,841.81","234,879,841.81","277,270,981.41","100,930,000.00","194,045,123.53","325,335,123.53","462,584,789.65","68,000,000.00","224,878,551.51","400,349,492.91","695,061,616.84","100,000,000.00","402,348,930.47","617,343,360.00","1,004,430,000.00","126,750,000.00","286,965,235.79","510,198,203.79","1,041,420,000.00","216,000,000.00","776,184,058.41"
经营活动产生的现金流量净额,"22,543,959.47","23,702,998.40","10,029,066.99","-11,976,997.48","1,747,134.48","2,373,886.14","-22,113,042.84","-9,740,335.65","-1,675,006.75","-15,282,291.19","-21,661,026.41","457,922.25","10,778,993.50","6,945,239.15","25,810,361.65","6,560,484.78","7,534,893.10","5,450,565.04","-33,834,476.52","6,118,770.99","19,853,364.61","8,859,579.16","-166,624,995.15","30,157,364.01","23,280,150.02","15,819,446.57","72,775,916.45","-70,144,954.46","-162,333,002.85","-243,324,888.33","-269,566,013.01","-156,978,081.88","-52,918,514.25","14,601,419.61","80,946,859.88","-24,362,709.55","40,131,497.86"
分配股利、利润或偿还利息支付的现金,"3,288,429.73","2,666,869.92","1,293,958.01","2,976,135.86","3,232,997.03","4,444,287.07","5,994,943.16","842,009.25","2,034,124.81","3,593,014.93","5,236,533.08","2,221,431.11","5,060,137.15","10,693,911.23","16,993,116.65","3,227,975.78","9,433,443.72","15,382,155.54","22,230,708.31","6,332,342.54","13,238,341.25","22,457,709.99","33,477,893.36","10,022,443.57","20,742,119.46","38,033,139.43","62,133,383.97","15,012,883.16","30,200,681.35","44,029,354.03","34,352,828.19","14,184,694.17","37,208,635.95","55,277,486.38","43,494,221.73","13,509,897.59","29,744,700.45"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,"7,392,779.96","5,227,896.00",,,,,,"651,200.00","751,200.00","1,682,368.12",,"700,000.00","700,000.00",,,,,,,,,"24,000,000.00",,,,"8,201,201.80",,,,"20,511,643.45",,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"277,996.63",,,,,,,,,,
筹资活动现金流出小计,"31,692,385.46","69,047,846.75","18,733,958.05","49,554,200.82","34,914,605.00","43,528,675.00","117,777,369.04","20,842,009.25","36,125,701.46","82,684,591.58","101,111,417.28","50,421,431.11","62,457,789.20","106,191,563.28","182,661,115.44","69,902,975.78","127,963,285.53","250,961,997.35","299,501,689.72","107,262,342.54","207,283,464.78","347,792,833.52","496,062,683.01","78,022,443.57","245,620,670.97","438,382,632.34","781,195,000.81","115,012,883.16","432,549,611.82","661,372,714.03","1,046,984,029.99","140,934,694.17","324,173,871.74","565,475,690.17","1,105,425,865.18","229,509,897.59","805,928,758.86"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"15,000.00",,"546,589.00","125,000.00","145,000.00","165,000.00",,,,"337,615.20",,,"45,000.00","7,693,904.38",,,"6,405.47","1,045,461.54",,"18,039.31","169,305.16","421,344.34",,,,,,,,"3,036,506.00",,,"9,604.06","7,960,523.87",,"105,799,400.00"
筹资活动产生的现金流量净额,"600,770.18","-1,924,095.09","15,266,041.95","56,445,799.18","15,085,395.00","353,051,325.00","324,386,130.96","-842,009.25","-2,525,701.46","-1,084,591.58","20,926,782.72","23,316,568.89","34,782,210.80","69,348,436.72","89,853,884.56","9,097,024.22","46,036,714.47","93,038,002.65","145,558,310.28","-47,262,342.54","18,116,493.72","177,389,124.98","364,237,316.99","8,977,556.43","149,218,958.49","154,617,367.66","312,077,699.19","321,412,757.95","265,376,029.29","372,552,927.08","620,000,298.30","100,065,305.83","138,326,128.26","-42,975,690.17","-109,286,865.18","31,490,102.41","-156,928,758.86"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"5,687.64","9,920.22",,,"4,277.78",,,,"-2,183.35",,,,912.03,,,,"-7,967.49",,,,"-2,979.67",,,,"-2,096.85",,,,"2,087.72",,,,558.71,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"15,000.00",,"546,589.00","125,000.00","145,000.00","165,000.00",,,,"337,615.20",,,"45,000.00","7,693,904.38",,,"6,405.47","1,045,461.54",,"18,039.31","169,305.16","421,344.34",,,,"277,996.63",,,,"3,036,506.00",,,"9,604.06","7,960,523.87",,"105,799,400.00"
五、现金及现金等价物净增加额,"9,676,754.75","2,006,116.07","12,111,483.38","7,329,058.99","8,087,694.43","314,040,216.27","241,552,814.53","-36,614,136.15","-45,772,549.83","-117,800,144.27","-101,658,074.27","-92,793,695.41","-113,571,001.93","-96,208,453.56","-100,515,796.05","5,914,908.61","25,342,500.53","58,961,050.88","32,546,897.50","-52,847,547.32","14,528,841.64","112,672,334.04","46,460,400.14","-71,668,731.44","2,043,070.54","-22,736,185.77","36,589,838.43","223,406,354.77","36,195,525.38","42,546,798.86","68,191,518.99","-82,527,210.18","4,919,248.50","-127,483,649.38","-156,303,356.15","-11,555,104.49","-37,127,244.35"
购建固定资产、无形资产和其他长期资产支付的现金,"12,127,974.90","19,587,787.24","12,188,228.59","37,695,167.32","8,869,835.05","36,314,994.87","60,889,551.37","26,031,791.25","41,571,841.62","62,833,261.50","62,659,262.43","33,703,715.50","73,449,838.11","86,864,761.31","140,992,927.62","9,742,600.39","28,229,107.04","36,533,922.28","70,214,430.31","11,703,975.77","23,459,056.00","67,745,675.26","111,620,286.37","16,753,651.88","45,996,037.97","68,713,000.00","100,119,181.07","19,861,448.72","41,404,297.46","58,528,036.29","154,561,360.02","20,614,434.13","70,488,365.51","89,118,982.88","125,924,433.43","18,682,497.35","26,129,383.35"
期初现金及现金等价物余额,"432,503.38","10,109,258.13","12,115,374.20","12,115,374.20","24,226,857.58","19,444,433.19","19,444,433.19","260,997,247.72","260,997,247.72","260,997,247.72","260,997,247.72","159,339,173.45","159,339,173.45","159,339,173.45","159,339,173.45","63,455,026.25","63,455,026.25","63,455,026.25","58,823,377.40","94,430,274.90","94,430,274.90","94,430,274.90","91,370,274.90","137,830,675.04","137,830,675.04","137,830,675.04","137,830,675.04","181,830,513.47","174,420,513.47","181,830,513.47","174,420,513.47","292,882,799.62","242,612,032.46","242,612,032.46","242,612,032.46","87,750,176.31","87,750,176.31"
投资支付的现金,,,"1,000,000.00",,,,,,,"38,600,000.00",,,,,,,,,"10,000,000.00",,,,"39,950,000.00","94,050,000.00",,,"195,720,000.00","8,000,000.00",,"28,153,203.60","33,920,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,
期末现金及现金等价物余额,"10,109,258.13","12,115,374.20","24,226,857.58","19,444,433.19","32,314,552.01","333,484,649.46","260,997,247.72","224,383,111.57","215,224,697.89","143,197,103.45","159,339,173.45","66,545,478.04","45,768,171.52","63,130,719.89","58,823,377.40","69,369,934.86","88,797,526.78","122,416,077.13","91,370,274.90","41,582,727.58","108,959,116.54","207,102,608.94","137,830,675.04","66,161,943.60","139,873,745.58","115,094,489.27","174,420,513.47","405,236,868.24","210,616,038.85","224,377,312.33","242,612,032.46","210,355,589.44","247,531,280.96","115,128,383.08","86,308,676.31","76,195,071.82","50,622,931.96"
