科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,"25,660,000.00","13,000,000.00","13,000,000.00","13,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"296,740,000.00","296,740,000.00",,,"120,000,000.00","120,000,000.00","90,000,000.00"
其他流动资产,"446,937.83","564,278.93","342,592.65",,,,,,,,,,,,,"40,000,000.00",,"53,000,000.00","52,293,310.92","126,080,000.00","2,500,000.00","257,200,000.00","242,550,000.00","201,000,000.00","200,118,162.50","200,000,000.00","229,000,000.00","240,858,103.44","266,686,736.76","144,135,675.88","111,956,950.70","239,410,833.32","324,799,579.18","459,362,388.62","680,666,215.45","689,270,698.16","504,464,790.45","410,315,705.65","479,492,223.44","505,470,167.67","326,732,603.59","82,272,075.52","168,740,459.14","67,803,606.62","156,130,981.26","133,064,584.60"
其他流动负债,"41,407,136.81","64,155,788.57","81,006,487.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"522,060.83","520,003.41","332,997.97"
流动资产合计,"2,119,987,067.27","2,222,168,500.83","2,262,628,518.25","2,056,119,634.08","2,034,391,685.84","2,193,771,957.57","2,182,210,416.70","2,264,462,258.98","2,077,683,663.52","2,095,531,877.37","2,184,160,498.39","2,058,597,831.13","1,958,814,387.44","2,114,943,403.29","2,523,105,962.03","1,514,489,313.21","1,241,083,892.48","1,329,142,163.07","1,351,899,915.95","1,379,735,424.57","1,178,413,856.00","1,400,679,766.29","1,478,670,909.96","1,399,890,389.78","1,371,564,813.90","1,284,164,238.25","1,334,855,198.62","2,861,518,391.75","2,918,770,373.85","2,801,733,914.59","2,780,605,181.22","2,860,828,004.67","2,841,241,707.58","2,867,276,932.56","3,101,130,184.86","3,275,908,960.09","3,128,773,419.32","3,354,428,006.12","3,352,765,039.87","2,611,086,084.58","2,775,643,166.83","2,610,877,267.10","3,316,245,408.80","3,431,987,792.80","4,580,748,223.88","3,550,808,591.61"
流动负债合计,"2,297,224,952.76","2,356,887,766.84","2,351,370,086.10","1,946,305,326.34","1,922,954,417.77","2,048,488,916.93","2,013,086,743.46","2,105,710,196.41","1,900,654,392.85","1,883,032,012.89","1,916,424,501.10","1,686,756,823.19","1,641,434,554.53","1,842,696,042.90","1,422,259,037.68","1,425,024,030.65","1,178,447,441.88","1,119,549,623.10","1,126,607,792.71","1,183,695,660.12","966,320,162.92","782,707,368.47","959,907,475.66","914,479,230.26","855,977,078.59","706,729,352.56","784,695,751.26","1,417,295,808.26","1,423,739,156.88","1,287,348,295.81","1,242,952,007.39","1,358,025,356.69","1,207,336,006.25","1,444,413,984.96","1,581,950,022.19","1,726,218,970.67","1,592,073,162.28","1,829,573,255.97","1,858,842,334.12","1,168,610,733.54","1,395,241,113.33","1,207,647,338.31","1,954,668,357.76","2,173,767,027.17","3,296,234,570.18","2,265,025,871.06"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00",,,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00"
长期借款,"71,061,827.10","71,061,827.10","71,061,827.10","58,330,000.00","38,330,000.00","38,330,000.00","38,330,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,,,,,,,,,,"57,000,000.00","57,000,000.00","86,000,000.00","86,000,000.00","86,000,000.00","86,000,000.00",,,,,,,,"120,000,000.00","120,000,000.00","120,000,000.00",,,
