科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
流动资产合计,"760,074,813.20","688,971,779.82","754,039,076.78","743,918,826.14","866,494,116.15","905,428,069.11","1,983,540,929.39","1,912,402,331.97","2,054,251,059.95"
流动负债合计,"346,144,568.18","383,023,173.05","397,902,086.35","377,265,695.37","441,061,643.57","393,766,604.61","253,635,321.99","257,442,298.67","387,667,036.06"
可供出售金融资产,"16,000,000.00","16,000,000.00","19,060,000.00","27,660,000.00","21,582,300.00","12,660,000.00","12,660,000.00","22,460,000.00","76,660,000.00"
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,"47,578,947.45","46,290,976.47","45,646,990.98","45,003,005.49","44,387,155.29","43,771,305.08","43,155,454.88"
预计负债,"17,374,821.20","58,860,042.58","32,817,475.07","47,721,193.96","60,340,838.64","40,899,534.77","53,251,886.19","39,891,179.60","40,104,438.71"
固定资产,"221,167,244.68","202,858,819.59","482,653,569.60","556,399,101.91","550,549,901.27","544,139,548.00","542,456,951.64","553,182,068.84","548,532,909.48"
递延所得税负债,,,"205,002.13",,,,,,
在建工程,"111,543,893.49","339,840,848.50","96,212,102.35","39,001,031.75","39,361,022.55","45,626,591.45","34,092,451.24","28,912,867.02","26,846,168.29"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"56,878,916.86","98,146,766.90","85,469,911.56","99,612,355.20","111,953,863.32","108,676,807.77","120,597,474.38","106,787,813.35","106,599,756.06"
固定资产清理,,,,,,,,,
负债合计,"403,023,485.04","481,169,939.95","483,371,997.91","476,878,050.57","553,015,506.89","502,443,412.38","374,232,796.37","364,230,112.02","494,266,792.12"
生产性生物资产,,,,,,,,,
实收资本(或股本),"213,780,000.00","213,780,000.00","213,780,000.00","213,780,000.00","213,780,000.00","213,780,000.00","285,040,000.00","285,040,000.00","289,060,642.00"
油气资产,,,,,,,,,
资本公积,"5,200,000.00","5,200,000.00","5,200,000.00","5,200,000.00","5,200,000.00","5,200,000.00","1,053,946,209.58","1,053,097,152.98","1,101,643,706.82"
无形资产,"69,130,686.11","81,492,603.61","78,325,439.45","76,215,155.48","74,875,238.81","73,758,213.03","72,646,480.45","72,059,674.38","70,825,025.19"
盈余公积,"107,154,156.14","107,154,156.14","107,154,156.14","107,154,156.14","107,154,156.14","107,154,156.14","107,154,156.14","107,154,156.14","107,154,156.14"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,"51,504,424.02"
商誉,,"27,735,911.67","27,735,911.67","27,735,911.67","27,735,911.67","27,735,911.67","27,735,911.67","27,735,911.67","27,735,911.67"
未分配利润,"546,537,088.40","668,452,163.57","816,118,990.74","837,357,450.56","892,255,093.59","955,961,979.03","1,026,634,056.85","971,360,437.09","1,046,542,575.01"
长期待摊费用,"37,941,275.30","23,744,796.11","9,569,138.11","4,638,793.55","10,329,745.68","8,025,214.94","9,727,894.47","8,435,807.64","23,511,667.03"
少数股东权益,,,,,,,,,
递延所得税资产,"59,836,816.80","90,251,555.39","109,314,056.31","115,828,727.24","124,250,016.57","121,644,143.98","118,184,396.12","109,116,642.66","114,147,206.49"
外币报表折算价差,,,,,,,,,
其他非流动资产,,"4,816,759.00","1,950,571.58","1,357,006.20","7,554,880.39","1,065,819.64","2,077,076.86","3,176,263.01","1,771,309.40"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"515,619,916.38","786,741,293.87","872,399,736.52","895,126,704.27","901,886,007.92","879,658,448.20","863,968,317.74","868,850,540.30","933,185,652.43"
所有者权益(或股东权益)合计,"872,671,244.54","994,543,133.74","1,143,066,815.39","1,162,167,479.84","1,215,364,617.18","1,282,643,104.93","2,473,276,450.76","2,417,022,760.25","2,493,169,920.26"
资产总计,"1,275,694,729.58","1,475,713,073.69","1,626,438,813.30","1,639,045,530.41","1,768,380,124.07","1,785,086,517.31","2,847,509,247.13","2,781,252,872.27","2,987,436,712.38"
负债和所有者(或股东权益)合计,"1,275,694,729.58","1,475,713,073.69","1,626,438,813.30","1,639,045,530.41","1,768,380,124.07","1,785,086,517.31","2,847,509,247.13","2,781,252,872.27","2,987,436,712.38"
