科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
发行债券收到的现金,,,,,,,,,,,,"7,500,000,000.00","5,924,621,917.81","13,979,350,000.00","13,479,350,000.00","13,478,266,000.00","1,500,000,000.00","2,000,000,000.00","8,976,000,000.00","30,566,630,136.98","15,317,320,000.00","55,584,000,000.00","39,084,000,000.00","66,484,000,000.00","3,000,000,000.00","32,300,000,000.00","50,300,000,000.00","53,300,000,000.00",,"17,495,000,000.00","43,395,000,000.00","53,092,695,076.92","3,000,000,000.00"
收到其他与经营活动有关的现金,"3,996,743,030.44","23,151,788.01","61,479,471.51","138,301,253.64","5,142,786.31","124,635,641.25","181,532,099.27","447,564,855.62","5,444,257,286.05","2,807,837,678.97","5,414,107,014.87","3,390,562,277.95","1,091,403,485.67","1,427,165,951.13","869,072,370.42","5,015,419,329.16","2,701,332,674.07","5,913,297,420.85","22,929,826,128.98","43,532,887,885.18","36,827,451,703.85","123,511,745,103.52","69,381,343,750.44","57,061,578,471.99","19,514,100,723.81","21,964,238,615.41","32,435,415,822.81","43,195,430,310.50","1,250,661,356.58","5,402,924,287.17","2,247,881,978.43","1,242,981,782.86","18,174,443,385.27"
取得借款收到的现金,,,,,,"124,584,590.59","194,741,933.08","193,422,578.18","42,253,276.11","47,319,921.74","55,524,492.28","52,590,169.44",,"131,129,636.04","134,904,063.87","198,040,846.76","279,662,112.71","1,703,119,007.37","1,654,428,905.62","3,852,390,645.36","4,710,290,000.00","665,089,400.00","95,408,163.12","79,271,344.00","731,201,230.80","1,870,597,779.20","3,512,380,900.80","6,227,945,504.17","454,907,480.53","1,557,830,100.66","2,267,374,315.50","5,438,906,942.35","2,583,467,315.11"
经营活动现金流入小计,"6,999,231,919.36","4,107,382,302.24","7,138,829,070.32","9,195,465,173.97","5,846,542,774.29","7,392,300,214.66","8,883,094,324.82","11,550,579,728.01","7,130,922,703.77","6,167,004,457.06","12,628,897,321.79","10,332,433,638.93","5,245,783,025.66","6,700,620,814.17","9,543,311,600.63","17,702,593,754.41","8,693,376,667.52","10,917,520,406.09","34,882,060,350.19","84,462,115,572.93","59,259,172,810.84","178,484,969,678.11","108,904,942,913.89","117,395,446,987.10","26,111,611,618.58","42,501,390,905.55","56,944,461,235.80","74,169,242,121.34","12,652,108,239.61","39,921,538,569.10","20,189,740,810.85","21,867,931,826.41","32,618,510,279.24"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"113,085,055.17","60,223,216.74","60,937,128.86",,,,"152,121,508.39","4,132,753,911.12","250,716,673.00","21,625,444,849.30","15,543,075,275.88","32,192,618,082.31","464,694,112.97","7,296,205,723.73","8,043,300,144.80","8,342,598,959.28","2,359,865,000.00","9,519,622,402.22","13,256,968,837.75","18,848,990,712.24","2,348,940,000.00"
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,"12,655,705.59","12,655,705.59","12,655,705.59","13,228,608.31",,"134,621,892.80","12,194,821,335.42","12,201,075,221.05","376,583,061.82","473,473,526.60","519,999,565.48","7,556,361,195.02","6,037,755,389.98","14,176,332,181.55","13,692,739,740.78","13,802,375,645.91","1,779,662,112.71","3,707,119,007.37","10,782,550,414.01","38,600,799,693.46","20,322,114,467.47","102,748,599,337.35","79,667,942,399.74","124,311,437,643.17","4,302,207,549.37","41,712,684,671.68","62,176,324,964.32","68,210,423,590.54","2,814,772,480.53","28,572,452,502.88","59,375,243,153.25","77,836,492,731.51","7,932,407,315.11"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,,,,,,,,,,,,,"69,361,170.18",,,,,"29,400,000.00","29,400,000.00","29,400,000.00",,,"407,651,000.00","41,600,000,000.00","15,500,000,000.00","45,500,000,000.00","48,500,000,000.00","50,500,000,000.00","5,000,000,000.00","36,576,623,506.10","40,460,127,713.99","48,426,117,888.20","6,431,756,242.31"
支付的手续费及佣金的现金,"285,920,785.00","633,487,684.67","982,982,653.19","1,472,068,058.39","336,418,427.78","641,864,320.20","937,181,386.66","1,179,265,368.45","309,267,896.65","603,954,972.46","825,130,754.76","1,032,291,331.07","245,913,759.24","487,231,833.33","774,773,341.29","1,152,714,126.57","466,445,896.03","838,817,462.05","1,351,990,530.71","2,163,273,884.68","1,331,085,293.15","3,500,122,803.09","5,130,854,024.00","4,069,529,911.75","894,348,266.01","1,719,795,996.25","2,455,532,690.65","3,131,409,376.26","688,939,242.35","1,582,480,473.27","2,585,157,829.45","3,786,546,052.11","772,444,268.79"
