科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"29,849,294.53","23,272,627.82","31,726,452.44","42,390,752.16","10,941,774.11","25,462,582.74","36,789,350.79","47,284,914.31","22,799,279.92","34,477,720.80","45,224,013.12","56,202,444.60","18,350,541.29","30,557,906.59","43,133,163.55","54,293,898.41","20,512,299.52","31,374,100.41","43,138,854.50","54,562,486.63","18,257,748.40","29,859,619.35","43,160,713.05","62,762,028.58","19,776,828.95","33,411,458.96","47,236,258.15","62,216,310.06","20,880,541.13","32,494,614.55","43,850,916.26","73,686,861.03","35,081,882.06","71,124,736.03","101,980,430.23","135,958,727.61","54,185,641.85","82,010,712.77","115,936,230.40"
取得借款收到的现金,"168,760,000.00","87,000,000.00","157,000,000.00","157,000,000.00",,,,,,"15,000,000.00","40,000,000.00","40,000,000.00","7,500,000.00","7,500,000.00","17,500,000.00","17,500,000.00",,,,,,,,,,,,,,,,"50,000,000.00",,,,,"90,000,000.00","377,091,180.90","477,091,180.90"
支付的各项税费,"27,227,330.99","19,721,803.18","26,343,836.44","33,503,063.47","5,861,150.00","13,973,239.94","23,996,414.43","32,411,834.44","7,268,992.66","10,367,497.64","14,667,896.09","17,096,617.37","10,387,092.20","13,044,602.44","16,371,831.02","18,837,227.35","3,961,499.05","10,195,176.38","15,818,632.45","23,250,803.67","3,240,396.74","8,668,669.02","17,862,275.17","24,688,114.10","9,100,526.44","12,710,061.46","19,858,306.65","24,051,255.30","6,278,384.06","12,723,069.12","16,512,110.57","110,055,195.09","47,120,400.43","74,364,843.83","113,504,834.90","135,899,246.88","40,285,226.18","90,250,722.99","125,751,711.43"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"5,156,644.13","11,656,644.13",,"156,644.13","5,500,000.00","2,500,000.00",,,,,,,"5,000,000.00","500,000.00","6,500,000.00","13,505,000.00",,,,,"4,000,000.00",,,,"21,000,000.00","10,112,669.94","16,515.34"
支付其他与经营活动有关的现金,"25,645,286.19","6,756,514.43","20,054,750.08","26,896,611.25","7,868,985.21","15,357,844.92","24,408,912.73","33,519,764.50","9,226,320.01","18,916,476.97","29,133,067.34","36,043,489.79","9,808,243.90","21,910,278.99","33,169,902.20","40,342,728.63","7,531,305.23","17,945,257.87","25,493,083.72","35,339,597.80","7,371,361.89","14,265,501.78","22,200,471.93","34,461,335.11","4,265,170.69","12,160,253.48","22,695,109.53","30,993,689.92","5,311,257.96","14,366,044.74","21,799,604.54","86,905,400.31","30,614,946.39","69,915,583.38","86,880,298.48","115,524,277.51","32,536,903.28","75,594,785.70","121,126,885.49"
筹资活动现金流入小计,"169,133,680.00","87,000,000.00","462,550,000.00","462,550,000.00",,,,,,"15,000,000.00","40,000,000.00","40,000,000.00","12,656,644.13","19,156,644.13","17,500,000.00","17,656,644.13","5,500,000.00","2,500,000.00",,,,,,,"5,000,000.00","500,000.00","6,500,000.00","13,505,000.00",,,,"389,816,406.31","4,000,000.00","6,758,083.44","6,556,561.10","6,558,155.84","111,000,000.00","387,203,850.84","477,107,696.24"
经营活动现金流出小计,"259,186,193.76","164,064,411.72","201,899,634.84","303,718,838.65","68,840,727.24","182,836,798.85","312,904,780.10","391,754,336.47","111,904,743.00","211,830,199.00","287,726,093.56","292,546,692.65","79,434,233.41","153,849,641.34","222,464,924.60","283,418,289.59","90,303,629.77","156,872,529.93","218,461,158.95","286,077,786.87","77,875,944.84","158,935,576.86","237,900,939.91","321,066,771.63","88,186,654.12","158,128,217.36","235,719,706.12","311,991,041.61","64,181,539.10","125,049,382.94","182,839,604.11","391,310,500.91","183,830,603.72","355,829,689.22","496,861,195.84","890,081,474.53","234,799,010.38","698,716,617.43","920,163,896.77"
偿还债务支付的现金,"124,560,000.00","84,200,000.00","201,200,000.00","201,200,000.00",,,,,,,"15,000,000.00","17,500,000.00","22,500,000.00","22,500,000.00","40,000,000.00","40,000,000.00",,,,,,,,,,,,,,,,"40,000,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00",,,"70,000,000.00"
经营活动产生的现金流量净额,"67,250,203.83","17,979,500.54","29,433,103.79","42,221,316.66","32,655,234.57","44,620,602.83","43,323,208.57","64,595,041.70","-31,754,520.00","-43,296,690.67","-25,741,601.62","36,664,112.22","-17,084,624.76","-14,094,471.81","-1,354,948.31","19,140,272.22","-10,206,630.41","1,907,974.79","21,875,904.88","47,012,986.64","8,822,736.41","18,860,866.77","32,903,170.51","40,115,150.21","-9,379,938.62","13,442,427.00","13,651,340.21","14,501,318.94","9,060,520.51","11,007,310.03","12,249,511.71","105,002,545.21","3,696,900.53","48,737,094.78","41,962,248.91","-130,657,207.06","-105,391,537.49","-426,618,226.15","-464,149,825.69"
分配股利、利润或偿还利息支付的现金,"55,856,508.98","1,664,475.65","2,740,313.15","2,740,313.15",,"14,550,000.00","14,550,000.00","14,550,000.00",,"29,247,015.00","29,326,648.13","29,636,503.13","297,597.71","14,974,684.70","15,150,174.46","15,150,174.46","6,560,539.84","7,275,000.00","7,275,000.00","7,275,000.00",,"8,993,745.23","9,457,500.00","9,457,500.00",,"9,457,500.00","9,457,500.00","9,457,500.00","8,995,609.05","9,457,500.00","9,457,500.00","102,609,687.50","676,812.50","41,794,255.55","41,794,315.91","41,794,316.10","360,015.05","2,152,723.67","7,214,478.96"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,000,000.00","56,000,000.00","182,000,000.00","287,000,000.00",,"53,000,000.00","223,000,000.00","248,000,000.00","358,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00"
支付其他与筹资活动有关的现金,"21,404.05",,"3,153,500.00","6,758,542.20",,,,,,,,"29,656,644.13",,,"808,355.87",,,,"3,000,000.00","8,000,000.00",,"2,500,000.00","7,500,000.00",,,,,,"1,000,000.00","6,005,000.00","2,505,000.00","7,166,543.15","168,000.00","8,168,000.00","27,168,000.00","19,025,801.37",,"87,728,208.34","89,093,515.17"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"573,429.44","245,737.48","792,261.10","2,164,026.89",,"322,802.58","1,568,473.81","2,715,323.13","3,391,131.13","124,150.56","124,150.56","124,150.56"
筹资活动现金流出小计,"180,437,913.03","85,864,475.65","207,093,813.15","210,698,855.35",,"14,550,000.00","14,550,000.00","14,550,000.00",,"29,247,015.00","44,326,648.13","76,793,147.26","22,797,597.71","37,474,684.70","55,958,530.33","55,150,174.46","6,560,539.84","7,275,000.00","10,275,000.00","15,275,000.00",,"11,493,745.23","16,957,500.00","9,457,500.00",,"9,457,500.00","9,457,500.00","9,457,500.00","9,995,609.05","15,462,500.00","11,962,500.00","149,776,230.65","844,812.50","99,962,255.55","118,962,315.91","110,820,117.47","360,015.05","89,880,932.01","166,307,994.13"
处置固定资产、无形资产和其他长期资产收回的现金净额,"448,186.00","120,192.00","120,192.00","50,192.00",,,"90,150.00","95,415.00",,,"116,813.20","128,363.20","1,670.00","2,870.00","2,870.00","262,870.00",,,,,"26,000.00","26,000.00","26,000.00","42,500.00",,"135,320.00","135,320.00","135,720.00","32,000.00","42,000.00","47,440.00","1,279,707.87","3,500.00","533,060.00","181,260.00","190,500.00","119,364.08","65,000.00","65,000.00"
筹资活动产生的现金流量净额,"-11,304,233.03","1,135,524.35","255,456,186.85","251,851,144.65",,"-14,550,000.00","-14,550,000.00","-14,550,000.00",,"-14,247,015.00","-4,326,648.13","-36,793,147.26","-10,140,953.58","-18,318,040.57","-38,458,530.33","-37,493,530.33","-1,060,539.84","-4,775,000.00","-10,275,000.00","-15,275,000.00",,"-11,493,745.23","-16,957,500.00","-9,457,500.00","5,000,000.00","-8,957,500.00","-2,957,500.00","4,047,500.00","-9,995,609.05","-15,462,500.00","-11,962,500.00","240,040,175.66","3,155,187.50","-93,204,172.11","-112,405,754.81","-104,261,961.63","110,639,984.95","297,322,918.83","310,799,702.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,"-42,394.98","-72,112.67","-79,158.63","-91,293.97","-22,899.34","-1,867,201.71","2,430,371.29","1,147,372.58","1,604,356.51","1,613,256.59","1,216,177.37","997,319.06","71,668.48","-239,100.77","-68,598.52","-112,678.51","-242,180.89","-451,606.34","-461,805.91","-519,607.58","-44,346.54","50,341.12","40,600.08","20,176.69","50,680.19","98,782.32","120,574.10","2,391,051.02","423,141.80","1,565,704.30","1,871,758.61","4,128,581.70","-998,424.54","-1,474,412.73","-4,172,726.09"
收到其他与投资活动有关的现金,"51,526,569.00",,,,,,,"9,100,000.00",,,,,,,,"6,897,105.25",,,,"1,109,475.00","4,934,615.75","5,718,350.00","5,718,350.00","5,718,350.00",,,,,,,,"107,055,311.91",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"51,974,755.00","120,192.00","120,192.00","50,192.00",,,"90,150.00","9,195,415.00",,,"116,813.20","128,363.20","1,670.00","2,870.00","2,870.00","7,159,975.25",,,,"1,109,475.00","4,960,615.75","5,744,350.00","5,744,350.00","5,760,850.00",,"135,320.00","135,320.00","129,709,149.44","56,277,737.48","182,834,261.10","289,211,466.89","108,335,019.78","53,326,302.58","225,101,533.81","250,896,583.13","361,581,631.13","30,243,514.64","30,189,150.56","30,189,150.56"
五、现金及现金等价物净增加额,"-3,359,633.37","-6,549,377.34","249,167,135.80","237,981,071.03","-7,064,094.63","-34,777,080.48","-57,178,318.42","-43,037,620.06","-39,040,051.05","-76,805,715.06","-54,758,010.47","-65,842,450.46","-79,520,693.09","-106,134,127.31","-117,017,480.16","-97,861,819.08","-16,527,690.47","-9,006,478.39","2,440,654.96","22,952,884.57","10,962,794.51","9,316,498.25","16,648,484.68","29,540,780.14","-5,421,158.16","3,808,762.38","9,628,932.51","-34,102,214.34","-1,451,393.53","395,528.84","952,573.09","449,893,931.99","-158,546,607.63","-33,654,247.41","-72,183,893.10","-237,201,731.86","29,078,440.90","-125,282,745.87","-159,561,831.84"
购建固定资产、无形资产和其他长期资产支付的现金,"95,959,788.16","25,784,594.23","35,842,346.84","56,141,582.28","39,676,934.22","64,775,570.64","85,962,518.36","102,186,782.79","7,262,631.71","17,394,807.68","27,236,945.21","53,264,220.95","53,901,141.26","75,337,741.52","78,423,048.89","87,665,855.28","5,332,188.70","5,900,352.41","9,091,651.40","9,781,898.56","2,578,376.76","3,343,366.95","4,579,729.92","6,358,112.49","996,873.00","861,825.74","1,240,827.78","3,380,359.41","844,722.66","1,082,324.61","1,666,479.61","5,874,859.68","1,148,140.04","5,854,408.19","6,508,728.94","19,992,776.00","5,384,775.63","24,675,687.03","32,228,132.73"
期初现金及现金等价物余额,"32,771,410.25","29,411,776.88","29,411,776.88","29,411,776.88","267,392,847.91","267,392,847.91","267,392,847.91","267,392,847.91","226,841,227.85","226,841,227.85","226,841,227.85","224,355,227.85","158,512,777.39","158,512,777.39","158,512,777.39","158,512,777.39","60,651,176.62","60,650,958.31","60,650,958.31","60,650,958.31","83,593,488.73","83,593,488.73","83,593,488.73","83,603,842.88","113,144,623.02","113,144,623.02","113,144,623.02","113,144,623.02","79,042,408.68","79,042,408.68","79,042,408.68","120,299,644.88","570,193,576.87","570,193,576.87","570,193,576.87","570,193,576.87","332,991,845.01","333,001,745.01","333,001,745.01"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"179,000,000.00","56,000,000.00","177,000,000.00","287,000,000.00",,"210,000,000.00","210,000,000.00","240,000,000.00","340,000,000.00",,,
期末现金及现金等价物余额,"29,411,776.88","22,862,399.54","278,578,912.68","267,392,847.91","260,328,753.28","232,615,767.43","210,214,529.49","224,355,227.85","187,801,176.80","150,035,512.79","172,083,217.38","158,512,777.39","78,992,084.30","52,378,650.08","41,495,297.23","60,650,958.31","44,123,486.15","51,644,479.92","63,091,613.27","83,603,842.88","94,556,283.24","92,909,986.98","100,241,973.41","113,144,623.02","107,723,464.86","116,953,385.40","122,773,555.53","79,042,408.68","77,591,015.15","79,437,937.52","79,994,981.77","570,193,576.87","411,646,969.24","536,539,329.46","498,009,683.77","332,991,845.01","362,070,285.91","207,718,999.14","173,439,913.17"
