科目,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动产生的现金流量净额,"-249,970.00","1,384,187.89","5,368,946.43","5,292,517.46","-6,493,310.08","5,298,913.20","44,683,783.06","71,936,150.45","24,689,898.16","26,334,795.39","43,557,946.51","20,664,813.64","78,062,374.64","35,399,529.58","150,478,793.23","146,458,593.14","174,089,847.69","171,826,957.20","2,238,598.40","44,902,213.37","87,942,355.00","221,039,980.92","25,662,388.20","62,415,152.04","452,297,071.99","907,292,665.43","-133,515,204.88","240,593,106.94","437,621,383.59","633,733,926.36","175,266,600.40","284,207,072.51","375,917,350.17","303,855,740.37","-108,785,136.71"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"304,913.46","2,833,134.74",,,,,,,,,
四、汇率变动对现金的影响,,,,,,"-2,339.27",-10.99,-27.43,1.77,3.69,0.82,-10.66,-78.13,-81.88,4.06,-795.48,-897.20,"-3,967.67",1.69,"-21,686.33","15,131.57","133,287.39","-1,142.04","8,183.47","7,394.25","144,604.00","10,959.77","-52,544.29","-118,233.06","-1,779,324.69","-667,416.89","-578,969.04","-515,442.52","-461,153.44","-79,394.93"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"8,490,000.00","8,490,000.00","11,694,920.16",,,,"3,000,000.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"361,204.18",,"32,000.00","167,000.00",,"35,200.00","36,000.00","52,030.00","45,241.37","43,849.23","44,449.23","20,000.00","268,800.00","295,295.73","2,539.36","31,339.36","39,615.36","47,815.36","7,000.00","116,277.33","53,200.00","186,887.30",,"8,538,970.87","12,200,838.71","37,970,124.08","32,674.76","326,530.02","382,805.26","4,535,532.11","14,715.00","28,715.00","47,815.00","60,106,006.85","305,560.00"
五、现金及现金等价物净增加额,"-3,875,443.08","-4,189,733.20","6,737,145.03","78,730.72","-1,130,577.95","17,555,483.16","-7,371,200.27","47,047,404.57","-34,850,488.79","5,007,706.01","53,131,962.53","-59,209,463.75","-87,724,300.55","-40,349,629.12","67,484,738.92","-651,766.81","-2,569,099.87","59,984,652.31","-61,221,234.71","-48,396,758.62","-71,899,672.64","-30,596,799.28","-32,069,049.37","-29,673,193.55","196,649,390.14","505,678,462.37","-333,518,513.24","-109,667,005.96","-369,807,899.82","-321,839,799.01","-33,678,576.45","-117,431,842.36","-200,847,188.82","-111,649,297.92","-115,666,789.03"
购建固定资产、无形资产和其他长期资产支付的现金,"1,183,061.78","1,534,616.33","189,670.35","1,665,685.82","2,162,616.48","4,079,780.74","12,980,123.92","46,036,066.04","1,780,555.57","3,922,968.30","5,162,406.02","4,776,962.19","50,703,868.58","52,266,491.65","15,823,230.18","32,162,345.11","38,300,053.33","66,612,019.16","15,796,303.98","35,076,505.06","34,934,752.55","87,958,633.50","3,943,666.87","7,590,733.82","11,808,157.26","138,570,308.92","59,593,567.92","74,742,788.19","115,957,536.96","205,654,965.93","62,327,132.95","105,826,300.72","135,286,223.25","143,931,386.17","2,261,292.58"
期初现金及现金等价物余额,"6,819,601.22","6,819,601.22","2,652,157.96","2,629,868.02","2,708,598.74","2,708,598.74","20,264,081.90","20,264,081.90","67,311,486.47","67,311,486.47","67,311,486.47","120,443,449.00","120,443,449.00","120,443,449.00","80,093,819.88","80,093,819.88","80,093,819.88","80,093,819.88","140,078,472.19","140,078,472.19","140,078,472.19","140,078,472.19","109,481,672.91","109,481,672.91","109,481,672.91","109,481,672.91","623,728,135.28","615,160,135.28","615,160,135.28","615,160,135.28","293,320,336.27","293,320,336.27","293,320,336.27","293,320,336.27","181,671,038.35"
投资支付的现金,,,,,,,,,,,,,,,,"9,000,000.00","9,000,000.00","9,000,000.00","2,000,000.00","9,000,000.00","61,800,000.00","61,800,000.00",,"3,073,000.00","2,873,000.00","4,450,000.00","14,060,000.00","14,060,000.00","14,760,000.00","26,760,000.00","500,000.00","25,117,600.00","26,117,600.00","66,807,600.00",
期末现金及现金等价物余额,"2,944,158.14","2,629,868.02","9,389,302.99","2,708,598.74","1,578,020.79","20,264,081.90","12,892,881.63","67,311,486.47","32,460,997.68","72,319,192.48","120,443,449.00","61,233,985.25","32,719,148.45","80,093,819.88","147,578,558.80","79,442,053.07","77,524,720.01","140,078,472.19","78,857,237.48","91,681,713.57","68,178,799.55","109,481,672.91","77,412,623.54","79,808,479.36","306,131,063.05","615,160,135.28","290,209,622.04","505,493,129.32","245,352,235.46","293,320,336.27","259,641,759.82","175,888,493.91","92,473,147.45","181,671,038.35","66,004,249.32"
