科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
支付给职工以及为职工支付的现金,"49,130,707.26","85,279,281.21","136,405,711.17","266,446,253.75","73,712,892.04","132,549,456.16","180,005,808.65","335,449,484.42","55,054,750.90","163,218,160.35","234,725,471.07","374,292,227.79","90,836,418.73","176,482,807.53","268,552,179.47","406,773,515.40","114,251,418.65","234,400,619.98","366,219,044.93","514,179,018.47","120,351,011.91","252,105,706.67","369,213,853.77","443,545,289.23","133,908,236.04","266,182,551.53","395,063,744.40","447,477,110.07","129,152,635.89","510,117,648.61"
取得借款收到的现金,"80,000,000.00","280,000,000.00","330,000,000.00","811,116,250.00","497,796,000.00","784,600,000.00","2,294,361,672.90","2,828,632,800.00","552,879,000.00","847,515,000.00","1,889,831,000.00","2,873,270,965.84","1,978,415,965.86","2,413,580,865.95","3,524,578,866.16","5,130,226,850.37","470,899,600.00","1,117,146,800.00","1,746,980,180.00","3,058,870,676.00","1,064,090,646.00","1,658,063,534.00","2,447,500,414.00","3,628,796,542.54","770,502,748.98","1,952,728,168.66","2,619,606,398.06","3,934,923,523.49","850,404,497.14","30,000,000.00"
支付的各项税费,"49,797,282.03","79,421,700.48","107,252,273.09","158,037,845.66","30,918,962.75","114,675,757.36","151,960,845.58","188,482,809.48","46,855,440.51","90,705,325.37","122,354,674.47","129,584,098.00","36,463,050.60","93,698,833.41","116,348,158.22","131,765,635.66","32,888,974.49","53,459,769.40","65,694,929.81","67,221,491.29","22,675,509.86","36,593,140.52","46,588,139.28","46,932,730.48","27,350,644.16","41,842,343.33","54,228,146.83","70,472,431.85","16,759,635.69","48,970,820.55"
收到其他与筹资活动有关的现金,,"497,345.72","497,345.72","37,497,345.72","1,812,448.67","34,002,848.67","34,002,848.67","31,111,248.67",,"700,000,000.00","700,000,000.00","949,346,031.69","58,032,050.00","57,881,600.00","57,540,809.89","57,166,750.00","1,525,750,000.00","1,525,750,000.00","1,525,750,121.82",,,"96,990,000.00","496,990,156.32","400,000,000.00","200,000,000.00","311,432,060.77","357,048,712.71","337,072,290.72","136,103,127.99","214,658,979.95"
支付其他与经营活动有关的现金,"37,241,252.37","15,425,373.58","30,674,806.05","487,266,522.57","560,500,750.84","834,333,921.45","1,377,040,676.91","1,923,636,152.55","290,704,322.59","437,718,214.78","690,938,149.43","1,101,937,151.34","260,703,345.35","497,730,526.10","700,572,901.40","1,173,029,640.28","236,110,000.91","542,447,239.03","817,332,568.78","1,421,377,270.77","333,622,547.43","773,265,606.26","950,556,780.34","1,622,666,416.10","183,670,095.21","396,595,055.79","670,281,241.08","1,088,069,207.56","220,127,499.37","102,612,093.23"
筹资活动现金流入小计,"80,000,000.00","280,497,345.72","330,497,345.72","2,572,366,060.79","509,608,448.67","828,602,848.67","2,338,364,521.57","2,869,744,048.67","552,879,000.00","1,547,515,000.00","2,589,831,000.00","3,822,616,997.53","2,036,448,015.86","2,471,462,465.95","3,627,119,676.05","5,232,393,600.37","1,996,649,600.00","2,642,896,800.00","3,272,730,301.82","4,584,620,676.00","1,064,090,646.00","1,755,053,534.00","2,944,490,570.32","4,071,293,076.02","970,502,748.98","2,264,160,229.43","2,976,655,110.77","4,271,995,814.21","986,507,625.13","244,658,979.95"
经营活动现金流出小计,"258,992,048.93","494,071,883.86","736,642,287.14","1,971,138,608.66","1,060,864,089.54","1,815,011,341.46","2,910,289,606.66","3,933,427,119.39","741,289,687.03","1,502,623,056.46","2,391,554,963.33","3,570,765,668.89","1,047,694,327.66","2,079,569,781.96","2,992,845,696.89","4,282,022,187.86","1,109,540,095.17","2,477,654,764.11","3,917,048,847.05","5,253,317,714.14","1,377,001,022.48","3,093,355,533.03","4,453,403,373.37","6,556,879,083.73","1,846,826,973.96","3,549,094,060.90","5,307,202,442.38","6,597,316,191.59","1,654,738,283.29","4,570,377,778.40"
偿还债务支付的现金,"50,445,191.48","137,445,191.48","187,445,191.48","487,904,761.25","207,161,949.41","262,898,799.41","740,831,680.66","955,071,574.41","400,406,875.00","993,748,489.35","1,514,928,426.85","1,594,542,575.00","869,432,650.00","1,066,286,100.00","1,306,485,343.77","1,658,337,500.00","526,750,800.00","1,212,029,100.00","1,557,975,647.83","2,577,100,200.00","316,083,175.00","557,619,833.58","1,444,611,009.65","2,600,147,742.20","1,222,076,750.45","2,226,532,953.61","3,197,489,173.04","4,621,412,448.25","1,011,518,435.41","682,109,475.73"
经营活动产生的现金流量净额,"42,742,806.04","120,732,528.43","211,355,985.65","-127,562,304.14","-167,241,406.35","-184,058,832.70","-182,129,272.72","-395,427,614.82","109,334,724.45","58,840,175.38","13,721,248.66","-178,642,246.25","-66,486,050.75","31,068,815.22","183,199,666.48","175,723,612.69","2,025,663.91","-188,282,942.50","-294,947,523.89","-163,647,719.47","-40,170,924.63","-254,753,019.76","-77,452,886.03","-184,939,787.64","315,000,578.56","294,321,903.28","447,628,834.40","843,912,001.05","181,988,662.36","1,127,510,510.93"
分配股利、利润或偿还利息支付的现金,"16,891,587.23","86,371,593.13","101,163,605.03","140,108,161.42","50,040,783.61","285,583,853.73","370,794,406.87","485,592,085.56","93,977,850.85","407,390,652.33","493,499,036.81","576,350,413.41","99,000,209.03","251,700,108.65","367,730,073.51","496,031,315.02","138,171,154.34","332,079,843.52","476,549,834.99","644,906,349.33","189,128,961.66","425,469,599.00","615,990,100.18","778,612,946.37","164,679,542.21","387,883,416.72","416,756,251.41","721,526,057.06","60,906,950.70","208,609,788.41"
收回投资收到的现金,,,,,"2,341,311.68","7,715,438.49","7,715,438.49","5,499,670.00",,,,,,,,,,,,,,,,"650,072.58",,,,"25,000,000.00",,
支付其他与筹资活动有关的现金,,,,"31,048,034.81","44,532.00","1,255,418.20","3,385,142.38","689,043.34","251,945.08","816,765.88","841,508.16","58,636,662.13","27,610,441.28","55,259,021.74","91,675,588.36","110,270,992.10","28,569,808.08","56,722,716.45","85,114,293.96","382,272,214.42","44,599,834.06","166,474,064.16","240,564,868.00","542,252,073.92","67,523,839.55","113,488,818.93","179,454,667.38","254,236,320.70","51,229,816.08","509,667,709.06"
取得投资收益收到的现金,,,,"14,000,000.00",,,,"2,215,768.49",,,"8,000,000.00","8,000,000.00",,,,,,,,,,"625,410.69","625,410.69","625,410.69",,,,,,
筹资活动现金流出小计,"67,336,778.71","223,816,784.61","288,608,796.51","659,060,957.48","257,247,265.02","549,738,071.34","1,115,011,229.91","1,441,352,703.31","494,636,670.93","1,401,955,907.56","2,009,268,971.82","2,229,529,650.54","996,043,300.31","1,373,245,230.39","1,765,891,005.64","2,264,639,807.12","693,491,762.42","1,600,831,659.97","2,119,639,776.78","3,604,278,763.75","549,811,970.72","1,149,563,496.74","2,301,165,977.83","3,921,012,762.49","1,454,280,132.21","2,727,905,189.26","3,793,700,091.83","5,597,174,826.01","1,123,655,202.19","1,400,386,973.20"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,100,000.00","9,300,000.00","22,508,888.00","62,587,358.08","419,717,338.64","401,895,951.02","469,267,923.83","484,998,843.03","4,608.88","18,671,749.84","21,828,978.74","45,702,411.08","1,627.40","16,932,785.37","17,039,685.37","29,863,182.40","14,185,000.00","35,132,480.00","49,471,614.00","60,376,417.96","7,676,226.64","25,030,432.87","25,059,297.44","24,805,003.64","5,820,000.00","5,789,849.00","5,989,849.00","8,214,485.60","3,000,000.00","6,201.94"
筹资活动产生的现金流量净额,"12,663,221.29","56,680,561.11","41,888,549.21","1,913,305,103.31","252,361,183.65","278,864,777.33","1,223,353,291.66","1,428,391,345.36","58,242,329.07","145,559,092.44","580,562,028.18","1,593,087,346.99","1,040,404,715.55","1,098,217,235.56","1,861,228,670.41","2,967,753,793.25","1,303,157,837.58","1,042,065,140.03","1,153,090,525.04","980,341,912.25","514,278,675.28","605,490,037.26","643,324,592.49","150,280,313.53","-483,777,383.23","-463,744,959.83","-817,044,981.06","-1,325,179,011.80","-137,147,577.06","-1,155,727,993.25"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"838,658.82","29,920,000.00",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-5,268,435.13","-8,102,257.02","-12,807,558.73","-25,699,838.10","-18,125,855.50","2,971.12","540,980.33","510,977.63","-484,553.61","-136,861.09","-683,512.27","-8,990,996.09","-18,628,278.01","-7,877,669.12","-14,481,728.94","-3,187,599.45","-27,278,601.75","-400,301.30","216,003.71","1,388,684.21","-1,078,831.25","-3,665,991.30","-14,823,159.26","-24,982,853.64","-9,482,352.27","4,116,801.87","39,128,366.53"
收到其他与投资活动有关的现金,"10,683,900.00","10,683,900.00","10,683,900.00","13,894,470.60","30,146,400.00",,,"183,182,800.00",,,,"146,459,200.00",,,"106,350,000.00","107,526,500.00",,,"170,860,000.00","170,860,000.00",,,"97,620,000.00","197,620,000.00",,,"190,990,000.00","193,765,758.45",,"66,058,900.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"12,783,900.00","19,983,900.00","33,192,788.00","90,481,828.68","452,205,050.32","409,611,389.51","476,983,362.32","675,897,081.52","4,608.88","18,671,749.84","30,667,637.56","230,081,611.08","1,627.40","16,932,785.37","123,389,685.37","137,389,682.40","14,185,000.00","35,132,480.00","220,331,614.00","231,236,417.96","7,676,226.64","25,655,843.56","123,304,708.13","223,700,486.91","5,820,000.00","5,789,849.00","196,979,849.00","226,980,244.05","3,000,000.00","66,065,101.94"
五、现金及现金等价物净增加额,"65,203,573.33","66,551,173.34","101,383,657.66","1,294,665,051.72","-57,863,036.41","-305,770,526.85","424,403,376.17","-123,519,340.36","-205,725,376.78","-478,048,132.90","-389,306,196.77","-269,035,018.66","196,412,599.11","120,506,443.98","400,403,990.11","142,572,405.43","1,085,723,304.41","249,720,049.77","62,172,088.45","-480,801,180.65","295,341,865.35","102,754,133.48","360,770,592.29","-213,203,412.38","-205,633,868.43","-264,776,063.05","-284,443,586.06","-355,737,859.75","50,698,700.53","69,965,546.50"
购建固定资产、无形资产和其他长期资产支付的现金,"2,986,354.00","130,845,816.20","185,053,665.20","574,383,612.75","580,169,727.01","791,880,632.26","1,062,604,496.99","1,808,754,626.92","373,310,010.30","701,660,130.89","1,014,768,088.80","1,912,951,135.68","777,370,832.00","1,025,028,879.90","1,758,423,036.06","3,089,444,169.44","225,767,527.96","624,712,898.82","1,013,114,927.25","1,501,453,189.64","186,041,810.64","273,854,731.29","329,794,506.51","401,160,628.60","39,011,072.46","86,319,696.24","87,024,434.76","91,968,740.78","1,259,186.64","7,010,439.65"
期初现金及现金等价物余额,"96,945,231.75",,"96,945,231.75","261,606,294.25","1,576,724,225.97","1,576,724,225.97","1,578,970,227.27","1,556,271,345.97","1,451,888,885.61","1,451,888,885.61","1,451,888,885.61","1,432,752,005.61","1,163,716,986.95","1,163,716,986.95","1,163,716,986.95","1,163,716,986.95","1,306,289,392.38","1,306,289,392.38","1,306,289,392.38","1,306,289,392.38","825,488,211.73","825,488,211.73","825,488,211.73","825,488,211.73","612,384,799.35","612,284,799.35","612,284,799.35","612,284,799.35","256,546,939.60","495,917,312.50"
投资支付的现金,,,,,"1,915,880.00","5,499,670.00","5,499,670.00","5,499,670.00",,,,,,,,"25,000,000.00",,,,,,,,"4,965.33",,,,,,
期末现金及现金等价物余额,"162,148,805.08",,"198,328,889.41","1,556,271,345.97","1,518,861,189.56","1,270,953,699.12","2,003,373,603.44","1,432,752,005.61","1,246,163,508.83","973,840,752.71","1,062,582,688.84","1,163,716,986.95","1,360,129,586.06","1,284,223,430.93","1,564,120,977.06","1,306,289,392.38","2,392,012,696.79","1,556,009,442.15","1,368,461,480.83","825,488,211.73","1,120,830,077.08","928,242,345.21","1,186,258,804.02","612,284,799.35","406,750,930.92","347,508,736.30","327,841,213.29","256,546,939.60","307,245,640.13","565,882,859.00"
