科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
分配股利、利润或偿还利息支付的现金,"12,875,034.40","40,000,000.00","25,740,000.00",,"16,272,282.00","16,272,282.00","17,160,000.00",,"16,279,350.00","17,160,000.00","17,160,000.00",
收回投资收到的现金,,,,,"135,000,000.00","315,000,000.00","540,000,000.00","10,000,000.00","241,000,000.00","476,000,000.00","596,000,000.00",
支付其他与筹资活动有关的现金,,"2,400,000.00","550,000.00","34,330,202.15","36,659,460.05","36,859,460.05","12,795,875.16",,,,,
取得投资收益收到的现金,,,,,"824,988.86","2,160,934.84","4,153,360.93","852,083.33","3,390,285.39","6,328,386.31","7,984,455.07",
筹资活动现金流出小计,"13,185,034.40","42,400,000.00","26,290,000.00","34,330,202.15","52,931,742.05","53,131,742.05","29,955,875.16",,"16,279,350.00","17,160,000.00","17,160,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,976.00","80,073.50","98,884.94","3,022.00","4,881.00","4,881.00","18,281.00",20.00,"6,331.00","8,486.00","42,292.00",930.00
筹资活动产生的现金流量净额,"-12,875,034.40","-42,400,000.00","-26,290,000.00","176,523,297.85","157,921,757.95","157,721,757.95","158,047,624.84","4,000,000.00","1,345,250.00","464,600.00","464,600.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,"-13,103.88",,"1,074,217.68","1,076,181.04","-262,337.97"
收到其他与投资活动有关的现金,,"400,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"10,976.00","480,073.50","98,884.94","3,022.00","135,829,869.86","317,165,815.84","544,171,641.93","10,852,103.33","244,396,616.39","482,336,872.31","604,026,747.07",930.00
五、现金及现金等价物净增加额,"22,708,946.71","-3,381,971.35","23,582,002.76","134,093,954.44","89,647,863.59","-19,754,686.60","193,235,834.09","-202,920,024.32","-221,886,917.67","-109,074,094.00","2,553,236.88","-180,654,655.76"
购建固定资产、无形资产和其他长期资产支付的现金,"21,829,871.69","9,472,029.13","17,337,542.62","2,822,397.91","8,096,952.22","15,703,039.73","20,688,679.72","7,999,134.58","15,672,380.24","26,893,735.29","40,739,955.77","12,451,236.62"
期初现金及现金等价物余额,"73,838,911.44","96,547,858.15","93,165,886.80","116,747,889.56","116,747,889.56","116,747,889.56","116,747,889.56","309,983,723.65","309,983,723.65","309,983,723.65","309,983,723.65","312,536,960.53"
投资支付的现金,,,,"60,000,000.00","225,000,000.00","540,000,000.00","550,000,000.00","215,000,000.00","459,233,200.00","599,233,200.00","599,233,200.00","185,000,000.00"
期末现金及现金等价物余额,"96,547,858.15","93,165,886.80","116,747,889.56","250,841,844.00","206,395,753.15","96,993,202.96","309,983,723.65","107,063,699.33","88,096,805.98","200,909,629.65","312,536,960.53","131,882,304.77"
