科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"25,250,005.13","38,058,459.48",,"44,922,678.17",,"26,071,105.00","39,910,384.59","57,229,274.32","16,810,569.79","33,893,411.56","49,143,584.43","72,874,763.42","26,742,267.59","53,424,900.76","85,202,673.05","120,467,633.22","35,045,824.05","72,162,085.60","99,240,160.03"
取得借款收到的现金,"27,650,000.00","19,850,000.00",,"14,000,000.00",,"4,000,000.00","5,500,000.00","5,500,000.00",,,,,,,"15,000,000.00","37,698,624.17","3,000,000.00","3,000,000.00","18,000,000.00"
支付的各项税费,"17,152,512.16","22,551,573.56",,"21,531,019.68",,"13,100,186.98","19,288,607.27","24,364,876.58","8,740,152.98","16,759,852.08","22,890,962.40","28,647,386.97","8,535,478.97","17,284,306.41","23,984,626.69","29,356,649.10","8,178,342.87","20,088,470.61","28,632,694.21"
收到其他与筹资活动有关的现金,,,,,,,,,,"2,000,000.00",,"984,160.00",,,,,,"1,661,400.00","1,661,400.00"
支付其他与经营活动有关的现金,"19,373,507.55","21,091,829.00",,"23,136,267.05",,"12,406,372.22","23,972,262.21","23,559,154.37","5,025,989.80","10,338,797.43","15,882,611.75","29,362,242.57","9,426,831.16","14,767,783.44","23,131,868.11","41,096,617.49","6,077,831.52","16,254,813.69","21,775,796.85"
筹资活动现金流入小计,"47,650,000.00","19,850,000.00",,"14,000,000.00",,"4,000,000.00","117,565,405.00","117,565,405.00",,"2,000,000.00","6,020,000.00","98,739,515.90",,"61,300.00","15,061,300.00","37,759,924.17","3,000,000.00","4,661,400.00","19,661,400.00"
经营活动现金流出小计,"266,830,685.32","326,346,377.61",,"374,346,261.39",,"184,765,232.49","278,926,725.93","414,874,460.78","129,277,332.74","233,446,435.07","333,352,540.95","466,254,320.57","172,776,883.72","295,381,985.65","455,631,902.40","635,172,866.31","181,044,644.73","333,844,247.96","510,057,136.99"
偿还债务支付的现金,"32,790,000.00","36,350,000.00",,,,,"19,500,000.00","19,500,000.00",,,"3,215,811.32","7,324,826.61","1,000,000.00","8,200,000.00","8,200,000.00","11,000,000.00","4,698,624.17","4,698,624.17","18,000,000.00"
经营活动产生的现金流量净额,"18,954,569.39","34,085,670.07","7,274,100.00","29,729,473.53","8,419,300.00","24,348,549.59","6,780,366.96","36,087,679.40","-3,497,080.20","15,625,063.77","16,885,627.36","54,134,224.92","-3,193,226.72","6,083,066.14","12,501,021.15","21,941,084.03","-3,852,387.04","11,952,008.95","29,825,147.91"
分配股利、利润或偿还利息支付的现金,"10,604,797.14","735,430.31",,"9,418,339.58",,"9,828,766.66","10,144,474.98","10,045,810.41",,"15,596,000.00","15,596,000.00","15,711,312.68","74,127.08","27,916,524.80","28,015,078.00","28,181,544.97","541,828.53","1,653,092.84","1,985,772.85"
收回投资收到的现金,,,,,,,,,,,"19,000,000.00","19,750,000.00","750,000.00","1,900,000.00","8,769,200.00","34,640,320.00","500,000.00","16,850,000.00","18,850,000.00"
支付其他与筹资活动有关的现金,"1,060,000.00","2,250,000.00",,"1,179,245.27",,"450,000.00","9,372,226.84","7,866,159.73",,,,"3,071,496.00",,,,,,,
取得投资收益收到的现金,,,,,,,,,,,"87,501.07","93,289.63",782.60,"8,601.03","45,722.22","126,144.04","3,705.47","77,285.79","174,874.19"
筹资活动现金流出小计,"44,454,797.14","39,335,430.31",,"10,597,584.85",,"10,278,766.66","39,016,701.82","37,411,970.14",,"15,596,000.00","18,811,811.32","26,107,635.29","1,074,127.08","36,116,524.80","36,215,078.00","39,181,544.97","5,240,452.70","6,351,717.01","19,985,772.85"
处置固定资产、无形资产和其他长期资产收回的现金净额,"28,633.07","34,470.78",,"17,480.15",,"1,800.00","1,850.00","16,418.07","71,000.93","157,818.56","189,190.85","191,147.72",100.00,"1,100.00","160,600.00","504,358.95","108,600.00","115,422.45","123,850.00"
筹资活动产生的现金流量净额,"3,195,202.86","-19,485,430.31",,"3,402,415.15","-7,703,300.00","-6,278,766.66","78,548,703.18","80,153,434.86",,"-13,596,000.00","-12,791,811.32","72,631,880.61","-1,074,127.08","-36,055,224.80","-21,153,778.00","-1,421,620.80","-2,240,452.70","-1,690,317.01","-324,372.85"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"17,249.10",,,,,,,,"2,090,000.00"
四、汇率变动对现金的影响,"-159,593.24","-78,508.66",,"-343,363.63",,"43,333.72","17,370.95","-84,403.36","254,554.50","224,602.29","670,698.45","1,286,021.09","-445,991.01","30,023.69","-296,849.72","2,766,804.13","-284,423.87","-1,432,864.52","-2,896,468.36"
收到其他与投资活动有关的现金,"215,755.05","205,508.03",,"194,461.30",,"130,379.29","218,005.51","440,323.03","543,396.32","2,705,721.87","3,171,199.19","1,372,168.40","216,752.23","310,192.74","626,928.23","665,311.05","32,049.16","126,898.56","279,464.26"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"244,388.12","239,978.81",,"211,941.45",,"132,179.29","219,855.51","456,741.10","614,397.25","2,863,540.43","22,465,140.21","21,406,605.75","967,634.83","2,219,893.77","9,602,450.45","35,936,134.04","644,354.63","17,169,606.80","21,518,188.45"
五、现金及现金等价物净增加额,"4,180,679.37","-4,910,397.80",,"3,089,066.40",,"1,431,208.13","58,517,254.83","81,941,575.23","-19,850,026.60","-43,435,106.37","-70,907,655.03","22,752,992.29","-37,892,434.29","-73,822,529.42","-58,447,357.27","-39,931,861.29","-27,198,564.91","-17,625,221.43","-21,090,069.00"
购建固定资产、无形资产和其他长期资产支付的现金,"18,053,887.76","17,116,207.71",,"29,911,400.10",,"16,814,087.81","27,049,041.77","34,671,876.77","14,081,898.15","38,552,312.86","70,972,084.56","83,910,841.58","23,816,724.31","35,827,700.97","48,827,613.90","60,378,005.44","20,335,655.93","25,136,655.65","41,775,564.15"
期初现金及现金等价物余额,"39,590,988.09","43,771,667.46",,"38,861,269.66",,"43,950,336.06","43,950,336.06","41,950,336.06","128,880,088.58","123,891,911.29","123,891,911.29","123,891,911.29","161,299,149.42","146,644,903.58","146,644,903.58","146,644,903.58","106,713,042.29","106,713,042.29","106,713,042.29"
投资支付的现金,,"2,555,900.00",,,,,,,"3,140,000.00","10,000,000.00","23,499,980.00","24,011,900.00","10,330,000.00","4,650,000.00","4,650,000.00","33,153,670.00","1,130,000.00","18,487,000.00","27,437,000.00"
期末现金及现金等价物余额,"43,771,667.46","38,861,269.66",,"41,950,336.06",,"45,381,544.19","102,467,590.89","123,891,911.29","109,030,061.98","80,456,804.92","52,984,256.26","146,644,903.58","123,406,715.13","72,822,374.16","88,197,546.31","106,713,042.29","79,514,477.38","89,087,820.86","85,622,973.29"
