科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
在建工程,,"79,500.00","2,050,267.85","138,205.12","2,653,294.33","5,481,315.79","10,070,302.59","12,926,567.32","51,020,017.81","88,188,905.32","127,498,670.34","167,695,231.68","180,097,302.14","172,573,789.38","177,464,833.05","194,428,590.00","211,535,561.73","235,670,096.17","32,692,000.24","39,314,774.55","63,434,993.63","65,181,309.30","75,430,413.22","72,002,640.98","63,558,421.05","61,257,754.17","31,693,945.19","29,284,237.72","32,557,524.16","32,991,122.16","31,477,495.36","31,655,357.18"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,,,,"356,232,800.00","363,641,600.00","342,443,600.00","331,560,000.00","333,890,000.00","346,850,000.00","344,965,000.00","338,720,000.00","331,845,000.00",,,,,,
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,132,166,117.72","1,098,122,961.01","1,185,586,777.23","937,650,161.57","1,186,354,204.88","950,028,232.54","1,489,423,942.35","1,075,407,688.12","855,433,162.45","873,103,814.61","1,058,969,072.56","907,783,643.29","931,388,715.72","750,660,980.35","849,209,603.83","828,518,704.12","1,023,346,467.61","1,216,226,406.14","1,557,533,480.99","1,350,465,697.66","1,311,374,021.97","1,271,385,268.45","1,449,445,574.75","1,093,145,180.77","1,130,954,616.99","1,055,767,014.29","1,254,113,273.01","1,096,153,638.51","848,379,159.50","668,270,169.26","903,991,564.24","746,584,834.75"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"106,660,000.00","319,980,000.00","319,980,000.00","319,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00","400,980,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"4,044,211.00","4,044,211.00","4,044,211.00","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79","1,929,743,708.79"
