科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月
三、利润总额,"325,906,166.16","1,156,117,891.18","1,628,155,723.16","1,869,753,111.31","464,746,669.12","1,521,413,239.43","1,974,112,088.59","1,755,571,411.94","315,736,000.00","1,685,451,090.00","2,276,664,410.00","2,752,828,840.00","934,390,100.00","2,556,618,330.00","4,057,143,460.00","4,963,170,780.00","1,126,344,910.00","3,136,818,530.00","4,485,668,580.00","5,560,518,760.00","1,322,641,140.00","2,932,990,320.00","4,333,637,960.00","5,076,346,450.00","1,564,094,170.00","3,677,780,030.00"
资产减值损失,"111,648,952.90","149,677,298.60","77,819,431.60","24,456,022.94","120,605,633.82","130,400,582.54","43,713,122.96","109,334,755.67","52,658,000.00","142,870,980.00","49,697,900.00","168,626,880.00","125,794,810.00","192,471,110.00","105,107,160.00","-16,053,170.00","179,856,520.00","337,293,210.00","200,433,860.00","42,387,240.00","70,523,220.00","260,559,820.00","145,247,890.00","58,288,420.00","205,090,790.00","151,966,890.00"
减:所得税,"27,469,856.12","130,938,763.15","233,978,612.63","195,383,362.54","54,038,558.85","138,330,827.87","216,412,171.89","204,469,198.09","35,656,000.00","215,493,250.00","295,058,540.00","238,962,590.00","133,527,680.00","351,763,890.00","683,216,550.00","919,932,160.00","184,727,960.00","646,551,860.00","896,481,950.00","1,019,558,890.00","228,897,210.00","530,561,960.00","813,951,400.00","947,501,220.00","248,794,730.00","609,121,840.00"
加:公允价值变动净收益,"532,299.01","3,729,856.70","44,723,214.37","53,487,151.59","-11,981,716.09",,,"-22,126,200.00","823,000.00","12,091,910.00","14,085,190.00","27,126,910.00","-9,983,750.00","40,540,880.00","57,736,350.00","118,069,080.00","56,805,010.00","-2,537,640.00","72,140,140.00","38,744,490.00","-26,828,610.00","-125,920,050.00","-169,842,590.00","-75,823,320.00","59,483,870.00","225,421,540.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"37,419,392.41","88,307,848.08","175,956,628.17","180,102,349.27","316,409.62","15,207,984.84","23,079,396.25","39,127,373.25","10,720,000.00","21,120,120.00","41,705,210.00","32,124,940.00","6,669,250.00","55,157,090.00","86,037,160.00","134,312,450.00","82,972,990.00","209,919,010.00","373,013,510.00","722,312,330.00","93,261,600.00","189,898,900.00","286,485,540.00","348,095,700.00","68,871,320.00","212,390,030.00"
四、净利润,"298,436,310.04","1,025,179,128.03","1,394,177,110.53","1,674,369,748.77","410,708,110.27","1,383,082,411.56","1,757,699,916.70","1,551,102,213.85","280,080,000.00","1,469,957,840.00","1,981,605,870.00","2,513,866,250.00","800,862,420.00","2,204,854,440.00","3,373,926,910.00","4,043,238,620.00","941,616,950.00","2,490,266,670.00","3,589,186,630.00","4,540,959,870.00","1,093,743,930.00","2,402,428,360.00","3,519,686,560.00","4,128,845,230.00","1,315,299,440.00","3,068,658,190.00"
其中:对联营企业和合营企业的投资权益,"37,419,392.41","89,043,568.45","176,700,504.80","178,567,291.27","316,409.62","24,819,637.33","32,314,943.71","46,130,134.29","3,974,000.00","5,627,830.00","15,455,070.00","9,463,520.00","410,800.00","27,004,150.00","41,628,680.00","51,219,270.00","21,964,570.00","42,443,660.00","93,566,740.00","84,902,410.00","12,279,830.00","33,390,720.00","55,863,030.00","72,256,040.00","19,206,790.00","43,279,300.00"
归属于母公司所有者的净利润,"195,025,918.73","710,483,499.41","996,000,478.63","1,193,466,811.98","276,688,204.64","990,585,178.35","1,235,298,447.11","1,033,024,670.12","187,489,000.00","1,146,015,790.00","1,551,136,770.00","1,891,901,830.00","631,624,150.00","1,788,527,060.00","2,719,061,910.00","3,127,097,380.00","711,499,500.00","1,975,324,170.00","2,879,954,160.00","3,698,797,330.00","870,811,950.00","2,088,600,980.00","3,000,423,660.00","3,477,331,870.00","1,077,553,760.00","2,604,312,710.00"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"103,410,391.31","314,695,628.62","398,176,631.90","480,902,936.79","137,132,552.82","395,609,880.40","522,401,469.59","518,077,543.73","92,591,000.00","323,942,050.00","430,469,100.00","621,964,420.00","169,238,270.00","416,327,380.00","654,865,000.00","916,141,240.00","230,117,450.00","514,942,500.00","709,232,470.00","842,162,540.00","222,931,980.00","313,827,380.00","519,262,900.00","651,513,360.00","237,745,680.00","464,345,480.00"
