科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度
偿还债务支付的现金,"500,000.00",,"20,800,000.00","96,575,250.18","635,709,709.93","487,886,801.82","544,143,601.82","626,039,090.12","429,153,253.57","560,650,000.00","575,950,000.00","780,150,000.00","630,000,000.00","466,800,000.00","808,800,000.00","1,131,500,000.00"
经营活动产生的现金流量净额,"9,508,800.58","751,319.35","19,302,909.09","36,071,357.34","499,537,369.51","927,537,604.09","1,713,899,575.96","2,654,850,455.42","424,416,671.96","1,101,780,513.53","984,389,174.40","1,269,039,853.75","137,937,278.26","1,883,759,476.57","2,644,424,439.20","2,985,739,531.32"
分配股利、利润或偿还利息支付的现金,"1,749,653.31","3,468,700.34","5,059,006.24","7,331,014.78","105,085,084.39","84,653,535.98","112,768,166.77","640,578,542.89","79,258,501.25","767,131,226.65","997,811,877.27","554,621,061.50","48,836,133.82","431,215,534.16","651,059,347.14","788,165,403.18"
收回投资收到的现金,"1,345,257.26","1,345,257.26","1,345,257.26","8,199,704.85","2,030,242.05","2,089,482.20","2,089,482.20","33,412,741.94",,,,"11,740,000.00",,"124,710.00","2,121,606.00","28,211,723.17"
支付其他与筹资活动有关的现金,15.46,15.46,15.46,"63,000.00",427.00,"4,850.46","1,470,036.68","1,300,636.76",,"1,800,574.14","1,910,652.61","1,800,574.14","5,102,010.93","582,827.53","582,827.53","472,413.53"
取得投资收益收到的现金,,"2,000,000.00","2,100,000.00","100,000.00","55,000,000.00","263,387,204.66","832,953,551.11","14,371,171.13","61,369.86","206,403.89","935,876.62","24,300,349.22","76,778.03","257,677.13","340,376.71","4,806,573.08"
筹资活动现金流出小计,"2,249,668.77","3,468,715.80","25,859,021.70","103,969,264.96","740,795,221.32","572,545,188.26","658,381,805.27","1,267,918,269.77","508,411,754.82","1,329,581,800.79","1,575,672,529.88","1,336,571,635.64","683,938,144.75","898,598,361.69","1,460,442,174.67","1,920,137,816.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,000.00","2,550.00","2,550.00","375,569.00","18,650.00","121,561.08","795,545.30","441,172.00","11,300.00","95,812.00","712,915.96","753,925.28","31,860.00","9,184,899.16","9,397,444.16","9,605,476.90"
筹资活动产生的现金流量净额,"1,750,331.23","-468,715.80","-17,759,021.70","-22,469,264.96","2,856,189,481.65","1,373,904,811.74","1,330,060,504.81","4,357,996,488.38","-48,411,754.82","-840,781,800.79","-772,015,182.63","473,428,364.36","-43,429,623.63","305,973,265.43","-205,099,704.55","272,398,058.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"3,283.69","120,000.00","120,000.00","120,000.00","7,813,364.87","3,394,760,804.56","3,399,561,000.86","153,132,391.94","2,263,577.95","41,898,598.96","56,820,805.62","131,656,699.47","8,039,643.51","69,212,487.30","108,217,315.65","146,142,932.67"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,350,540.95","3,467,807.26","3,567,807.26","8,795,273.85","64,862,256.92","3,660,359,052.50","4,235,399,579.47","201,357,477.01","2,336,247.81","42,200,814.85","58,469,598.20","168,450,973.97","8,148,281.54","78,779,773.59","120,076,742.52","188,766,705.82"
五、现金及现金等价物净增加额,"11,471,598.30","-341,862.31","1,250,670.38","1,483,878.25","2,927,963,243.44","3,992,456,073.39","4,349,433,387.53","3,631,674,901.51","62,468,027.67","-825,706,149.62","-1,455,029,577.84","-732,462,662.59","-440,604,962.50","781,146,081.93","-9,688,441.40","-54,295,890.37"
购建固定资产、无形资产和其他长期资产支付的现金,"1,138,074.46","4,092,273.12","3,861,024.27","6,609,924.44","485,003,208.24","1,369,724,911.07","1,856,238,216.13","3,454,007,511.84","306,584,339.54","1,050,444,763.80","1,124,472,360.81","2,454,439,285.71","483,158,541.08","1,429,889,551.18","2,476,710,221.87","3,349,234,205.99"
期初现金及现金等价物余额,"28,432,342.28","28,432,342.28","28,432,342.28","32,161,145.74","33,645,023.99","33,645,023.99","33,645,023.99","33,645,023.99","3,665,319,925.50","3,665,319,925.50","3,665,319,925.50","3,665,319,925.50","2,932,857,262.91","2,932,857,262.91","2,932,857,262.91","2,932,857,262.91"
投资支付的现金,,,,"14,303,563.54",,"534,127,200.00","929,106,770.84","52,875,000.00",,,"60,000,000.00","7,707,700.00","626,400.00","3,407,340.00","2,892,829.42","2,314,629.42"
期末现金及现金等价物余额,"39,903,940.58","28,090,479.97","29,683,012.66","33,645,023.99","2,961,608,267.43","4,026,101,097.38","4,383,078,411.52","3,665,319,925.50","3,727,787,953.17","2,839,613,775.88","2,210,290,347.66","2,932,857,262.91","2,492,252,300.41","3,714,003,344.84","2,923,168,821.51","2,878,561,372.54"
