科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得借款收到的现金,,,,,,,,,,,,,,,,,"424,100,000.00","774,100,000.00","850,000,000.00","696,000,000.00","1,126,000,000.00","1,512,000,000.00","2,425,780,000.00","1,066,060,000.00","1,514,060,000.00","6,046,260,000.00","7,535,450,000.00","1,266,910,000.00","2,130,324,400.00","3,760,654,858.00","6,393,244,016.00","1,853,190,000.00","2,718,439,770.00","3,577,439,770.00","5,628,110,000.00","1,907,500,000.00","6,472,175,800.00","9,900,662,400.00","14,717,109,283.75","3,173,732,310.00","6,771,818,746.00","9,531,481,233.51"
支付的各项税费,,,,,,"73,626.76",,,"36,880.50","36,880.50","36,880.50",,,,,,"225,014,175.25","259,200,865.60","293,948,517.26","55,515,472.54","188,119,825.19","258,694,821.09","400,976,841.81","125,911,778.27","301,445,929.42","417,699,405.63","533,935,424.00","129,170,662.84","268,350,001.76","367,757,681.44","486,279,663.32","113,133,404.82","313,426,387.42","433,213,435.36","639,822,156.33","195,628,543.26","462,479,327.76","716,969,430.27","1,001,950,241.32","260,956,931.58","643,619,596.21","870,253,763.89"
收到其他与筹资活动有关的现金,,,,,"6,063.45","6,063.45",,"1,629.77","1,002,854.45","1,002,855.67",,,,,,,,,,,,,,,,,,,,,,,,,"166,589,193.32","30,000,000.00",,,,,,"6,914,669.42"
支付其他与经营活动有关的现金,"4,128,358.42","1,104,918.93","1,914,397.54","1,919,617.96","1,402,090.69","2,544,107.01","5,191,352.24","173,381.26","567,988.62","813,236.40","3,240,391.20","1,341,738.50","1,345,468.50","1,345,468.50","1,331,400.00","253,400.00","59,530,493.64","415,032,494.27","115,830,845.28","31,434,556.11","106,086,947.84","219,850,120.68","853,853,423.71","216,091,097.83","328,198,444.83","569,650,534.26","847,228,124.44","116,298,201.02","401,364,338.54","548,776,006.56","1,068,438,833.10","434,106,702.55","1,090,231,061.41","1,765,590,453.17","1,256,079,806.10","357,622,728.96","884,311,093.13","1,763,526,869.48","2,853,159,609.08","407,180,830.20","457,166,408.83","2,028,183,543.39"
筹资活动现金流入小计,,,,,"6,063.45","6,063.45",,"1,629.77","1,002,854.45","1,002,855.67",,,,,,,"424,100,000.00","774,100,000.00","850,000,000.00","696,000,000.00","1,126,000,000.00","1,512,000,000.00","2,425,780,000.00","1,066,060,000.00","1,614,060,000.00","6,146,260,000.00","7,665,450,000.00","1,306,910,000.00","2,186,184,049.96","3,816,514,507.96","6,468,338,376.96","3,915,739,990.31","6,061,489,760.31","10,212,033,156.67","13,430,244,824.82","1,937,500,000.00","7,472,175,895.22","10,900,662,495.22","15,729,109,378.97","3,173,732,310.00","6,773,143,746.00","10,096,920,902.93"
经营活动现金流出小计,"4,229,258.42","1,719,914.23","2,605,427.20","2,703,244.92","1,475,717.45","2,617,733.77","5,636,572.41","274,522.87","1,090,036.69","1,466,478.30","5,673,238.63","1,367,238.50","1,396,468.50","1,396,468.50","2,042,040.00","278,900.00","1,297,208,413.37","2,389,297,604.42","2,898,365,592.32","634,548,946.70","1,511,997,423.36","2,271,144,731.97","3,739,353,856.86","1,270,656,736.13","2,369,868,144.70","5,040,386,467.89","7,447,001,305.14","1,800,153,378.56","3,087,656,247.16","4,646,518,142.53","6,877,809,216.41","2,221,230,675.67","4,277,317,723.59","6,465,809,568.90","8,511,547,437.29","2,790,894,065.77","6,090,183,386.05","8,599,693,291.93","11,795,516,222.57","3,125,456,909.79","4,261,562,666.09","7,234,122,484.60"
偿还债务支付的现金,,,,,,,,,,,,,,,,,"225,000,000.00","250,000,000.00","250,000,000.00","117,000,000.00","147,000,000.00","277,000,000.00","507,000,000.00","75,000,000.00","413,000,000.00","978,000,000.00","1,829,035,600.00","65,474,400.00","877,974,400.00","1,476,359,300.00","2,164,220,600.00","2,019,800,000.00","3,019,810,400.00","4,095,810,400.00","4,549,328,217.40","1,510,053,474.92","4,265,999,759.71","7,584,958,567.12","9,529,478,334.35","3,040,476,050.17","7,721,541,428.83","10,114,496,516.54"
经营活动产生的现金流量净额,"3,405,433.45","2,980,085.77","2,094,572.80","4,189,192.40","-1,474,972.76","-430,989.08","-2,474,292.41","-274,522.87","1,609,963.31","1,233,521.70","1,526,761.37","-1,367,238.50","-1,364,288.50","-1,364,288.50","2,330,140.00","-278,900.00","-471,464,250.12","-1,252,537,180.88","-1,291,624,789.39","-296,610,640.16","-564,626,072.03","-477,841,391.42","-200,636,484.86","-236,216,382.70","-286,069,607.59","-2,284,750,928.39","-3,571,783,721.20","-959,202,606.04","-1,078,037,661.24","-1,664,235,850.06","-2,012,662,078.49","-1,045,690,172.57","-1,189,772,643.77","-1,413,020,240.32","-2,900,221,310.30","-1,408,899,549.99","-1,633,426,429.60","-890,428,098.55","-989,717,073.94","-1,019,311,921.40","608,420,068.45","2,119,438,818.41"
分配股利、利润或偿还利息支付的现金,,,,,,,,,,,,,,,,,"35,043,657.40","50,595,863.86","75,861,368.46","52,120,757.15","261,830,428.63","352,516,655.92","422,124,473.36","107,944,023.47","308,695,678.57","568,841,770.51","792,623,773.24","204,439,774.00","480,485,455.38","975,274,298.73","1,257,782,515.40","277,197,240.54","785,096,653.10","1,275,908,841.00","1,073,486,343.11","362,395,128.83","790,838,968.13","1,240,787,426.32","1,649,070,013.07","417,247,509.22","1,041,803,523.48","1,600,950,046.64"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,500,000.00",,,"10,000,000.00","19,500,000.00",,,,"24,519,440.21",,,,,,"611,536,237.50","611,536,237.50"
支付其他与筹资活动有关的现金,,125.00,243.15,263.15,35.50,35.50,299.50,23.00,59.50,111.50,189.50,,,,84.00,26.00,,,,,,,,,,,"41,365,918.90","60,000.00",,,"33,190,741.52","18,599,747.29","35,166,528.15","41,611,843.48","570,153,585.77","4,391,677.08","627,978,478.83","642,983,471.89","217,994,764.69","17,801,238.73","17,402,322.37","39,490,561.81"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"10,798,537.57","10,798,537.57",,,,"15,537,496.35",,"16,042,359.36","16,042,359.36","18,641,079.13",,,"22,443,076.20","22,443,076.20",,"43,414,614.30","43,414,614.30"
筹资活动现金流出小计,,125.00,243.15,263.15,35.50,35.50,299.50,23.00,59.50,111.50,189.50,,,,84.00,26.00,"260,043,657.40","300,595,863.86","325,861,368.46","169,120,757.15","408,830,428.63","629,516,655.92","929,124,473.36","182,944,023.47","721,695,678.57","1,546,841,770.51","2,663,025,292.14","269,974,174.00","1,358,459,855.38","2,451,633,598.73","3,455,193,856.92","2,315,596,987.83","3,840,073,581.25","5,413,331,084.48","6,192,968,146.28","1,876,840,280.83","5,684,817,206.67","9,468,729,465.33","11,396,543,112.11","3,475,524,798.12","8,780,747,274.68","11,754,937,124.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,,,,,,,,,"91,255.06","322,714.80","50,000.00","50,000.00","61,335.00",600.00,"2,920.00","2,920.00","8,020.00",,"20,187.00","20,187.00","5,106.74","21,745.00",545.00,"7,759.34","75,777.63","103,755.41","279,560.41","323,043.02"
筹资活动产生的现金流量净额,,-125.00,-243.15,-263.15,"6,027.95","6,027.95",-299.50,"1,606.77","1,002,794.95","1,002,744.17",-189.50,,,,-84.00,-26.00,"164,056,342.60","473,504,136.14","524,138,631.54","526,879,242.85","717,169,571.37","882,483,344.08","1,496,655,526.64","883,115,976.53","892,364,321.43","4,599,418,229.49","5,002,424,707.86","1,036,935,826.00","827,724,194.58","1,364,880,909.23","3,013,144,520.04","1,600,143,002.48","2,221,416,179.06","4,798,702,072.19","7,237,276,678.54","60,659,719.17","1,787,358,688.55","1,431,933,029.89","4,332,566,266.86","-301,792,488.12","-2,007,603,528.68","-1,658,016,222.06"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"114,623,757.19","163,586,851.51","163,594,552.21",,,,"492,330.15",,,"77,768,911.50","54,802,973.63",,,,"1,234,791.95",,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-426,721.59","7,151,110.59","5,368,736.34","-3,795,198.37","-1,813,705.65","-1,610,851.40","5,520,778.28","7,209,039.29","2,383,318.34","2,009,946.69","1,550,862.41","15,521,068.00","15,232,961.84","24,707,543.49","26,826,124.49"
收到其他与投资活动有关的现金,,"3,814.50","3,814.50","13,050.27",,,"25,706.60",,,,"9,523.98","2,812.31","4,862.98","4,862.98","8,936.63","5,413.00","1,119,251.73","1,119,251.73",,,,,,,,,,,,,,,,,,72.39,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"3,814.50","3,814.50","13,050.27",,,"25,706.60",,,,"9,523.98","2,812.31","4,862.98","4,862.98","8,936.63","5,413.00","1,119,251.73","1,119,251.73",,,,,"91,255.06","322,714.80","114,673,757.19","174,435,389.08","247,954,424.78",600.00,"2,920.00","10,002,920.00","35,537,846.50",,"16,062,546.36","93,831,457.86","97,968,599.71","21,817.39",545.00,"22,450,835.54","23,753,645.78","103,755.41","655,230,412.21","655,273,894.82"
五、现金及现金等价物净增加额,"3,390,133.45","2,968,475.27","2,082,844.15","4,186,679.52","-1,468,944.81","-424,961.13","-2,448,885.31","-272,916.10","2,612,758.26","2,236,265.87","1,536,095.85","-1,364,426.19","-1,359,425.52","-1,359,425.52","2,338,992.63","-273,513.00","-367,499,859.19","-862,932,808.49","-871,913,239.00","217,279,257.22","122,284,167.44","286,654,537.41","600,199,457.77","569,491,242.75","569,744,528.93","2,260,895,265.17","1,253,386,647.07","33,966,413.78","-332,504,117.76","-420,157,876.29","291,640,989.69","302,313,756.47","-226,189,443.44","1,415,211,844.76","1,458,037,367.75","-1,495,583,368.24","-682,817,406.85","-769,551,178.34","2,160,787,737.52","-1,434,857,548.65","-1,827,254,305.08","-50,493,123.45"
购建固定资产、无形资产和其他长期资产支付的现金,"15,300.00","15,300.00","15,300.00","15,300.00",,,,,,,,,,,,,"61,211,203.40","85,019,015.48","100,712,140.15","12,989,345.47","30,259,331.90","117,987,415.25","301,884,632.02","77,731,065.88","151,223,942.10","228,207,425.01","327,779,849.30","43,340,684.59","89,344,681.69","136,174,591.80","439,474,099.99","150,325,367.79","429,030,184.25","491,378,066.15","1,808,003,192.65","149,523,673.15","276,660,157.49","387,997,071.34","280,108,721.60","37,689,856.38","762,021,241.65","1,002,615,739.11"
期初现金及现金等价物余额,"408,053.07","408,053.07","408,053.07","327,063.54","4,513,743.06","4,513,743.06","4,513,743.06","2,064,857.75","2,064,857.75","2,064,857.75","2,064,857.75","3,600,953.60","3,600,953.60","3,600,953.60","3,600,953.60","5,939,946.23","1,383,585,594.22","1,383,585,594.22","1,383,585,594.22","511,672,355.22","511,672,355.22","511,672,355.22","552,715,540.71","1,152,914,998.48","1,152,914,998.48","1,152,914,998.48","1,181,020,022.47","2,434,406,669.54","2,434,406,669.54","2,434,406,669.54","2,434,406,669.54","2,726,047,659.23","2,726,047,659.23","2,794,105,580.82","2,726,047,659.23","4,184,085,026.98","4,184,085,026.98","4,184,085,026.98","4,187,705,100.37","6,348,492,837.89","6,348,492,837.89","6,348,492,837.89"
投资支付的现金,,,,,,,,,,,,,,,,,,,"3,714,941.00",,,,"78,786,500.00",,,,"24,000,000.00",,,,"301,110,000.00","100,000,000.00","73,500,000.00","539,711,327.36","343,000,000.00","225,000.00","444,527,206.25","937,369,562.50","937,802,581.36",,"254,587,558.90","100,000,000.00"
期末现金及现金等价物余额,"3,798,186.52","3,376,528.34","2,490,897.22","4,513,743.06","3,044,798.25","4,088,781.93","2,064,857.75","1,791,941.65","4,677,616.01","4,301,123.62","3,600,953.60","2,236,527.41","2,241,528.08","2,241,528.08","5,939,946.23","5,666,433.23","1,016,085,735.03","520,652,785.73","511,672,355.22","728,951,612.44","633,956,522.66","798,326,892.63","1,152,914,998.48","1,722,406,241.23","1,722,659,527.41","3,413,810,263.65","2,434,406,669.54","2,468,373,083.32","2,101,902,551.78","2,014,248,793.25","2,726,047,659.23","3,028,361,415.70","2,499,858,215.79","4,209,317,425.58","4,184,085,026.98","2,688,501,658.74","3,501,267,620.13","3,414,533,848.64","6,348,492,837.89","4,913,635,289.24","4,521,238,532.81","6,297,999,714.44"
