科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
负债合计,"125,786,138.59","126,610,395.89","111,479,767.82","91,418,555.60","35,458,684.75","49,943,257.15","57,098,676.63","43,853,244.84","38,686,097.73","41,418,399.51","46,378,477.66","47,081,423.68","42,597,565.80","41,634,036.71","49,784,421.89","42,205,393.58","43,937,070.77","45,576,502.18","54,872,794.03","52,357,959.08","54,634,932.48","55,477,364.64","90,484,820.86","69,562,899.51","63,891,939.85","70,102,063.64","89,021,400.05","71,495,011.32","68,139,268.45"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"26,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00","288,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"16,626,511.80","37,560,930.38","37,560,930.38","37,560,930.38","383,534,430.38","383,534,430.38","383,534,430.38","383,534,430.38","303,534,430.38","303,534,430.38","303,534,430.38","305,277,286.14","303,534,430.38","303,534,430.38","303,534,430.38","303,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38","175,534,430.38"
无形资产,"16,293,030.21","31,922,374.44","31,332,326.42","31,235,900.52","31,037,807.66","31,116,397.28","31,565,954.63","31,442,064.86","31,325,893.82","31,094,051.53","30,388,462.70","31,894,167.46","29,897,066.68","29,696,154.99","29,491,441.92","29,236,797.08","29,062,566.82","28,835,231.65","28,584,192.94","28,333,521.10","28,084,139.68","27,835,337.76","28,585,044.86","28,253,132.25","31,027,632.14","30,765,498.35","30,535,493.17","30,245,432.78","30,102,382.87"
盈余公积,"16,618,863.02","2,407,154.49","7,984,372.92","7,984,372.92","11,572,393.35","13,514,202.52","15,468,629.49","15,468,629.49","15,468,629.49","15,468,629.49","22,174,679.81","22,174,679.81","22,174,679.81","22,174,679.81","28,156,274.63","28,156,274.63","28,156,274.63","28,156,274.63","33,471,909.32","33,471,909.32","33,471,909.32","33,471,909.32","40,644,960.87","40,644,960.87","40,644,960.87","40,644,960.87","46,889,587.13","46,889,587.13","46,889,587.13"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,"2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06","2,051,541.06"
未分配利润,"20,322,542.74","10,311,617.50","58,703,143.22","79,098,996.28","89,794,200.87","94,907,586.71","113,085,722.15","135,711,910.44","121,886,345.26","131,892,574.43","142,451,400.32","158,315,443.57","157,409,437.96","166,303,581.93","177,276,380.50","194,136,070.89","188,297,606.93","197,019,236.13","200,894,948.24","218,956,076.25","220,570,299.03","236,712,368.32","244,367,824.74","264,523,346.04","264,927,280.09","277,321,063.28","267,876,367.91","282,827,911.28","278,714,314.41"
长期待摊费用,"200,000.04","100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"52,227.50","46,112.75","34,780.58","99,265.54","120,853.06","150,791.06","82,839.74","221,877.50","167,898.20","157,000.98","87,275.19","300,448.65","181,155.36","165,536.09","91,031.41","218,744.47","235,750.11","327,618.37","123,538.12","304,004.73","226,145.36","303,564.51","507,588.73","191,473.34","456,533.52","507,441.87","701,162.10","819,298.11","796,238.41"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,"33,859,303.20","33,859,303.20",,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"109,473,349.67","123,447,165.49","119,318,178.41","118,492,061.14","116,536,746.56","115,003,016.47","114,757,740.97","117,834,774.42","130,554,343.39","141,161,436.79","154,159,742.56","161,718,909.73","164,837,859.57","176,356,300.80","181,596,696.60","189,697,750.04","193,450,548.30","278,648,539.03","282,997,148.86","284,394,870.68","333,048,645.48","334,439,795.76","334,299,540.37","338,794,565.49","344,335,717.17","346,373,590.28","339,455,824.18","325,078,237.04","320,449,387.11"
所有者权益(或股东权益)合计,"79,567,917.56","110,279,702.37","164,248,446.52","184,644,299.58","564,901,024.60","571,956,219.61","592,088,782.02","614,714,970.31","600,889,405.13","610,895,634.30","628,160,510.51","645,767,409.52","643,118,548.15","652,012,692.12","668,967,085.51","685,826,775.90","679,988,311.94","688,709,941.14","697,901,287.94","715,962,415.95","717,576,638.73","733,718,708.02","748,547,215.99","768,702,737.29","769,106,671.34","781,500,454.53","778,300,385.42","793,251,928.79","789,138,331.92"
资产总计,"205,354,056.15","236,890,098.26","275,728,214.34","276,062,855.18","600,359,709.35","621,899,476.76","649,187,458.65","658,568,215.15","639,575,502.86","652,314,033.81","674,538,988.17","692,848,833.20","685,716,113.95","693,646,728.83","718,751,507.40","728,032,169.48","723,925,382.71","734,286,443.32","752,774,081.97","768,320,375.03","772,211,571.21","789,196,072.66","839,032,036.85","838,265,636.80","832,998,611.19","851,602,518.17","867,321,785.47","864,746,940.11","857,277,600.37"
负债和所有者(或股东权益)合计,"205,354,056.15","236,890,098.26","275,728,214.34","276,062,855.18","600,359,709.35","621,899,476.76","649,187,458.65","658,568,215.15","639,575,502.86","652,314,033.81","674,538,988.17","692,848,833.20","685,716,113.95","693,646,728.83","718,751,507.40","728,032,169.48","723,925,382.71","734,286,443.32","752,774,081.97","768,320,375.03","772,211,571.21","789,196,072.66","839,032,036.85","838,265,636.80","832,998,611.19","851,602,518.17","867,321,785.47","864,746,940.11","857,277,600.37"
