科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"13,434,440.30","28,960,769.86","7,378,492.62","16,208,051.71","26,777,861.10","41,561,685.43","11,308,348.33","21,745,614.10","36,615,676.55","49,112,870.36","13,474,516.16","32,109,291.70","49,717,804.41","72,896,422.85","19,926,172.76","45,907,036.43","71,360,935.54","104,628,193.36","25,138,274.33","51,781,176.54","71,067,844.94","80,182,260.09","19,600,722.80","40,115,195.64","60,483,072.50","79,811,179.53","17,219,345.60","38,058,484.14","59,057,547.28","77,882,838.68","16,279,230.46","33,038,386.95","53,369,299.45","68,201,029.90","13,601,704.54","28,694,776.02","43,112,856.92","56,859,254.36","9,582,568.11","23,997,148.24","34,646,877.22","45,627,206.57","10,138,721.50"
取得借款收到的现金,"44,000,000.00","129,000,000.00","43,000,000.00","83,000,000.00","133,000,000.00","158,000,000.00","181,000,000.00","265,000,000.00","536,000,000.00","626,000,000.00","40,000,000.00","140,000,000.00","405,000,000.00","533,630,000.00","266,665,385.00","431,665,385.00","529,665,385.00","860,498,051.80","344,000,000.00","670,500,000.00","777,500,000.00","1,153,780,000.00","283,500,000.00","523,200,000.00","722,200,000.00","870,995,238.91","66,000,000.00","335,920,000.00","625,400,000.00","573,140,000.00","180,000,000.00","344,340,000.00","469,640,000.00","683,760,000.00","44,560,000.00","353,760,000.00","475,260,000.00","580,391,000.00","108,500,000.00","267,482,501.31","303,296,571.31","255,760,000.00",
支付的各项税费,"6,468,836.60","16,606,117.91","6,877,416.54","10,582,640.67","20,631,741.10","32,496,915.10","9,064,820.87","15,073,575.73","26,495,486.58","46,348,038.45","6,034,169.94","20,454,310.34","39,651,204.05","59,109,746.30","9,104,644.63","16,383,066.53","32,153,848.58","59,009,606.05","8,336,128.74","22,673,518.77","26,103,073.45","30,770,395.44","5,352,323.51","9,845,758.23","17,217,720.91","18,323,615.89","4,053,618.53","8,267,003.86","12,962,088.94","17,382,177.41","4,899,587.23","10,187,641.91","14,972,312.96","17,808,737.32","8,954,814.64","13,373,936.36","18,036,304.79","21,718,749.62","3,759,714.42","6,254,175.76","7,072,019.00","8,662,998.83","17,973,621.43"
收到其他与筹资活动有关的现金,,,,,,,,,,,,"5,600,000.00","5,600,000.00","5,600,000.00",,,,,,,,,"70,737,166.66","70,737,166.66","71,986,458.15","130,000,000.00",,,,"42,356,270.00",,,,"419,596,154.65",,,,"294,907,868.46",,,,"292,408,220.90",
支付其他与经营活动有关的现金,"8,608,033.94","12,147,226.04","10,994,693.30","12,653,431.85","18,832,234.95","23,148,677.92","22,669,412.26","17,954,594.79","27,343,955.24","32,415,824.25","18,560,797.53","28,413,751.58","39,808,389.29","44,525,961.74","25,897,718.92","52,552,882.01","71,262,188.67","79,371,128.51","36,422,052.85","58,734,648.93","70,140,250.44","71,585,032.62","13,346,083.09","30,139,475.54","44,292,987.65","56,944,661.59","17,986,103.74","32,335,861.01","45,905,357.80","62,032,199.33","10,349,406.02","19,303,486.35","29,496,189.40","79,879,081.24","7,596,670.49","14,314,384.02","18,969,098.88","30,076,873.66","5,636,915.85","10,219,193.63","13,383,846.50","24,786,069.70","5,303,641.02"
筹资活动现金流入小计,"44,000,000.00","179,000,000.00","43,000,000.00","377,000,000.00","427,000,000.00","430,002,034.26","206,628,850.00","290,628,850.00","561,628,850.00","677,234,750.00","40,000,000.00","495,599,478.00","760,599,478.00","889,229,478.00","266,665,385.00","431,665,385.00","566,976,315.10","1,010,128,981.90","444,000,000.00","790,510,000.00","897,510,000.00","1,273,790,000.00","354,237,166.66","593,937,166.66","794,188,458.15","1,000,997,238.91","371,000,000.00","640,920,000.00","930,400,000.00","920,496,270.00","180,000,000.00","344,340,000.00","469,640,000.00","1,103,356,154.65","44,560,000.00","353,760,000.00","475,260,000.00","875,298,868.46","108,500,000.00","267,482,501.31","303,296,571.31","548,168,220.90",
经营活动现金流出小计,"157,689,649.43","329,665,863.99","73,906,643.73","162,234,432.27","237,741,704.80","358,208,062.61","131,404,690.51","232,867,596.71","332,865,813.94","460,724,425.01","130,883,940.46","251,845,990.63","388,396,748.45","459,030,645.72","121,930,536.51","288,130,742.67","416,697,293.93","622,887,707.23","169,735,482.91","297,344,199.71","383,919,050.38","508,406,385.97","59,624,516.19","151,108,930.63","230,572,569.61","315,608,474.91","111,044,645.97","190,024,976.81","266,117,769.23","260,628,625.71","50,673,525.21","123,725,410.06","209,189,361.71","256,524,067.33","46,957,683.33","88,365,758.22","129,684,983.04","154,154,283.51","22,134,762.65","49,697,401.77","66,505,615.90","120,818,118.13","37,276,673.73"
偿还债务支付的现金,"33,000,000.00","140,000,000.00","8,000,000.00","122,000,000.00","177,000,000.00","236,000,000.00","46,000,000.00","109,000,000.00","159,000,000.00","163,000,000.00","32,000,000.00","217,000,000.00","353,000,000.00","477,000,000.00","55,000,000.00","78,630,000.00","118,830,000.00","365,030,000.00","277,165,385.00","599,365,385.00","637,365,385.00","942,545,385.00","345,500,000.00","779,700,000.00","1,007,400,000.00","1,073,329,311.33","253,746,688.67","548,827,535.07","776,770,688.67","845,825,688.67","160,140,000.00","342,395,000.00","571,495,000.00","729,650,000.00","44,960,000.00","315,219,800.00","433,519,800.00","681,669,705.00","100,000,000.00","255,594,402.54","282,594,402.54","424,025,000.00","2,000,000.00"
经营活动产生的现金流量净额,"3,748,808.49","19,742,853.63","-9,325,805.14","-3,775,462.09","5,938,701.54","23,811,144.08","-2,149,190.18","51,904,556.16","55,950,487.28","64,085,463.38","3,590,896.10","16,779,801.09","4,349,372.09","45,252,906.17","-13,537,004.56","-44,610,942.69","-69,012,474.50","-59,743,684.45","-68,016,829.84","-68,899,931.43","-72,895,387.34","-39,193,395.69","21,121,760.03","25,873,400.09","10,620,026.57","-13,890,133.60","1,430,205.81","-11,568,047.75","-48,564,022.02","-70,035,969.48","-1,165,919.50","-12,408,694.00","-36,464,146.24","-39,721,319.50","-9,868,879.16","-15,826,783.15","-23,276,427.52","-4,854,193.84","-3,780,264.03","-2,321,183.20","-5,410,435.02","116,666,685.69","-23,896,826.24"
分配股利、利润或偿还利息支付的现金,"4,801,273.86","20,029,923.57","16,410,904.99","19,541,979.74","20,779,722.41","23,747,844.41","2,574,913.92","17,630,268.30","20,514,430.24","28,708,937.96","6,548,231.25","14,545,652.25","34,344,317.27","42,173,849.73","8,783,119.51","33,887,361.00","49,465,641.38","67,838,688.26","19,719,285.18","61,412,620.66","82,759,406.05","99,941,171.07","23,967,680.85","46,165,407.23","62,680,751.33","78,368,115.00","17,511,075.29","35,159,432.34","48,527,503.59","60,889,814.83","7,608,088.88","18,136,059.66","26,813,345.07","42,862,575.94","7,770,045.46","18,231,963.60","26,613,801.68","32,984,011.05","9,309,222.85","17,170,113.47","26,137,875.74","46,399,842.76","3,630,080.88"
收回投资收到的现金,,"2,500,000.00",,,,,,,,"20,823.09",,,,,"1,500,000.00","1,500,000.00","1,500,000.00","1,500,000.00",,,,,,"20,000.00","20,000.00","20,000.00",,,,,,,,,,,,,,,,"10,060,400.00",
支付其他与筹资活动有关的现金,,,,"21,997,965.74","21,997,965.74",,,,,,,"15,905,449.51","15,905,449.51","14,446,747.80",,,,,,,,,,,,"50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","104,700,737.25",,,,"450,088,539.53",,,,"158,719,730.14",,,,"307,623,659.16",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,297.03,198.02,"28,408.25","28,408.25","28,408.25",,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"37,801,273.86","160,029,923.57","24,410,904.99","163,539,945.48","219,777,688.15","259,747,844.41","48,574,913.92","126,630,268.30","179,514,430.24","191,708,937.96","38,548,231.25","247,451,101.76","403,249,766.78","533,620,597.53","63,783,119.51","112,517,361.00","168,295,641.38","432,868,688.26","296,884,670.18","660,778,005.66","720,124,791.05","1,042,486,556.07","369,467,680.85","825,865,407.23","1,070,080,751.33","1,201,697,426.33","371,257,763.96","683,986,967.41","925,298,192.26","1,011,416,240.75","167,748,088.88","360,531,059.66","598,308,345.07","1,222,601,115.47","52,730,045.46","333,451,763.60","460,133,601.68","873,373,446.19","109,309,222.85","272,764,516.01","308,732,278.28","778,048,501.92","5,630,080.88"
处置固定资产、无形资产和其他长期资产收回的现金净额,"290,000.00","290,000.00",,,,,,,,"1,159,897.44","1,812,867.97","576,450.19","600,536.09","878,938.90",,,,"452,081.33","8,063,293.47","8,067,518.47","8,371,061.71","408,825.12","26,096.00","192,451,822.00","218,455,222.00","214,302,719.25","172,789.84","593,680.12","652,680.12","6,813,126.99",,,,"3,629,500.00","2,570,000.00","2,793,800.00","2,793,800.00","3,653,300.00",,,"2,170.00","173,046,545.00",
筹资活动产生的现金流量净额,"6,198,726.14","18,970,076.43","18,589,095.01","213,460,054.52","207,222,311.85","170,254,189.85","158,053,936.08","163,998,581.70","382,114,419.76","485,525,812.04","1,451,768.75","248,148,376.24","357,349,711.22","355,608,880.47","202,882,265.49","319,148,024.00","398,680,673.72","577,260,293.64","147,115,329.82","129,731,994.34","177,385,208.95","231,303,443.93","-15,230,514.19","-231,928,240.57","-275,892,293.18","-200,700,187.42","-257,763.96","-43,066,967.41","5,101,807.74","-90,919,970.75","12,251,911.12","-16,191,059.66","-128,668,345.07","-119,244,960.82","-8,170,045.46","20,308,236.40","15,126,398.32","1,925,422.27","-809,222.85","-5,282,014.70","-5,435,706.97","-229,880,281.02","-5,630,080.88"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,472,781.55",,"52,155,607.59","152,375,207.59","163,373,981.31",,,,,,,,,
四、汇率变动对现金的影响,"-31,713.80","-120,148.80",,"-221,745.57","-249,077.52","-194,301.32","239,581.71","-272,273.90","207,802.40","-206,868.86","81,439.57","-19,626.91","-25,048.12","364,265.56","75,035.64","99,104.38","-28,712.43","-350,086.56","21,526.82","78,682.37","136,691.28","-169,678.90","-55,396.43","-103,976.78","-119,987.98","-161,223.50","-32,595.69","3,688.95","10,586.48","-6,273.34","-1,474.99","-1,474.99","9,655.50","-27,310.98","-2,168.82","-2,862.19","8,784.65","144,235.13","-2,141.59","-66,024.59","-71,800.63","53,610.03","-37,749.42"
收到其他与投资活动有关的现金,,,,,,"432,741.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"290,000.00","2,790,000.00",,,,"432,741.62",,,,"1,180,720.53","1,812,867.97","576,450.19","600,536.09","878,938.90","1,500,000.00","1,500,000.00","1,500,000.00","1,952,081.33","8,063,293.47","8,067,518.47","8,371,061.71","409,122.15","26,294.02","192,500,230.25","218,503,630.25","214,351,127.50","172,789.84","593,680.12","652,680.12","121,285,908.54",,"52,155,607.59","152,375,207.59","167,003,481.31","2,570,000.00","2,793,800.00","2,793,800.00","3,653,300.00",,,"2,170.00","183,106,945.00",
五、现金及现金等价物净增加额,"5,925,077.99","3,388,746.92","-6,587,079.96","160,404,249.07","129,496,913.76","46,149,552.82","76,359,395.05","23,037,854.78","156,342,605.16","99,758,729.55","-64,079,692.86","127,377,585.02","156,980,336.82","-41,433,097.13","150,152,475.33","99,890,650.36","12,586,101.66","-53,459,951.23","68,358,570.21","-2,782,329.41","-10,316,114.07","29,244,778.92","-7,890,035.29","-29,093,488.26","-67,199,412.82","-29,351,491.87","-1,439,051.50","-59,141,231.78","-48,403,682.07","-43,353,851.50","10,648,225.91","23,038,088.22","-13,359,972.20","-338,638.06","-15,763,692.44","4,362,854.66","-20,158,953.95","-18,905,652.86","-4,591,628.47","-7,781,022.49","-11,080,477.30","43,564,578.91","-30,504,556.54"
购建固定资产、无形资产和其他长期资产支付的现金,"4,280,742.84","37,994,034.34","15,850,369.83","49,058,597.79","83,415,022.11","148,154,221.41","79,784,932.56","192,593,009.18","281,930,104.28","450,826,397.54","71,016,665.25","138,107,415.59","205,294,234.46","443,538,088.23","40,767,821.24","176,245,535.33","318,553,385.13","572,578,555.19","18,824,750.06","71,760,593.16","123,313,688.67","163,368,190.37","13,752,178.72","15,434,901.25","20,310,788.48","28,951,074.85","2,751,687.50","5,103,585.69","5,604,734.39","3,677,546.47","436,290.72","516,290.72","612,343.98","8,348,528.07","55,899.00","2,672,836.40","14,574,809.40","19,537,716.42",,"111,800.00","164,704.68","118,210.26","939,900.00"
期初现金及现金等价物余额,"21,061,398.69","21,061,398.69","33,050,145.61","24,450,145.61","24,450,145.61","24,450,145.61","70,599,698.43","70,599,698.43","70,599,698.43","70,599,698.43","170,358,427.98","170,358,427.98","170,358,427.98","170,358,427.98","128,925,330.85","128,925,330.85","128,925,330.85","128,925,330.85","75,465,379.62","75,465,379.62","75,465,379.62","75,465,379.62","104,710,158.54","104,710,158.54","104,710,158.54","104,710,158.54","75,358,666.67","75,358,666.67","75,358,666.67","75,358,666.67","32,004,815.17","32,004,815.17","32,004,815.17","32,004,815.17","31,666,177.11","31,666,177.11","31,666,177.11","31,666,177.11","12,760,524.26","12,760,524.25","12,760,524.25","12,760,524.25","56,325,103.16"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,700.00","236,700.00","236,700.00",,,,,
期末现金及现金等价物余额,"26,986,476.68","24,450,145.61","26,463,065.65","184,854,394.68","153,947,059.37","70,599,698.43","146,959,093.48","93,637,553.21","226,942,303.59","170,358,427.98","106,278,735.12","297,736,013.00","327,338,764.80","128,925,330.85","279,077,806.18","228,815,981.21","141,511,432.51","75,465,379.62","143,823,949.83","72,683,050.21","65,149,265.55","104,710,158.54","96,820,123.25","75,616,670.28","37,510,745.72","75,358,666.67","73,919,615.17","16,217,434.89","26,954,984.60","32,004,815.17","42,653,041.08","55,042,903.39","18,644,842.97","31,666,177.11","15,902,484.67","36,029,031.77","11,507,223.16","12,760,524.25","8,168,895.79","4,979,501.76","1,680,046.95","56,325,103.16","25,820,546.62"
