科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
收到其他与筹资活动有关的现金,,,,,"12,642,140.54","12,642,140.54","12,642,140.54",,,,,,
支付其他与经营活动有关的现金,"83,599,226.68","50,826,568.41","33,804,869.94","9,185,024.24","17,561,603.63","22,950,186.00","26,591,284.96","8,951,187.50","17,446,289.19","23,953,237.84","36,761,774.13","6,445,404.27","13,901,270.38"
筹资活动现金流入小计,"115,000,000.00","80,000,000.00","40,000,000.00","20,000,000.00","204,626,200.00","204,626,200.00","204,626,200.00",,,,,,
经营活动现金流出小计,"499,107,433.75","367,520,070.27","206,810,911.66","46,372,987.18","89,924,750.64","148,104,069.01","192,504,019.68","50,124,354.91","104,528,518.99","183,212,489.94","233,739,016.64","58,311,407.05","143,271,858.98"
偿还债务支付的现金,"154,000,000.00","125,000,000.00","40,000,000.00","20,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,,,
经营活动产生的现金流量净额,"90,627,851.22","47,328,671.81","28,592,914.14","15,241,955.28","9,887,226.75","-12,759,591.17","32,095,308.53","-16,523,620.43","-26,293,338.36","-66,961,450.74","-43,379,308.84","-8,001,084.68","-34,257,776.96"
分配股利、利润或偿还利息支付的现金,"10,728,939.45","6,259,889.79","5,016,916.71","959,077.78","1,516,991.67","1,516,991.67","1,516,991.67",,"8,493,940.00","8,493,940.00","8,493,940.00",,"6,533,800.00"
收回投资收到的现金,,,,,,,"98,992,810.00","120,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","370,000,000.00","430,000,000.00"
支付其他与筹资活动有关的现金,,,,,"6,397,960.54","12,142,140.54","12,142,140.54",,"500,000.00","500,000.00","500,000.00",,
取得投资收益收到的现金,,,"384,000.00",,,"24,219.18","325,643.84","828,493.16","1,272,328.78","1,272,328.78","1,181,877.50","1,212,174.66","1,931,720.01"
筹资活动现金流出小计,"164,728,939.45","131,259,889.79","45,016,916.71","20,959,077.78","107,914,952.21","113,659,132.21","113,659,132.21",,"8,993,940.00","8,993,940.00","8,993,940.00",,"6,533,800.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"667,688.00","615,543.50","14,708.74",,"15,000.00","20,574,572.05","26,930,316.59",,"40,000.00","427,842.00","45,362,635.78","2,347,117.25","10,216,254.46"
筹资活动产生的现金流量净额,"-49,728,939.45","-51,259,889.79","-5,016,916.71","-959,077.78","96,711,247.79","90,967,067.79","90,967,067.79",,"-8,993,940.00","-8,993,940.00","-8,993,940.00",,"-6,533,800.00"
处置子公司及其他营业单位收到的现金净额,,,"-3,431.54",,,,,,,,,,
四、汇率变动对现金的影响,"207,114.58","189,147.70","33,501.43","-5,319.99","28,553.99","27,040.65","147,102.08","26,457.32","-21,139.24","-24,988.47","-177,642.39","-58,878.24","24,221.51"
收到其他与投资活动有关的现金,,"197,440.33",,,,"10,000,000.00",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"667,688.00","812,983.83","395,277.20",,"15,000.00","30,598,791.23","126,248,770.43","120,828,493.16","181,312,328.78","181,700,170.78","226,544,513.28","373,559,291.91","442,147,974.47"
五、现金及现金等价物净增加额,"11,923,229.90","-38,282,322.45","12,322,013.72","12,320,455.74","103,854,502.76","55,631,784.75","55,363,762.96","42,666,730.69","83,265,696.82","43,185,012.21","10,460,741.99","34,991,604.99","-7,121,106.97"
购建固定资产、无形资产和其他长期资产支付的现金,"29,071,138.96","35,353,236.00","11,682,762.34","1,957,101.77","2,787,525.77","3,201,523.75","4,094,485.87","1,664,599.36","2,738,214.36","2,534,779.36","3,532,880.06","507,724.00","15,516,272.50"
期初现金及现金等价物余额,"96,558,777.50","108,482,007.40","70,199,684.95","82,521,698.67","82,521,698.67","82,521,698.67","82,521,698.67","137,885,461.63","137,885,461.63","137,885,461.63","137,885,461.63","148,346,203.62","148,346,203.62"
投资支付的现金,,,,,,,"190,000,000.00",,"60,000,000.00","60,000,000.00","160,000,000.00","330,000,000.00","390,000,000.00"
期末现金及现金等价物余额,"108,482,007.40","70,199,684.95","82,521,698.67","94,842,154.41","186,376,201.43","138,153,483.42","137,885,461.63","180,552,192.32","221,151,158.45","181,070,473.84","148,346,203.62","183,337,808.61","141,225,096.65"
