科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,"3,500,000.00","3,375,000.00","28,500,000.00","5,375,000.00","25,250,000.00","5,125,000.00","125,000.00",,"134,000,000.00","134,000,000.00","120,000,000.00","110,000,000.00","57,350,000.00","47,350,000.00","21,350,000.00","61,350,000.00","126,000,000.00","128,500,000.00","152,500,000.00","154,500,000.00","98,500,000.00","43,000,000.00","85,000,000.00","117,000,000.00","176,300,000.00","176,300,000.00","96,800,000.00","81,800,000.00","74,500,000.00","97,500,000.00","123,000,000.00","138,000,000.00","162,995,704.11","111,781,549.34","113,847,184.86","99,884,094.98","85,169,687.49","80,000,000.00","29,000,000.00","39,000,000.00","31,000,000.00"
其他流动资产,,,,"70,000.00","122,680.00","76,338.40","29,693.89",,"6,300.00","4,200.00","62,100.00",,"31,670.00","31,670.00","392,241.60",,"36,905.80","33,516.65","33,516.65","406,909.46",,,,,,"213,300.00",,,,,,"18,896,277.77","15,798,454.23","15,294,816.16","18,401,008.85","19,042,536.50","16,501,781.55","20,132,418.09","23,739,458.07","24,480,440.03","24,364,263.88","21,179,287.89","22,003,012.17","22,752,050.94"
其他流动负债,,,,"4,990,622.29","3,434,126.06","4,578,434.62","4,879,982.41","1,852,614.14","1,414,299.79","1,941,858.86","2,176,983.67","752,415.65","2,395,633.08","1,118,616.26","1,982,860.12","963,948.03","1,344,694.52","4,346,242.86","3,903,719.43","622,770.29","688,576.09","1,011,479.32","2,049,786.04","1,120,928.54","1,241,502.60","1,649,506.74","2,407,264.16","118,324.00","109,919.08","58,086.53","169,298.08","139,224.84","2,196,492.59","161,153.20","1,428,431.16","151,353.34","947,017.95","180,960.00","851,182.38","209,308.94","115,488.14","91,178.46","230,902.42",
流动资产合计,"713,011,848.00","793,302,874.82","852,621,804.20","856,705,807.74","802,125,172.81","834,703,827.02","906,141,784.35","896,252,443.72","883,177,741.97","990,642,180.80","1,223,580,876.16","1,198,176,753.56","1,162,187,984.37","1,121,989,040.73","1,130,175,995.14","1,081,861,361.12","1,146,428,180.06","1,202,592,988.33","1,320,751,947.02","1,446,929,550.62","1,511,180,567.46","1,387,617,965.60","1,402,243,597.64","1,239,741,560.69","1,293,477,370.49","1,318,165,435.38","1,326,595,745.23","1,345,367,395.99","1,236,989,613.45","1,312,220,714.31","1,280,529,992.78","1,372,129,923.59","1,389,639,790.71","1,518,162,077.84","1,578,795,643.85","2,331,790,227.17","1,950,690,515.66","1,914,617,003.33","1,900,681,250.78","1,957,675,675.90","2,009,655,173.69","1,909,625,933.40","1,954,140,517.18","1,936,748,176.30"
流动负债合计,"461,210,533.23","534,970,831.70","590,126,810.46","604,189,173.68","547,123,662.07","557,558,756.73","603,259,758.83","590,659,068.75","533,474,431.73","626,697,563.86","625,242,141.97","735,048,498.19","711,958,567.10","631,913,570.23","622,506,900.97","567,727,804.11","594,938,396.90","641,931,072.78","721,405,167.90","818,819,065.90","890,974,977.23","832,341,784.55","839,748,431.22","816,154,136.44","833,768,366.94","954,221,396.20","962,554,878.06","1,087,175,845.69","1,008,875,423.85","1,089,741,620.61","1,070,957,197.92","1,117,040,978.09","1,140,700,603.10","1,337,321,448.36","1,425,477,953.61","1,222,466,787.15","866,508,532.73","859,499,340.93","853,398,917.05","1,011,770,724.85","989,216,909.89","940,236,624.13","997,012,441.56","984,138,960.70"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","5,040,283.36","15,040,283.36","15,040,283.36","22,144,683.36","23,086,130.96"
长期借款,"88,278,994.16","105,133,279.39","104,987,258.37","112,340,874.99","112,304,390.45","149,032,213.52","172,009,083.76","162,004,041.38","206,981,289.68","209,958,089.70","209,934,374.87","87,907,513.56","87,880,251.38","96,852,582.35","106,824,500.40","152,445,999.37","217,417,073.00","276,387,714.94","296,359,828.78","295,000,000.00","302,500,000.00","298,500,000.00","347,500,000.00","344,400,000.00","397,400,000.00","358,500,000.00","336,500,000.00","256,200,000.00","256,200,000.00","249,700,000.00","269,700,000.00","222,000,000.00","224,000,000.00","181,000,000.00","165,000,000.00","65,000,000.00","65,000,000.00","40,000,000.00","50,000,000.00","30,000,000.00","28,000,000.00","18,000,000.00",,"8,000,000.00"
