科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动产生的现金流量净额,"-22,217,701.70","-24,298,282.60","-36,194,952.48","-26,440,701.01","343,425,305.40","-7,918,040.00","-33,203,640.00","-33,203,640.00","-33,203,640.00","1,148,070.00","-17,517,530.00","-17,562,530.00","-17,562,530.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"50,240.92","-141,870.70","20,161.59","96,937.79","134,634.37","-75,771.32","-236,080.21","181,512.90","28,165.76","256,599.10","-95,655.08","-224,639.54","76,717.59","-121,647.27"
收到其他与投资活动有关的现金,"499,918.42","684,368.32","628,421.61","534,990.51","849,774.45","827,970.66","1,688,935.84","2,337,368.20","2,539,010.69","258,358.42","672,232.24","799,737.96","999,031.31","200,896.14"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"499,918.42","700,095.67","658,911.90","546,757.50","874,991.36","895,931.83","1,812,333.90","2,460,766.26","154,645,509.52","66,653,461.80","152,337,596.45","308,112,460.65","410,704,055.95","200,896.14"
五、现金及现金等价物净增加额,"47,091,927.98","-1,534,195.08","250,272.03","2,320,464.50","444,011,644.75","-52,506,904.99","-51,555,005.17","-396,156,072.49","-222,957,962.66","-132,694,076.90","-202,278,410.68","-176,434,028.95","-136,542,407.36","-108,663,917.23"
购建固定资产、无形资产和其他长期资产支付的现金,"37,885,694.33","50,602,095.66","35,318,081.16","19,318,738.23","29,015,879.94","9,213,877.26","22,605,007.30","110,763,241.00","138,522,970.97","20,861,913.42","67,662,923.37","131,123,308.48","142,364,717.35","25,112,488.77"
期初现金及现金等价物余额,"66,274,621.34","113,366,549.32","111,832,354.24","112,082,626.27","112,082,626.27","556,094,271.02","556,094,271.02","556,094,271.02","556,094,271.02","327,702,364.13","333,136,308.36","333,136,308.36","333,136,308.36","196,593,901.00"
投资支付的现金,,,,,,,,,"245,000,000.00","95,000,000.00","190,000,000.00","248,000,000.00","308,000,000.00","60,000,000.00"
期末现金及现金等价物余额,"113,366,549.32","111,832,354.24","112,082,626.27","114,403,090.77","556,094,271.02","503,587,366.03","504,539,265.85","159,938,198.53","333,136,308.36","195,008,287.23","130,857,897.68","156,702,279.41","196,593,901.00","87,929,983.77"
