科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
筹资活动产生的现金流量净额,"-981,653,344.50","-216,536,916.39","-233,500,107.49","766,881,306.75","5,718,544,384.97","-659,774,170.76","-1,217,439,829.96","-1,328,536,885.52","-2,050,604,151.70","-271,982,985.71","-294,767,882.66","-735,621,113.72","-467,799,072.79","-3,086,548.05","-76,546,720.13","-97,294,052.61","473,950,185.20","621,221,493.10","480,974,284.83","409,227,251.10","15,068,313.51","177,004,087.33","1,412,348,092.72","1,573,396,011.04","1,028,147,604.20","283,356,296.32","493,709,136.99","942,377,663.47","883,143,418.37","296,807,646.72","217,128,761.83","35,370,769.42"
处置子公司及其他营业单位收到的现金净额,,"-37,481,125.83",,,,,,,,,,,,,,,,,,"10,202,176.00","10,202,176.00",,,,,,,,,,,
四、汇率变动对现金的影响,"-12,879.02","-13,288.85","-11,700.51","-693,215.00","-729,310.75",,"-40,630.64","-249,485.44","-853,799.09",,"-389,604.25","299,098.32","750,403.86","67,337.45","1,398,000.20","2,148,832.83","-2,256,166.21","618,358.87","365,923.88","420,895.35","-2,030,831.32","72,659.68","487,464.58","1,184,985.16","-1,928,898.62","199,674.81","-827,747.78","1,085,191.49","7,359,783.61","-270,002.72","765,583.19","-59,722.49"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,"22,363,172.40","165,528,623.14","275,476,424.01","468,062,018.41","152,434,973.97","193,097,696.53","241,756,482.10","281,530,096.62",,,"285,185,861.72","150,432,265.64","7,330,760.19","218,120,799.63","328,458,059.63","86,576,559.61","74,523,436.05",,"88,827,567.24"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,116,984.98","61,933,460.71","3,362,377.60","63,506,670.75","89,001,617.22",,"1,263,624,232.00","1,264,392,852.04","2,310,148,386.20","1,032,000.00","704,292,958.19","704,292,958.19","705,568,270.05","22,408,940.40","176,049,314.53","303,250,825.75","491,004,096.70","152,733,009.56","193,577,392.12","264,729,933.68","816,701,928.34","50,068,684.93","460,564,812.35","1,371,629,778.69","209,935,417.56","8,117,568.89","246,724,716.65","1,822,372,677.06","316,574,295.39","80,056,010.49","61,171,492.80","174,357,074.81"
五、现金及现金等价物净增加额,"-216,095,184.46","24,415,129.42","-304,714,831.66","145,437,223.90","4,661,852,018.52","-111,403,007.48","-714,997,958.24","-1,488,433,694.03","-2,020,115,528.07","62,299,963.58","-383,117,812.12","-1,095,968,600.29","-1,515,004,062.94","119,238,474.27","484,390,544.31","160,609,841.21","420,511,246.91","66,196,766.13","-126,364,681.14","213,424,571.63","-413,540,123.59","-207,254,470.46","425,645,414.62","202,761,676.55","-82,050,927.47","262,691,409.74","135,441,725.17","237,526,078.60","838,156,713.74","-243,860,385.26","-491,563,797.82","-668,347,642.47"
购建固定资产、无形资产和其他长期资产支付的现金,"336,543,152.45","270,498,966.29","475,383,217.40","671,516,632.08","859,918,409.42","108,097,741.47","285,261,586.29","591,600,954.00","608,501,478.95","78,573,853.15","164,677,913.93","404,799,754.29","504,596,927.96","235,544,368.89","320,367,140.82","448,478,038.01","848,945,667.52","156,233,324.31","271,374,397.80","394,016,174.73","765,960,352.72","199,054,024.68","275,057,832.54","389,781,721.96","688,264,502.28","105,106,959.72","253,171,905.53","275,019,806.64","584,212,084.42","99,355,031.09","204,046,733.24","309,141,297.89"
期初现金及现金等价物余额,"753,354,400.13","537,259,215.67","561,674,345.09","256,959,513.43","256,959,513.43","4,918,811,531.95","4,918,811,531.95","4,918,811,531.95","4,918,811,531.95","2,898,696,003.88","2,898,696,003.88","2,898,696,003.88","2,898,696,003.88","1,383,691,940.94","1,383,691,940.94","1,383,691,940.94","1,383,691,940.94","1,804,203,187.85","1,804,203,187.85","1,804,203,187.85","1,804,203,187.85","1,390,663,064.26","1,390,663,064.26","1,390,663,064.26","1,390,663,064.26","1,308,612,136.79","1,308,612,136.79","1,308,612,136.79","1,308,612,136.79","2,146,768,850.53","2,146,768,850.53","2,146,768,850.53"
投资支付的现金,,"82,500,000.00","2,000,000.00","50,630,000.00","63,903,330.30",,"1,250,000,000.00","1,500,000,000.00","2,363,876,103.83","1,600,000.00","754,127,642.99","754,127,642.99","754,127,642.99","10,000,000.00","20,000,000.00","30,000,000.00","5,733,750.00",,,,"460,273,750.00","277,450,000.00","592,760,000.00","2,336,760,000.00","277,928,400.00","42,272,500.00","1,182,884,594.73","2,269,146,284.47","321,103,954.65","1,404,000.00","109,007,600.00","286,038,000.00"
期末现金及现金等价物余额,"537,259,215.67","561,674,345.09","256,959,513.43","402,396,737.33","4,918,811,531.95","4,807,408,524.47","4,203,813,573.71","3,430,377,837.92","2,898,696,003.88","2,960,995,967.46","2,515,578,191.76","1,802,727,403.59","1,383,691,940.94","1,502,930,415.21","1,868,082,485.25","1,544,301,782.15","1,804,203,187.85","1,870,399,953.98","1,677,838,506.71","2,017,627,759.48","1,390,663,064.26","1,183,408,593.80","1,816,308,478.88","1,593,424,740.81","1,308,612,136.79","1,571,303,546.53","1,444,053,861.96","1,546,138,215.39","2,146,768,850.53","1,902,908,465.27","1,655,205,052.71","1,478,421,208.06"
