科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付其他与筹资活动有关的现金,"831,266.68","1,502,340.00","11,359,671.00","566,000.00","19,699,141.66","47,515,192.69","79,904,576.48",,,,"109,349,437.55",,,
取得投资收益收到的现金,,,,,,,,"1,234,109.59","1,929,452.06","3,451,027.40","4,694,479.46","1,769,184.92","5,796,517.11","9,958,425.50"
筹资活动现金流出小计,"110,394,269.61","268,688,432.67","359,259,145.96","164,215,007.08","257,475,957.71","398,632,294.76","607,124,866.85","23,574,099.79","78,313,450.51","162,399,179.41","540,259,423.20","30,893,249.99","81,287,520.82","100,329,486.18"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"17,000.00",,,,"22,500.00",,,,,,,
筹资活动产生的现金流量净额,"39,605,730.39","-48,378,432.67","-75,129,145.96","-72,851,010.08","562,612,685.29","606,954,143.05","447,874,560.33","106,425,900.21","131,686,549.49","172,600,820.59","932,212,594.52","-27,874,470.41","48,712,479.18","226,670,513.82"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"28,000,000.00",,"2,000,000.00","3,500,000.00","3,500,000.00","5,100,000.00",,,,,"1,000,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,,"28,000,000.00","17,000.00","2,000,000.00","3,500,000.00","3,500,000.00","5,122,500.00","151,234,109.59","251,929,452.06","453,451,027.40","639,694,479.46","377,769,184.92","1,075,796,517.11","1,519,958,425.50"
五、现金及现金等价物净增加额,"39,159,622.45","87,966,867.32","55,071,074.25","-30,907,601.72","619,626,842.44","719,916,619.21","453,452,655.96","165,495,236.12","48,761,099.61","80,473,802.27","777,260,916.74","-456,438,790.22","-499,884,554.02","-344,762,509.14"
购建固定资产、无形资产和其他长期资产支付的现金,"44,563,222.83","1,924,473.54","13,068,235.00","6,459,306.00","6,589,806.00","18,911,050.23","36,440,100.68","10,513,217.42","22,388,666.86","36,713,371.28","60,336,015.52","45,954,809.77","54,696,135.06","50,942,648.50"
期初现金及现金等价物余额,"60,564,294.21","99,723,916.66","187,690,783.98","242,761,858.23","242,761,858.23","242,761,858.23","242,761,858.23","696,214,514.19","696,214,514.19","696,365,155.94","696,214,514.19","1,473,475,430.93","1,473,475,430.93","1,473,471,201.85"
投资支付的现金,,,,,,,"150,000,000.00","137,200,000.00","369,400,000.00","485,000,000.00","742,657,460.00","759,342,540.00","1,534,342,540.00","1,774,342,540.00"
期末现金及现金等价物余额,"99,723,916.66","187,690,783.98","242,761,858.23","211,854,256.51","862,388,700.67","962,678,477.44","696,214,514.19","861,709,750.31","744,975,613.80","776,838,958.21","1,473,475,430.93","1,017,036,640.71","973,590,876.91","1,128,708,692.71"
