科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他非流动负债,,,,"8,620,000.00","10,474,300.00","10,474,300.00","10,286,900.00","10,193,200.00","11,211,000.00","11,088,800.00","10,966,600.00","19,863,900.00","19,905,200.00","23,036,500.00","28,187,800.00","39,895,100.00","39,419,775.00","39,582,450.00","39,966,125.00","40,259,800.00","41,355,675.00","39,981,550.00","38,796,425.02","38,692,042.50","41,047,500.01","39,732,725.02","38,417,950.03","45,725,375.00","46,671,625.00","45,298,875.01","43,926,125.02",,,,,,,,,,,,,,
工程物资,"3,189,888.00","3,189,888.00","3,189,888.00",,,,,,,,,,,,,,,,,"36,761.56","18,509.36","16,780.58","15,311.84",,,,"10,584.14",,,,,,"2,439.33","6,224.08","91,555.86","80,444.75","80,444.75","87,145.60","87,145.60","87,145.60","87,145.60","79,453.30","78,598.60","73,470.40","71,761.00"
非流动负债合计,"75,212,297.78","66,642,067.35","69,850,992.58","62,406,949.44","62,278,957.27","55,217,095.12","52,383,636.94","33,616,468.66","36,587,658.66","36,595,471.17","35,819,973.17","28,530,047.96","130,621,091.96","132,769,618.96","139,860,804.46","149,349,919.42","148,356,862.33","146,723,848.33","140,340,539.48","135,673,201.38","118,355,675.00","81,601,005.00","81,228,178.02","77,101,891.00","79,051,043.76","65,043,391.27","63,417,950.03","69,725,375.00","46,671,625.00","45,298,875.01","43,926,125.02","42,553,375.00","41,180,625.01","42,818,625.02","41,384,916.70","39,957,625.04","41,053,556.71","39,564,126.71","69,783,277.08","58,659,399.71","52,096,310.02","46,344,146.77","40,727,125.57","36,624,835.28","41,857,347.05"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"403,559,604.96","420,049,379.28","437,256,182.68","413,441,875.50","401,319,666.16","449,215,282.83","460,555,665.37","399,848,531.05","367,225,571.18","418,608,127.87","418,286,309.63","458,227,313.21","634,231,444.43","665,718,654.88","726,185,018.00","732,351,175.73","733,547,538.41","930,309,761.60","1,021,845,639.51","1,015,924,617.04","1,011,337,305.77","1,028,218,082.63","975,740,482.91","932,785,660.51","911,557,255.33","937,053,893.95","910,139,291.15","861,427,569.76","825,638,194.29","822,917,773.70","834,329,096.10","810,966,810.34","714,760,256.56","768,765,486.76","788,656,482.75","725,809,652.73","757,748,420.84","736,045,456.51","791,356,007.28","833,813,382.10","822,587,417.63","909,060,077.75","894,298,072.60","858,718,611.12","820,882,831.30"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"97,100,000.00","97,100,000.00","97,100,000.00","97,100,000.00","97,100,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","194,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00","206,200,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"292,430,667.34","291,983,065.71","300,901,354.32","298,319,275.55","292,366,576.36","198,368,926.36","190,437,376.36","189,650,839.50","200,720,049.50","201,373,956.99","197,671,934.99","218,741,794.85","230,696,245.85","225,309,778.85","236,122,475.85","222,926,284.06","218,712,664.06","208,256,644.06","187,275,844.16","183,140,600.80","170,366,748.71","170,366,748.71","170,366,748.71","170,366,748.71","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35","244,446,371.35"
无形资产,"1,322,151.82","1,317,926.61","2,686,683.94","3,355,331.95","4,638,631.73","4,587,881.51","4,550,881.29","106,532,864.78","103,309,348.14","102,860,567.60","80,979,783.31","80,511,825.26","80,048,000.59","79,580,172.33","79,023,844.25","78,751,833.34","78,309,813.27","77,835,515.14","77,401,259.73","116,703,618.49","116,235,818.41","115,562,651.87","114,744,957.17","114,385,977.81","113,304,431.47","113,039,895.23","112,455,743.25","111,781,167.31","111,105,256.89","110,880,486.76","110,184,988.82","109,501,128.70","108,809,189.92","108,117,251.14","107,425,312.36","106,818,656.58","106,142,112.60","106,062,857.55","105,541,729.20","104,507,788.45","104,187,911.08","103,486,579.86","103,447,773.75","102,967,760.32","102,904,322.76"
