科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"667,448,693.81","657,210,758.93","695,656,910.34","359,930,452.47","777,942,284.98","217,270,255.14","442,481,614.75","695,356,056.08","975,893,455.50","280,909,771.93","561,530,490.33","877,763,926.04","1,187,993,777.81","289,489,556.73","594,856,191.47","931,048,457.12","1,307,629,975.98","372,156,445.85","765,449,837.22","1,185,964,926.50"
取得借款收到的现金,"492,297,026.96","846,282,103.83","764,648,244.96","1,150,905,315.35","2,184,547,929.75","550,929,580.87","1,597,163,517.23","2,491,134,587.76","2,812,716,935.56","673,388,365.34","1,574,721,782.93","2,418,317,037.93","2,521,574,537.93","789,369,938.00","991,540,691.81","1,231,617,495.54","1,231,617,495.54","371,096,594.80","556,206,760.04","690,360,697.24"
支付的各项税费,"77,485,313.55","117,379,522.60","166,100,321.47","69,353,951.78","155,338,340.19","45,415,646.56","86,186,944.83","130,553,494.49","181,820,712.78","46,565,829.96","90,236,535.21","145,276,528.62","200,993,188.52","53,317,473.25","106,901,187.54","162,190,976.62","237,156,025.95","75,597,828.02","146,730,061.16","211,464,254.74"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"290,399,661.84","266,698,260.07","280,549,572.20","150,601,706.02","321,471,184.43","100,662,867.65","191,900,292.57","276,892,460.73","373,579,133.66","92,885,476.14","201,879,296.79","308,660,553.63","411,110,732.08","90,803,411.04","216,079,360.74","346,428,113.00","485,786,307.52","87,674,433.36","153,272,828.72","295,683,604.41"
筹资活动现金流入小计,"492,542,026.96","846,282,103.83","764,648,244.96","1,150,905,315.35","2,184,547,929.75","1,300,049,580.87","2,346,283,517.23","3,242,704,587.76","3,564,286,935.56","673,388,365.34","1,574,721,782.93","2,418,317,037.93","2,527,344,537.93","789,369,938.00","991,540,691.81","1,231,617,495.54","1,231,617,495.54","1,262,271,232.10","1,447,381,397.34","1,581,535,334.54"
经营活动现金流出小计,"4,461,686,101.71","4,960,718,644.04","5,027,541,306.57","2,216,188,241.52","4,927,258,953.48","1,399,655,171.16","2,679,332,716.48","4,133,380,932.53","5,696,749,114.97","1,605,005,332.92","2,967,943,329.97","4,601,697,524.90","6,122,564,564.80","1,705,918,720.42","3,020,924,644.63","4,701,839,645.94","6,714,246,545.56","2,114,483,890.46","3,767,774,896.54","5,894,953,488.97"
偿还债务支付的现金,"396,472,888.50","817,700,668.73","823,510,340.95","730,728,441.62","2,236,885,669.21","128,203,294.46","902,218,711.44","1,993,939,466.27","2,815,390,992.05","193,488,789.23","1,001,274,468.80","2,174,874,223.54","2,681,205,481.58","97,548,000.00","626,713,948.92","963,879,318.27","1,345,561,164.51","68,556,000.00","472,574,646.65","556,279,025.04"
经营活动产生的现金流量净额,"220,616,042.60","375,128,612.37","341,133,121.97","189,561,392.87","565,484,740.00","-199,850,348.73","-169,042,316.07","44,712,362.18","215,007,158.08","-26,026,069.34","168,757,205.67","574,114,935.33","761,630,447.84","-83,463,577.73","346,206,518.80","669,867,230.99","956,010,825.75","-185,777,165.13","229,046,548.94","437,857,703.09"
分配股利、利润或偿还利息支付的现金,"66,217,443.38","65,505,239.08","71,159,539.95","60,631,486.75","71,970,820.70","2,119,530.52","53,594,700.43","99,617,476.63","105,044,035.90","989,830.99","113,822,224.09","115,407,482.06","116,294,732.11","360,721.28","103,671,843.00","134,972,686.11","136,815,937.37","114,567.95","195,800,042.94","289,348,355.16"
收回投资收到的现金,"111,970,000.00","54,500,000.00","31,000,000.00","411,000,000.00","1,399,000,000.00","60,000,000.00","542,327,866.70","938,519,254.94","1,151,000,000.00","80,000,000.00","558,600,000.00","1,068,600,000.00","1,548,600,000.00","230,000,000.00","535,000,000.00","1,223,000,000.00","2,049,700,000.00","340,000,000.00","840,000,000.00","870,000,000.00"
支付其他与筹资活动有关的现金,,,,,"1,200,000.00","7,341,469.22","7,518,917.65","7,518,917.65","7,518,917.65",,,,,,"1,660,000.00","1,604,831.40","1,514,084.70","51,119.80","3,045,111.98","3,045,111.98"
取得投资收益收到的现金,"421,072.75","12,472,590.47","2,595,070.93","1,648,081.12","29,008,107.79","11,126,026.96","13,745,020.90","19,941,668.60","32,142,009.35","252,554.46","11,292,129.61","12,610,400.59","14,296,856.89","4,144,314.46","6,861,082.95","5,302,100.23","13,705,452.98","3,450,879.38","11,684,136.60","12,049,698.25"
筹资活动现金流出小计,"462,690,331.88","883,205,907.81","894,669,880.90","791,359,928.37","2,310,056,489.91","137,664,294.20","963,332,329.52","2,101,075,860.55","2,927,953,945.60","194,478,620.22","1,115,096,692.89","2,290,281,705.60","2,797,500,213.69","97,908,721.28","732,045,791.92","1,100,456,835.78","1,483,891,186.58","68,721,687.75","671,419,801.57","848,672,492.18"
处置固定资产、无形资产和其他长期资产收回的现金净额,"972,026.43","163,572.82","-37,296.72","2,230,800.00","4,966,042.70","1,721,392.00","5,067,523.50","6,204,948.50","6,413,849.50","1,551,628.00","3,517,508.00","4,403,552.00","5,500,593.64","766,750.00","2,030,137.00","3,903,064.65","4,466,664.65","839,918.00","2,422,218.00","6,775,090.68"
筹资活动产生的现金流量净额,"29,851,695.08","-36,923,803.98","-130,021,635.94","359,545,386.98","-125,508,560.16","1,162,385,286.67","1,382,951,187.71","1,141,628,727.21","636,332,989.96","478,909,745.12","459,625,090.04","128,035,332.33","-270,155,675.76","691,461,216.72","259,494,899.89","131,160,659.76","-252,273,691.04","1,193,549,544.35","775,961,595.77","732,862,842.36"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-16,135,599.54","-12,222,850.69","-9,116,847.15","-23,396,194.55","-40,931,619.10","-742,685.93","10,286,888.13","28,691,781.02","22,191,262.10","14,834,882.59","37,460,432.76","56,073,419.90","58,701,666.51","-7,150,918.70","12,589,753.51","44,063,799.70","84,546,671.69","-6,423,032.88","-14,636,369.14","-44,387,515.69"
收到其他与投资活动有关的现金,,"1,600,711.58",,,,,,,,,"5,216,806.22","5,281,836.49","37,216,806.22",,,,,,"5,002,634.30","5,002,634.30"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"113,363,099.18","68,736,874.87","33,557,774.21","414,878,881.12","1,432,974,150.49","72,847,418.96","561,140,411.10","964,665,872.04","1,189,555,858.85","81,804,182.46","578,626,443.83","1,090,895,789.08","1,605,614,256.75","234,911,064.46","543,891,219.95","1,232,205,164.88","2,067,872,117.63","344,290,797.38","859,108,988.90","893,827,423.23"
五、现金及现金等价物净增加额,"-54,599,555.84","-20,678,796.08","-33,249,778.10","8,396,732.62","85,460,352.26","38,819,582.44","155,240,677.36","289,495,308.73","459,144,942.84","1,433,709.83","122,391,895.99","12,390,146.56","126,745,101.09","2,977,233.15","-157,443,907.97","-20,357,627.44","-206,785,421.83","1,213,748,250.92","1,590,900,608.89","1,513,383,265.91"
购建固定资产、无形资产和其他长期资产支付的现金,"312,604,793.16","319,699,851.11","258,802,191.19","96,192,733.80","287,558,358.97","74,777,052.53","164,088,802.48","249,521,678.78","315,942,326.15","61,689,031.00","197,757,276.31","265,409,330.08","361,089,622.29","87,061,083.50","178,594,984.48","280,023,982.93","415,240,525.74","91,721,892.80","198,410,155.58","339,007,187.08"
期初现金及现金等价物余额,"342,065,439.80","287,465,883.96","266,787,087.88","233,537,309.78","233,537,309.78","318,997,662.04","318,997,662.04","318,997,662.04","318,997,662.04","778,142,604.88","778,142,604.88","778,142,604.88","778,142,604.88","904,887,705.97","904,887,705.97","904,887,705.97","904,887,705.97","703,104,918.44","698,102,284.14","698,102,284.14"
投资支付的现金,"89,690,000.00","95,697,777.54","10,000,000.00","836,000,000.00","1,459,000,000.00","921,043,036.00","1,434,006,691.03","1,608,681,754.94","1,256,000,000.00","472,000,000.00","924,320,000.00","1,572,141,334.60","1,666,320,000.00","735,000,000.00","1,121,700,000.00","1,809,700,000.00","2,639,700,000.00","40,170,000.00","60,170,000.00","167,770,000.00"
期末现金及现金等价物余额,"287,465,883.96","266,787,087.88","233,537,309.78","241,934,042.40","318,997,662.04","357,817,244.48","474,238,339.40","608,492,970.77","778,142,604.88","779,576,314.71","900,534,500.87","790,532,751.44","904,887,705.97","907,864,939.12","747,443,798.00","884,530,078.53","698,102,284.14","1,916,853,169.36","2,289,002,893.03","2,211,485,550.05"
