科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月
支付给职工以及为职工支付的现金,"22,375,269.56","35,938,659.32","52,164,178.59","68,353,715.71","22,101,402.93","46,993,295.13","64,171,609.79","80,116,234.35","17,490,938.95","44,267,147.82","62,862,136.85","85,733,626.86","22,116,183.34","42,821,130.52","68,527,609.81","90,924,445.63","23,593,893.34","49,274,832.56","78,057,163.58","105,797,911.91","24,832,915.45","56,210,562.55","88,473,710.73","122,562,561.07","31,501,323.62","78,288,704.06","116,866,302.75","157,601,912.72","42,427,188.12","99,308,233.11","142,915,961.19","192,410,395.57","52,139,209.15","103,374,936.14","179,642,392.51","242,267,217.81","64,933,010.56","149,395,492.79","216,694,453.54"
取得借款收到的现金,,"67,000,000.00","67,000,000.00","138,770,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00",,,"12,000,000.00",,,,,"22,292,692.00","13,000,000.00","36,276,221.23","119,276,221.23","169,747,642.04","4,900,000.00","9,400,000.00","109,147,013.50","217,247,013.50","34,900,000.00","139,400,000.00","258,900,000.00","402,000,000.00","134,900,000.00","139,400,000.00","243,900,000.00","248,000,000.00","54,900,000.00","59,400,000.00","63,900,000.00","279,200,000.00","112,000,000.00","312,000,000.00","312,000,000.00"
支付的各项税费,"11,651,441.47","24,149,219.22","31,176,381.96","46,007,958.99","5,947,677.28","11,941,032.41","17,027,025.13","48,483,305.79","6,175,902.74","10,024,825.41","17,871,410.10","23,421,797.72","12,600,387.67","19,081,050.37","64,670,963.26","67,583,763.98","16,619,437.74","23,656,208.03","33,703,373.51","49,270,320.46","27,900,303.65","42,503,530.25","62,404,054.61","72,335,648.11","13,923,268.10","33,358,738.88","50,229,670.72","67,766,146.60","19,616,702.60","44,131,011.86","59,664,238.97","77,257,975.57","36,689,931.05","65,384,214.97","95,054,881.09","110,412,223.67","50,176,097.76","74,855,037.72","92,512,895.15"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,"4,912,967.53","10,063,125.75","10,063,125.75",,"6,055,813.17","1,753,978.49","5,667,860.78",,,,"9,940,750.00","30,000,000.00",,"170,000,000.00","170,009,360.67","9,360.67",,,,,,,
支付其他与经营活动有关的现金,"22,783,476.41","43,048,344.62","91,829,048.76","131,427,341.10","26,442,338.74","44,927,797.52","66,466,983.98","80,639,243.13","21,233,420.74","44,308,687.73","74,799,060.66","87,668,191.64","23,548,833.32","56,389,644.06","97,690,809.48","83,197,528.58","34,852,200.74","64,923,494.21","113,713,393.91","90,009,851.24","51,211,312.26","104,791,991.65","134,862,563.09","145,339,983.67","40,856,768.01","109,472,769.00","178,272,447.58","222,483,929.61","46,282,607.01","134,745,354.25","201,851,269.00","243,000,018.68","75,004,509.21","124,645,157.12","240,748,793.93","247,852,638.94","78,138,436.68","145,736,261.84","196,241,430.03"
筹资活动现金流入小计,,"67,000,000.00","67,000,000.00","138,770,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00","1,000,000.00","1,000,000.00","13,000,000.00","92,500,000.00",,,,"22,292,692.00","17,912,967.53","46,339,346.98","129,339,346.98","169,747,642.04","10,955,813.17","11,153,978.49","114,814,874.28","217,247,013.50","34,900,000.00","139,400,000.00","268,840,750.00","432,000,000.00","134,900,000.00","309,400,000.00","413,909,360.67","1,227,609,336.87","54,900,000.00","59,400,000.00","63,900,000.00","279,200,000.00","112,000,000.00","312,000,000.00","312,000,000.00"
经营活动现金流出小计,"130,825,808.40","211,238,863.29","463,365,230.75","830,306,279.20","190,266,425.12","369,858,967.44","520,078,172.51","886,227,814.70","126,563,802.36","307,901,473.43","666,197,276.46","1,214,462,418.27","216,386,036.84","468,330,511.36","783,350,758.02","1,069,359,067.21","245,558,914.52","486,362,398.48","839,610,717.65","1,205,017,606.83","354,495,993.86","693,253,040.20","1,146,879,353.46","1,712,991,515.45","376,505,524.52","732,178,812.24","1,107,843,337.61","1,778,159,374.47","448,335,690.03","898,675,885.19","1,296,143,357.61","1,780,511,248.83","509,943,312.30","1,048,873,893.94","1,617,182,144.26","2,092,337,067.67","565,719,038.52","1,119,482,400.51","1,567,436,912.70"
偿还债务支付的现金,"4,750,000.00","26,750,000.00","28,510,000.00","88,520,000.00","77,000,000.00","107,000,000.00","107,000,000.00","115,000,000.00","3,770,000.00","3,770,000.00","15,770,000.00","15,770,000.00",,,,"4,959,072.00",,"3,933,840.00","3,933,840.00","32,234,436.04","9,846,826.00","9,846,826.00","54,846,826.00","165,093,839.50","4,900,000.00","9,400,000.00","28,900,000.00","137,000,000.00","4,900,000.00","9,400,000.00","128,900,000.00","187,000,000.00","34,900,000.00","239,400,000.00","323,900,000.00","467,900,000.00","200,000,000.00","450,000,000.00","480,000,000.00"
经营活动产生的现金流量净额,"-61,479,576.70","-63,300,187.06","-117,262,676.17","-30,329,049.50","17,998,980.56","52,062,625.70","182,333,488.39","111,819,347.88","-37,349,090.64","-50,661,876.43","-115,538,816.00","53,109,246.32","-79,890,410.55","-113,546,709.40","-185,273,419.64","40,881,071.34","-159,077,214.24","-161,893,634.37","-211,168,399.99","150,135,955.15","-230,443,041.96","-273,661,447.56","-283,948,052.13","39,171,742.17","-191,312,135.93","-300,564,451.34","-347,074,656.76","-57,905,207.27","-218,774,465.50","-327,298,367.29","-353,058,157.89","186,329,792.64","-210,681,929.77","-329,043,694.73","-324,074,484.55","192,407,909.67","-363,020,565.54","-514,794,883.57","-443,417,293.06"
分配股利、利润或偿还利息支付的现金,"1,167,653.31","4,448,516.25","6,503,429.12","10,161,181.86","2,051,431.60","27,991,863.15","29,948,642.12","30,583,757.41","328,653.62","19,794,371.61","23,862,072.80","25,427,096.47","379,448.73","73,626,106.89","75,641,394.37","78,439,150.67","143,959.32","17,755,273.98","18,915,861.95","23,101,573.46","3,097,959.23","24,275,778.60","26,423,718.62","31,258,803.20","4,816,108.17","27,800,838.07","33,891,911.66","43,005,811.43","9,703,571.65","46,814,693.56","57,054,184.40","67,416,955.43","11,109,180.32","49,053,985.93","53,705,607.50","54,501,257.72","2,406,879.46","43,923,827.15","44,702,686.67"
收回投资收到的现金,"1,664,500.00","1,664,500.00","1,664,500.00","1,664,500.00",,,,,,,,"350,701,500.00","19,720,600.00","19,720,600.00","19,720,600.00","39,441,200.00",,,,,,"10,000,000.00","44,000,000.00",,"10,000,000.00",,"86,691,794.00","163,967,864.69",,"11,127,764.10","69,853,322.58","85,853,321.58",,"45,000,000.00","240,008,054.79","182,460,073.96","63,161,622.15","273,578,104.28","440,822,115.24"
支付其他与筹资活动有关的现金,"96,591.00",,,,,,,,,,,,,,,"15,887,981.88",,"1,027,497.76","12,822,295.67","5,415,449.26",,"2,732,933.05","7,657,003.82","2,541,933.58","122,500.00","235,000.00","547,500.00","1,796,002.50","122,500.00","235,000.00","347,500.00","58,555,452.00","563,947.20","477,788.38","590,288.38","53,018,707.52",,,
取得投资收益收到的现金,"208,062.50","10,208,062.50","17,208,062.50","17,208,062.50","32,000,000.00","32,000,000.00","32,000,000.00","32,000,000.00",,,"19,867,182.09","16,000,000.00",,"22,000,000.00","22,000,000.00","22,028,262.45",,"11,000,000.00","11,000,000.00","11,001,704.05",,"14,344,876.80","14,517,945.33","15,470,452.31","57,534.00","14,982,246.30","15,738,863.01","14,300,000.00","517,663.05","14,300,000.00","14,300,000.00","14,300,000.00",,"21,697,041.10","23,519,068.48","35,750,000.00",,"43,050,000.00","43,050,000.00"
筹资活动现金流出小计,"6,014,244.31","31,198,516.25","35,013,429.12","98,681,181.86","79,051,431.60","134,991,863.15","136,948,642.12","145,583,757.41","4,098,653.62","23,564,371.61","39,632,072.80","41,197,096.47","379,448.73","73,626,106.89","75,641,394.37","99,286,204.55","143,959.32","22,716,611.74","35,671,997.62","60,751,458.76","12,944,785.23","36,855,537.65","88,927,548.44","198,894,576.28","9,838,608.17","37,435,838.07","63,339,411.66","181,801,813.93","14,726,071.65","56,449,693.56","186,301,684.40","312,972,407.43","46,573,127.52","288,931,774.31","378,195,895.88","575,419,965.24","202,406,879.46","493,923,827.15","524,702,686.67"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,219.48","110,853,447.51","111,048,747.51","21,039.00","15,613,212.62","17,281,557.33","39,482,652.39","8,000.00","50,880.00","54,235.20","623,289.89","1,900.00","253,540.00","317,949.54","321,909.54",,,"801,958.60","899,898.60","17,000.00","34,216.08","36,046.08","127,371.13","6,200.00","6,200.00","11,950.00","16,869,935.38",626.00,626.00,"46,926.00","55,666,994.54","49,996,185.70","96,805,788.70","108,231,683.00","260,329,333.73","11,315,658.00","14,478,648.00","19,041,938.12"
筹资活动产生的现金流量净额,"-6,014,244.31","35,801,483.75","31,986,570.88","40,088,818.14","-67,051,431.60","-122,991,863.15","-124,948,642.12","-133,583,757.41","-3,098,653.62","-22,564,371.61","-26,632,072.80","51,302,903.53","-379,448.73","-73,626,106.89","-75,641,394.37","-76,993,512.55","17,769,008.21","23,622,735.24","93,667,349.36","108,996,183.28","-1,988,972.06","-25,701,559.16","25,887,325.84","18,352,437.22","25,061,391.83","101,964,161.93","205,501,338.34","250,198,186.07","120,173,928.35","252,950,306.44","227,607,676.27","914,636,929.44","8,326,872.48","-229,531,774.31","-314,295,895.88","-296,219,965.24","-90,406,879.46","-181,923,827.15","-212,702,686.67"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,206.99,206.99,,,,,,,,,,,,,,"1,347,952.35","1,347,952.35","1,397,953.35"
四、汇率变动对现金的影响,,,,,,,,"-128,018.21",,,,"-113,816.49",,"-98,189.38","-11,795.15","511,553.19","175,875.72","192,839.26","446,815.31","274,743.64","-79,244.68","-158,487.29","-268,644.71","78,724.87","96,795.42","314,282.06","431,128.32","297,944.89","-161,563.41","-212,337.22","-579,130.20","-706,566.29","-243,560.58","-251,747.15","-275,365.80","98,434.79","56,587.60","16,335.16","87,974.28"
收到其他与投资活动有关的现金,,,,,,,,"158,560,800.00",,,,,"36,428,434.00","78,268,434.00","82,048,434.00","92,048,434.00",,,"770,770.00","770,700.00",,,,,,,,"13,000,000.00",,"45,000,000.00","45,056,449.21","45,000,000.00",,,,"39,604,727.80",,"5,700,000.00","5,700,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,872,562.50","11,873,781.98","129,726,010.01","129,921,310.01","32,021,039.00","47,613,212.62","49,281,557.33","230,043,452.39","8,000.00","50,880.00","19,921,417.29","367,324,789.89","56,150,934.00","120,242,574.00","124,086,983.54","153,839,805.99",,"11,000,000.00","12,572,728.60","12,672,302.65","17,000.00","24,379,299.87","58,554,198.40","15,597,823.44","10,063,734.00","14,988,446.30","102,442,607.01","208,137,800.07","518,289.05","70,428,390.10","129,256,697.79","200,820,316.12","49,996,185.70","163,502,829.80","371,758,806.27","518,144,135.49","75,825,232.50","338,154,704.63","510,012,006.71"
五、现金及现金等价物净增加额,"-71,142,706.57","-117,460,162.99","-75,777,784.68","1,851,940.36","-41,209,783.17","-64,685,110.40","55,041,239.48","146,267,482.13","-49,892,971.51","-148,815,869.44","-205,017,953.50","314,570,885.26","-27,027,743.54","-114,904,849.73","-224,017,680.80","-13,751,248.93","-165,080,508.81","-195,910,898.01","-226,462,881.08","-41,207,758.92","-242,672,213.08","-344,747,305.94","-325,704,457.82","11,491,554.37","-266,666,508.47","-380,547,843.55","-319,192,039.73","-15,295,287.38","-219,583,471.25","-175,232,718.21","-227,500,250.47","960,003,309.81","-185,066,818.15","-553,206,223.56","-760,590,778.97","45,543,486.65","-698,062,864.26","-948,480,693.64","-816,023,866.38"
购建固定资产、无形资产和其他长期资产支付的现金,"5,321,448.06","33,635,241.66","37,512,391.92","53,923,782.82","16,055,807.98","33,025,797.39","43,281,875.94","53,540,254.34","9,453,227.25","17,140,501.40","24,268,481.99","157,052,237.99","2,908,818.26","47,876,418.06","85,418,055.18","112,319,562.01","23,948,178.50","68,725,998.78","121,874,535.00","164,786,943.64","9,082,687.47","13,463,178.22","39,787,351.64","61,709,173.33","70,576,293.79","157,250,282.50","213,492,456.64","341,524,011.14","51,339,659.74","103,100,710.24","162,727,336.44","256,812,400.67","32,464,385.98","69,881,837.17","120,188,032.20","170,887,028.06","20,517,239.36","49,920,022.71","75,972,867.64"
期初现金及现金等价物余额,"273,016,021.81","273,014,673.81","273,014,673.81","273,014,673.81","274,866,614.17","274,866,614.17","274,866,614.17","274,866,614.17","421,134,096.30","421,134,096.30","421,134,096.30","421,134,096.30","735,704,981.56","735,704,981.56","735,704,981.56","735,704,981.56","721,953,732.63","721,953,732.63","721,953,732.63","721,953,732.63","680,745,973.71","680,745,973.71","680,745,973.71","680,745,973.71","692,237,528.08","692,237,528.08","692,237,528.08","692,237,528.08","676,942,240.70","676,942,240.70","676,942,240.70","676,942,240.70","1,636,945,550.51","1,636,945,550.51","1,636,945,550.51","1,636,945,550.51","1,682,489,037.16","1,682,489,037.16","1,682,489,037.16"
投资支付的现金,"200,000.00","68,200,000.00","82,715,297.48",,,,,,,,"58,500,000.00",,,,,,,,,"148,500,000.00","800,000.00","55,846,666.67","85,846,666.67",,"40,000,000.00","40,000,000.00","67,000,000.00","74,500,000.00","70,000,000.00","68,000,000.00","68,000,000.00","84,000,000.00",,"88,000,000.00","373,515,806.81","198,000,000.00","300,000,000.00","540,013,000.00","594,031,000.00"
期末现金及现金等价物余额,"201,873,315.24","155,554,510.82","197,236,889.13","274,866,614.17","233,656,831.00","210,181,503.77","329,907,853.65","421,134,096.30","371,241,124.79","272,318,226.86","216,116,142.80","735,704,981.56","708,677,238.02","620,800,131.83","511,687,300.76","721,953,732.63","556,873,223.82","526,042,834.62","495,490,851.55","680,745,973.71","438,073,760.63","335,998,667.77","355,041,515.89","692,237,528.08","425,571,019.61","311,689,684.53","373,045,488.35","676,942,240.70","457,358,769.45","501,709,522.49","449,441,990.23","1,636,945,550.51","1,451,878,732.36","1,083,739,326.95","876,354,771.54","1,682,489,037.16","984,426,172.90","734,008,343.52","866,465,170.78"
