科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收回投资收到的现金,,,,"4,643,990.29","10,103,280.00","16,375,909.27","4,996,554.48","70,098,171.88","305,645,417.23","179,800,791.19","723,182,969.90","777,140,501.63","7,965,032.40","140,633,566.63","305,010,964.51","71,742,722.65","67,072,286.20","167,841,874.64","145,741,782.44","124,149,411.97",,"2,148,091.78","5,010,259.28","33,183,695.25",,,,"72,514,858.35","841,000.00","2,042,721.02","60,610,330.62","63,256,270.19","230,209,992.36","591,163,653.46","657,223,246.74","92,349,163.68","218,188,461.90","447,683,050.16","452,513,423.92","241,641,385.37","342,575,227.84","352,040,324.94","505,987,239.32","321,126,561.56"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"20,000,000.00","25,340,000.00","30,740,000.00","30,740,000.00","35,664,000.00","3,000,000.00","50,972,934.24","70,274,438.86","77,717,841.64","35,666,666.66",,,"113,491,658.36",,,,"600,000,000.00","10,000,000.00",,,"201,000,000.00",,,,"190,516,288.87",,,,"255,733,907.16"
取得投资收益收到的现金,,,,"102,800.00",,,"16,295,979.27","16,226,480.00","11,432,519.68","14,604,984.99","11,801,924.08","11,792,516.08","2,430,000.00","2,668,809.00","2,246,673.70","2,430,000.00","2,700,000.00","6,380,936.60","6,380,936.60","6,592,114.62","67,022.99","4,791,820.07","4,824,646.48","5,648,160.00","1,272,993.24","9,138,638.88","11,656,088.82","19,506,098.82","200,000.00","16,140,278.63","28,242,182.15","30,969,369.11","3,244,229.39","11,918,949.79","21,797,678.58","33,870,666.60","3,800,000.00","57,543,881.55","28,969,194.18","24,049,666.18",,"3,704,000.00","13,748,472.08","14,381,154.93"
筹资活动现金流出小计,"10,412,971.66","420,359,484.14","80,012,409.11","917,673,117.17","223,623,863.83","554,206,561.69","251,030,521.51","1,259,962,108.91","64,395,728.15","1,119,915,039.33","1,527,764,403.42","1,940,218,049.75","142,341,200.95","410,783,170.30","572,924,096.03","823,302,869.27","422,426,723.83","1,131,358,518.38","1,308,068,276.74","1,543,429,207.69","540,516,613.60","1,297,936,364.03","1,734,930,824.68","2,442,914,161.31","870,947,161.30","1,625,845,821.87","2,508,201,217.26","3,276,949,649.73","451,739,111.35","1,751,019,827.69","2,365,776,435.64","2,774,077,669.62","1,025,748,366.88","1,849,724,212.23","1,962,929,245.76","3,604,929,064.96","1,155,127,831.79","1,924,086,713.83","2,266,517,754.88","4,161,237,311.00","1,359,910,299.96","1,970,242,814.95","3,200,497,836.59","4,312,053,554.80"
处置固定资产、无形资产和其他长期资产收回的现金净额,"182,895.00","1,071,321.86","1,906,948.02","17,574,437.15","1,423,010.62","2,595,636.70","2,042,162.42","29,522,465.28","10,319,343.74","10,254,218.59","18,118,250.72","47,159,018.39","900,334.34","2,640,682.33","7,379,111.50","70,006,018.60","1,664,548.50","6,478,394.70","9,209,218.05","84,818,819.74","1,940,614.00","3,616,046.00","5,246,232.00","34,468,030.13","1,723,151.40","4,518,676.00","8,877,896.60","71,846,431.80","3,939,927.00","5,004,499.35","5,956,841.35","28,402,380.82","17,699,994.00","3,506,485.50","4,818,867.57","36,422,310.24","3,001,397.28","9,439,924.08","4,804,789.08","24,988,078.54","635,248.04","2,132,497.54","4,197,701.94","74,280,309.35"
筹资活动产生的现金流量净额,"125,038,155.12","-66,811,103.14","147,535,971.89","77,816,882.83","116,376,136.17","835,032,058.71","629,770,914.37","633,423,681.49","390,604,271.85","-89,915,039.33","-218,614,403.42","-319,423,160.51","171,658,799.05","360,216,829.70","272,075,903.97","424,537,019.77","11,573,276.17","137,641,481.62","274,931,723.26","1,042,450,792.31","247,483,386.40","673,063,635.97","430,069,175.32","703,705,838.69","-239,947,161.30","-336,038,411.05","-903,679,433.17","-1,420,949,649.73","378,260,888.65","551,475,405.86","158,718,797.91","85,654,843.24","100,129,104.91","293,002,646.02","265,579,708.59","340,998,368.03","329,592,456.13","432,950,861.29","587,723,136.45","256,100,459.11","209,886,331.33","139,009,354.84","137,777,067.34","-294,796,711.43"
处置子公司及其他营业单位收到的现金净额,,"3,006,390.29","3,006,390.29",,,,,"42,434,636.13",,,,,,,,"2,504,096.31",,,,,,,,,"450,000,000.00","579,821,021.98","1,394,821,021.98","719,320,626.39",,,,,,,,"10,759,402.58",,,,"110,389,175.39",,,,
四、汇率变动对现金的影响,"-24,565.66","-388,155.97","-386,184.34","-114,416.60","-22,689.97","-731,842.27","-737,583.05","-769,154.09","-59,612.62","-62,372.97","-54,136.70","-64,639.25",,"-35,437.29","-36,382.68","-29,418.87","-9,269.64","63,161.86","-4,043.94","-68,620.87","-17,777.88","-17,599.92","-16,135.92","-113,292.44","-22,074.00","-62,588.04","-86,267.64","-139,895.30",265.20,"42,576.43","24,462.47","13,539.14",509.96,"-4,503.22","712,853.00",-539.03,0.29,"-6,745.81","-6,644.03","112,592.32","-38,885.59","-62,717.63","-139,062.98","-205,752.29"
收到其他与投资活动有关的现金,,,,"80,954,276.79",,,,,,"68,026,447.91","68,026,447.91","168,528,404.84",,"61,650,000.00",,"102,905,819.45",,"1,500,000.00","2,600,000.00","13,020,000.00",,,,"6,550,000.00",,,,"899,220,094.44",,,,"49,200,075.10",,,,"45,757,800.00",,,,"166,225,220.00","517,509,195.72","937,704,195.44","937,704,195.44","1,196,547,191.20"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"182,895.00","4,077,712.15","4,913,338.31","103,275,504.23","11,526,290.62","18,971,545.97","23,334,696.17","158,281,753.29","327,397,280.65","272,686,442.68","821,129,592.61","1,004,620,440.94","11,295,366.74","207,593,057.96","314,636,749.71","249,588,657.01","71,436,834.70","182,201,205.94","163,931,937.09","228,580,346.33","2,007,636.99","10,555,957.85","15,081,137.76","79,849,885.38","452,996,144.64","593,478,336.86","1,415,355,007.40","1,782,408,109.80","4,980,927.00","23,187,499.00","94,809,354.12","171,828,095.22","251,154,215.75","606,589,088.75","683,839,792.89","219,159,343.10","224,989,859.18","514,666,855.79","486,287,407.18","567,293,525.48","860,719,671.60","1,295,581,017.92","1,461,637,608.78","1,606,335,217.04"
五、现金及现金等价物净增加额,"-5,842,462.22","-74,753,163.78","39,271,511.73","116,688,657.14","-62,453,825.09","694,607,657.56","388,721,341.28","437,351,284.23","119,465,228.49","-208,744,051.10","107,126,794.92","-87,943,920.00","-69,556,581.93","-7,135,210.38","-71,382,263.96","-149,476,825.28","55,487,713.86","198,343,624.69","29,894,462.92","205,183,024.47","146,239,019.31","804,544,205.07","23,726,294.99","22,856,143.48","12,790,390.13","-173,311,395.00","-104,713,909.93","-204,923,952.62","416,266,184.30","97,550,914.68","38,362,989.36","-202,744,234.06","168,686,582.21","245,240,684.42","242,597,383.97","100,733,341.34","181,196,444.84","292,002,878.78","352,317,906.71","136,782,866.95","709,087,456.29","484,223,585.13","200,813,244.01","780,320,854.91"
购建固定资产、无形资产和其他长期资产支付的现金,"44,310,152.13","68,382,465.45","103,813,199.26","181,060,661.65","22,120,139.56","71,426,728.93","154,768,412.89","241,865,384.02","46,652,288.31","220,793,089.51","270,582,861.43","277,317,098.41","61,172,523.19","127,620,626.36","207,303,087.02","394,253,593.89","65,403,117.05","206,357,670.48","264,098,524.66","333,043,967.15","49,246,922.39","101,306,591.08","398,110,787.36","544,424,265.42","74,800,047.51","131,695,357.03","246,594,991.18","395,133,175.52","59,626,916.70","125,655,523.14","177,330,708.77","358,237,433.94","57,353,957.74","132,201,026.88","228,874,134.85","295,262,212.81","102,279,703.04","209,123,530.65","380,577,310.00","449,796,783.94","95,125,160.93","213,188,232.75","275,611,615.67","403,029,796.45"
期初现金及现金等价物余额,"405,156,356.53","322,154,396.47","322,154,396.47","322,154,396.47","498,843,053.61","498,843,053.61","498,843,053.61","438,843,053.61","947,896,366.36","947,896,366.36","947,896,366.36","876,194,337.84","805,832,417.84","788,250,417.84","788,250,417.84","788,250,417.84","638,773,592.56","638,773,592.56","638,773,592.56","638,773,592.56","843,956,617.03","843,956,617.03","843,956,617.03","843,956,617.03","866,812,760.51","866,812,760.51","866,812,760.51","866,812,760.51","661,888,807.89","661,888,807.89","661,888,807.89","661,888,807.89","459,144,573.83","459,144,573.83","459,144,573.83","459,144,573.83","559,877,915.17","559,877,915.17","559,877,915.17","559,877,915.17","696,660,782.12","696,660,782.12","696,660,782.12","696,660,782.12"
投资支付的现金,,"6,721,000.00","48,502,758.72","50,140,358.71","35,948,237.39","35,948,237.39","35,948,237.39","235,855,734.68","225,728,387.63",,"130,000,000.00","173,894,600.00","112,584,801.17","195,429,235.55","350,868,879.06","506,050,285.04","58,051,435.37","184,008,550.51","349,211,050.51","128,744,528.40","3,624,310.00","7,407,242.84","9,674,797.11","27,832,237.15","10,477,963.67","24,589,054.89","24,160,767.73","285,131,961.49","59,133,480.66","53,088,933.38","51,392,095.62","88,041,871.31","144,883,372.81","529,620,299.03","663,157,135.37","36,474,496.03","203,299,969.58","451,070,110.25","587,063,275.50","215,446,238.00","155,916,772.85","495,615,047.10","659,491,719.21","59,070,926.82"
期末现金及现金等价物余额,"399,313,894.31","247,401,232.69","361,425,908.20","438,843,053.61","436,389,228.52","1,193,450,711.17","887,564,394.89","876,194,337.84","1,067,361,594.85","739,152,315.26","1,055,023,161.28","788,250,417.84","736,275,835.91","781,115,207.46","716,868,153.88","638,773,592.56","694,261,306.42","837,117,217.25","668,668,055.48","843,956,617.03","990,195,636.34","1,648,500,822.10","867,682,912.02","866,812,760.51","879,603,150.64","693,501,365.51","762,098,850.58","661,888,807.89","1,078,154,992.19","759,439,722.57","700,251,797.25","459,144,573.83","627,831,156.04","704,385,258.25","701,741,957.80","559,877,915.17","741,074,360.01","851,880,793.95","912,195,821.88","696,660,782.12","1,405,748,238.41","1,180,884,367.25","897,474,026.13","1,476,981,637.03"
