科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与筹资活动有关的现金,"114,302.70","102,188.58","78,398.37","21,908.33","43,344.91","19,367.62","12,782,957.50","1,278,973.50","1,282,387.19","1,286,599.74","1,274,220.00","4,259.69","19,804,148.30","23,465,000.00","26,765,000.00",,,,"1,763,145.52","1,900,000.00","1,900,000.00"
取得投资收益收到的现金,,"447,876.27","2,897,906.65","1,694,093.82","3,048,103.41","4,588,507.52","5,592,302.05","921,107.42","2,367,323.16","3,008,680.43","3,563,315.59","67,315.07","67,315.07","67,315.07","91,534.25","265,531.83","1,367,562.68","1,781,635.86","2,422,764.31","766,001.78","5,939,843.23"
筹资活动现金流出小计,"82,413,771.03","46,336,984.87","78,398.37","21,908.33","43,344.91","19,367.62","42,950,957.50","1,278,973.50","10,352,386.67","10,356,599.22","10,344,219.48","2,707,698.18","22,525,148.57","26,637,312.77","30,432,124.11","5,705,810.30","55,054,187.50","55,554,437.50","57,812,395.51","2,389,375.00","74,245,030.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,"79,698.50","938,828.65","103,293.01","374,120.00","383,000.00","693,832.64","1,680,677.36","350,557.00","351,057.00","351,057.00","618,750.50",,"43,911.70","182,911.70","460,207.31","56,780.00","68,620.00","89,270.00","318,369.28","27,839,300.00","27,950,100.00"
筹资活动产生的现金流量净额,"-64,980,346.75","-12,313,560.32","1,923,556.43","250,272.31","440,088.44","140,474,412.99","132,785,507.66","-1,254,218.14","-10,305,083.01","-10,271,320.36","-9,584,664.42","-2,686,380.36","22,502,474.73","36,362,687.23","34,362,875.89","-2,035,810.30","-3,084,187.50","-3,584,437.50","403,610,421.33","29,473,118.38","-42,382,537.26"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-202,554.30","306,706.85","-376,514.79","153,922.92","345,775.55","452,838.91","957,126.20","306,211.96","515,069.90","619,284.82","1,004,371.64","-46,785.77","259,246.27","451,177.20","2,737,693.57","-235,910.16","-304,560.91","-1,896,980.14","-2,420,307.87","-1,324,101.20","-176,216.87"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"790,000.00",,,,"1,300,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"79,698.50","91,926,704.92","426,411,199.66","217,568,213.82","385,881,103.41","486,186,063.90","588,176,703.15","106,271,664.42","300,098,380.16","476,354,955.31","660,742,066.09","13,067,315.07","13,111,226.77","13,250,226.77","24,341,741.56","75,322,311.83","335,437,182.68","410,871,905.86","752,941,133.59","287,305,393.90","989,655,954.13"
五、现金及现金等价物净增加额,"2,837,185.56","11,163,516.73","-89,466,039.16","51,957,763.67","11,565,750.29","177,355,078.93","5,023,736.67","-12,891,071.66","9,846,464.11","-20,285,878.04","5,146,168.62","-22,858,713.48","12,086,905.03","54,449,270.09","-20,836,521.05","-21,076,214.38","654,493.22","63,431,449.40","389,344,624.34","-266,736,427.20","-325,778,078.86"
购建固定资产、无形资产和其他长期资产支付的现金,"13,156,314.34","6,166,848.64","21,694,572.15","22,785,441.10","42,616,047.58","68,437,431.89","101,542,755.44","25,718,692.15","38,713,868.21","80,134,241.20","132,974,986.68","11,185,765.92","17,659,605.06","38,667,358.81","60,545,180.87","13,620,368.50","50,413,412.09","60,744,855.60","71,630,520.06","20,112,853.20","111,507,789.93"
期初现金及现金等价物余额,"131,116,654.69","133,953,840.25","145,117,356.98","55,651,317.82","56,651,317.82","55,651,317.82","61,997,586.19","67,021,322.86","67,021,322.86","67,021,322.86","67,021,322.86","72,167,491.48","72,167,491.48","72,167,491.48","72,167,491.48","51,330,970.43","51,330,970.43","51,330,970.43","51,330,970.43","440,675,502.15","440,675,594.77"
投资支付的现金,,"104,540,000.00","560,860,000.00","158,000,000.00","349,453,723.74","379,453,723.74","529,453,723.74","103,580,000.00","265,180,000.00","440,866,333.17","556,560,000.00","13,000,000.00","13,000,000.00","13,000,000.00","71,000,000.00","97,000,000.00","337,001,000.00","405,001,000.00","839,900,000.00","659,702,362.00","1,293,627,274.00"
期末现金及现金等价物余额,"133,953,840.25","145,117,356.98","55,651,317.82","107,609,081.49","68,217,068.11","233,006,396.75","67,021,322.86","54,130,251.20","76,867,786.97","46,735,444.82","72,167,491.48","49,308,778.00","84,254,396.51","126,616,761.57","51,330,970.43","30,254,756.05","51,985,463.65","114,762,419.83","440,675,594.77","173,939,074.95","114,897,515.91"
