科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流入小计,"51,649,000,000.00","65,302,000,000.00","91,629,000,000.00","49,733,000,000.00","95,542,000,000.00","34,179,000,000.00","55,225,000,000.00","77,088,000,000.00","98,691,000,000.00","30,010,000,000.00","57,792,000,000.00","78,578,000,000.00","111,695,000,000.00","47,311,000,000.00","66,958,000,000.00","86,431,000,000.00","113,633,000,000.00","50,273,000,000.00","70,838,000,000.00","92,949,000,000.00","115,021,000,000.00","45,034,000,000.00","70,013,000,000.00","92,598,000,000.00","116,341,000,000.00","35,210,000,000.00","59,254,000,000.00","89,094,000,000.00","111,814,000,000.00","38,175,000,000.00","68,027,000,000.00","101,603,000,000.00","128,578,000,000.00","42,150,000,000.00"
收到其他与筹资活动有关的现金,"388,111,000,000.00","409,122,000,000.00","494,980,000,000.00","330,385,000,000.00","1,338,082,000,000.00","901,451,000,000.00","2,241,281,000,000.00","3,568,647,000,000.00","4,693,139,000,000.00","963,781,000,000.00","2,255,795,000,000.00","3,841,060,000,000.00","4,815,740,000,000.00","915,353,000,000.00","2,160,718,000,000.00","3,342,317,000,000.00","4,533,368,000,000.00","1,298,922,000,000.00","2,314,548,000,000.00","2,775,542,000,000.00","3,066,963,000,000.00","716,757,000,000.00","1,797,798,000,000.00",,"4,767,500,000,000.00","2,094,035,000,000.00","3,928,380,000,000.00","5,725,542,000,000.00","7,023,257,000,000.00",,"2,673,119,000,000.00","4,097,708,000,000.00",,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,"388,111,000,000.00","409,122,000,000.00","509,006,000,000.00","330,385,000,000.00","1,354,725,000,000.00","901,510,000,000.00","2,241,340,000,000.00","3,578,706,000,000.00","4,703,198,000,000.00","963,781,000,000.00","2,255,795,000,000.00","3,841,060,000,000.00","4,815,740,000,000.00","915,353,000,000.00","2,160,718,000,000.00","3,342,317,000,000.00","4,537,368,000,000.00","1,298,922,000,000.00","2,314,548,000,000.00","2,775,542,000,000.00","3,067,746,000,000.00","716,757,000,000.00","1,797,798,000,000.00","3,161,251,000,000.00","4,767,500,000,000.00","2,094,035,000,000.00","3,928,380,000,000.00","5,725,542,000,000.00","7,023,257,000,000.00","1,325,206,000,000.00","2,673,229,000,000.00","4,097,823,000,000.00","115,000,000.00","3,887,000,000.00"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,,,"1,350,000,000.00",,,,,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,,,
支付的手续费及佣金的现金,"3,775,000,000.00","5,311,000,000.00","7,072,000,000.00","3,512,000,000.00","7,214,000,000.00","1,934,000,000.00","3,779,000,000.00","5,207,000,000.00","7,054,000,000.00","1,506,000,000.00","3,049,000,000.00","4,368,000,000.00","6,177,000,000.00","2,185,000,000.00","3,996,000,000.00","5,527,000,000.00","7,470,000,000.00","2,687,000,000.00","4,675,000,000.00","7,143,000,000.00","10,179,000,000.00","3,618,000,000.00","6,967,000,000.00",,"13,372,000,000.00","3,882,000,000.00","8,456,000,000.00","11,876,000,000.00","15,821,000,000.00","3,567,000,000.00","7,433,000,000.00","11,912,000,000.00","16,322,000,000.00","4,215,000,000.00"
分配股利、利润或偿付利息支付的现金,"88,000,000.00","65,000,000.00","6,000,000.00",,,,,"953,000,000.00","953,000,000.00",,,"745,000,000.00","745,000,000.00",,"4,000,000.00","1,202,000,000.00","1,202,000,000.00",,,"1,374,000,000.00","1,598,000,000.00",,,"1,590,000,000.00","1,814,000,000.00",,,"1,958,000,000.00","2,140,000,000.00",,,"1,569,000,000.00","1,793,000,000.00",
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"375,069,000,000.00","417,676,000,000.00","482,729,000,000.00","320,973,000,000.00","1,331,048,000,000.00","878,003,000,000.00","2,205,497,000,000.00","3,544,315,000,000.00","4,671,145,000,000.00","971,560,000,000.00","2,259,542,000,000.00","3,845,679,000,000.00","4,820,520,000,000.00","920,272,000,000.00","2,160,925,000,000.00","3,356,555,000,000.00","4,526,752,000,000.00","1,319,400,000,000.00","2,345,710,000,000.00","2,826,474,000,000.00","3,114,247,000,000.00","711,366,000,000.00","1,781,759,000,000.00",,"4,746,741,000,000.00","2,091,692,000,000.00","3,938,412,000,000.00","5,743,385,000,000.00","7,053,479,000,000.00",,"2,644,813,000,000.00","4,085,731,000,000.00","8,765,000,000.00",
