科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"16,125,735.01","24,025,977.91","16,227,186.48","33,238,598.71","20,107,800.57","27,434,010.24","40,451,346.52","10,597,632.72","23,431,252.91","32,934,335.02","53,410,916.60","16,017,927.81","35,770,090.81","47,078,488.13","78,596,726.65","19,104,206.60","35,518,268.69","56,995,507.25","91,484,682.96","17,355,704.55","50,052,169.46","71,332,470.11","97,530,005.36","21,467,617.65","47,732,060.48","82,094,844.22","112,107,656.22","24,835,347.65","48,345,990.16","84,889,317.45","127,463,455.98","28,529,305.99","67,997,696.79","98,571,208.63","163,496,076.59"
取得借款收到的现金,"144,245,713.00","283,470,000.00","38,000,000.00","111,300,000.00","65,300,000.00",,"182,443,300.00",,"30,000,000.00","131,339,754.20","193,751,554.46","58,436,876.60","172,912,696.32","438,535,284.24","474,277,910.44","42,568,040.00","192,571,640.00","398,847,073.33","517,763,791.69","12,885,961.69","123,897,556.69","386,759,241.69","554,318,419.97","170,832,456.09","169,376,646.18","533,383,195.90","548,859,935.98","135,066,330.00","314,383,350.00","569,602,530.00","770,442,530.00","192,660,000.00","457,660,000.00","566,768,800.00","690,693,800.00"
支付的各项税费,"25,619,890.62","29,046,829.18","12,764,130.80","25,186,433.90","14,299,728.40","21,348,484.95","25,040,751.03","5,259,984.57","23,347,686.16","29,163,969.12","31,750,876.09","13,440,820.05","20,503,023.41","48,044,843.28","55,004,406.27","19,717,603.11","28,133,813.95","43,151,298.45","55,949,852.97","11,618,738.61","21,596,715.24","32,232,941.86","40,391,503.21","7,183,437.66","30,667,219.06","49,074,911.41","57,068,807.25","20,785,016.88","48,440,207.52","60,306,399.51","68,908,793.93","24,790,172.26","39,444,040.29","50,895,904.79","58,947,221.69"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,000,000.00",,"40,000,000.00","80,000,000.00","59,196,864.49"
支付其他与经营活动有关的现金,"24,068,228.95","17,876,492.20","8,362,686.16","51,782,113.31","17,901,368.06","23,160,983.92","41,438,283.74","34,370,166.05","30,459,890.09","52,885,368.68","45,878,728.85","16,207,824.62","26,721,287.93","48,581,823.54","47,056,459.05","13,972,201.55","41,577,076.95","66,620,240.49","102,829,250.04","17,379,707.51","26,864,122.33","55,146,427.64","55,578,638.06","11,936,757.89","53,708,427.51","215,753,988.43","69,995,425.95","32,275,317.87","48,897,441.91","154,458,394.93","131,659,645.67","14,284,128.03","70,003,234.56","124,266,888.54","159,552,118.37"
筹资活动现金流入小计,"164,245,713.00","283,470,000.00","38,000,000.00","111,300,000.00","65,300,000.00","448,800,000.00","602,743,300.00",,"30,000,000.00","131,339,754.20","193,751,554.46","58,436,876.60","172,912,696.32","438,535,284.24","474,277,910.44","42,568,040.00","658,536,141.30","864,811,574.63","997,088,791.69","12,885,961.69","123,897,556.69","386,759,241.69","555,425,293.97","170,832,456.09","170,276,646.18","534,283,195.90","549,759,935.98","135,966,330.00","315,283,350.00","570,502,530.00","883,342,530.00","192,660,000.00","497,660,000.00","646,768,800.00","749,890,664.49"
经营活动现金流出小计,"368,188,843.33","452,770,152.54","178,638,588.51","425,992,048.94","382,120,356.42","526,264,622.22","710,827,396.22","308,635,367.73","552,245,298.64","760,743,550.58","846,062,889.12","296,995,221.93","278,406,183.42","515,386,450.53","622,253,474.10","224,280,615.02","243,036,832.14","515,277,639.78","600,333,825.93","161,110,535.06","270,024,023.83","353,366,683.87","436,167,979.56","280,578,965.51","324,364,367.87","596,206,246.48","451,455,560.99","274,944,982.20","298,163,779.20","584,212,996.32","912,030,718.19","157,326,864.62","382,469,510.94","1,007,737,340.14","898,452,132.36"
偿还债务支付的现金,"201,881,468.30","155,834,244.70","33,000,000.00","104,000,000.00","70,300,000.00","119,300,000.00","311,737,500.00","43,565,800.00","60,035,800.00","60,237,300.00","89,484,690.21","28,225,867.85","110,027,632.46","286,729,852.17","367,223,878.37",,"92,571,640.00","357,524,204.23","447,966,968.10","29,736,700.28","149,353,300.28","399,060,250.28","463,077,433.59","53,819,339.15","119,935,848.15","521,881,627.69","650,270,612.95","65,709,290.00","197,709,290.00","411,745,490.00","633,245,490.00","145,000,000.00","337,500,000.00","448,029,906.26","689,072,000.00"
经营活动产生的现金流量净额,"72,357,640.72","14,241,503.84","35,486,664.14","73,673,901.84","9,738,961.27","28,408,173.32","-16,490,458.47","-27,914,376.14","-91,422,853.37","-46,368,737.86","-22,673,484.12","-2,216,741.63","34,119,933.47","-7,256,806.89","38,634,747.13","7,700,159.00","91,173,220.89","24,789,992.29","33,850,972.21","42,771,790.15","123,044,180.97","74,422,598.96","20,979,494.71","-22,011,675.87","105,939,177.46","127,568,069.67","116,201,706.29","-42,658,413.60","99,758,241.26","96,758,610.74","-123,441,311.65","47,295,352.11","-10,734,092.88","84,615,711.33","186,781,891.28"
分配股利、利润或偿还利息支付的现金,"7,616,065.42","8,608,897.54","5,066,068.85","12,021,374.85","6,002,340.43","7,802,798.93","8,528,796.60","511,581.23","25,008,456.72","25,909,561.01","28,723,075.21","3,622,536.65","31,639,381.72","35,474,087.02","38,929,329.97","4,086,497.21","45,527,627.60","54,404,513.02","57,911,991.07","4,802,804.48","26,378,915.91","32,999,316.00","41,585,893.43","6,651,773.77","24,681,631.28","34,810,558.69","39,344,652.52","5,517,473.71","12,639,178.62","25,696,308.64","32,511,823.94","6,649,242.45","11,560,389.39","21,015,482.79","30,304,676.66"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,"40,000,000.00","76,000,000.00","112,000,000.00","218,008,600.00","38,491,399.99","138,971,400.61","101,682,891.11","151,721,400.00","10,800,000.00","17,250,000.00","17,250,000.00","65,200,000.00","38,943,867.20","79,020,000.00","90,387,958.91","27,750,000.00"
支付其他与筹资活动有关的现金,"1,570,000.00","1,150,000.00","715,057.00","4,917,057.00","543,978.30","36,907,316.07","5,134,573.93",,,,,,,,,,,,"10,871,444.92",,,,,,,,,,,,"2,000,000.00","52,005,302.40","102,000,000.00","152,000,000.00","7,000,000.00"
取得投资收益收到的现金,,,,"30,852.91",,,,,,,,"150,150.00","151,444.52","150,150.00",,"180,180.00","180,180.00","180,180.00","4,072,453.97","3,051,423.84","5,000,551.47","6,147,127.16","5,894,039.10","1,474,771.56","3,681,486.91","1,957,553.48","6,248,231.84","48,371.79","307,882.64","201,428.18","810,486.24","124,499.93","249,237.86","259,353.20","305,882.61"
筹资活动现金流出小计,"211,067,533.72","165,593,142.24","38,781,125.85","120,938,431.85","76,846,318.73","164,010,115.00","325,400,870.53","44,077,381.23","85,044,256.72","86,146,861.01","118,207,765.42","31,848,404.50","141,667,014.18","322,203,939.19","406,153,208.34","4,086,497.21","138,099,267.60","411,928,717.25","516,750,404.09","34,539,504.76","175,732,216.19","432,059,566.28","504,663,327.02","60,471,112.92","144,617,479.43","556,692,186.38","689,615,265.47","71,226,763.71","210,348,468.62","437,441,798.64","667,757,313.94","203,654,544.85","451,060,389.39","621,045,389.05","726,376,676.66"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,275,398.51","19,144,200.82","6,000,000.00","17,142,246.43","1,175,634.81","1,580,187.38","27,934,230.80","490,793.53",,,"139,626.30",,"31,197,494.12","42,859,975.32","36,887,638.64","27,900.06","166,892.86","173,752.92","13,738,066.54",,"522,203.08","589,106.93","616,986.26",,"118,000.00","532,384.32","636,064.22","18,327,123.19","18,266,416.17","240,926.57","569,324.90","3,810.00","201,078.45","862,006.14","2,448,015.81"
筹资活动产生的现金流量净额,"-46,821,820.72","117,876,857.76","-781,125.85","-9,638,431.85","-11,546,318.73","284,789,885.00","277,342,429.47","-44,077,381.23","-55,044,256.72","45,192,893.19","75,543,789.04","26,588,472.10","31,245,682.14","116,331,345.05","68,124,702.10","38,481,542.79","520,436,873.70","452,882,857.38","480,338,387.60","-21,653,543.07","-51,834,659.50","-45,300,324.59","50,761,966.95","110,361,343.17","25,659,166.75","-22,408,990.48","-139,855,329.49","64,739,566.29","104,934,881.38","133,060,731.36","215,585,216.06","-10,994,544.85","46,599,610.61","25,723,410.95","23,513,987.83"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"1,046,014.85",,"1,682,891.11",,,,,,,,
四、汇率变动对现金的影响,"-1,174,622.39","-1,580,665.54","-68,632.09","-145,161.55","-442,582.24","-764,128.73","-2,199,813.99","-575,043.33","-1,443,244.84","-2,523,626.08","-1,571,659.52","-72,489.42","432,461.42","-667,796.55","-1,154,990.95","-262,369.98","-1,813,890.26","-2,314,500.86","-2,964,519.00","1,648,864.98","2,123,692.96","1,770,608.17","-6,340.48","283,968.64","1,130,924.68","4,432,918.36","5,029,521.67","1,178,422.65","2,579,021.86","2,010,259.15","13,696,614.69","-631,563.34","-1,348,287.54","-2,509,144.84","-6,029,325.90"
收到其他与投资活动有关的现金,"52,865,361.48",,,"1,000,000.00",,,,,,,,,,,,,,"11,982,611.40",,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"61,140,759.99","19,144,200.82","6,000,000.00","18,173,099.34","1,175,634.81","1,580,187.38","27,934,230.80","490,793.53",,,"139,626.30","150,150.00","31,348,938.64","43,010,125.32","36,887,638.64","208,080.06","347,072.86","12,336,544.32","17,810,520.51","43,051,423.84","81,522,754.55","118,736,234.09","224,519,625.36","39,966,171.55","143,816,902.37","104,172,828.91","160,288,587.17","29,175,494.98","35,824,298.81","17,692,354.75","66,579,811.14","39,072,177.13","79,470,316.31","91,509,318.25","30,503,898.42"
五、现金及现金等价物净增加额,"1,829,767.46","64,426,442.36","-20,510,473.33","-9,361,699.43","-19,997,352.16","265,368,643.69","215,329,722.24","-86,989,204.94","-171,144,934.45","-92,961,114.74","-146,214,886.69","-1,194,508.78","-16,297,639.50","-32,278,847.06","-69,594,009.27","15,351,095.04","471,534,530.36","357,725,189.69","58,668,144.60","20,340,963.46","39,203,199.08","-18,157,010.86","2,205,545.01","82,167,376.92","-6,333,070.42","-66,397,029.57","-35,869,213.67","1,901,443.84","180,487,127.54","185,529,582.93","57,854,551.39","9,685,258.57","11,369,169.14","50,304,824.39","-37,866,218.16"
购建固定资产、无形资产和其他长期资产支付的现金,"62,818,472.73","83,028,993.42","60,147,379.53","90,425,107.21","18,923,047.27","48,645,473.28","71,256,665.57","13,938,197.77","23,234,579.52","36,482,699.04","66,489,423.09","22,819,519.83","55,038,075.17","76,950,763.99","98,341,156.19","30,776,316.83","59,449,859.01","98,421,134.51","157,401,220.30","45,477,572.44","105,993,337.50","125,928,587.09","132,601,093.53","46,432,430.57","100,844,274.40","109,486,969.45","64,392,238.23","49,483,626.48","49,009,195.57","50,392,372.23","56,315,778.85","27,106,162.48","34,368,377.36","53,135,971.30","64,886,669.79"
期初现金及现金等价物余额,"8,695,380.64","10,525,148.10","74,951,590.46","74,951,590.46","65,589,891.03","65,589,891.03","65,589,891.03","280,919,613.27","280,919,613.27","280,919,613.27","280,919,613.27","136,741,199.58","134,704,726.58","136,741,199.58","134,704,726.58","65,120,777.45","65,110,717.31","65,110,717.31","65,110,717.31","123,778,861.91","123,778,861.91","123,778,861.91","123,778,861.91","125,984,406.92","125,984,406.92","125,984,406.92","125,984,406.92","90,550,193.25","89,343,794.77","89,349,218.33","90,173,812.76","149,316,535.51","151,146,535.51","151,146,535.51","149,485,059.18"
投资支付的现金,,,,,,,,"975,000.00",,"52,778,944.95","975,000.00","2,824,380.00","58,406,580.00","106,744,950.00","113,744,950.00",,"79,158,887.82","31,548,568.93","226,000,000.00",,"9,659,432.40","41,857,540.40","161,448,108.00",,"164,040,000.61","100,000,000.00","48,330,000.00","1,050,000.00","5,350,120.20","5,350,000.84","58,250,000.00","37,950,000.00","68,250,000.00","95,898,500.00","207,750,000.00"
期末现金及现金等价物余额,"10,525,148.10","74,951,590.46","54,441,117.13","65,589,891.03","45,592,538.87","330,958,534.72","280,919,613.27","193,930,408.33","109,774,678.82","187,958,498.53","134,704,726.58","135,546,690.80","118,407,087.08","104,462,352.52","65,110,717.31","80,471,872.49","536,645,247.67","422,835,907.00","123,778,861.91","144,119,825.37","162,982,060.99","105,621,851.05","125,984,406.92","208,151,783.84","119,651,336.50","59,587,377.35","90,115,193.25","92,451,637.09","269,830,922.31","274,878,801.26","148,028,364.15","159,001,794.08","162,515,704.65","201,451,359.90","111,618,841.02"
