科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流出小计,"19,269,872.77","29,361,118.79","17,547,542.85",,"50,505.00","119,908,265.72",,,"72,207,600.00","72,124,710.48","72,521,451.26","19,567.70","50,532,387.92","50,532,387.92","50,524,797.84","14,451.67","41,951,025.11","42,963,459.83","42,963,356.15",,"20,922,548.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"68,000.00","68,000.00",,,,,"35,000.00","35,000.00","100,280.04","90,116.91",,,,"4,300.00","1,285.00","1,285.00"
筹资活动产生的现金流量净额,"730,127.23","-14,361,118.79","-17,547,542.85",,"741,994,057.48","622,202,670.00","624,248,867.86",,"-72,207,600.00","-72,124,710.48","-70,971,451.26","-19,567.70","-49,532,387.92","-49,532,387.92","-49,524,797.84","-14,451.67","-41,951,025.11","-42,963,459.83","-42,963,356.15",,"-20,922,548.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-241,204.27","-90,256.08","-453,080.55",,"-31,812.06","-60,118.80","-7,561.52","-129,547.82","-84,467.56","129,183.89","536,494.47","-273,954.81","707,577.35","934,122.98","2,421,219.13","-238,610.12","-1,028,378.92","-1,881,313.68","-2,969,024.41","-2,875,970.51","977,270.93"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,"68,000.00","30,436,383.56","81,011,945.20","367,797,890.40","367,797,890.40","1,729,821,141.52","697,249,042.61","699,393,426.17","699,458,706.21","959,581,282.81","566,516,395.34","1,140,119,638.08","1,802,012,318.89","2,510,233,721.08","617,295,249.37","1,267,009,279.84"
五、现金及现金等价物净增加额,"43,337,684.60","119,314,303.72","136,551,074.18","-66,162,694.45","701,973,940.35","554,210,515.02","627,952,145.98","-278,070,402.03","-72,599,728.70","-79,895,930.63","-440,613,446.36","-66,489,885.45","507,266,642.16","498,546,233.63","281,029,875.29","-292,652,588.11","-493,442,197.38","-526,163,242.54","-224,607,422.44","-210,199,167.93","-175,648,771.63"
购建固定资产、无形资产和其他长期资产支付的现金,"2,531,879.93","2,004,227.49","4,977,170.93",,"1,268,908.46","3,382,610.49","3,325,078.64","1,103,938.00","3,201,403.53","10,472,466.93","29,242,398.39","3,833,093.12","14,902,926.53","17,229,284.45","15,978,547.91","1,327,614.50","2,411,026.40","3,642,579.83","4,482,799.13","1,112,272.38","2,575,312.52"
期初现金及现金等价物余额,"34,702,995.42","78,040,680.02","197,354,983.74",,"333,906,057.92","333,906,057.92","333,906,057.92","961,858,203.90","961,858,203.90","961,858,203.90","961,858,203.90","570,244,757.54","521,244,757.54","522,344,757.54","521,244,757.54","802,274,632.83","802,274,632.83","802,274,632.83","802,274,632.83","577,667,210.39","577,667,210.39"
投资支付的现金,,,,,,"16,680,000.00","264,497,622.29","256,790,000.00","286,790,000.00","286,790,000.00","2,176,280,000.00","634,000,000.00",,,"714,300,000.00","664,000,000.00","1,319,000,000.00","2,019,000,000.00","2,709,000,000.00","620,000,000.00","1,136,131,727.40"
期末现金及现金等价物余额,"78,040,680.02","197,354,983.74","333,906,057.92","267,743,363.47","1,035,879,998.27","888,116,572.94","961,858,203.90","683,787,801.87","889,258,475.20","881,962,273.27","521,244,757.54","503,754,872.09","1,028,511,399.70","1,020,890,991.17","802,274,632.83","509,622,044.72","308,832,435.45","276,111,390.29","577,667,210.39","367,468,042.46","402,018,438.76"
