科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
取得投资收益收到的现金,"90,000.00","2,793,850.33","4,127,314.33","9,902,345.01","6,233,539.79","7,698,120.25","11,885,556.23","16,928,984.50","580,800.00","2,030,898.00","9,273,644.44"
筹资活动现金流出小计,"1,511,375,997.18","2,504,013,151.39","4,725,266,330.33","5,558,667,002.17","1,635,568,001.98","2,421,532,561.97","4,595,265,724.29","6,284,125,355.36","3,027,066,284.51","4,191,903,441.32","7,288,354,100.31"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,165,331.92","923,481.37","850,905.52","450,868,629.10","6,621,730.00","7,004,530.12","7,067,420.12","363,428.76","526,902.50","685,653.13","1,450,174.47"
筹资活动产生的现金流量净额,"330,563,690.71","583,867,218.20","1,339,794,870.76","652,690,968.00","1,263,414,231.84","1,742,870,941.92","1,720,970,636.80","636,823,503.16","636,565,634.14","1,434,231,699.26","1,392,515,639.29"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-68,796.48","-224,363.09","-508,522.04","-2,077,875.95","-3,633,455.86","-7,421,487.40","-7,506,123.74","-12,757,476.97","-66,162.98","-1,638,086.39","-600,902.91"
收到其他与投资活动有关的现金,"485,106.87",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"7,740,438.79","3,717,331.70","34,978,219.85","461,131,153.11","12,855,269.79","14,702,650.37","18,952,976.35","23,501,597.58","1,107,702.50","2,716,551.13","10,723,818.91"
五、现金及现金等价物净增加额,"85,674,443.63","104,456,968.40","263,614,246.10","324,879,193.28","432,604,886.97","260,071,654.76","133,160,402.88","105,283,048.13","202,074,887.76","894,319,159.04","468,136,591.16"
购建固定资产、无形资产和其他长期资产支付的现金,"310,564,016.28","698,428,845.79","1,741,739,625.70","1,356,327,717.95","496,535,772.54","1,415,092,381.63","1,729,309,112.39","814,477,550.78","435,127,933.49","557,172,507.24","1,202,177,088.57"
期初现金及现金等价物余额,"631,823,040.60","626,561,071.37","626,561,072.37","626,561,071.37","951,440,264.65","951,440,264.65","951,440,264.65","951,440,264.65","1,056,723,312.78","1,056,723,312.78","1,056,723,312.78"
投资支付的现金,"25,064,994.50","47,064,994.50","91,875,749.30","61,361,804.70",,"5,600,000.00","5,600,000.00","9,661,455.52","36,048,037.47","62,767,884.82","70,309,262.48"
期末现金及现金等价物余额,"717,497,484.23","731,018,039.77","890,175,318.47","951,440,264.65","1,384,045,151.62","1,211,511,919.41","1,084,600,667.53","1,056,723,312.78","1,258,798,200.54","1,951,042,471.82","1,524,859,903.94"
