科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
支付给职工以及为职工支付的现金,"1,024,411,476.86","410,085,883.65","1,167,516,391.67","172,239,470.70","376,446,450.32","644,770,138.83","1,155,915,793.51","195,619,477.25","399,482,730.85","661,707,725.45","1,064,101,100.28","236,171,558.57","444,625,133.22","711,730,316.45","1,136,313,348.70","205,051,836.67","397,211,260.56","612,041,197.95","792,504,690.13","370,257,912.41","1,223,832,235.50"
取得借款收到的现金,"4,745,200,000.00","2,542,133,706.24","5,106,133,706.24","1,240,000,000.00","2,554,900,000.00","3,315,605,000.00","4,606,540,000.00","894,547,000.00","2,757,447,000.00","3,379,493,285.88","4,798,619,728.66","1,679,988,900.00","3,736,532,900.00","5,723,977,900.00","8,187,910,300.00","2,348,250,000.00","4,591,763,145.00","5,738,283,145.00","7,786,870,000.00","1,856,010,000.00","3,906,994,984.23"
支付的各项税费,"320,684,076.14","116,336,155.30","214,691,818.59","190,704,708.22","322,966,367.20","356,479,867.31","346,495,792.69","127,137,267.69","242,299,223.61","265,382,020.29","390,209,164.85","136,648,483.70","221,170,690.42","244,960,680.11","309,022,112.96","17,434,934.49","100,489,515.23","128,694,330.26","164,995,526.27","12,781,059.63","48,425,840.23"
收到其他与筹资活动有关的现金,"259,380,000.00","4,246,902.00","201,203,249.96",,"28,230,000.00","123,330,000.00","381,480,000.00","158,783,539.17","149,416,712.41","189,034,726.48","260,110,050.02","24,759,218.89","40,038,661.57","149,822,365.43","47,036,293.65","25,200,000.00","1,251,000.00","1,251,000.00","1,251,000.00","412,900,000.00","1,161,265.73"
支付其他与经营活动有关的现金,"166,057,176.93","85,217,629.77","159,365,119.82","67,699,378.44","80,401,519.89","143,564,913.09","190,347,811.43","49,316,596.22","94,703,046.19","139,792,593.72","107,855,029.55","57,953,586.70","98,013,149.23","169,063,734.60","165,380,429.27","68,936,743.87","134,120,773.54","282,339,036.19","167,580,114.63","274,170,649.30","394,381,513.36"
筹资活动现金流入小计,"5,004,580,000.00","2,603,980,608.24","5,364,936,956.20","3,742,863,721.54","5,085,993,721.54","5,941,798,721.54","7,490,883,721.54","1,053,330,539.17","2,906,863,712.41","3,568,528,012.36","5,759,329,778.68","1,704,748,118.89","3,776,571,561.57","6,373,800,265.43","10,232,946,593.65","2,373,450,000.00","4,593,014,145.00","5,739,534,145.00","7,788,121,000.00","2,268,910,000.00","3,908,156,249.96"
经营活动现金流出小计,"7,732,452,496.43","3,954,549,497.70","7,467,340,324.81","1,720,500,729.68","3,685,680,188.00","5,723,070,369.14","7,956,109,825.92","2,187,778,818.87","4,428,709,721.64","6,042,455,522.02","7,618,208,354.80","1,777,946,203.98","3,310,407,748.91","4,981,727,696.39","6,557,462,774.73","1,553,374,800.25","2,857,708,790.33","4,427,995,926.41","4,980,991,336.07","1,444,289,486.82","3,689,907,238.52"
偿还债务支付的现金,"2,383,517,200.00","1,303,616,400.00","3,193,030,650.00","2,092,800,000.00","3,011,532,706.24","3,678,132,706.24","4,521,560,106.24","1,010,260,000.00","1,608,071,250.00","1,825,711,250.00","2,740,611,250.00","945,000,000.00","2,791,200,000.00","4,422,050,992.31","7,550,264,647.89","786,444,352.11","3,134,016,263.33","4,610,843,839.03","7,174,329,448.81","2,122,021,401.40","1,594,268,732.23"
经营活动产生的现金流量净额,"48,897,543.34","-1,086,870,308.25","104,346,804.64","-476,385,290.10","-711,795,064.74","-886,877,202.45","-405,890,002.11","-490,889,502.38","-1,029,893,610.92","-1,540,692,893.53","-1,905,454,738.64","-750,483,387.51","-860,462,581.17","-1,571,227,992.83","-1,599,464,427.69","-477,692,765.02","-679,410,152.99","-1,118,800,850.40","-572,640,840.36","-175,935,718.86","-1,977,847,756.03"
分配股利、利润或偿还利息支付的现金,"462,201,821.50","166,724,895.75","359,020,911.27","71,084,586.15","153,900,735.66","227,018,409.83","386,472,916.37","66,199,526.37","237,515,298.62","335,825,473.34","497,304,945.43","124,043,681.53","265,699,440.90","399,914,587.96","737,729,421.76","152,007,720.46","335,256,665.79","522,182,069.74","786,775,119.42","170,329,877.84","35,455,254.34"
收回投资收到的现金,,,,,,,,,,,"23,043,232.80",,,,,,,,,,
支付其他与筹资活动有关的现金,"40,708,509.81","33,255,448.34","33,255,448.34",,,,"20,723,132.36",,,,"19,357,491.19","24,149,535.03","19,357,889.09","32,420,588.51","222,520,620.00","39,774,889.11",,,"17,964,941.53","5,883,185.51","96,980,435.07"
取得投资收益收到的现金,"33,600.00",,"57,644.95",,,"54,561.80","54,561.80",,"7,037,624.82","7,226,986.62","8,257,601.44",,"10,658.76","10,658.76","28,822.48",,"390,322.38","572,322.38","603,765.08",,"364,000.00"
筹资活动现金流出小计,"2,886,427,531.31","1,503,596,744.09","3,585,307,009.61","2,163,884,586.15","3,165,433,441.90","3,905,151,116.07","4,928,756,154.97","1,076,459,526.37","1,845,586,548.62","2,161,536,723.34","3,257,273,686.62","1,093,193,216.56","3,076,257,329.99","4,854,386,168.78","8,510,514,689.65","978,226,961.68","3,469,272,929.12","5,133,025,908.77","7,979,069,509.76","2,298,234,464.75","1,726,704,421.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,"23,894,731.57","1,121,958.29","8,569,259.12","116,172.69","744,934.79","1,165,985.18","1,253,569.80","313,400.00","606,625.77","1,200,382.62","1,549,084.31","-1,147.50","68,852.50","114,052.50","226,752.50","5,000,000.00","5,044,330.00","5,044,330.00","5,219,130.00",,"1,150.00"
筹资活动产生的现金流量净额,"2,118,152,468.69","1,100,383,864.15","1,779,629,946.59","1,578,979,135.39","1,920,560,279.64","2,036,647,605.47","2,562,127,566.57","-23,128,987.20","1,061,277,163.79","1,406,991,289.02","2,502,056,092.06","611,554,902.33","700,314,231.58","1,519,414,096.65","1,722,431,904.00","1,395,223,038.32","1,123,741,215.88","606,508,236.23","-190,948,509.76","-29,324,464.75","2,181,451,828.32"
处置子公司及其他营业单位收到的现金净额,"5,845,200.00",,,,,,,,,,,,,,,,,,,,"52,197.00"
四、汇率变动对现金的影响,"-4,623,013.20","-762,102.87","-722,856.38","-1,452,523.80","-7,611,539.80","-4,469,239.80","-4,496,609.90","697,401.90","-989,776.91","-3,661,185.60","-3,643,209.12","-107,912.17","23,521.08","819,952.39","62,411.13","-834,768.94","-2,147,236.28","-2,457,629.13","-3,435,441.80","-568,677.00","4,926,431.51"
收到其他与投资活动有关的现金,"213,431,527.55","186,658,579.87","129,812,649.93","5,724,000.00","5,724,000.00","8,949,159.74","134,337,700.00","2,000,000.00","2,000,000.00","3,500,000.00","18,462,000.00","6,000,000.00","115,816,900.00","125,616,900.00",,"2,435,227.35","8,424,319.02","11,424,319.02","9,047,272.31",,"6,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"243,205,059.12","187,780,538.16","138,439,554.00","5,840,172.69","6,468,934.79","10,169,706.72","135,645,831.60","2,313,400.00","9,644,250.59","11,927,369.24","51,311,918.55","5,998,852.50","115,896,411.26","125,741,611.26","255,574.98","7,435,227.35","13,858,971.40","17,040,971.40","14,870,167.39",,"6,417,347.00"
五、现金及现金等价物净增加额,"1,455,290,342.69","-807,310,221.56","-171,382,323.10","739,938,168.65","421,198,188.13","-46,233,976.46","542,108,627.40","-939,936,802.25","-677,928,147.00","-1,140,286,522.34","-833,940,645.33","-516,664,959.14","-593,199,593.29","-570,351,957.47","-714,962,410.23","859,277,766.64","310,917,512.12","-815,729,503.94","-1,098,268,121.21","-282,277,784.66","89,059,623.52"
购建固定资产、无形资产和其他长期资产支付的现金,"950,341,715.26","1,007,495,990.32","2,139,330,794.53","353,180,325.53","772,574,421.76","1,136,950,846.40","1,745,278,158.76","428,929,114.57","717,966,173.55","1,014,851,101.47","1,449,167,475.38","383,627,414.29","548,939,754.23","644,489,383.73","800,297,028.23","64,845,965.07","137,192,868.24","307,087,814.39","297,020,170.70","76,435,877.11","125,211,765.20"
期初现金及现金等价物余额,"1,635,947,965.68","3,091,238,308.37","3,091,238,308.37","2,919,855,985.27","2,919,855,985.27","2,919,855,985.27","2,919,855,985.27","3,461,964,612.67","3,461,964,612.67","3,461,964,612.67","3,461,964,612.67","2,628,023,967.34","2,628,023,967.34","2,628,023,967.34","2,628,023,967.34","1,913,061,557.11","1,913,061,557.11","1,913,061,557.11","1,913,061,557.11","814,793,435.90","467,771,574.53"
投资支付的现金,,"346,222.43","53,744,977.42",,,"50,000,000.00",,,,,"29,043,232.80",,"31,421.81","610,241.21",,,,,"1,932,417.65",,
期末现金及现金等价物余额,"3,091,238,308.37","2,283,928,086.81","2,919,855,985.27","3,659,794,153.92","3,341,054,173.40","2,873,622,008.81","3,461,964,612.67","2,522,027,810.42","2,784,036,465.67","2,321,678,090.33","2,628,023,967.34","2,111,359,008.20","2,034,824,374.05","2,057,672,009.87","1,913,061,557.11","2,772,339,323.75","2,223,979,069.23","1,097,332,053.17","814,793,435.90","532,515,651.24","556,831,198.05"
