科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付的各项税费,"25,901,471.00","12,771,962.50","12,594,606.55","2,716,487.38","7,514,035.68","9,934,789.87","14,545,095.85","3,479,940.86","9,624,626.00","13,243,751.32","20,085,455.02","1,974,353.42","9,083,075.10","15,033,701.86","22,487,430.34","2,815,329.03","8,253,342.11","10,291,341.53"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"65,665,304.64","77,490,100.93","99,376,374.80","39,649,239.87","69,047,065.17","99,509,079.29","137,714,668.33","26,762,972.84","53,995,650.89","99,993,519.36","154,241,712.50","36,955,883.62","74,510,305.19","106,136,235.45","156,953,510.97","39,252,545.49","80,501,549.12","125,830,416.58"
筹资活动现金流入小计,"55,000,000.00","61,587,690.02","165,000,000.00","29,650,000.00","601,036,475.50","617,036,475.50","647,036,475.50","35,000,000.00","41,000,000.00","52,500,000.00","78,037,219.16","15,000,000.00","75,864,800.00","75,864,800.00","95,520,800.00","6,000,000.00","31,000,000.00","68,800,000.00"
经营活动现金流出小计,"2,236,978,767.72","2,928,957,635.23","3,584,912,677.40","876,258,198.15","1,922,073,298.75","2,932,552,828.79","3,969,719,632.65","977,093,599.42","2,076,653,127.88","3,280,612,763.85","4,556,241,672.57","1,184,539,019.88","2,767,540,699.21","4,198,805,667.36","5,902,657,739.12","1,547,133,123.00","3,165,965,185.73","5,042,110,861.86"
偿还债务支付的现金,"137,902,000.00","35,000,000.00","103,700,000.00","10,000,000.00","49,650,000.00","189,650,000.00","219,650,000.00","15,000,000.00","15,000,000.00","15,000,000.00","45,000,000.00","20,000,000.00","25,000,000.00","25,000,000.00","35,000,000.00","15,000,000.00","25,000,000.00","53,000,000.00"
经营活动产生的现金流量净额,"217,138,532.32","-50,820,722.77","21,382,941.48","4,598,762.04","-16,624,987.24","-15,205,151.41","44,896,827.08","21,470,434.70","6,645,835.63","98,616,563.67","258,633,657.16","151,722,763.88","112,125,839.55","218,213,471.20","291,002,994.91","139,607,251.33","116,067,311.50","118,017,768.19"
分配股利、利润或偿还利息支付的现金,"3,926,489.83","85,166,441.66","37,549,255.58","37,862,155.56","40,122,167.23","41,380,756.13","41,839,200.57","388,768.05","33,875,574.98","34,659,076.36","35,305,094.76","478,950.70","35,815,972.92","36,238,406.26","36,714,731.27","524,899.99","979,052.07","71,918,318.73"
收回投资收到的现金,"1,159,000,000.00","592,000,000.00",,,,,"100,000,000.00","120,000,000.00","250,000,000.00","300,000,000.00","430,000,000.00","158,000,000.00","398,000,000.00","857,000,000.00","1,237,000,000.00","18,000,000.00","235,500,000.00","235,500,000.00"
支付其他与筹资活动有关的现金,,,,,"418,240.00","7,400,000.00","7,500,000.00",,,,,,,,,,,
取得投资收益收到的现金,"3,289,758.57","9,738,419.65",,,,,"1,092,594.52","1,542,945.20","2,975,835.61","4,322,136.98","5,278,575.34","1,512,605.48","3,868,824.66","6,688,317.82","8,549,304.13","124,273.97","897,356.15","897,356.15"
筹资活动现金流出小计,"141,828,489.83","120,166,441.66","141,249,255.58","47,862,155.56","90,190,407.23","238,430,756.13","268,989,200.57","15,388,768.05","48,875,574.98","49,659,076.36","80,305,094.76","20,478,950.70","60,815,972.92","61,238,406.26","71,714,731.27","15,524,899.99","25,979,052.07","124,918,318.73"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,115,961.78","4,596,270.47","7,424,331.28","1,412,575.98","2,660,066.70","4,684,572.33","6,594,482.67","1,935,165.34","4,729,534.09","8,955,072.09","12,698,105.90","3,898,638.50","7,718,147.30","12,661,022.14","16,250,012.27","3,617,101.92","6,860,389.54","9,151,327.60"
筹资活动产生的现金流量净额,"-86,828,489.83","-58,578,751.64","23,750,744.42","-18,212,155.56","510,846,068.27","378,605,719.37","378,047,274.93","19,611,231.95","-7,875,574.98","2,840,923.64","-2,267,875.60","-5,478,950.70","15,048,827.08","14,626,393.74","23,806,068.73","-9,524,899.99","5,020,947.93","-56,118,318.73"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,384.79",-0.02,,,,,,,,,"210,341.19","-57,446.18","198,012.38","271,345.93","581,937.94","-32,976.10","-60,504.77","-69,152.53"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,164,405,720.35","606,334,690.12","7,424,331.28","1,412,575.98","2,660,066.70","4,684,572.33","107,687,077.19","123,478,110.54","257,705,369.70","313,277,209.07","447,976,681.24","163,411,243.98","409,586,971.96","876,349,339.96","1,261,799,316.40","21,741,375.89","243,257,745.69","245,548,683.75"
五、现金及现金等价物净增加额,"-86,805,901.75","15,428,311.84","-55,971,583.21","-32,031,389.60","464,487,408.53","223,109,235.07","233,719,664.16","67,325,063.73","43,467,908.92","122,813,556.49","37,424,493.75","100,745,703.63","56,050,779.44","141,711,112.40","453,999,471.52","105,033,241.89","93,301,887.12","-75,002,465.23"
购建固定资产、无形资产和其他长期资产支付的现金,"75,518,279.80","65,506,903.85","108,529,600.39","19,830,572.06","32,393,739.20","44,975,905.22","76,911,515.04","17,234,713.46","33,007,721.43","49,821,139.89","87,028,310.24","30,851,907.35","61,908,871.53","88,749,438.43","126,190,846.46","29,257,509.24","53,483,613.23","104,881,445.91"
期初现金及现金等价物余额,"210,394,295.50","123,588,393.75","139,016,705.59","83,045,122.38","83,045,122.38","83,045,122.38","83,045,122.38","316,764,786.54","316,764,786.54","316,764,786.54","316,764,786.54","354,189,280.29","354,189,280.29","354,189,280.29","354,189,280.29","808,188,751.81","808,188,751.81","808,188,751.81"
投资支付的现金,"1,306,000,000.00","416,000,000.00",,,,"100,000,000.00","220,000,000.00","80,000,000.00","180,000,000.00","242,100,000.00","580,100,000.00","178,000,000.00","419,000,000.00","879,000,000.00","997,000,000.00","17,500,000.00","217,500,000.00","277,500,000.00"
期末现金及现金等价物余额,"123,588,393.75","139,016,705.59","83,045,122.38","51,013,732.78","547,532,530.91","306,154,357.45","316,764,786.54","384,089,850.27","360,232,695.46","439,578,343.03","354,189,280.29","454,934,983.92","410,240,059.73","495,900,392.69","808,188,751.81","913,221,993.70","901,490,638.93","733,186,286.58"
