科目,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"218,237.44","616,004.85","303,812.51","708,772.35","496,229.07","1,514,303.56","1,494,717.71","5,044,852.36","4,586,050.43","6,966,826.58","9,809,191.49","5,134,216.21","8,206,660.11","12,181,145.87","3,314,710.94","6,857,239.69","11,327,049.83","15,154,985.30","3,513,096.32","7,559,653.54","12,668,881.63","17,846,626.19","4,860,775.10","10,513,610.09","18,008,902.97","28,601,252.14","10,144,115.19","20,554,946.56","38,455,262.05","62,027,862.73","23,195,237.50"
三、利润总额,"-6,202,043.00","6,363,584.99","-6,331,781.47","27,918,504.19","-4,675,537.88","40,651,042.85","3,894,314.93","47,949,958.60","-5,441,871.02","15,662,097.78","53,012,890.17","4,457,538.71","16,916,525.57","60,854,381.45","-16,550,924.90","-16,218,024.54","13,796,298.31","66,146,678.08","-14,341,790.34","-11,090,723.67","5,548,759.95","93,846,468.45","-20,576,206.45","-18,182,153.04","3,729,180.17","122,068,710.23","-24,319,265.93","-12,279,897.84","48,663,989.22","191,718,702.78","-17,697,825.87"
资产减值损失,,"105,989.69",,"137,621.59","-116,047.41","1,908,648.72","-983,097.73","1,137,157.48","776,156.77","-404,395.52","4,919,642.23","-730,689.00","1,415,326.05","7,415,099.41","-473,754.59","485,743.99","4,435,461.82","13,946,115.91","-6,048,472.53","-3,415,944.77","276,278.18","11,444,859.02","-2,524,224.81","-1,456,451.85","9,618,252.74","15,697,624.21","-7,810,393.21","-7,693,088.30","2,908,058.25","43,347,909.15","-12,777,231.19"
减:所得税,"2,156.22","183,596.46","60,165.08","3,281,912.57","332,294.60","5,364,177.30","891,907.96","6,552,359.03","-778,127.18","3,043,625.95","6,856,609.80","944,310.06","3,201,297.23","8,386,822.99","-2,424,488.82","-2,484,299.33","1,986,721.15","9,234,156.41","-1,907,330.49","-1,709,976.86","-130,598.99","12,476,008.55","-3,222,730.04","-4,143,831.57","-713,721.55","18,997,424.40","-3,305,639.74","-2,522,244.15","5,773,937.43","27,176,203.99","-2,357,113.69"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,"174,600.00","-148,500.00","154,500.00","-174,600.00","-174,600.00",,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,"5,116,101.77","-289,563.47","-2,530,971.41","-2,704,106.00","-3,417,685.62","-3,342,495.48","-2,517,389.95","-2,738,056.65","3,552,265.80","-1,121,968.64"
四、净利润,"-6,204,199.22","6,179,988.53","-6,391,946.55","24,636,591.62","-5,007,832.48","35,286,865.55","3,002,406.97","41,397,599.57","-4,663,743.84","12,618,471.83","46,156,280.37","3,513,228.65","13,715,228.34","52,467,558.46","-14,126,436.08","-13,733,725.21","11,809,577.16","56,912,521.67","-12,434,459.85","-9,380,746.81","5,679,358.94","81,370,459.90","-17,353,476.41","-14,038,321.47","4,442,901.72","103,071,285.83","-21,013,626.19","-9,757,653.69","42,890,051.79","164,542,498.79","-15,340,712.18"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,"6,444,908.27",,,,"-2,636,636.90","-3,342,495.48","-2,517,389.95","-2,738,056.65","-1,187,734.20","-1,121,968.64"
归属于母公司所有者的净利润,"-6,204,199.22","6,122,734.87","-6,097,395.30","24,564,537.96","-4,789,486.25","35,568,704.07","3,181,213.60","40,901,641.85","-4,750,045.23","12,401,799.02","45,236,008.06","3,314,755.67","12,344,604.76","51,037,233.99","-13,915,072.54","-13,525,281.25","11,553,523.56","55,749,866.87","-12,325,143.26","-8,908,273.57","6,478,581.49","80,162,555.32","-15,254,506.76","-11,047,282.66","8,540,953.53","86,316,693.45","-18,311,651.66","-10,110,617.82","21,096,687.02","106,251,226.15","-19,445,487.59"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"57,253.66","-294,551.25","72,053.66","-218,346.23","-281,838.52","-178,806.63","495,957.72","86,301.39","216,672.81","920,272.31","198,472.98","1,370,623.58","1,430,324.47","-211,363.54","-208,443.96","256,053.60","1,162,654.80","-109,316.59","-472,473.24","-799,222.55","1,207,904.58","-2,098,969.65","-2,991,038.81","-4,098,051.81","16,754,592.38","-2,701,974.53","352,964.13","21,793,364.77","58,291,272.64","4,104,775.41"
