科目,2010年度,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"11,500,000.00",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,422,910.59",300.00,"5,910.00","150,410.00",400.00,400.00,,,500.00,"6,500.00",,"623,679.70","623,679.70","150,075,079.70","485,215.00","485,215.00","471,388,499.46","2,258,407,066.86","1,519,494,909.52","3,347,828,687.92","4,786,186,549.44","5,920,346,118.50","880,572,178.08","1,760,978,282.19","2,135,662,652.04","2,696,055,540.92","302,621,438.32"
五、现金及现金等价物净增加额,"8,411,457.58","-15,552,993.05","-20,835,714.84","-46,170,730.81","-6,179,159.46","12,997,382.19","238,142,186.91","202,695,031.25","168,641,113.92","199,942,448.40","-53,176,439.26","-129,455,547.22","-164,652,236.52","-60,570,162.66","-38,174,763.49","1,448,357,437.85","-93,104,770.66","86,246,388.23","-145,661,212.36","-71,933,754.60","57,189,473.24","229,592,646.40","-121,301,013.37","-42,809,768.57","-124,671,258.65","236,744,519.29","-241,340,502.68"
购建固定资产、无形资产和其他长期资产支付的现金,"35,058,266.59","65,487,997.09","39,311,256.50","98,647,955.00","68,058,696.68","133,907,285.81","72,115,737.40","89,745,809.39","129,078,557.42","141,054,608.98","33,126,079.71","48,560,984.91","64,283,098.21","103,990,007.31","124,612,338.76","292,782,895.86","433,162,327.96","678,249,446.76","312,460,300.77","494,762,923.72","659,784,265.73","816,418,333.59","190,194,505.63","580,914,611.20","755,043,036.06","946,133,419.06","185,450,144.80"
期初现金及现金等价物余额,"79,350,251.88","87,761,709.46","72,208,716.41","72,208,716.41","26,037,985.60","26,037,985.60","39,035,367.79","39,035,367.79","39,035,367.79","39,035,367.79","238,977,816.19","238,977,816.19","238,977,816.19","238,977,816.19","178,407,653.53","178,407,653.53","178,407,653.53","178,407,653.53","264,654,041.76","264,654,041.76","264,654,041.76","264,654,041.76","494,246,688.16","494,246,688.16","494,246,688.16","494,246,688.16","730,991,207.45"
投资支付的现金,"37,685,219.71","3,000,000.00","50,800,000.00","15,290,000.00",,,,,,,,,"35,850,000.00","212,781,400.00","4,000,000.00","495,924,226.85","2,198,334,226.85","3,829,600,000.00","1,290,500,000.00","2,896,436,000.00","4,338,436,000.00","5,278,436,000.00","690,000,000.00","1,160,725,389.00","1,667,281,752.42","2,533,052,267.47","100,000,000.00"
期末现金及现金等价物余额,"87,761,709.46","72,208,716.41","51,373,001.57","26,037,985.60","19,858,826.14","39,035,367.79","277,177,554.70","241,730,399.04","207,676,481.71","238,977,816.19","185,801,376.93","109,522,268.97","74,325,579.67","178,407,653.53","140,232,890.04","1,626,765,091.38","85,302,882.87","264,654,041.76","118,992,829.40","192,720,287.16","321,843,515.00","494,246,688.16","372,945,674.79","451,436,919.59","369,575,429.51","730,991,207.45","489,650,704.77"
